Datetime,0d ~ 1d,1d ~ 1w,1w ~ 1m,1m ~ 3m,3m ~ 6m,6m ~ 12m,12m ~ 18m,18m ~ 2y,2y ~ 3y,3y ~ 5y,5y ~ 7y,7y ~ 10y,10y ~
2026-04-10T00:00:00Z,13968493905.993702,14202493124.641037,53205090202.54548,116992401384.01228,271358903329.477,271761054519.09958,129482444923.06343,53066335670.71957,49498006205.392,74625429170.42064,25660072851.851673,9838585109.996185,374420490.8221798
2026-04-09T00:00:00Z,11626140320.444056,14962904806.437582,55183891644.74394,120162802778.43681,267707361111.8024,272311526043.1509,128718855644.35765,53189824577.672386,49499472430.99631,74622465293.22745,25588739175.03869,9836933492.369045,373401228.9304335
2026-04-08T00:00:00Z,14699078281.514837,17235107560.72259,50648155038.18411,121796833920.46211,266562699931.18976,271202288571.9926,128518499394.43088,53258087101.80132,49413790991.69528,76252887614.56871,23951363407.140038,9837820731.522821,373154466.2760459
2026-04-07T00:00:00Z,13697813362.937614,17840415197.547703,50466880470.57297,122493206135.03517,267930323323.72592,269584581162.58182,128416603274.38568,53328189745.64263,49300555243.7124,76337326925.18834,23855707054.01953,9836604035.63691,372764592.0349987
2026-04-06T00:00:00Z,11960177969.531857,20707070988.874714,48017502828.95824,132121797199.03496,262833884142.483,266644384909.0579,129962900027.94786,51624460285.64478,49224857798.01942,76465450532.17567,23732144698.49276,9835775810.691788,372579529.0953328
2026-04-05T00:00:00Z,6299406619.860495,25485191427.82945,48273892209.13369,135021608701.67677,262739545889.8378,264760766615.4053,134242580005.39499,47100590289.92299,49115345897.49022,76509142651.93825,23665860918.93994,9832441135.22587,371817035.6210782
2026-04-04T00:00:00Z,6331164692.747149,25685149972.71885,49740552943.5054,134767964483.06122,263487478890.9114,262371053895.1462,134217156459.41197,47108306362.780136,49049765656.21665,76588945732.3887,23566077640.54659,9841471379.434486,370739541.0104277
2026-04-03T00:00:00Z,7630305633.216893,24806649056.781067,50904014276.5286,133336539224.90474,264576427352.51587,262409351154.7388,133012885946.71002,47242681998.66769,48904074457.13329,76627134945.03897,23478848652.767113,9840049411.338629,370011323.4825845
2026-04-02T00:00:00Z,17524557497.293095,17208319183.78473,49813369630.59621,132098350013.51843,265059137469.71994,263072849804.6241,132094317393.31813,47434517510.86665,48746213555.18812,76693682284.03629,23373119188.84051,9838246726.18031,369235722.4089749
2026-04-01T00:00:00Z,11195385254.27985,23507290873.994522,50404435201.478134,132671460929.81241,265807976518.00555,263739873329.59836,130277804777.76823,47561580402.95054,48607209715.61176,76724960060.31778,23298387774.57815,9833156322.059246,368986621.7162501
2026-03-31T00:00:00Z,16180887370.518799,20288181657.717793,48710506499.61573,135045884487.55553,266307935091.95947,261053222118.27576,130072503064.34169,47702461126.920616,48422171979.91566,76874914201.77257,23131350338.875164,9830671846.737413,368897231.7011212
2026-03-30T00:00:00Z,15170958610.467854,24549050160.662052,43207526098.70804,139708475934.99088,264815492713.2709,259752370240.151,130132204639.02435,47843066383.640884,48470757379.3663,76975416124.29747,23227186382.86042,9822015486.383524,368609479.3820236
2026-03-29T00:00:00Z,6383408864.191221,32705340109.507614,42772042616.12092,144134820475.84967,262286028155.86853,259675175928.49036,130063411193.50879,48201833428.95256,48148153889.15125,77023499277.25133,23112402616.71728,9820364206.0739,368439140.3505693
