Datetime,0d ~ 1d (%),1d ~ 1w (%),1w ~ 1m (%),1m ~ 3m (%),3m ~ 6m (%),6m ~ 12m (%),12m ~ 18m (%),18m ~ 2y (%),2y ~ 3y (%),3y ~ 5y (%),5y ~ 7y (%),7y ~ 10y (%),10y ~ (%)
2026-04-10T00:00:00Z,86.83411061,8.91204619,2.31751908,0.94469457,0.21529223,0.25959751,0.17053738,0.11086923,0.0423157,0.13234763,0.04563137,0.00681798,0.00822051
2026-04-09T00:00:00Z,87.90425256,8.02797006,1.98918596,0.57546682,0.41192188,0.22427169,0.57123307,0.04987158,0.09023776,0.08373553,0.01660163,0.05102982,0.00422163
2026-04-08T00:00:00Z,90.22808967,5.57662279,2.26827672,0.92883361,0.27656361,0.2977611,0.23601052,0.05013961,0.0498615,0.05904758,0.02049973,0.00730481,0.00098876
2026-04-07T00:00:00Z,89.68349596,5.30802654,2.29844278,1.45524969,0.34313708,0.29457139,0.32018875,0.06063027,0.0730555,0.08374199,0.05354682,0.01595755,0.00995567
2026-04-06T00:00:00Z,83.76224415,8.33949043,5.65078627,0.8835866,0.35076764,0.47843111,0.21784111,0.066421,0.07119932,0.10917578,0.02856088,0.01400131,0.02749441
2026-04-05T00:00:00Z,95.16994244,2.82605644,0.33379722,0.30565043,0.1400725,0.11884291,0.0539065,0.03148953,0.03429816,0.04478546,0.08483752,0.73546205,0.12085883
2026-04-04T00:00:00Z,94.04140639,3.43616338,0.89247149,0.84669804,0.23877381,0.25891925,0.0502191,0.03083513,0.07497896,0.07190152,0.0225273,0.00551679,0.02958885
2026-04-03T00:00:00Z,94.50270403,2.93934232,1.06946287,0.42843125,0.28931716,0.26502794,0.21338473,0.1767856,0.03029086,0.03937475,0.02069506,0.01171301,0.01347042
2026-04-02T00:00:00Z,79.20114149,14.17374284,4.64420336,0.81641684,0.21564907,0.605766,0.0695363,0.11237046,0.0708925,0.03436085,0.03317298,0.01137534,0.01137198
2026-04-01T00:00:00Z,88.57819006,6.88210601,2.59376115,0.95899251,0.23427987,0.28228407,0.18373065,0.05955643,0.07812622,0.05736481,0.04823552,0.00874709,0.03462562
2026-03-31T00:00:00Z,86.63033518,6.04861774,2.1702829,1.80036011,0.57770073,0.82696989,0.27865589,0.2714662,0.33138359,0.23350005,0.73923129,0.00610762,0.0853888
2026-03-30T00:00:00Z,81.12984947,12.97539222,2.90181228,0.78410172,0.65878055,1.29247064,0.03751054,0.02846856,0.12992554,0.03753702,0.01575559,0.00720644,0.00118942
2026-03-29T00:00:00Z,92.91514037,5.24706729,0.67917893,0.34020319,0.21478077,0.24260308,0.09030339,0.07912133,0.0701375,0.05151093,0.03510558,0.03077335,0.0040743
2026-03-28T00:00:00Z,93.86012314,2.98845776,0.603011,0.65974212,1.14592336,0.1142537,0.3180014,0.04884229,0.0581722,0.07878182,0.10805113,0.01397022,0.00266987
2026-03-27T00:00:00Z,85.94127259,5.58837213,6.16033698,1.37604146,0.14546208,0.42761872,0.12093681,0.05474866,0.0635213,0.0472517,0.03758416,0.03556149,0.00129193
