Datetime,0d ~ 1d (%),1d ~ 1w (%),1w ~ 1m (%),1m ~ 3m (%),3m ~ 6m (%),6m ~ 12m (%),12m ~ 18m (%),18m ~ 2y (%),2y ~ 3y (%),3y ~ 5y (%),5y ~ 7y (%),7y ~ 10y (%),10y ~ (%)
2026-04-10T00:00:00Z,0.00018165,0.00186283,0.04004057,0.28782874,1.1933362,1.93093528,1.99082998,1.61044828,3.15144103,9.63247179,7.88639813,15.48420001,56.79002551
2026-04-09T00:00:00Z,0.00016291,0.00177876,0.04045367,0.29559539,1.17554955,1.93619192,1.97776623,1.6129704,3.15953659,9.62852461,7.88529351,15.50919203,56.77698443
2026-04-08T00:00:00Z,0.00022406,0.00338,0.03903575,0.29916114,1.16784833,1.93066554,1.97343492,1.6136367,3.15816162,9.77579307,7.73748407,15.51754074,56.78363406
2026-04-07T00:00:00Z,0.00017265,0.00352178,0.03809699,0.29780785,1.16747424,1.92101837,1.97022017,1.61441818,3.15597462,9.7817634,7.7318727,15.52764355,56.79001552
2026-04-06T00:00:00Z,0.00014109,0.0042988,0.03598228,0.32145143,1.15017388,1.90726041,2.01237166,1.56789166,3.15422203,9.79163828,7.72476925,15.53210533,56.7976939
2026-04-05T00:00:00Z,0.00009707,0.00460073,0.0351775,0.32565891,1.14623175,1.89790069,2.12882176,1.44726944,3.15364854,9.79305577,7.72518406,15.55000295,56.79235082
2026-04-04T00:00:00Z,0.00011367,0.00377161,0.03583231,0.3234632,1.14418328,1.882087,2.12567267,1.44620111,3.15162997,9.79500949,7.72018958,15.60743338,56.76441272
2026-04-03T00:00:00Z,0.00012224,0.00299411,0.03609346,0.31762457,1.14158401,1.88809632,2.10747959,1.44968961,3.15069949,9.79630032,7.7163435,15.6269496,56.76602317
2026-04-02T00:00:00Z,0.00025957,0.00273703,0.03545279,0.31206348,1.13615041,1.8955591,2.09295785,1.45509772,3.14794801,9.80009717,7.7115986,15.64593684,56.76414142
2026-04-01T00:00:00Z,0.00018006,0.00377179,0.03566133,0.31079085,1.13331759,1.91158509,2.06760444,1.45847952,3.14730429,9.79933364,7.71464999,15.64573569,56.77158572
2026-03-31T00:00:00Z,0.00031929,0.00373049,0.03468985,0.31466173,1.13173623,1.89746738,2.063477,1.46188207,3.14344024,9.8106604,7.70449297,15.64695453,56.78648782
2026-03-30T00:00:00Z,0.00023265,0.00492344,0.03201158,0.32361044,1.12227576,1.88801102,2.06146597,1.46443131,3.15018253,9.81298373,7.73769558,15.64518815,56.75698784
2026-03-29T00:00:00Z,0.00009401,0.00536745,0.03138203,0.33270802,1.10928578,1.88463474,2.05821986,1.4745875,3.14677751,9.81329527,7.73071014,15.64757689,56.76536079
2026-03-28T00:00:00Z,0.00012871,0.00440925,0.03181546,0.33163508,1.10284961,1.89202271,2.04039978,1.4782957,3.14957938,9.81330996,7.72284354,15.65408513,56.7786257
2026-03-27T00:00:00Z,0.00027675,0.00291027,0.03177893,0.32766891,1.103175,1.89800073,2.02304917,1.48118935,3.14645362,9.83673104,7.69898899,15.66195558,56.78782166
2026-03-26T00:00:00Z,0.00025788,0.00336784,0.03336427,0.32485452,1.09433928,1.89587886,2.0203336,1.48233243,3.15346835,9.83280376,7.7012707,15.67063466,56.78709384
2026-03-25T00:00:00Z,0.00019537,0.00338568,0.03829348,0.32635122,1.08844918,1.88904496,2.01814415,1.49900072,3.14059657,9.83081356,7.69832166,15.67389094,56.79351251
2026-03-24T00:00:00Z,0.00017768,0.00358007,0.03750231,0.32543812,1.09646401,1.87323775,2.02330074,1.49455267,3.13822407,9.83489021,7.69266186,15.68603012,56.7939404
2026-03-23T00:00:00Z,0.0001737,0.00427744,0.03676827,0.34377327,1.08778295,1.86042389,2.01775243,1.50729804,3.12820063,9.84677216,7.68065987,15.69519515,56.79092221
2026-03-22T00:00:00Z,0.00009974,0.00516026,0.03512389,0.34734963,1.08491688,1.84661457,2.01588218,1.69020827,2.94830389,9.85603606,7.67177534,15.70033005,56.79819924
2026-03-21T00:00:00Z,0.00009663,0.00467144,0.03602528,0.34269633,1.08413983,1.83049306,2.01395191,1.70243637,2.96235458,9.84407628,7.7047757,15.70344861,56.77083399
2026-03-20T00:00:00Z,0.00018574,0.00349861,0.03561075,0.33703695,1.09429652,1.81416806,2.00891936,1.70365027,2.95973854,9.84507283,7.70046095,15.71126032,56.78610109
2026-03-19T00:00:00Z,0.00015855,0.00397147,0.0370426,0.33508719,1.0870792,1.8119293,2.0061766,1.70218589,2.9615718,9.83678275,7.69422844,15.71974562,56.80404057
2026-03-18T00:00:00Z,0.00018724,0.00384079,0.03848203,0.33043934,1.08772587,1.80484582,2.01112081,1.69630349,2.96755081,9.83205229,7.69073489,15.73699254,56.79972408
2026-03-17T00:00:00Z,0.00022884,0.00370557,0.03834637,0.32719501,1.08984602,1.79684526,2.00889543,1.72368597,2.93954753,9.83346179,7.6887669,15.73903632,56.81043898
2026-03-16T00:00:00Z,0.00022964,0.00370059,0.03746901,0.32723753,1.09386567,1.78794237,2.00571685,1.72558867,2.93862022,9.83627453,7.68671512,15.74763423,56.80900556
2026-03-15T00:00:00Z,0.00013843,0.00405208,0.03829305,0.32712042,1.10269269,1.76619502,2.01175529,1.73311603,2.94146246,9.83554079,7.68007435,15.76863321,56.79092619
2026-03-14T00:00:00Z,0.00015401,0.00341346,0.03941368,0.32998717,1.09996432,1.7461269,2.01091135,1.73954581,2.93617796,9.84196454,7.66972735,15.78666721,56.79594625
2026-03-13T00:00:00Z,0.00018619,0.00245126,0.04110441,0.32577085,1.10059936,1.73633306,2.00631617,1.75215336,2.92496394,9.848509,7.66180136,15.79385033,56.80596071
2026-03-12T00:00:00Z,0.00017292,0.00258035,0.04144664,0.32491018,1.09032102,1.74891389,1.98750132,1.76644542,2.92229643,9.85266948,7.65232443,15.80049023,56.8099277
2026-03-11T00:00:00Z,0.00023359,0.00268168,0.04249747,0.3263152,1.08407593,1.75397934,1.97613707,1.772285,2.91828264,9.87642818,7.64414761,15.80809152,56.79484478
2026-03-10T00:00:00Z,0.0001659,0.00374383,0.04309052,0.32217826,1.08564029,1.76119443,1.96739121,1.78321126,2.91309901,9.87882184,7.63050302,15.81041108,56.80054934
2026-03-09T00:00:00Z,0.00019099,0.00407811,0.0418094,0.32818879,1.07979019,1.76256644,1.95021158,1.7948932,2.91237663,9.87261365,7.6346927,15.80828579,56.81030253
2026-03-08T00:00:00Z,0.00010487,0.00415536,0.04081848,0.32999619,1.07320729,1.75533949,1.94814623,1.79901355,2.91395208,9.87214943,7.62905897,15.82427798,56.80978007
2026-03-07T00:00:00Z,0.00010892,0.00334075,0.04537829,0.32913458,1.06210548,1.74535444,1.94596845,1.80262878,2.90954223,9.87430919,7.6430556,15.8189096,56.82016369
2026-03-06T00:00:00Z,0.00022236,0.00241083,0.05058574,0.31742892,1.05708012,1.741379,1.93972636,1.81483595,2.90006241,9.8816949,7.63571059,15.83362751,56.82523531
2026-03-05T00:00:00Z,0.00020274,0.00249972,0.05178605,0.31263281,1.05177768,1.7445447,1.94266295,1.82755263,2.88934185,9.88491234,7.63320861,15.83796627,56.82091163
2026-03-04T00:00:00Z,0.00017275,0.0025087,0.0531925,0.31915826,1.03750105,1.74132242,1.95691964,1.82495134,2.87859416,9.89418843,7.6209085,15.84317704,56.82740524
2026-03-03T00:00:00Z,0.00020011,0.00331985,0.05506716,0.32151403,1.03454532,1.73224126,1.95226937,1.83017946,2.8738273,10.03909665,7.4830882,15.9022969,56.7723544
2026-03-02T00:00:00Z,0.00013274,0.00505794,0.05255717,0.32198315,1.03550541,1.72336371,1.94515364,1.83051092,2.87047437,10.04586529,7.50679817,15.88194101,56.78065648
2026-03-01T00:00:00Z,0.00011386,0.00493402,0.05336093,0.31932965,1.03310544,1.71415657,1.94304156,1.83342608,2.86854724,10.05387588,7.50273341,15.88630747,56.78706788
2026-02-28T00:00:00Z,0.00009423,0.00400309,0.05607676,0.31522843,1.03265865,1.70005854,1.94734896,1.83008828,2.86276737,10.05774603,7.49999956,15.89902815,56.79490195
2026-02-27T00:00:00Z,0.00018222,0.00307945,0.05465649,0.31059902,1.03840504,1.69435481,1.93403454,1.84294757,2.85427161,10.05920284,7.49411001,15.91416215,56.79999426
2026-02-26T00:00:00Z,0.00016135,0.00354705,0.05267381,0.30643252,1.0329191,1.7024511,1.92262619,1.89351057,2.80329798,10.06449242,7.48894674,15.92221662,56.80672455
2026-02-25T00:00:00Z,0.00018175,0.00320068,0.0511062,0.30505612,1.03447818,1.69192783,1.9194573,1.89592557,2.80210651,10.07027231,7.79296482,15.62639371,56.80692901
2026-02-24T00:00:00Z,0.00024592,0.00311388,0.05229725,0.30500902,1.04181544,1.68358017,1.90363644,1.89881151,2.80104781,10.07782154,7.78726014,15.62955353,56.81580736
2026-02-23T00:00:00Z,0.00015491,0.00415644,0.05020551,0.30574338,1.04194723,1.67451666,1.90621301,1.89592404,2.80340114,10.08421715,7.78319523,15.63516888,56.81515641
2026-02-22T00:00:00Z,0.00009812,0.00419693,0.04831895,0.30548476,1.04199373,1.66291313,1.91037893,1.88973545,2.80555228,10.10428416,7.76193772,15.64608816,56.81901765
2026-02-21T00:00:00Z,0.00011051,0.00337646,0.0658146,0.28493186,1.03906127,1.65173382,1.90814562,1.89175605,2.80195969,10.11153488,7.75490492,15.6552051,56.83146522
2026-02-20T00:00:00Z,0.00025096,0.00259761,0.06732398,0.34404767,0.96899522,1.64554169,1.90204444,1.89534232,2.79842196,10.12006493,7.75285862,15.65944552,56.84306508
2026-02-19T00:00:00Z,0.00017616,0.00313244,0.06989743,0.49169732,0.81449023,1.64765082,1.89938811,1.88956702,2.79663868,10.14763939,7.73491789,15.69568309,56.80912142
2026-02-18T00:00:00Z,0.00019782,0.00394244,0.06834029,0.50668496,0.79243188,1.64086009,1.89729906,1.88870561,2.79505277,10.15887807,7.73462476,15.70361847,56.80936379
2026-02-17T00:00:00Z,0.0001606,0.00397446,0.06527474,0.50791118,0.79296228,1.63294726,1.89845026,1.88487103,2.79259962,10.19168737,7.71725716,15.7096577,56.80224633
2026-02-16T00:00:00Z,0.00017783,0.00497137,0.0617734,0.51193948,0.79099378,1.61834484,1.89807084,1.88607956,2.79096252,10.20403543,7.70598157,15.71157618,56.81509322
2026-02-15T00:00:00Z,0.00012815,0.00552676,0.05939416,0.52138454,0.77890831,1.60565983,1.90063345,1.88512054,2.78645014,10.21450166,7.69680728,15.7235855,56.82189968
2026-02-14T00:00:00Z,0.00020473,0.00478568,0.05992393,0.52009369,0.77702696,1.59192296,1.90060568,1.88566056,2.78250633,10.21711004,7.69552722,15.72869933,56.83593289
2026-02-13T00:00:00Z,0.00021958,0.00419255,0.0607865,0.51030197,0.77576222,1.58656019,1.8960047,1.8934452,2.77578617,10.2264139,7.82201561,15.60426646,56.84424496
2026-02-12T00:00:00Z,0.0002569,0.00541195,0.05819381,0.50353923,0.77478169,1.59161516,1.89020413,1.89763033,2.77697525,10.23326353,7.8105045,15.62507822,56.83254531
