Datetime,0d ~ 1d,1d ~ 1w,1w ~ 1m,1m ~ 3m,3m ~ 6m,6m ~ 12m,12m ~ 18m,18m ~ 2y,2y ~ 3y,3y ~ 5y,5y ~ 7y,7y ~ 10y,10y ~
2026-04-10T00:00:00Z,192160.09120286,202572.34635446,766513.38091793,1502840.40710482,2914569.71675197,2449542.00447364,1428705.47627559,845468.60350194,1173699.25068126,2156536.48382145,1226780.25334978,1676052.61322199,3478689.79231327
2026-04-09T00:00:00Z,162296.48871623,214607.6013681,794281.4598144,1533688.53384968,2872890.31459162,2457881.32508024,1419230.10766176,847278.66659621,1176190.03632664,2154771.47055187,1226366.39009387,1677999.68923437,3476257.71108597
2026-04-08T00:00:00Z,205554.52836354,254945.76202845,723873.78776872,1546270.04170631,2856171.34179793,2450520.13732226,1416578.5343809,848100.34588514,1175899.36159351,2181528.57940741,1199563.97712553,1678591.86409017,3475691.53350109
2026-04-07T00:00:00Z,197101.40170528,264253.95991828,721248.60349745,1551853.90113454,2864982.44454421,2438970.20577313,1415478.37319065,848840.88790483,1175184.31014688,2182585.11677431,1198363.99418983,1679192.25776912,3474771.83842245
2026-04-06T00:00:00Z,172291.29654274,308735.56667055,684679.9550421,1656910.25330732,2799654.95269014,2417649.29777663,1441053.5812524,821179.31915024,1174872.69736601,2184660.3837995,1196913.46564194,1679412.64965064,3474382.62608075
2026-04-05T00:00:00Z,93410.36175609,379895.76263223,686767.75644999,1686692.42544081,2791561.75580817,2404730.95629422,1511579.23359591,748301.99461738,1174556.30710707,2184702.70323119,1196649.92269137,1680614.56530679,3472532.30003974
2026-04-04T00:00:00Z,94267.70562265,382989.70020746,707339.19772763,1675773.64905992,2792811.35544114,2386164.28540164,1511648.53512369,748328.78584713,1174373.26621501,2185521.84405297,1195848.45410886,1686305.55423058,3470126.83693228
2026-04-03T00:00:00Z,114097.96787766,369962.30791151,722287.19849371,1654773.36892043,2800579.76733573,2391831.59689364,1497550.05156417,750219.64738375,1173638.01338235,2185218.74156416,1194859.51424126,1687638.05949892,3468467.93490367
2026-04-02T00:00:00Z,262707.57545941,255871.27948105,703319.82783416,1636308.40231535,2803690.27316416,2402032.90823271,1486554.02630728,752971.47252808,1172362.39188381,2185565.87430309,1193697.75504104,1688939.57533705,3466690.30808377
2026-04-01T00:00:00Z,163625.16512475,348783.24698063,711122.91890725,1639058.94868653,2806249.57129857,2415784.28954636,1465543.25695717,754794.79571545,1171825.33527267,2185079.64832032,1193777.97607183,1688453.8987959,3466159.49329353
