Datetime,Fund Price (USD)
2026-04-02T00:00:00Z,16.8
2026-04-01T00:00:00Z,17.43
2026-03-31T00:00:00Z,17.07
2026-03-30T00:00:00Z,16.44
2026-03-27T00:00:00Z,16.18
2026-03-26T00:00:00Z,16.66
2026-03-25T00:00:00Z,17.67
2026-03-24T00:00:00Z,17.22
2026-03-23T00:00:00Z,17.54
2026-03-20T00:00:00Z,17.37
2026-03-19T00:00:00Z,17.43
2026-03-18T00:00:00Z,17.8
2026-03-17T00:00:00Z,18.9
2026-03-16T00:00:00Z,18.98
2026-03-13T00:00:00Z,17.11
2026-03-12T00:00:00Z,16.86
2026-03-11T00:00:00Z,16.91
2026-03-10T00:00:00Z,16.58
2026-03-09T00:00:00Z,16.57
2026-03-06T00:00:00Z,16.11
2026-03-05T00:00:00Z,17.04
2026-03-04T00:00:00Z,17.53
2026-03-03T00:00:00Z,16.1
2026-03-02T00:00:00Z,16.5883630047764
2026-02-27T00:00:00Z,15.69
2026-02-26T00:00:00Z,16.52
2026-02-25T00:00:00Z,16.93
2026-02-24T00:00:00Z,15.15
2026-02-23T00:00:00Z,15.18
2026-02-20T00:00:00Z,16.08
2026-02-19T00:00:00Z,15.89
2026-02-18T00:00:00Z,15.81
2026-02-17T00:00:00Z,16.27
2026-02-13T00:00:00Z,16.68
2026-02-12T00:00:00Z,15.62
2026-02-11T00:00:00Z,15.93
2026-02-10T00:00:00Z,16.41
2026-02-09T00:00:00Z,17.33
2026-02-06T00:00:00Z,16.75
2026-02-05T00:00:00Z,15.2
2026-02-04T00:00:00Z,17.66
2026-02-03T00:00:00Z,18.74
2026-02-02T00:00:00Z,18.95
2026-01-30T00:00:00Z,21.84
2026-01-29T00:00:00Z,22.86
2026-01-28T00:00:00Z,24.59
2026-01-27T00:00:00Z,24.65
2026-01-26T00:00:00Z,23.68
2026-01-23T00:00:00Z,24.02
2026-01-22T00:00:00Z,23.99
2026-01-21T00:00:00Z,24.76
2026-01-20T00:00:00Z,24.52
2026-01-16T00:00:00Z,26.92
2026-01-15T00:00:00Z,26.86
2026-01-14T00:00:00Z,27.68
2026-01-13T00:00:00Z,26.2
2026-01-12T00:00:00Z,25.36
2026-01-09T00:00:00Z,25.1
2026-01-08T00:00:00Z,25.37
2026-01-07T00:00:00Z,25.63
2026-01-06T00:00:00Z,26.51
2026-01-05T00:00:00Z,26.52
2026-01-02T00:00:00Z,25.59
2025-12-31T00:00:00Z,24.37
2025-12-30T00:00:00Z,24.26
2025-12-29T00:00:00Z,24
2025-12-26T00:00:00Z,24.04
2025-12-24T00:00:00Z,24.08
2025-12-23T00:00:00Z,24.35
2025-12-22T00:00:00Z,24.41
2025-12-19T00:00:00Z,24.57
2025-12-18T00:00:00Z,22.81
2025-12-17T00:00:00Z,23.13
2025-12-16T00:00:00Z,24.2
2025-12-15T00:00:00Z,24.03
2025-12-12T00:00:00Z,25.29
2025-12-11T00:00:00Z,26.45
2025-12-10T00:00:00Z,27.54
2025-12-09T00:00:00Z,27.32
2025-12-08T00:00:00Z,25.76
2025-12-05T00:00:00Z,24.82
2025-12-04T00:00:00Z,25.79
2025-12-03T00:00:00Z,25.76
2025-12-02T00:00:00Z,24.47
2025-12-01T00:00:00Z,22.64
2025-11-28T00:00:00Z,24.94
2025-11-26T00:00:00Z,24.86
2025-11-25T00:00:00Z,24.05
2025-11-24T00:00:00Z,24.41
2025-11-21T00:00:00Z,22.48
2025-11-20T00:00:00Z,23.25
2025-11-19T00:00:00Z,24.16
2025-11-18T00:00:00Z,25.64
2025-11-17T00:00:00Z,24.64
2025-11-14T00:00:00Z,25.75
2025-11-13T00:00:00Z,25.99
2025-11-12T00:00:00Z,28.02
2025-11-11T00:00:00Z,28.23
2025-11-10T00:00:00Z,29.31
2025-11-07T00:00:00Z,28.47
2025-11-06T00:00:00Z,27.13
2025-11-05T00:00:00Z,28.34
2025-11-04T00:00:00Z,26.39
2025-11-03T00:00:00Z,29.42
2025-10-31T00:00:00Z,31.92
2025-10-30T00:00:00Z,30.27
2025-10-29T00:00:00Z,32.1
2025-10-28T00:00:00Z,33.19
2025-10-27T00:00:00Z,34.49
2025-10-24T00:00:00Z,32.29
2025-10-23T00:00:00Z,31.73
2025-10-22T00:00:00Z,31.26
2025-10-21T00:00:00Z,32.89
2025-10-20T00:00:00Z,32.74
2025-10-17T00:00:00Z,31.48
2025-10-16T00:00:00Z,31.81
2025-10-15T00:00:00Z,32.75
2025-10-14T00:00:00Z,33.78
2025-10-13T00:00:00Z,35
