date,Binance,Bitget,Bitstamp,Bybit,Crypto.com,Gate.io,HTX,Kraken
2022-01-01,9206823508.004118,,82108288.75607626,,3033273880.7320814,40009459.42980464,455280325.70613855,324492376.657262
2022-01-02,9913789090.851809,,94428533.56189372,,2672977856.352208,48009236.43883676,499147390.5051552,314717167.0162022
2022-01-03,13840895227.80949,,215793051.79731104,,2978208128.991003,69037403.49378616,716526000.6180773,641794123.8462814
2022-01-04,15681213023.057266,,276290909.4330857,,3745569054.3260818,57767411.35712406,842026048.19643,695013387.8592877
2022-01-05,21684637770.277912,,438413584.3691412,,3547964523.89274,69986324.84020773,1138284674.9658113,1195525766.365214
2022-01-06,18749759159.42825,,392482901.83664334,,3863119592.98556,57899450.18362517,776277608.938593,1055194767.8761642
2022-01-07,21641218136.21648,,401977058.033326,,3887461653.277087,62899328.72128472,1012276415.3008258,1364138164.3522918
2022-01-08,14351702405.032495,,167234462.2161135,,3302849707.481009,56567456.432874486,629437388.6563544,505697723.3407196
2022-01-09,10741466947.474983,,130069402.16001762,,3107840418.0036864,50986109.213853866,441020953.7293868,374850593.8445416
2022-01-10,17171643858.755096,,375695189.0956541,,3555891253.564532,73823821.0025639,933851156.0722594,958989281.7361836
2022-01-11,14871601298.632378,,303974944.04407173,,2697574874.1852684,52975290.97489892,708876516.9319315,770680869.204555
2022-01-12,15702096615.397133,,317446065.6545475,,2922433004.3991785,42780425.96837628,669680824.1382381,758726338.7177895
2022-01-13,16034037413.140495,,266120495.43907583,,3036287179.983528,64729060.55099019,662438998.0468153,742203947.0495112
2022-01-14,15012882937.045227,,214515856.77511805,,3027392806.385931,97847186.8981306,655426949.5636898,738420374.926586
2022-01-15,9342585054.12376,,73525485.8777246,,2145397395.557454,64575552.20153207,407754841.2690244,207303022.72318512
2022-01-16,10236940262.84735,,76760665.44458292,,2144380561.484488,63013182.01511247,439736909.7297243,231259515.8427176
2022-01-17,13545308373.777435,,227688586.02600032,,3468930643.349819,73187815.4656136,663876027.8046564,639701171.2457018
