date,Bitcoin,Ethereum,Ripple,Solana
2024-01-11,27598104354.03643,,,
2024-01-12,25762918335.55912,,,
2024-01-13,25735617135.61964,,,
2024-01-14,25106443465.21876,,,
2024-01-15,25578772347.87861,,,
2024-01-16,25862818883.57457,,,
2024-01-17,26056394833.9278,,,
2024-01-18,25043759567.61025,,,
2024-01-19,25293448377.671608,,,
2024-01-20,25308749459.738228,,,
2024-01-21,25257551052.30419,,,
2024-01-22,23931548321.5192,,,
2024-01-23,24024585878.315792,,,
2024-01-24,24041323225.14569,,,
2024-01-25,23850444368.73516,,,
2024-01-26,26584855951.42,,,
2024-01-27,26898487321.41069,,,
2024-01-28,26839075132.5834,,,
2024-01-29,27472644453.73,,,
2024-01-30,28013194498.26,,,
2024-01-31,27431394157.75,,,
2024-02-01,27875724354.8,,,
2024-02-02,27945444607.9,,,
2024-02-03,28200578250.808662,,,
2024-02-04,27952877695.93613,,,
2024-02-05,27904768213.16,,,
2024-02-06,28396731988.360004,,,
2024-02-07,29152765655.710003,,,
2024-02-08,30371855491.8,,,
2024-02-09,32133383435.28,,,
2024-02-10,32468936171.23942,,,
2024-02-11,32755015838.372864,,,
2024-02-12,34538444335.990005,,,
2024-02-13,34878499040.73,,,
2024-02-14,36597227044.04,,,
2024-02-15,37328135090.86,,,
2024-02-16,37633437655.32,,,
2024-02-17,37622324528.33752,,,
2024-02-18,37952778277.15249,,,
2024-02-19,35583399700.9088,,,
2024-02-20,37877149594.86,,,
2024-02-21,37249207255.85999,,,
2024-02-22,37822609338.66,,,
2024-02-23,37613657399.86,,,
2024-02-24,37978211332.38141,,,
2024-02-25,38124654284.79335,,,
2024-02-26,40081239987.49,,,
2024-02-27,42264382072.6,,,
2024-02-28,45425890470.76,,,
2024-02-29,47397432534.490005,,,
2024-03-01,48345858137.380005,,,
2024-03-02,48055801516.55796,,,
2024-03-03,48818618652.42466,,,
2024-03-04,51759609513.53,,,
2024-03-05,48017410049.98,,,
2024-03-06,52544338667.07,,,
2024-03-07,53467909257.94,,,
2024-03-08,54788403843.920006,,,
2024-03-09,55105152210.61542,,,
2024-03-10,55561758005.05234,,,
2024-03-11,57694376367.35,,,
2024-03-12,57612998342.82,,,
2024-03-13,60170681967.61,,,
2024-03-14,57612352531.87,,,
2024-03-15,57805051698.99999,,,
2024-03-16,54482376430.39341,,,
2024-03-17,57096755577.52976,,,
2024-03-18,56067044413.09,,,
2024-03-19,53965609583.41,,,
2024-03-20,54337505224.57,,,
2024-03-21,53869758153.10999,,,
2024-03-22,52690061884.0,,,
2024-03-23,52963230637.55808,,,
2024-03-24,55455590137.96948,,,
2024-03-25,57931075949.61564,,,
2024-03-26,57131134172.7,,,
2024-03-27,56673646472.4,,,
2024-03-28,58910993860.15749,,,
2024-03-29,55701379522.298,,,
2024-03-30,55524271429.41682,,,
2024-03-31,56754720774.67478,,,
2024-04-01,58024145785.4,,,
2024-04-02,55188755325.21001,,,
2024-04-03,54950395972.62,,,
2024-04-04,57118691811.91,,,
2024-04-05,56703203786.44,,,
2024-04-06,58211241492.34036,,,
2024-04-07,58549811497.357765,,,
2024-04-08,60191170219.58,,,
2024-04-09,57949060018.58,,,
2024-04-10,58506518316.75,,,
2024-04-11,59030303735.490005,,,
2024-04-12,56405478283.88,,,
2024-04-13,54258307428.06014,,,
2024-04-14,55393800324.22803,,,
2024-04-15,53329660332.9,,,
2024-04-16,52775583407.06,,,
2024-04-17,51306677557.37,,,
2024-04-18,52972111774.38,,,
2024-04-19,53689485104.67999,,,
2024-04-20,54329836710.4838,,,
2024-04-21,54365000988.33756,,,
2024-04-22,55499788971.2,,,
2024-04-23,55755321910.41,,,
2024-04-24,53860351353.86,,,
2024-04-25,54089654954.21,,,
2024-04-26,53279202739.67999,,,
2024-04-27,52927878627.120735,,,
2024-04-28,52522223589.299736,,,
2024-04-29,52313569902.46999,,,
2024-04-30,49655698513.57001,,,
2024-05-01,47716354354.25,,,
2024-05-02,48647043470.94,,,
2024-05-03,50592525602.8,,,
2024-05-04,52369002018.091934,,,
2024-05-05,52524546165.5332,,,
2024-05-06,51849199236.51999,,,
2024-05-07,52112561694.09,,,
2024-05-08,51526734154.5,,,
2024-05-09,51616159319.55,,,
2024-05-10,50243886025.630005,,,
2024-05-11,50209384312.41888,,,
2024-05-12,50812523341.81268,,,
2024-05-13,51980287670.02,,,
2024-05-14,50903825140.82,,,
2024-05-15,54559358971.55,,,
2024-05-16,54278586704.73,,,
2024-05-17,55913179632.86,,,
2024-05-18,56119889975.49213,,,
2024-05-19,55566424068.788895,,,
2024-05-20,58351576563.28,,,
2024-05-21,58513706965.9,,,
2024-05-22,59002534516.63,,,
2024-05-23,57209651850.28,,,
2024-05-24,58243874018.675964,,,
2024-05-25,59169586314.71832,,,
2024-05-26,58520718360.26032,,,
2024-05-27,56735634712.00482,,,
2024-05-28,57982925740.1,,,
2024-05-29,57532368898.79,,,
2024-05-30,58402580667.72,,,
2024-05-31,57831915586.93,,,
2024-06-01,58216139832.95464,,,
2024-06-02,58246828598.703445,,,
2024-06-03,59234653119.8,,,
2024-06-04,60480410181.99,,,
2024-06-05,61660730897.06,,,
2024-06-06,61770487229.127945,,,
2024-06-07,60956641030.0182,,,
2024-06-08,61245552484.6374,,,
2024-06-09,61545136679.50075,,,
2024-06-10,61471842896.60785,,,
2024-06-11,59340759506.3732,,,
2024-06-12,59863029326.83,,,
2024-06-13,58772409432.27,,,
2024-06-14,57605454792.49,,,
2024-06-15,58068191748.313965,,,
2024-06-16,58441083762.39945,,,
2024-06-17,58400073690.25,,,
2024-06-18,56297214267.17594,,,
2024-06-19,54072731168.11152,,,
2024-06-20,56566655357.72,,,
2024-06-21,55734025738.68,,,
2024-06-22,55761743090.26627,,,
2024-06-23,54877621180.3732,,,
2024-06-24,50075708695.02084,,,
2024-06-25,53483758092.42,,,
2024-06-26,52583823898.11,,,
2024-06-27,53062760510.0,,,
2024-06-28,52080273988.38,,,
2024-06-29,52659207834.62447,,,
