date,USDT,USDC,DAI,cUSD,USD1,CASH,jupUSD,PYUSD,EURC,BUSD,Other (81)
2017-11-30,3,0,0,0,0,0,0,0,0,0,0
2017-12-31,7,0,0,0,0,0,0,0,0,0,0
2018-01-31,107,0,0,0,0,0,0,0,0,0,0
2018-02-28,277,0,0,0,0,0,0,0,0,0,0
2018-03-31,234,0,0,0,0,0,0,0,0,0,0
2018-04-30,567,0,0,0,0,0,0,0,0,0,0
2018-05-31,732,0,0,0,0,0,0,0,0,0,0
2018-06-30,881,0,0,0,0,0,0,0,0,0,32
2018-07-31,1654,0,0,0,0,0,0,0,0,0,107
2018-08-31,638,0,0,0,0,0,0,0,0,0,76
2018-09-30,1045,44,0,0,0,0,0,0,0,0,373
2018-10-31,831,733,0,0,0,0,0,0,0,0,1653
2018-11-30,1061,7083,0,0,0,0,0,0,0,0,4268
2018-12-31,1270,14107,0,0,0,0,0,0,0,0,4949
2019-01-31,864,15784,0,0,0,0,0,0,0,0,11139
2019-02-28,874,16368,0,0,0,0,0,0,0,0,11350
2019-03-31,2052,18683,0,0,0,0,0,0,0,0,11642
2019-04-30,11480,26089,0,0,0,0,0,0,0,0,13370
2019-05-31,27365,46499,0,0,0,0,0,0,0,0,26874
2019-06-30,97088,48896,0,0,0,0,0,0,0,0,31894
2019-07-31,204193,42119,0,0,0,0,0,0,0,0,32639
2019-08-31,433764,34507,0,0,0,0,0,0,0,0,28108
2019-09-30,600494,32901,0,0,0,0,0,0,0,50,24412
2019-10-31,510374,38764,0,0,0,0,0,0,0,221,25892
2019-11-30,487909,39090,5281,0,0,0,0,0,0,341,29349
2019-12-31,450770,37557,19518,0,0,0,0,0,0,309,33630
2020-01-31,410310,48101,33801,0,0,0,0,0,0,395,57842
2020-02-29,502713,65597,46607,0,0,0,0,0,0,887,85302
2020-03-31,714360,84381,49693,0,0,0,0,0,0,1720,151291
2020-04-30,835184,81800,39065,1,0,0,0,0,0,1665,216402
2020-05-31,1118616,96220,41176,1,0,0,0,0,0,1564,317463
2020-06-30,1704694,109569,54205,65,0,0,0,0,0,1625,208437
2020-07-31,1461496,138462,79777,264,0,0,0,0,0,1812,90687
2020-08-31,1651089,187407,84680,408,0,0,0,0,0,1871,35181
2020-09-30,1696477,170435,100193,1299,0,0,0,0,0,13696,31638
2020-10-31,2253037,353170,102016,1331,0,0,0,0,0,16931,32180
2020-11-30,1841378,594165,100583,1467,0,0,0,0,0,12969,62499
2020-12-31,2011549,388273,122425,5517,0,0,0,0,0,19761,44337
2021-01-31,2169087,370563,151300,22242,0,0,0,0,0,47170,41388
2021-02-28,2402628,463605,146686,23363,0,0,0,0,0,204670,33038
2021-03-31,3759620,580742,140833,30480,0,0,0,0,0,411439,28060
2021-04-30,4579136,1065257,150078,258671,0,0,0,0,0,649122,36037
2021-05-31,6687317,990553,167808,114787,0,0,0,0,0,837181,38593
2021-06-30,4744028,898444,195029,28648,0,0,0,0,0,664039,35747
2021-07-31,4404079,853825,139946,29567,0,0,0,0,0,619893,27444
2021-08-31,5368228,991106,138905,28002,0,0,0,0,0,872491,25603
2021-09-30,5920242,1531373,166866,37928,0,0,0,0,0,1178961,28877
2021-10-31,7013952,1913816,156889,59732,0,0,0,0,0,1566767,41824
2021-11-30,8900482,2109403,202916,64343,0,0,0,0,0,2092231,103182
2021-12-31,8501933,1827512,210241,83885,0,0,0,0,0,2107434,129788
2022-01-31,7785259,1378121,146994,66923,0,0,0,0,0,1713545,112106
2022-02-28,6875407,1230466,123047,43066,0,0,0,0,0,1343911,58772
2022-03-31,7690930,1343083,136209,65933,0,0,0,0,0,1310136,52321
2022-04-30,8853779,1512497,124077,74142,0,0,0,0,0,1352360,42628
2022-05-31,9459156,2048736,155987,45708,0,0,0,0,5,1081653,49814
2022-06-30,8321793,1974392,196436,37999,0,0,0,0,43,940951,43606
2022-07-31,8355894,1459635,285980,34130,0,0,0,0,272,855341,36903
2022-08-31,8611806,1438047,336269,40729,0,0,0,0,1339,987937,43699
2022-09-30,9306563,1175269,365438,25285,0,0,0,0,381,984081,57046
2022-10-31,8368491,1138726,344741,28632,0,0,0,0,521,937001,81481
2022-11-30,12293730,1627776,421265,22710,0,0,0,9,449,1211919,106872
2022-12-31,14440326,1679194,510097,21459,0,0,0,0,277,1240721,178252
2023-01-31,11361854,1960537,557793,21526,0,0,0,15,257,1176882,184682
2023-02-28,10267334,1649340,312446,63185,0,0,0,11,302,1273753,61891
2023-03-31,12330769,1977063,395460,86335,0,0,0,35,1049,1644859,72978
2023-04-30,12586371,1768756,315706,19607,0,0,0,0,497,946862,66942
2023-05-31,13660135,2107842,256739,18402,0,0,0,0,549,808716,54347
2023-06-30,14118989,2315861,253668,15257,0,0,0,6,874,605899,141642
2023-07-31,13683439,2531096,322937,20064,0,0,0,2,2001,725872,143829
2023-08-31,13564379,2223131,242349,10042,0,0,0,281,850,620531,101894
2023-09-30,13415243,1941797,209897,43850,0,0,0,730,1533,425162,74389
2023-10-31,14060966,2053389,233625,82096,0,0,0,1004,1285,284043,70501
2023-11-30,14373447,2362674,247780,254216,0,0,0,1329,2590,241721,75546
2023-12-31,14283511,3516126,297046,354803,0,0,0,2042,6693,360244,75222
2024-01-31,14116183,3873826,355649,343133,0,0,0,2151,5717,446484,72314
2024-02-29,14701389,4049644,338037,399089,0,0,0,2488,5450,518452,91876
2024-03-31,19445375,5195582,425221,335922,0,0,0,3509,10630,128126,137683
2024-04-30,17222427,5035529,409284,487785,0,0,0,4073,7535,95980,168643
2024-05-31,18752610,5020670,395117,617625,0,0,0,5202,5949,84376,168102
2024-06-30,17900410,4560805,382716,1044379,0,0,0,7544,10537,87199,97242
2024-07-31,17504052,4306484,359193,876427,0,0,0,17067,10440,78503,91490
2024-08-31,16920847,3836554,828694,744292,0,0,0,28058,9054,74584,86773
2024-09-30,18549777,3950832,277367,920695,0,0,0,27607,10659,72683,72696
2024-10-31,19188589,5337895,228885,879132,0,0,0,35411,15145,69095,97918
2024-11-30,20437733,6542690,257491,973261,0,0,0,37142,26669,75488,199082
2024-12-31,22505563,7418690,181203,1067742,0,0,0,43201,22605,76986,348598
2025-01-31,22376408,8573272,164119,822697,0,0,0,48324,34936,64207,2008817
2025-02-28,20582811,7223986,275078,693122,0,0,0,34889,23812,58552,2339831
2025-03-31,24734453,7608997,313654,514637,22,0,0,44251,27853,52870,427009
2025-04-30,21110567,8065507,281416,452403,1283,0,0,46291,44988,44284,282642
2025-05-31,25701210,9263141,363754,397822,52369,0,0,48689,34109,57580,350071
