date,Active Receiving Addresses
2009-01-03,1
2009-01-04,0
2009-01-05,0
2009-01-06,0
2009-01-07,0
2009-01-08,0
2009-01-09,14
2009-01-10,61
2009-01-11,93
2009-01-12,102
2009-01-13,123
2009-01-14,130
2009-01-15,134
2009-01-16,110
2009-01-17,109
2009-01-18,108
2009-01-19,117
2009-01-20,115
2009-01-21,103
2009-01-22,92
2009-01-23,86
2009-01-24,202
2009-01-25,192
2009-01-26,97
2009-01-27,98
2009-01-28,112
2009-01-29,122
2009-01-30,117
2009-01-31,139
2009-02-01,114
2009-02-02,129
2009-02-03,153
2009-02-04,119
2009-02-05,126
2009-02-06,122
2009-02-07,134
2009-02-08,133
2009-02-09,135
2009-02-10,120
2009-02-11,135
2009-02-12,119
2009-02-13,124
2009-02-14,136
2009-02-15,131
2009-02-16,123
2009-02-17,117
2009-02-18,118
2009-02-19,125
2009-02-20,122
2009-02-21,114
2009-02-22,125
2009-02-23,108
2009-02-24,106
2009-02-25,105
2009-02-26,107
2009-02-27,116
2009-02-28,100
2009-03-01,105
2009-03-02,108
2009-03-03,106
2009-03-04,106
2009-03-05,113
2009-03-06,117
2009-03-07,109
2009-03-08,118
2009-03-09,108
2009-03-10,107
2009-03-11,114
2009-03-12,119
2009-03-13,114
2009-03-14,110
2009-03-15,123
2009-03-16,122
2009-03-17,114
2009-03-18,115
2009-03-19,122
2009-03-20,119
2009-03-21,50
2009-03-22,120
2009-03-23,130
2009-03-24,105
2009-03-25,117
2009-03-26,118
2009-03-27,106
2009-03-28,120
2009-03-29,116
2009-03-30,120
2009-03-31,111
2009-04-01,114
2009-04-02,115
2009-04-03,116
2009-04-04,113
2009-04-05,131
2009-04-06,109
2009-04-07,100
2009-04-08,105
2009-04-09,99
2009-04-10,108
2009-04-11,121
2009-04-12,120
2009-04-13,117
2009-04-14,124
2009-04-15,113
2009-04-16,123
2009-04-17,112
2009-04-18,129
2009-04-19,120
2009-04-20,121
2009-04-21,125
2009-04-22,121
2009-04-23,75
2009-04-24,115
2009-04-25,118
2009-04-26,113
2009-04-27,104
2009-04-28,117
2009-04-29,129
2009-04-30,131
2009-05-01,121
2009-05-02,130
2009-05-03,110
2009-05-04,129
2009-05-05,136
2009-05-06,135
2009-05-07,122
2009-05-08,107
2009-05-09,78
2009-05-10,85
2009-05-11,122
2009-05-12,130
2009-05-13,116
2009-05-14,143
2009-05-15,137
2009-05-16,119
2009-05-17,127
2009-05-18,118
2009-05-19,86
2009-05-20,120
2009-05-21,82
2009-05-22,61
2009-05-23,32
2009-05-24,100
2009-05-25,109
2009-05-26,125
2009-05-27,119
2009-05-28,95
2009-05-29,107
2009-05-30,109
2009-05-31,96
2009-06-01,73
2009-06-02,111
2009-06-03,71
2009-06-04,66
2009-06-05,30
2009-06-06,28
2009-06-07,16
2009-06-08,82
2009-06-09,91
2009-06-10,82
2009-06-11,89
2009-06-12,86
2009-06-13,78
2009-06-14,72
2009-06-15,84
2009-06-16,71
2009-06-17,79
2009-06-18,80
2009-06-19,87
2009-06-20,78
2009-06-21,81
2009-06-22,77
2009-06-23,76
2009-06-24,98
2009-06-25,69
2009-06-26,90
2009-06-27,84
2009-06-28,48
2009-06-29,85
2009-06-30,86
2009-07-01,75
2009-07-02,85
2009-07-03,82
2009-07-04,89
2009-07-05,79
2009-07-06,84
2009-07-07,69
2009-07-08,74
2009-07-09,86
2009-07-10,81
2009-07-11,83
2009-07-12,77
2009-07-13,78
2009-07-14,69
2009-07-15,45
2009-07-16,71
2009-07-17,47
2009-07-18,4
2009-07-19,70
2009-07-20,72
2009-07-21,82
2009-07-22,60
2009-07-23,76
2009-07-24,73
2009-07-25,32
2009-07-26,21
2009-07-27,74
2009-07-28,41
2009-07-29,20
2009-07-30,17
2009-07-31,17
2009-08-01,28
2009-08-02,23
2009-08-03,12
2009-08-04,81
2009-08-05,87
