date,Short Liquidations USD
2018-12-20,1000.0
2018-12-21,2100.0
2018-12-22,12651.0
2018-12-23,54932.0
2018-12-24,266446.0
2018-12-25,491470.0
2018-12-26,756123.0
2018-12-27,297595.0
2018-12-28,1254328.0
2018-12-29,40486.0
2018-12-30,509272.0
2018-12-31,66064.0
2019-01-01,236074.0
2019-01-02,319506.0
2019-01-03,30023.0
2019-01-04,62941.0
2019-01-05,57326.0
2019-01-06,378480.0
2019-01-07,133045.0
2019-01-08,261822.0
2019-01-09,69915.0
2019-01-10,18101.0
2019-01-11,194034.0
2019-01-12,63402.0
2019-01-13,13135.0
2019-01-14,355489.0
2019-01-15,10264.0
2019-01-16,123867.0
2019-01-17,176270.0
2019-01-18,99216.0
2019-01-19,391051.0
2019-01-20,10160.0
2019-01-21,34149.0
2019-01-22,342024.0
2019-01-23,228623.0
2019-01-24,12672.0
2019-01-25,1134.0
2019-01-26,407667.0
2019-01-27,2.0
2019-01-28,64616.0
2019-01-29,9071.0
2019-01-30,378194.0
2019-01-31,69587.0
2019-02-01,29640.0
2019-02-02,137279.0
2019-02-03,12414.0
2019-02-04,0.0
2019-02-05,0.0
2019-02-06,532.0
2019-02-07,0.0
2019-02-08,823655.0
2019-02-09,89491.0
2019-02-10,117054.0
2019-02-11,0.0
2019-02-12,5185.0
2019-02-13,6042.0
2019-02-14,0.0
2019-02-15,33118.0
2019-02-16,39258.0
2019-02-17,39275.0
2019-02-18,1599161.0
2019-02-19,1375719.0
2019-02-20,100823.0
2019-02-21,82931.0
2019-02-22,37622.0
2019-02-23,1152818.0
2019-02-24,341463.0
2019-02-25,119335.0
2019-02-26,47055.0
2019-02-27,129945.0
2019-02-28,477456.0
2019-03-01,17644.0
2019-03-02,23556.0
2019-03-03,0.0
2019-03-04,21752.0
2019-03-05,726674.0
2019-03-06,127274.0
2019-03-07,150762.0
2019-03-08,200650.0
2019-03-09,547753.0
2019-03-10,42748.0
2019-03-11,414.0
2019-03-12,70603.0
2019-03-13,10570.0
2019-03-14,104923.0
2019-03-15,106420.0
2019-03-16,522912.0
2019-03-17,4167.0
2019-03-18,27948.0
2019-03-19,142090.0
2019-03-20,342679.0
2019-03-21,97896.0
2019-03-22,3600.0
2019-03-23,8700.0
2019-03-24,0.0
2019-03-25,0.0
2019-03-26,14700.0
2019-03-27,1005196.0
2019-03-28,23.0
2019-03-29,862766.0
2019-03-30,95341.0
2019-03-31,3009.0
2019-04-01,547625.0
2019-04-02,519723024.0
2019-04-03,48995742.0
2019-04-04,9102552.0
2019-04-05,11582513.0
2019-04-06,24621389.0
2019-04-07,15523602.0
2019-04-08,9139771.0
2019-04-09,1895708.0
2019-04-10,56116440.0
2019-04-11,1466420.0
2019-04-12,6880851.0
2019-04-13,1751783.0
2019-04-14,11896900.0
2019-04-15,627502.0
2019-04-16,28712138.0
2019-04-17,9585904.0
2019-04-18,7516079.0
2019-04-19,13095546.0
2019-04-20,3852201.0
2019-04-21,1792163.0
2019-04-22,27893095.0
2019-04-23,77917965.0
2019-04-24,5292379.0
2019-04-25,3515548.0
2019-04-26,5583866.0
2019-04-27,5681418.0
2019-04-28,861858.0
2019-04-29,5040350.0
2019-04-30,18005427.0
2019-05-01,13043304.0
2019-05-02,8716170.0
2019-05-03,96377381.0
2019-05-04,30309236.0
2019-05-05,3471149.0
2019-05-06,2909079.0
2019-05-07,38249769.0
2019-05-08,14431294.0
2019-05-09,35648775.0
2019-05-10,33509259.0
2019-05-11,188318635.0
2019-05-12,37344893.0
2019-05-13,129858664.0
2019-05-14,37251950.0
2019-05-15,29571538.0
2019-05-16,20703160.0
2019-05-17,33994757.0
2019-05-18,7464368.0
2019-05-19,86368592.0
2019-05-20,31284555.0
2019-05-21,15868057.0
2019-05-22,12837081.0
2019-05-23,28555443.0
2019-05-24,25265786.0
2019-05-25,7811148.0
2019-05-26,138495293.0
2019-05-27,32410598.0
2019-05-28,7962145.0
2019-05-29,9776204.0
2019-05-30,48368662.0
2019-05-31,13260972.0
2019-06-01,5796315.0
2019-06-02,25653461.0
2019-06-03,7863776.0
2019-06-04,11337606.0
2019-06-05,24180250.0
2019-06-06,11161229.0
2019-06-07,32973972.0
2019-06-08,2380847.0
2019-06-09,1130389.0
2019-06-10,43227794.0
2019-06-11,6850464.0
2019-06-12,53427448.0
2019-06-13,12774106.0
2019-06-14,77112829.0
2019-06-15,25915413.0
2019-06-16,113050639.0
2019-06-17,30959808.0
2019-06-18,6567954.0
2019-06-19,21037727.0
2019-06-20,33273404.0
2019-06-21,140060773.0
2019-06-22,171827128.0
2019-06-23,25142032.0
2019-06-24,17559129.0
2019-06-25,34779440.0
2019-06-26,243599603.0
2019-06-27,47299174.0
2019-06-28,54669910.0
2019-06-29,37667882.0
2019-06-30,14032316.0
2019-07-01,27256915.0
2019-07-02,67808749.0
2019-07-03,86369596.0
2019-07-04,15266881.0
2019-07-05,21900771.0
2019-07-06,32194610.0
2019-07-07,33127314.0
2019-07-08,87126157.0
2019-07-09,50700612.0
2019-07-10,50423929.0
2019-07-11,22065340.0
2019-07-12,53285110.0
2019-07-13,23257541.0
2019-07-14,11457928.0
2019-07-15,42140117.0
2019-07-16,16811861.0
2019-07-17,25308203.0
2019-07-18,92161197.0
2019-07-19,16650908.0
2019-07-20,43109799.0
2019-07-21,4959034.0
2019-07-22,7897826.0
2019-07-23,13018808.0
2019-07-24,12882882.0
2019-07-25,37538486.0
2019-07-26,5377880.0
2019-07-27,43849219.0
2019-07-28,21420919.0
2019-07-29,11414606.0
2019-07-30,23558717.0
2019-07-31,41279961.0
2019-08-01,60144407.0
2019-08-02,17297793.0
2019-08-03,30896955.0
2019-08-04,33685626.36542501
2019-08-05,105637900.336925
2019-08-06,68298865.410675
2019-08-07,45176936.182375
2019-08-08,16697878.89865
2019-08-09,9518435.0
2019-08-10,8123874.0
2019-08-11,15272021.112625
2019-08-12,1223886.0
2019-08-13,1088276.872125
2019-08-14,8413306.0
2019-08-15,49464927.9316
2019-08-16,38821459.06095
2019-08-17,4137674.459525
2019-08-18,8677269.806825
2019-08-19,46688261.58215
2019-08-20,5235718.177375
2019-08-21,5771797.9328
2019-08-22,17787856.24615
2019-08-23,24191917.90635
2019-08-24,5219405.4372
2019-08-25,22961343.0
2019-08-26,51812593.897575
2019-08-27,2602735.0
2019-08-28,10487102.49255
2019-08-29,5628400.0
2019-08-30,8280827.042175
2019-08-31,4366554.473075
2019-09-01,30507687.1779
2019-09-02,86113408.68445
2019-09-03,30602152.468025
2019-09-04,30607092.741025
2019-09-05,3099452.44475
2019-09-06,26626833.254375
2019-09-07,5482503.752375
2019-09-08,3090497.139325
2019-09-09,27379029.74245
2019-09-10,2205874.0
2019-09-11,17632990.0
2019-09-12,19702578.266325
2019-09-13,2269239.66075
2019-09-14,2338991.860175
2019-09-15,35850.0
2019-09-16,9950589.3916
2019-09-17,1662991.0
2019-09-18,1451002.0
2019-09-19,71378947.261175
2019-09-20,1042228.509075
2019-09-21,1481386.060325
2019-09-22,9919934.66315
2019-09-23,5960618.31577
2019-09-24,13781908.77035886
2019-09-25,15058466.33692869
2019-09-26,21304277.24046128
2019-09-27,8855484.1375
2019-09-28,15244432.497005
2019-09-29,4700463.69935
2019-09-30,26012001.868335
2019-10-01,8098432.3501
2019-10-02,5123940.8044
2019-10-03,7060493.045725
2019-10-04,2896119.7892
2019-10-05,3021122.5554
2019-10-06,4413440.79355
2019-10-07,24972525.73045
2019-10-08,3384098.878625
2019-10-09,61295278.991125
2019-10-10,2661906.79565
2019-10-11,24128310.4733
2019-10-12,2373094.09682
2019-10-13,3170357.55196123
2019-10-14,3453745.8005
2019-10-15,3945394.275125
2019-10-16,2170138.9269
2019-10-17,2329760.22275
2019-10-18,2968227.217575
2019-10-19,13199463.01415
2019-10-20,25852259.18385
2019-10-21,4264174.95025
2019-10-22,2312793.5269
2019-10-23,1599672.82073198
2019-10-24,809398.5968
2019-10-25,200687628.8535356
2019-10-26,227445486.56418028
2019-10-27,37902294.99570252
2019-10-28,12007284.56122521
2019-10-29,14067153.8044
2019-10-30,4737883.598075
2019-10-31,17237225.34975
2019-11-01,12354851.3279
2019-11-02,10062804.985625
2019-11-03,1682958.0383
2019-11-04,39488670.759975
2019-11-05,5572979.694975
2019-11-06,1699228.9316
2019-11-07,1997617.496825
2019-11-08,6758623.943175
2019-11-09,1504936.15285
2019-11-10,31657977.03359754
2019-11-11,3711361.807425
2019-11-12,13937284.130775
2019-11-13,2478094.897125
2019-11-14,2011653.7744
2019-11-15,19184280.376725
2019-11-16,2331193.121025
2019-11-17,8698731.63605
2019-11-18,2082965.043175
2019-11-19,4163654.1223
2019-11-20,8074301.192
2019-11-21,5374644.3519
2019-11-22,25552606.35567391
2019-11-23,4694488.7001
2019-11-24,9855840.1428711
2019-11-25,37382074.6707069
2019-11-26,8488761.5887368
2019-11-27,44061147.85849001
2019-11-28,5354645.167225
2019-11-29,25236119.07880221
2019-11-30,2246369.85525
2019-12-01,3284332.970725
2019-12-02,3997922.350775
2019-12-03,3076153.77195
2019-12-04,84712623.44241986
2019-12-05,21631473.73352
2019-12-06,28301022.31476
2019-12-07,4402642.421715
2019-12-08,3360368.026575
2019-12-09,15636684.62254931
2019-12-10,2106084.79129
2019-12-11,1721182.97399
2019-12-12,18106025.95522392
2019-12-13,1993738.23802
2019-12-14,881274.36825
2019-12-15,15486271.08211
2019-12-16,4091676.26899
2019-12-17,8715027.662105
2019-12-18,104310730.01948
2019-12-19,4560367.293725
2019-12-20,5145124.92771
2019-12-21,573450.784395
2019-12-22,44491827.69324
2019-12-23,34989591.70167
2019-12-24,5550561.76683
2019-12-25,3126133.30436534
2019-12-26,14681417.172705
2019-12-27,6884147.36083
2019-12-28,6955106.01394
2019-12-29,20557528.074055
2019-12-30,1181596.256285
2019-12-31,4777167.499365
2020-01-01,1646035.744825
2020-01-02,1111588.74672
2020-01-03,54652473.43961171
2020-01-04,4890047.71308
2020-01-05,11175800.856765
2020-01-06,54492430.95983
2020-01-07,67050059.08643226
2020-01-08,39011749.71505409
2020-01-09,8561142.35684
2020-01-10,36551902.32824715
2020-01-11,20957631.56967
2020-01-12,4896321.200855
2020-01-13,1175033.04259
2020-01-14,125851520.05164485
2020-01-15,15526034.03851
2020-01-16,6713151.56921
2020-01-17,33044277.37167605
2020-01-18,2351142.91476
2020-01-19,41579356.0424634
2020-01-20,7021530.131415
2020-01-21,7170681.564275
2020-01-22,2918935.2093
2020-01-23,4343773.89344264
2020-01-24,14414088.51959
2020-01-25,3635370.814065
2020-01-26,24552162.7275301
2020-01-27,60780812.90589125
2020-01-28,101005298.35152304
2020-01-29,10150026.152885
2020-01-30,29359246.542845
2020-01-31,3545218.74118
2020-02-01,3740163.659765
2020-02-02,6857857.66021675
2020-02-03,19768919.6388788
2020-02-04,4461305.196495
2020-02-05,72363403.0442023
2020-02-06,15048024.002895
2020-02-07,5618242.889103
2020-02-08,12642088.7045067
2020-02-09,56018551.84196
2020-02-10,5034673.423475
2020-02-11,83604586.38033
2020-02-12,24122456.12966071
2020-02-13,17022490.96566
2020-02-14,6558720.59885
2020-02-15,1614198.254395
2020-02-16,12569455.07705255
2020-02-17,6055889.44728
2020-02-18,38178267.36740733
2020-02-19,11976898.54464646
2020-02-20,5604082.041595
2020-02-21,5295617.832665
2020-02-22,1672324.20509939
2020-02-23,32423473.42738
2020-02-24,6018730.351955
2020-02-25,7420334.405675
2020-02-26,11084048.493985
2020-02-27,20129267.335045
2020-02-28,24852119.676405
2020-02-29,1680518.03326
2020-03-01,12322158.12564
2020-03-02,19693648.824335
2020-03-03,6115698.352065
2020-03-04,1662816.301985
2020-03-05,28444135.26401442
2020-03-06,4907976.53069
2020-03-07,5852951.02055846
2020-03-08,6909960.42416461
2020-03-09,26287515.17064676
2020-03-10,22059983.324585
2020-03-11,16963295.35630221
2020-03-12,87640835.23515654
2020-03-13,127261461.7778228
2020-03-14,21656465.27465
2020-03-15,54240899.34990054
2020-03-16,69329273.3654941
2020-03-17,43536530.50859096
2020-03-18,29476704.46732668
2020-03-19,98415313.24298924
2020-03-20,66747420.80966565
2020-03-21,27699492.919645
2020-03-22,18535290.74412191
2020-03-23,58860428.31833056
2020-03-24,36022902.44589527
2020-03-25,25595609.089825
2020-03-26,10916920.004755
2020-03-27,8609814.982705
2020-03-28,19081537.63803
2020-03-29,6430813.51365
2020-03-30,80481572.48272629
2020-03-31,6867902.9157
2020-04-01,55336869.43896774
2020-04-02,86694994.2873474
2020-04-03,18293860.70974
2020-04-04,35683298.93389
2020-04-05,5897920.99192
2020-04-06,52675847.84749303
2020-04-07,21392592.44028482
2020-04-08,16657220.11350429
2020-04-09,4986300.45022401
2020-04-10,5703158.203807
2020-04-11,3864389.60428
2020-04-12,27947608.70607
2020-04-13,15603422.75712181
2020-04-14,8614737.48542
2020-04-15,2621296.23739
2020-04-16,51578948.55228322
2020-04-17,5777347.71296
2020-04-18,24161937.87858262
2020-04-19,3497940.64159
2020-04-20,9913799.1067
2020-04-21,6801679.67661
2020-04-22,29803853.20266875
2020-04-23,94734146.82168
2020-04-24,5710118.68844
2020-04-25,14641830.46883
2020-04-26,11410817.26194236
2020-04-27,19148066.86093084
2020-04-28,2160794.01659
2020-04-29,175356201.2534921
2020-04-30,87635421.29769461
2020-05-01,15987891.19784355
2020-05-02,10205100.67108499
2020-05-03,19876660.65126384
2020-05-04,16097335.08358379
2020-05-05,20939134.54311636
2020-05-06,37593028.83690551
2020-05-07,63669258.95336477
2020-05-08,8366636.60139226
2020-05-09,5431824.97443687
2020-05-10,43133831.84678785
2020-05-11,45109121.87314911
2020-05-12,16006474.95106
2020-05-13,34416773.66534993
2020-05-14,65193059.42636847
2020-05-15,15704381.32146
2020-05-16,12288626.23865424
2020-05-17,34700896.07532202
2020-05-18,16540157.97015414
2020-05-19,14888425.04697
2020-05-20,5898325.28549
2020-05-21,9395330.40743
2020-05-22,9841731.65561
2020-05-23,4969017.62495469
2020-05-24,8832711.36206
2020-05-25,14977995.58126
2020-05-26,8226212.46924
2020-05-27,53773955.82524454
2020-05-28,59416475.50914733
2020-05-29,4068406.92195
2020-05-30,37605130.29340106
2020-05-31,1628737.12491
2020-06-01,231853786.90854484
2020-06-02,8884702.36713
2020-06-03,10922509.72609
2020-06-04,25471524.48186
2020-06-05,1889556.65073
2020-06-06,6536488.77357
2020-06-07,18371824.112
2020-06-08,6535898.09676
2020-06-09,11570469.71753512
2020-06-10,30927109.30895
2020-06-11,10119503.86408
2020-06-12,9921327.95084
2020-06-13,3472107.23225
2020-06-14,2923704.65562
2020-06-15,31665889.23399
2020-06-16,16693600.6486017
2020-06-17,4395050.40375329
2020-06-18,1784538.77041
2020-06-19,4991988.57828
2020-06-20,10437900.82173
2020-06-21,1394545.95929
2020-06-22,56289133.09291755
2020-06-23,969692.5349
2020-06-24,2390755.6204
2020-06-25,11306836.8842803
2020-06-26,9552594.14375
2020-06-27,11532996.71464
2020-06-28,16565853.53376597
2020-06-29,9326970.537905
2020-06-30,674410.19628
2020-07-01,13021311.28709
2020-07-02,3305883.87763
2020-07-03,278480.56262
2020-07-04,12201673.35786
2020-07-05,3958899.2766
2020-07-06,31491616.40777366
2020-07-07,1494526.48217
2020-07-08,29601888.49613472
2020-07-09,938104.92257
2020-07-10,14461335.10549461
2020-07-11,392308.94697
2020-07-12,16636241.97044
2020-07-13,1838349.97078
2020-07-14,2433885.39758
2020-07-15,373906.49969
2020-07-16,926788.12442
2020-07-17,1640315.04027
2020-07-18,5420783.96761
2020-07-19,7095796.86756
2020-07-20,312105.70924
2020-07-21,53521049.36669905
2020-07-22,44907429.54938
2020-07-23,32498695.57562077
2020-07-24,4505072.32076
2020-07-25,21291020.05717322
2020-07-26,178852785.4087923
2020-07-27,308865444.9256048
2020-07-28,29747326.54222
2020-07-29,22579032.69545
2020-07-30,5969057.25261
2020-07-31,26767518.42081
2020-08-01,56390807.3512578
2020-08-02,43288754.91505979
2020-08-03,10421431.53787423
2020-08-04,2760079.91226
2020-08-05,37578681.1826216
2020-08-06,10432221.46119432
2020-08-07,3712371.42497
2020-08-08,7970632.58741942
2020-08-09,2177729.37991316
2020-08-10,38941510.37970001
2020-08-11,10414037.32937
2020-08-12,8890166.65291
2020-08-13,24447557.8976688
2020-08-14,5730440.78311
2020-08-15,16839490.59071614
2020-08-16,4765295.94214
2020-08-17,98923622.89203
2020-08-18,3051429.77592
2020-08-19,3968522.61624
2020-08-20,4525193.64914
2020-08-21,2026623.0993
2020-08-22,5388147.94650452
2020-08-23,4282147.54495
2020-08-24,5095125.34153
2020-08-25,5652588.09735
2020-08-26,16206255.75555
2020-08-27,11198748.62473
2020-08-28,7686228.81526
2020-08-29,3012930.6393
2020-08-30,18391065.27516
2020-08-31,13731129.2921124
2020-09-01,26871982.75899
2020-09-02,4554713.46889556
2020-09-03,16874968.36034
2020-09-04,25928255.99024
2020-09-05,20154960.7138
2020-09-06,7313312.81862
