date,timestamp_utc,Exchange Reserve,Exchange Reserve-EMA(100)
2012-04-02,2012-04-02T00:00:00Z,0.02,
2012-04-03,2012-04-03T00:00:00Z,0.02,
2012-04-04,2012-04-04T00:00:00Z,0.02,
2012-04-05,2012-04-05T00:00:00Z,0.02,
2012-04-06,2012-04-06T00:00:00Z,0.02,
2012-04-07,2012-04-07T00:00:00Z,0.07,
2012-04-08,2012-04-08T00:00:00Z,0.09,
2012-04-09,2012-04-09T00:00:00Z,0.09,
2012-04-10,2012-04-10T00:00:00Z,0.09,
2012-04-11,2012-04-11T00:00:00Z,0.09,
2012-04-12,2012-04-12T00:00:00Z,0.09,
2012-04-13,2012-04-13T00:00:00Z,0.09,
2012-04-14,2012-04-14T00:00:00Z,0.09,
2012-04-15,2012-04-15T00:00:00Z,0.09,
2012-04-16,2012-04-16T00:00:00Z,0.09,
2012-04-17,2012-04-17T00:00:00Z,0.09,
2012-04-18,2012-04-18T00:00:00Z,0.09,
2012-04-19,2012-04-19T00:00:00Z,0.09,
2012-04-20,2012-04-20T00:00:00Z,0.09,
2012-04-21,2012-04-21T00:00:00Z,0.09,
2012-04-22,2012-04-22T00:00:00Z,0.09,
2012-04-23,2012-04-23T00:00:00Z,0.09,
2012-04-24,2012-04-24T00:00:00Z,0.09,
2012-04-25,2012-04-25T00:00:00Z,479.94600096,
2012-04-26,2012-04-26T00:00:00Z,479.94600096,
2012-04-27,2012-04-27T00:00:00Z,479.94600096,
2012-04-28,2012-04-28T00:00:00Z,582.46600097,
2012-04-29,2012-04-29T00:00:00Z,582.46600097,
2012-04-30,2012-04-30T00:00:00Z,582.46600097,
2012-05-01,2012-05-01T00:00:00Z,648.21600097,
2012-05-02,2012-05-02T00:00:00Z,648.21600097,
2012-05-03,2012-05-03T00:00:00Z,750.38400009,
2012-05-04,2012-05-04T00:00:00Z,1130.41199819,
2012-05-05,2012-05-05T00:00:00Z,1718.58599629,
2012-05-06,2012-05-06T00:00:00Z,1718.63599629,
2012-05-07,2012-05-07T00:00:00Z,1718.63599629,
2012-05-08,2012-05-08T00:00:00Z,1718.63599629,
2012-05-09,2012-05-09T00:00:00Z,1718.63599629,
2012-05-10,2012-05-10T00:00:00Z,1718.63599629,
2012-05-11,2012-05-11T00:00:00Z,2186.32699725,
2012-05-12,2012-05-12T00:00:00Z,2186.34699725,
2012-05-13,2012-05-13T00:00:00Z,2186.34699725,
2012-05-14,2012-05-14T00:00:00Z,2186.35199725,
2012-05-15,2012-05-15T00:00:00Z,2186.35199725,
2012-05-16,2012-05-16T00:00:00Z,2186.35199725,
2012-05-17,2012-05-17T00:00:00Z,2186.35199725,
2012-05-18,2012-05-18T00:00:00Z,2534.41999725,
2012-05-19,2012-05-19T00:00:00Z,2888.93999639,
2012-05-20,2012-05-20T00:00:00Z,2812.0530197,
2012-05-21,2012-05-21T00:00:00Z,2812.0530197,
2012-05-22,2012-05-22T00:00:00Z,2812.0530197,
2012-05-23,2012-05-23T00:00:00Z,2812.0530197,
2012-05-24,2012-05-24T00:00:00Z,2812.0530197,
2012-05-25,2012-05-25T00:00:00Z,2414.56906179,
2012-05-26,2012-05-26T00:00:00Z,2414.56906179,
2012-05-27,2012-05-27T00:00:00Z,2657.16906178,
2012-05-28,2012-05-28T00:00:00Z,2670.03018286,
2012-05-29,2012-05-29T00:00:00Z,2674.63018286,
2012-05-30,2012-05-30T00:00:00Z,2860.69162712,
2012-05-31,2012-05-31T00:00:00Z,2860.69162712,
2012-06-01,2012-06-01T00:00:00Z,2866.32807143,
2012-06-02,2012-06-02T00:00:00Z,2866.32807143,
2012-06-03,2012-06-03T00:00:00Z,2866.32807143,
2012-06-04,2012-06-04T00:00:00Z,2887.17890245,
2012-06-05,2012-06-05T00:00:00Z,2955.08204098,
2012-06-06,2012-06-06T00:00:00Z,2955.12204098,
2012-06-07,2012-06-07T00:00:00Z,3431.52204097,
2012-06-08,2012-06-08T00:00:00Z,3431.52204097,
2012-06-09,2012-06-09T00:00:00Z,3431.52204097,
2012-06-10,2012-06-10T00:00:00Z,3445.58464097,
2012-06-11,2012-06-11T00:00:00Z,3445.58464097,
2012-06-12,2012-06-12T00:00:00Z,4468.95032637,
2012-06-13,2012-06-13T00:00:00Z,4518.65203808,
2012-06-14,2012-06-14T00:00:00Z,4519.65203808,
2012-06-15,2012-06-15T00:00:00Z,4603.02737051,
2012-06-16,2012-06-16T00:00:00Z,4616.91661461,
2012-06-17,2012-06-17T00:00:00Z,4627.95809446,
2012-06-18,2012-06-18T00:00:00Z,4657.84802047,
2012-06-19,2012-06-19T00:00:00Z,4657.84802047,
2012-06-20,2012-06-20T00:00:00Z,4686.17049853,
2012-06-21,2012-06-21T00:00:00Z,5093.60044008,
2012-06-22,2012-06-22T00:00:00Z,5114.46999907,
2012-06-23,2012-06-23T00:00:00Z,5133.64551913,
2012-06-24,2012-06-24T00:00:00Z,5168.35761901,
2012-06-25,2012-06-25T00:00:00Z,5192.50960809,
2012-06-26,2012-06-26T00:00:00Z,424.38814728,
2012-06-27,2012-06-27T00:00:00Z,437.56814729,
2012-06-28,2012-06-28T00:00:00Z,471.02577347,
2012-06-29,2012-06-29T00:00:00Z,809.56828908,
2012-06-30,2012-06-30T00:00:00Z,1267.13776437,
2012-07-01,2012-07-01T00:00:00Z,1734.57736496,
2012-07-02,2012-07-02T00:00:00Z,1753.42381703,
2012-07-03,2012-07-03T00:00:00Z,1757.7776016,
2012-07-04,2012-07-04T00:00:00Z,1761.38151139,
2012-07-05,2012-07-05T00:00:00Z,1765.33709018,
2012-07-06,2012-07-06T00:00:00Z,2243.00364349,
2012-07-07,2012-07-07T00:00:00Z,2284.59852207,
2012-07-08,2012-07-08T00:00:00Z,2308.8328746,
2012-07-09,2012-07-09T00:00:00Z,2321.18148721,
2012-07-10,2012-07-10T00:00:00Z,2367.50969125,1953.6735539774
2012-07-11,2012-07-11T00:00:00Z,2432.44739179,1963.154224033095
2012-07-12,2012-07-12T00:00:00Z,2413.29418269,1972.0678865807563
2012-07-13,2012-07-13T00:00:00Z,2437.08758701,1981.2761974803448
2012-07-14,2012-07-14T00:00:00Z,2453.13957139,1990.6200266666751
2012-07-15,2012-07-15T00:00:00Z,2739.81339853,2005.4555389808004
2012-07-16,2012-07-16T00:00:00Z,2826.55573572,2021.71494881722
2012-07-17,2012-07-17T00:00:00Z,7319.36439656,2126.6188982774734
2012-07-18,2012-07-18T00:00:00Z,7335.77355756,2229.7704756890084
2012-07-19,2012-07-19T00:00:00Z,7335.69169756,2330.877826617146
2012-07-20,2012-07-20T00:00:00Z,7340.96590649,2430.087491565124
2012-07-21,2012-07-21T00:00:00Z,7356.4222148,2527.6386742034383
2012-07-22,2012-07-22T00:00:00Z,7359.80316177,2623.325099699806
2012-07-23,2012-07-23T00:00:00Z,7365.65275876,2717.2325780970377
2012-07-24,2012-07-24T00:00:00Z,7394.54665203,2809.8526587689776
2012-07-25,2012-07-25T00:00:00Z,7392.9274954,2900.606615929988
2012-07-26,2012-07-26T00:00:00Z,7436.09138171,2990.418195450384
2012-07-27,2012-07-27T00:00:00Z,7458.41603349,3078.89340016404
2012-07-28,2012-07-28T00:00:00Z,7458.42655984,3165.6168290685146
2012-07-29,2012-07-29T00:00:00Z,7506.42555103,3251.5734374241874
2012-07-30,2012-07-30T00:00:00Z,7523.1030503,3336.1581822336093
