date,timestamp_utc,Exchange Stablecoins Ratio
2023-07-16,2023-07-16T00:00:00Z,9.911e-05
2023-07-17,2023-07-17T00:00:00Z,9.988e-05
2023-07-18,2023-07-18T00:00:00Z,0.00010018
2023-07-19,2023-07-19T00:00:00Z,9.995e-05
2023-07-20,2023-07-20T00:00:00Z,9.938e-05
2023-07-21,2023-07-21T00:00:00Z,9.935e-05
2023-07-22,2023-07-22T00:00:00Z,9.883e-05
2023-07-23,2023-07-23T00:00:00Z,9.889e-05
2023-07-24,2023-07-24T00:00:00Z,9.889e-05
2023-07-25,2023-07-25T00:00:00Z,9.863e-05
2023-07-26,2023-07-26T00:00:00Z,9.793e-05
2023-07-27,2023-07-27T00:00:00Z,9.819e-05
2023-07-28,2023-07-28T00:00:00Z,9.824e-05
2023-07-29,2023-07-29T00:00:00Z,9.787e-05
2023-07-30,2023-07-30T00:00:00Z,9.774e-05
2023-07-31,2023-07-31T00:00:00Z,9.814e-05
2023-08-01,2023-08-01T00:00:00Z,9.814e-05
2023-08-02,2023-08-02T00:00:00Z,9.778e-05
2023-08-03,2023-08-03T00:00:00Z,9.702e-05
2023-08-04,2023-08-04T00:00:00Z,9.786e-05
2023-08-05,2023-08-05T00:00:00Z,9.823e-05
2023-08-06,2023-08-06T00:00:00Z,9.848e-05
2023-08-07,2023-08-07T00:00:00Z,9.909e-05
2023-08-08,2023-08-08T00:00:00Z,9.76e-05
2023-08-09,2023-08-09T00:00:00Z,9.782e-05
2023-08-10,2023-08-10T00:00:00Z,9.848e-05
2023-08-11,2023-08-11T00:00:00Z,9.847e-05
2023-08-12,2023-08-12T00:00:00Z,9.849e-05
2023-08-13,2023-08-13T00:00:00Z,9.867e-05
2023-08-14,2023-08-14T00:00:00Z,9.87e-05
2023-08-15,2023-08-15T00:00:00Z,9.865e-05
2023-08-16,2023-08-16T00:00:00Z,9.905e-05
2023-08-17,2023-08-17T00:00:00Z,9.979e-05
2023-08-18,2023-08-18T00:00:00Z,9.943e-05
2023-08-19,2023-08-19T00:00:00Z,9.867e-05
2023-08-20,2023-08-20T00:00:00Z,9.846e-05
2023-08-21,2023-08-21T00:00:00Z,9.808e-05
2023-08-22,2023-08-22T00:00:00Z,9.772e-05
2023-08-23,2023-08-23T00:00:00Z,9.712e-05
2023-08-24,2023-08-24T00:00:00Z,9.744e-05
2023-08-25,2023-08-25T00:00:00Z,9.759e-05
2023-08-26,2023-08-26T00:00:00Z,9.718e-05
2023-08-27,2023-08-27T00:00:00Z,9.733e-05
2023-08-28,2023-08-28T00:00:00Z,9.624e-05
2023-08-29,2023-08-29T00:00:00Z,9.518e-05
2023-08-30,2023-08-30T00:00:00Z,9.508e-05
2023-08-31,2023-08-31T00:00:00Z,9.581e-05
2023-09-01,2023-09-01T00:00:00Z,9.657e-05
2023-09-02,2023-09-02T00:00:00Z,9.665e-05
2023-09-03,2023-09-03T00:00:00Z,9.641e-05
2023-09-04,2023-09-04T00:00:00Z,9.604e-05
2023-09-05,2023-09-05T00:00:00Z,9.6e-05
2023-09-06,2023-09-06T00:00:00Z,9.676e-05
2023-09-07,2023-09-07T00:00:00Z,9.724e-05
2023-09-08,2023-09-08T00:00:00Z,9.69e-05
2023-09-09,2023-09-09T00:00:00Z,9.691e-05
2023-09-10,2023-09-10T00:00:00Z,9.678e-05
2023-09-11,2023-09-11T00:00:00Z,9.631e-05
2023-09-12,2023-09-12T00:00:00Z,9.681e-05
2023-09-13,2023-09-13T00:00:00Z,9.672e-05
2023-09-14,2023-09-14T00:00:00Z,9.642e-05
2023-09-15,2023-09-15T00:00:00Z,9.717e-05
2023-09-16,2023-09-16T00:00:00Z,9.685e-05
2023-09-17,2023-09-17T00:00:00Z,9.678e-05
2023-09-18,2023-09-18T00:00:00Z,9.692e-05
2023-09-19,2023-09-19T00:00:00Z,9.649e-05
2023-09-20,2023-09-20T00:00:00Z,9.678e-05
2023-09-21,2023-09-21T00:00:00Z,9.701e-05
2023-09-22,2023-09-22T00:00:00Z,9.727e-05
2023-09-23,2023-09-23T00:00:00Z,9.73e-05
2023-09-24,2023-09-24T00:00:00Z,9.737e-05
2023-09-25,2023-09-25T00:00:00Z,9.79e-05
2023-09-26,2023-09-26T00:00:00Z,9.802e-05
2023-09-27,2023-09-27T00:00:00Z,9.806e-05
2023-09-28,2023-09-28T00:00:00Z,9.712e-05
2023-09-29,2023-09-29T00:00:00Z,9.736e-05
2023-09-30,2023-09-30T00:00:00Z,9.717e-05
2023-10-01,2023-10-01T00:00:00Z,9.718e-05
2023-10-02,2023-10-02T00:00:00Z,9.606e-05
2023-10-03,2023-10-03T00:00:00Z,9.66e-05
2023-10-04,2023-10-04T00:00:00Z,9.705e-05
2023-10-05,2023-10-05T00:00:00Z,9.653e-05
2023-10-06,2023-10-06T00:00:00Z,9.646e-05
2023-10-07,2023-10-07T00:00:00Z,9.677e-05
2023-10-08,2023-10-08T00:00:00Z,9.67e-05
2023-10-09,2023-10-09T00:00:00Z,9.703e-05
2023-10-10,2023-10-10T00:00:00Z,9.691e-05
2023-10-11,2023-10-11T00:00:00Z,9.767e-05
2023-10-12,2023-10-12T00:00:00Z,9.805e-05
2023-10-13,2023-10-13T00:00:00Z,9.841e-05
2023-10-14,2023-10-14T00:00:00Z,9.824e-05
2023-10-15,2023-10-15T00:00:00Z,9.784e-05
2023-10-16,2023-10-16T00:00:00Z,9.649e-05
2023-10-17,2023-10-17T00:00:00Z,9.622e-05
2023-10-18,2023-10-18T00:00:00Z,9.632e-05
2023-10-19,2023-10-19T00:00:00Z,9.59e-05
2023-10-20,2023-10-20T00:00:00Z,9.56e-05
2023-10-21,2023-10-21T00:00:00Z,9.56e-05
2023-10-22,2023-10-22T00:00:00Z,9.502e-05
2023-10-23,2023-10-23T00:00:00Z,9.448e-05
2023-10-24,2023-10-24T00:00:00Z,9.542e-05
2023-10-25,2023-10-25T00:00:00Z,9.547e-05
2023-10-26,2023-10-26T00:00:00Z,9.538e-05
2023-10-27,2023-10-27T00:00:00Z,9.575e-05
2023-10-28,2023-10-28T00:00:00Z,9.573e-05
2023-10-29,2023-10-29T00:00:00Z,9.563e-05
2023-10-30,2023-10-30T00:00:00Z,9.576e-05
2023-10-31,2023-10-31T00:00:00Z,9.671e-05
2023-11-01,2023-11-01T00:00:00Z,9.662e-05
2023-11-02,2023-11-02T00:00:00Z,9.658e-05
2023-11-03,2023-11-03T00:00:00Z,9.566e-05
2023-11-04,2023-11-04T00:00:00Z,9.542e-05
2023-11-05,2023-11-05T00:00:00Z,9.534e-05
2023-11-06,2023-11-06T00:00:00Z,9.52e-05
2023-11-07,2023-11-07T00:00:00Z,9.475e-05
2023-11-08,2023-11-08T00:00:00Z,9.458e-05
2023-11-09,2023-11-09T00:00:00Z,9.442e-05
2023-11-10,2023-11-10T00:00:00Z,9.459e-05
2023-11-11,2023-11-11T00:00:00Z,9.475e-05
2023-11-12,2023-11-12T00:00:00Z,9.479e-05
2023-11-13,2023-11-13T00:00:00Z,9.547e-05
2023-11-14,2023-11-14T00:00:00Z,9.549e-05
2023-11-15,2023-11-15T00:00:00Z,9.538e-05
