date,Open,High,Low,Close,Volume
2013-09-03,160000.0,160000.0,150000.0,150000.0,0.3
2013-09-04,180000.0,180000.0,180000.0,180000.0,3.44
2013-09-05,150000.0,160000.0,150000.0,160000.0,1.4
2013-09-06,145000.0,145000.0,145000.0,145000.0,0.2
2013-09-07,145000.0,145000.0,140000.0,140000.0,0.4
2013-09-08,141000.0,160000.0,141000.0,146000.0,0.8
2013-09-09,142000.0,142000.0,142000.0,142000.0,0.24
2013-09-11,140000.0,140000.0,140000.0,140000.0,0.6
2013-09-12,144000.0,144000.0,144000.0,144000.0,0.22
2013-09-13,144000.0,144000.0,144000.0,144000.0,0.63
2013-09-14,135000.0,135000.0,135000.0,135000.0,0.1
2013-09-17,144000.0,144000.0,144000.0,144000.0,0.1
2013-09-18,144000.0,144000.0,144000.0,144000.0,0.1
2013-09-20,144000.0,144000.0,144000.0,144000.0,0.4
2013-09-23,142000.0,142000.0,142000.0,142000.0,0.2
2013-09-24,142000.0,146000.0,141000.0,141000.0,4.68
2013-09-25,148000.0,148000.0,148000.0,148000.0,2.0
2013-09-26,147000.0,148000.0,147000.0,148000.0,2.5
2013-09-27,141000.0,148000.0,131000.0,148000.0,5.0468
2013-09-28,137000.0,148000.0,137000.0,148000.0,0.4293
2013-09-29,148000.0,148000.0,148000.0,148000.0,0.13513514
2013-09-30,147500.0,147500.0,147500.0,147500.0,2.3
2013-10-01,140000.0,147500.0,140000.0,145000.0,2.3215244
2013-10-02,139000.0,139000.0,135000.0,135000.0,4.17814815
2013-10-05,139000.0,139000.0,139000.0,139000.0,0.02852
2013-10-06,139000.0,140000.0,139000.0,140000.0,2.2279496
2013-10-07,140000.0,145000.0,138000.0,139000.0,2.57544495
2013-10-08,145000.0,145000.0,145000.0,145000.0,3.10345
2013-10-09,142000.0,142000.0,142000.0,142000.0,0.2
2013-10-10,139000.0,139000.0,139000.0,139000.0,0.296
2013-10-11,139500.0,139500.0,139100.0,139100.0,2.2
2013-10-12,142999.0,142999.0,142999.0,142999.0,0.02847
2013-10-13,135000.0,135000.0,135000.0,135000.0,1.20259061
2013-10-14,138777.0,145000.0,138777.0,145000.0,9.75431
2013-10-15,140000.0,145000.0,140000.0,145000.0,9.95902069
2013-10-16,145000.0,168000.0,145000.0,147000.0,8.51749417
2013-10-17,147000.0,147000.0,144000.0,147000.0,3.5
2013-10-18,168000.0,175480.0,168000.0,175480.0,6.5
2013-10-20,174000.0,175000.0,174000.0,175000.0,4.95
2013-10-21,179000.0,179000.0,160000.0,179000.0,35.22942
2013-10-22,190000.0,198000.0,190000.0,197000.0,4.67
2013-10-23,197000.0,233000.0,197000.0,233000.0,17.22494
2013-10-24,233000.0,250000.0,210100.0,249500.0,33.79666303
2013-10-25,220000.0,220000.0,200000.0,201000.0,3.41182144
2013-10-26,200000.0,200000.0,200000.0,200000.0,2.13995
