date,Average Dormancy
2020-12-31,9.82981928
2021-01-01,15.01804685
2021-01-02,26.15849851
2021-01-03,16.38457886
2021-01-04,28.92798543
2021-01-05,9.94731076
2021-01-06,11.77878879
2021-01-07,14.23893884
2021-01-08,12.91269779
2021-01-09,14.66205246
2021-01-10,12.18420527
2021-01-11,10.40029105
2021-01-12,7.05048311
2021-01-13,8.68205805
2021-01-14,7.99268691
2021-01-15,10.68790619
2021-01-16,6.19790757
2021-01-17,6.75744332
2021-01-18,7.64045863
2021-01-19,6.45179873
2021-01-20,5.10851788
2021-01-21,4.72341734
2021-01-22,5.77259701
2021-01-23,3.77807354
2021-01-24,3.6033584
2021-01-25,4.40874995
2021-01-26,4.54786553
2021-01-27,19.49440945
2021-01-28,6.23070285
2021-01-29,7.25966245
2021-01-30,5.22745845
2021-01-31,9.64311313
2021-02-01,3.99364849
2021-02-02,4.25890635
2021-02-03,5.19597005
2021-02-04,7.1944852
2021-02-05,10.13105943
2021-02-06,4.65968933
2021-02-07,12.86264118
2021-02-08,8.12062783
2021-02-09,7.70403976
2021-02-10,7.70391557
2021-02-11,5.69524059
2021-02-12,7.13221949
2021-02-13,4.95261206
2021-02-14,5.47388269
2021-02-15,5.99841877
2021-02-16,6.20521744
2021-02-17,7.82102204
2021-02-18,9.42463438
2021-02-19,9.8777672
2021-02-20,9.54647773
2021-02-21,8.02827364
2021-02-22,7.54224221
2021-02-23,15.522098
2021-02-24,14.87336559
2021-02-25,7.88074874
2021-02-26,9.81334742
2021-02-27,6.1155678
2021-02-28,6.23921483
2021-03-01,4.61967238
2021-03-02,9.65123513
2021-03-03,4.21333926
2021-03-04,6.77032954
2021-03-05,9.41739553
2021-03-06,4.48295352
2021-03-07,2.23517492
2021-03-08,11.50363936
2021-03-09,4.90134324
2021-03-10,5.82517093
2021-03-11,22.81918528
2021-03-12,12.47416478
2021-03-13,8.65189335
2021-03-14,14.76344215
2021-03-15,8.32402953
2021-03-16,11.5484809
2021-03-17,9.52118109
2021-03-18,5.38676463
2021-03-19,5.38834086
2021-03-20,11.67133844
2021-03-21,6.48257252
2021-03-22,10.6693762
2021-03-23,11.84977406
2021-03-24,6.58355444
2021-03-25,14.21629781
2021-03-26,7.85520645
2021-03-27,10.25452408
2021-03-28,8.54377721
2021-03-29,4.4121918
2021-03-30,7.41907844
2021-03-31,10.92030072
2021-04-01,20.42429379
2021-04-02,15.46866366
2021-04-03,3.43959508
2021-04-04,4.83482356
2021-04-05,4.62316815
2021-04-06,18.16540015
2021-04-07,5.20110565
2021-04-08,6.44246931
2021-04-09,6.63304351
2021-04-10,6.92613847
2021-04-11,11.36019726
2021-04-12,11.1704069
2021-04-13,7.89268319
2021-04-14,18.78145588
2021-04-15,13.79917184
2021-04-16,3.89519089
2021-04-17,8.56731746
2021-04-18,19.84430733
2021-04-19,4.13700855
2021-04-20,7.70930987
2021-04-21,4.11668369
2021-04-22,5.93892064
2021-04-23,8.0331654
2021-04-24,13.77576025
2021-04-25,8.44034347
2021-04-26,6.03936852
2021-04-27,11.07567866
2021-04-28,5.43393549
2021-04-29,7.49721615
2021-04-30,8.90109734
2021-05-01,3.81593064
2021-05-02,4.75165555
2021-05-03,5.6412609
