date,timestamp_utc,Average Supply-Adjusted CDD
2020-12-31,2020-12-31T00:00:00Z,0.51305219
2021-01-01,2021-01-01T00:00:00Z,0.51323057
2021-01-02,2021-01-02T00:00:00Z,0.5138081
2021-01-03,2021-01-03T00:00:00Z,0.51413537
2021-01-04,2021-01-04T00:00:00Z,0.51469995
2021-01-05,2021-01-05T00:00:00Z,0.51485199
2021-01-06,2021-01-06T00:00:00Z,0.51504227
2021-01-07,2021-01-07T00:00:00Z,0.51540485
2021-01-08,2021-01-08T00:00:00Z,0.51568581
2021-01-09,2021-01-09T00:00:00Z,0.51591377
2021-01-10,2021-01-10T00:00:00Z,0.51606509
2021-01-11,2021-01-11T00:00:00Z,0.51625798
2021-01-12,2021-01-12T00:00:00Z,0.51633115
2021-01-13,2021-01-13T00:00:00Z,0.51640283
2021-01-14,2021-01-14T00:00:00Z,0.51647443
2021-01-15,2021-01-15T00:00:00Z,0.51658369
2021-01-16,2021-01-16T00:00:00Z,0.51659488
2021-01-17,2021-01-17T00:00:00Z,0.51659513
2021-01-18,2021-01-18T00:00:00Z,0.51664462
2021-01-19,2021-01-19T00:00:00Z,0.51669356
2021-01-20,2021-01-20T00:00:00Z,0.5167022
2021-01-21,2021-01-21T00:00:00Z,0.51671222
2021-01-22,2021-01-22T00:00:00Z,0.5167358
2021-01-23,2021-01-23T00:00:00Z,0.51669386
2021-01-24,2021-01-24T00:00:00Z,0.51664315
2021-01-25,2021-01-25T00:00:00Z,0.51665024
2021-01-26,2021-01-26T00:00:00Z,0.51662743
2021-01-27,2021-01-27T00:00:00Z,0.51698414
2021-01-28,2021-01-28T00:00:00Z,0.51703245
2021-01-29,2021-01-29T00:00:00Z,0.51713562
2021-01-30,2021-01-30T00:00:00Z,0.51714293
2021-01-31,2021-01-31T00:00:00Z,0.5172594
2021-02-01,2021-02-01T00:00:00Z,0.51723322
2021-02-02,2021-02-02T00:00:00Z,0.5172185
2021-02-03,2021-02-03T00:00:00Z,0.51723183
2021-02-04,2021-02-04T00:00:00Z,0.51730547
2021-02-05,2021-02-05T00:00:00Z,0.51742964
2021-02-06,2021-02-06T00:00:00Z,0.51743463
2021-02-07,2021-02-07T00:00:00Z,0.51763755
2021-02-08,2021-02-08T00:00:00Z,0.51774365
2021-02-09,2021-02-09T00:00:00Z,0.51794462
2021-02-10,2021-02-10T00:00:00Z,0.51802971
2021-02-11,2021-02-11T00:00:00Z,0.51807718
2021-02-12,2021-02-12T00:00:00Z,0.51814552
2021-02-13,2021-02-13T00:00:00Z,0.51811996
2021-02-14,2021-02-14T00:00:00Z,0.51812806
2021-02-15,2021-02-15T00:00:00Z,0.51818367
2021-02-16,2021-02-16T00:00:00Z,0.51825579
2021-02-17,2021-02-17T00:00:00Z,0.51833562
2021-02-18,2021-02-18T00:00:00Z,0.51847005
2021-02-19,2021-02-19T00:00:00Z,0.51863599
2021-02-20,2021-02-20T00:00:00Z,0.51877264
2021-02-21,2021-02-21T00:00:00Z,0.51882896
2021-02-22,2021-02-22T00:00:00Z,0.51889362
2021-02-23,2021-02-23T00:00:00Z,0.51918465
2021-02-24,2021-02-24T00:00:00Z,0.51944907
2021-02-25,2021-02-25T00:00:00Z,0.51955236
2021-02-26,2021-02-26T00:00:00Z,0.51968065
2021-02-27,2021-02-27T00:00:00Z,0.51968749
2021-02-28,2021-02-28T00:00:00Z,0.51970098
2021-03-01,2021-03-01T00:00:00Z,0.51968347
2021-03-02,2021-03-02T00:00:00Z,0.51978648
2021-03-03,2021-03-03T00:00:00Z,0.51976484
2021-03-04,2021-03-04T00:00:00Z,0.5197719
2021-03-05,2021-03-05T00:00:00Z,0.51985708
2021-03-06,2021-03-06T00:00:00Z,0.51982299
2021-03-07,2021-03-07T00:00:00Z,0.51976352
2021-03-08,2021-03-08T00:00:00Z,0.51991838
2021-03-09,2021-03-09T00:00:00Z,0.5199167
2021-03-10,2021-03-10T00:00:00Z,0.51991963
2021-03-11,2021-03-11T00:00:00Z,0.52026611
2021-03-12,2021-03-12T00:00:00Z,0.52036002
2021-03-13,2021-03-13T00:00:00Z,0.52036794
2021-03-14,2021-03-14T00:00:00Z,0.52048383
2021-03-15,2021-03-15T00:00:00Z,0.52049759
2021-03-16,2021-03-16T00:00:00Z,0.5205838
2021-03-17,2021-03-17T00:00:00Z,0.52063407
2021-03-18,2021-03-18T00:00:00Z,0.52060178
2021-03-19,2021-03-19T00:00:00Z,0.52056457
2021-03-20,2021-03-20T00:00:00Z,0.52060772
2021-03-21,2021-03-21T00:00:00Z,0.52057748
2021-03-22,2021-03-22T00:00:00Z,0.52062765
2021-03-23,2021-03-23T00:00:00Z,0.52076979
2021-03-24,2021-03-24T00:00:00Z,0.52078283
2021-03-25,2021-03-25T00:00:00Z,0.52095854
2021-03-26,2021-03-26T00:00:00Z,0.52097901
2021-03-27,2021-03-27T00:00:00Z,0.52101405
2021-03-28,2021-03-28T00:00:00Z,0.52099177
2021-03-29,2021-03-29T00:00:00Z,0.5209602
2021-03-30,2021-03-30T00:00:00Z,0.52097679
2021-03-31,2021-03-31T00:00:00Z,0.52103856
2021-04-01,2021-04-01T00:00:00Z,0.52125625
2021-04-02,2021-04-02T00:00:00Z,0.5213961
2021-04-03,2021-04-03T00:00:00Z,0.52133483
2021-04-04,2021-04-04T00:00:00Z,0.5212853
2021-04-05,2021-04-05T00:00:00Z,0.5212657
2021-04-06,2021-04-06T00:00:00Z,0.52160814
2021-04-07,2021-04-07T00:00:00Z,0.52159741
2021-04-08,2021-04-08T00:00:00Z,0.52159657
2021-04-09,2021-04-09T00:00:00Z,0.52160655
2021-04-10,2021-04-10T00:00:00Z,0.52161758
2021-04-11,2021-04-11T00:00:00Z,0.52168696
2021-04-12,2021-04-12T00:00:00Z,0.52179419
2021-04-13,2021-04-13T00:00:00Z,0.52185777
2021-04-14,2021-04-14T00:00:00Z,0.52215039
2021-04-15,2021-04-15T00:00:00Z,0.52233793
2021-04-16,2021-04-16T00:00:00Z,0.52230689
2021-04-17,2021-04-17T00:00:00Z,0.5223071
2021-04-18,2021-04-18T00:00:00Z,0.52258228
2021-04-19,2021-04-19T00:00:00Z,0.52252897
2021-04-20,2021-04-20T00:00:00Z,0.52258428
2021-04-21,2021-04-21T00:00:00Z,0.52256259
2021-04-22,2021-04-22T00:00:00Z,0.52260108
2021-04-23,2021-04-23T00:00:00Z,0.52269368
2021-04-24,2021-04-24T00:00:00Z,0.52283982
2021-04-25,2021-04-25T00:00:00Z,0.52288788
2021-04-26,2021-04-26T00:00:00Z,0.52292628
2021-04-27,2021-04-27T00:00:00Z,0.52311138
2021-04-28,2021-04-28T00:00:00Z,0.52312464
2021-04-29,2021-04-29T00:00:00Z,0.52319668
2021-04-30,2021-04-30T00:00:00Z,0.52332269
2021-05-01,2021-05-01T00:00:00Z,0.52327936
2021-05-02,2021-05-02T00:00:00Z,0.5232473
2021-05-03,2021-05-03T00:00:00Z,0.52327577
2021-05-04,2021-05-04T00:00:00Z,0.52330563
2021-05-05,2021-05-05T00:00:00Z,0.52330819
2021-05-06,2021-05-06T00:00:00Z,0.52331536
2021-05-07,2021-05-07T00:00:00Z,0.52349588
2021-05-08,2021-05-08T00:00:00Z,0.52346498
2021-05-09,2021-05-09T00:00:00Z,0.52347135
2021-05-10,2021-05-10T00:00:00Z,0.52348451
2021-05-11,2021-05-11T00:00:00Z,0.52348452
2021-05-12,2021-05-12T00:00:00Z,0.52360727
2021-05-13,2021-05-13T00:00:00Z,0.52373651
2021-05-14,2021-05-14T00:00:00Z,0.52374752
2021-05-15,2021-05-15T00:00:00Z,0.52372458
2021-05-16,2021-05-16T00:00:00Z,0.52372181
2021-05-17,2021-05-17T00:00:00Z,0.52372241
2021-05-18,2021-05-18T00:00:00Z,0.52376361
2021-05-19,2021-05-19T00:00:00Z,0.52400718
2021-05-20,2021-05-20T00:00:00Z,0.52411429
2021-05-21,2021-05-21T00:00:00Z,0.52416445
2021-05-22,2021-05-22T00:00:00Z,0.52411904
2021-05-23,2021-05-23T00:00:00Z,0.5241675
2021-05-24,2021-05-24T00:00:00Z,0.52438075
2021-05-25,2021-05-25T00:00:00Z,0.52438532
2021-05-26,2021-05-26T00:00:00Z,0.52439041
2021-05-27,2021-05-27T00:00:00Z,0.52433017
2021-05-28,2021-05-28T00:00:00Z,0.52427591
2021-05-29,2021-05-29T00:00:00Z,0.52419672
2021-05-30,2021-05-30T00:00:00Z,0.52433871
2021-05-31,2021-05-31T00:00:00Z,0.52426629
2021-06-01,2021-06-01T00:00:00Z,0.52444702
2021-06-02,2021-06-02T00:00:00Z,0.52442904
2021-06-03,2021-06-03T00:00:00Z,0.52451582
2021-06-04,2021-06-04T00:00:00Z,0.52445841
2021-06-05,2021-06-05T00:00:00Z,0.5243811
2021-06-06,2021-06-06T00:00:00Z,0.52432172
2021-06-07,2021-06-07T00:00:00Z,0.52430413
2021-06-08,2021-06-08T00:00:00Z,0.52432648
2021-06-09,2021-06-09T00:00:00Z,0.52430361
2021-06-10,2021-06-10T00:00:00Z,0.52430958
2021-06-11,2021-06-11T00:00:00Z,0.52434425
2021-06-12,2021-06-12T00:00:00Z,0.52425697
2021-06-13,2021-06-13T00:00:00Z,0.52419361
2021-06-14,2021-06-14T00:00:00Z,0.52415491
2021-06-15,2021-06-15T00:00:00Z,0.52412746
2021-06-16,2021-06-16T00:00:00Z,0.52407059
2021-06-17,2021-06-17T00:00:00Z,0.52401303
2021-06-18,2021-06-18T00:00:00Z,0.52395279
2021-06-19,2021-06-19T00:00:00Z,0.52386537
2021-06-20,2021-06-20T00:00:00Z,0.52378862
2021-06-21,2021-06-21T00:00:00Z,0.5237625
2021-06-22,2021-06-22T00:00:00Z,0.52373754
2021-06-23,2021-06-23T00:00:00Z,0.52377732
2021-06-24,2021-06-24T00:00:00Z,0.52377459
2021-06-25,2021-06-25T00:00:00Z,0.52389827
2021-06-26,2021-06-26T00:00:00Z,0.52381541
2021-06-27,2021-06-27T00:00:00Z,0.52374945
2021-06-28,2021-06-28T00:00:00Z,0.52369256
2021-06-29,2021-06-29T00:00:00Z,0.52362259
2021-06-30,2021-06-30T00:00:00Z,0.52355888
2021-07-01,2021-07-01T00:00:00Z,0.52351597
2021-07-02,2021-07-02T00:00:00Z,0.52351941
2021-07-03,2021-07-03T00:00:00Z,0.52343383
2021-07-04,2021-07-04T00:00:00Z,0.52336376
2021-07-05,2021-07-05T00:00:00Z,0.52330774
2021-07-06,2021-07-06T00:00:00Z,0.52324156
2021-07-07,2021-07-07T00:00:00Z,0.52320496
2021-07-08,2021-07-08T00:00:00Z,0.52314486
2021-07-09,2021-07-09T00:00:00Z,0.52310435
2021-07-10,2021-07-10T00:00:00Z,0.52301603
2021-07-11,2021-07-11T00:00:00Z,0.52293805
2021-07-12,2021-07-12T00:00:00Z,0.5229785
2021-07-13,2021-07-13T00:00:00Z,0.5229108
2021-07-14,2021-07-14T00:00:00Z,0.52285861
2021-07-15,2021-07-15T00:00:00Z,0.52282284
2021-07-16,2021-07-16T00:00:00Z,0.52277547
2021-07-17,2021-07-17T00:00:00Z,0.5235858
2021-07-18,2021-07-18T00:00:00Z,0.52350933
2021-07-19,2021-07-19T00:00:00Z,0.52346326
2021-07-20,2021-07-20T00:00:00Z,0.52345903
2021-07-21,2021-07-21T00:00:00Z,0.5234113
2021-07-22,2021-07-22T00:00:00Z,0.52336725
2021-07-23,2021-07-23T00:00:00Z,0.52332409
2021-07-24,2021-07-24T00:00:00Z,0.52323401
2021-07-25,2021-07-25T00:00:00Z,0.52315513
2021-07-26,2021-07-26T00:00:00Z,0.52330824
2021-07-27,2021-07-27T00:00:00Z,0.52345939
2021-07-28,2021-07-28T00:00:00Z,0.52374772
2021-07-29,2021-07-29T00:00:00Z,0.5253551
2021-07-30,2021-07-30T00:00:00Z,0.52530296
2021-07-31,2021-07-31T00:00:00Z,0.5252323
2021-08-01,2021-08-01T00:00:00Z,0.52514902
2021-08-02,2021-08-02T00:00:00Z,0.52508581
