date,Mean Coin Age
2020-12-31,1118.53347501
2021-01-01,1118.18331516
2021-01-02,1116.08310081
2021-01-03,1115.06366396
2021-01-04,1113.01938841
2021-01-05,1112.77658206
2021-01-06,1112.34860585
2021-01-07,1111.19504426
2021-01-08,1110.38648348
2021-01-09,1109.81255763
2021-01-10,1109.57723051
2021-01-11,1109.15503121
2021-01-12,1109.26386427
2021-01-13,1109.37762047
2021-01-14,1109.49530437
2021-01-15,1109.41971581
2021-01-16,1109.80558263
2021-01-17,1110.24758542
2021-01-18,1110.46013529
2021-01-19,1110.67249965
2021-01-20,1111.05127424
2021-01-21,1111.45179153
2021-01-22,1111.7440767
2021-01-23,1112.39610925
2021-01-24,1113.04997106
2021-01-25,1113.4445279
2021-01-26,1113.96884746
2021-01-27,1112.83213281
2021-01-28,1113.03676889
2021-01-29,1113.01979359
2021-01-30,1113.41653694
2021-01-31,1113.33154509
2021-02-01,1113.84011419
2021-02-02,1114.37755414
2021-02-03,1114.74706189
2021-02-04,1114.84083972
2021-02-05,1114.70324533
2021-02-06,1115.11588954
2021-02-07,1114.64366993
2021-02-08,1114.58214459
2021-02-09,1114.13800977
2021-02-10,1114.16224783
2021-02-11,1114.4096171
2021-02-12,1114.53667079
2021-02-13,1115.07000895
2021-02-14,1115.42500783
2021-02-15,1115.64166469
2021-02-16,1115.76271254
2021-02-17,1115.83053231
2021-02-18,1115.66451545
2021-02-19,1115.36094073
2021-02-20,1115.18415519
2021-02-21,1115.33903292
2021-02-22,1115.48129499
2021-02-23,1114.64847872
2021-02-24,1113.89915007
2021-02-25,1113.86086833
2021-02-26,1113.71995321
2021-02-27,1114.10969916
2021-02-28,1114.48314814
2021-03-01,1114.99142786
2021-03-02,1114.96377185
2021-03-03,1115.48249788
2021-03-04,1115.88151571
2021-03-05,1115.92877105
2021-03-06,1116.49806165
2021-03-07,1117.19332669
2021-03-08,1116.92586497
2021-03-09,1117.35338841
2021-03-10,1117.76481094
2021-03-11,1116.63281299
2021-03-12,1116.64312111
2021-03-13,1117.05453579
2021-03-14,1116.95740886
2021-03-15,1117.32456638
2021-03-16,1117.35262077
2021-03-17,1117.56684382
2021-03-18,1118.1226931
2021-03-19,1118.72725634
2021-03-20,1118.95615745
2021-03-21,1119.50174734
2021-03-22,1119.7042742
2021-03-23,1119.49253795
2021-03-24,1119.86007351
2021-03-25,1119.4893131
2021-03-26,1119.82946859
2021-03-27,1120.09561784
2021-03-28,1120.61347068
2021-03-29,1121.17168036
2021-03-30,1121.5288071
2021-03-31,1121.67025942
2021-04-01,1121.12011403
2021-04-02,1120.91776016
2021-04-03,1121.61757262
2021-04-04,1122.2670411
2021-04-05,1122.78072017
2021-04-06,1121.67066491
2021-04-07,1122.13828035
2021-04-08,1122.53960431
2021-04-09,1122.94470497
2021-04-10,1123.31166745
2021-04-11,1123.43084644
2021-04-12,1123.36910141
2021-04-13,1123.50757004
2021-04-14,1122.62400878
2021-04-15,1122.19852493
2021-04-16,1122.77843855
2021-04-17,1123.2199849
