date,timestamp_utc,Mean Coin Dollar Age
2020-12-31,2020-12-31T00:00:00Z,2481022.16670295
2021-01-01,2021-01-01T00:00:00Z,2479412.61512363
2021-01-02,2021-01-02T00:00:00Z,2469001.53387265
2021-01-03,2021-01-03T00:00:00Z,2464190.23303712
2021-01-04,2021-01-04T00:00:00Z,2461164.6554957
2021-01-05,2021-01-05T00:00:00Z,2459961.65099262
2021-01-06,2021-01-06T00:00:00Z,2458664.72355381
2021-01-07,2021-01-07T00:00:00Z,2450744.63389821
2021-01-08,2021-01-08T00:00:00Z,2445146.05916185
2021-01-09,2021-01-09T00:00:00Z,2443214.37886944
2021-01-10,2021-01-10T00:00:00Z,2445904.5717673
2021-01-11,2021-01-11T00:00:00Z,2444610.65947963
2021-01-12,2021-01-12T00:00:00Z,2447452.73471564
2021-01-13,2021-01-13T00:00:00Z,2452089.39479913
2021-01-14,2021-01-14T00:00:00Z,2455614.50381175
2021-01-15,2021-01-15T00:00:00Z,2457747.860288
2021-01-16,2021-01-16T00:00:00Z,2464471.53504137
2021-01-17,2021-01-17T00:00:00Z,2471326.43547002
2021-01-18,2021-01-18T00:00:00Z,2476574.15011591
2021-01-19,2021-01-19T00:00:00Z,2479457.44193824
2021-01-20,2021-01-20T00:00:00Z,2485595.99000873
2021-01-21,2021-01-21T00:00:00Z,2490989.23634928
2021-01-22,2021-01-22T00:00:00Z,2496739.95504052
2021-01-23,2021-01-23T00:00:00Z,2505070.5616944
2021-01-24,2021-01-24T00:00:00Z,2513746.85861547
2021-01-25,2021-01-25T00:00:00Z,2521493.39685444
2021-01-26,2021-01-26T00:00:00Z,2529231.47103029
2021-01-27,2021-01-27T00:00:00Z,2524516.6782823
2021-01-28,2021-01-28T00:00:00Z,2528333.30252919
2021-01-29,2021-01-29T00:00:00Z,2529411.42971443
2021-01-30,2021-01-30T00:00:00Z,2536110.84432124
2021-01-31,2021-01-31T00:00:00Z,2540932.76416214
2021-02-01,2021-02-01T00:00:00Z,2547569.11783471
2021-02-02,2021-02-02T00:00:00Z,2554220.89050135
2021-02-03,2021-02-03T00:00:00Z,2559847.26582455
2021-02-04,2021-02-04T00:00:00Z,2561883.12662893
2021-02-05,2021-02-05T00:00:00Z,2563170.01046465
