date,NVM Ratio
2020-12-31,0.37138593
2021-01-01,0.55061113
2021-01-02,0.46052447
2021-01-03,0.43508433
2021-01-04,0.3661015
2021-01-05,0.41528038
2021-01-06,0.37926547
2021-01-07,0.44017353
2021-01-08,0.49398843
2021-01-09,0.61876994
2021-01-10,0.51051979
2021-01-11,0.45239356
2021-01-12,0.43285554
2021-01-13,0.51282288
2021-01-14,0.53451355
2021-01-15,0.4710195
2021-01-16,0.53916449
2021-01-17,0.65532924
2021-01-18,0.58187791
2021-01-19,0.55090939
2021-01-20,0.55358478
2021-01-21,0.49979805
2021-01-22,0.50904685
2021-01-23,0.46312752
2021-01-24,0.60162036
2021-01-25,0.47986355
2021-01-26,0.43443665
2021-01-27,0.46604002
2021-01-28,0.51660004
2021-01-29,0.43314172
2021-01-30,0.54230396
2021-01-31,0.53219045
2021-02-01,0.6489428
2021-02-02,0.45046219
2021-02-03,0.49574504
2021-02-04,0.4553634
2021-02-05,0.45182664
2021-02-06,0.54355263
2021-02-07,0.54586814
2021-02-08,0.5592006
2021-02-09,0.62192601
2021-02-10,0.59452184
2021-02-11,0.79007928
2021-02-12,0.66800266
2021-02-13,0.59050657
2021-02-14,0.72919191
2021-02-15,0.68411313
2021-02-16,0.93066592
2021-02-17,0.74941303
2021-02-18,0.74094575
2021-02-19,0.67061573
2021-02-20,0.73561709
2021-02-21,0.98624373
2021-02-22,0.84160351
2021-02-23,0.81310376
2021-02-24,0.60574373
2021-02-25,0.59457994
2021-02-26,0.68679946
2021-02-27,0.59701904
2021-02-28,0.79594379
2021-03-01,0.78481569
2021-03-02,0.70710491
2021-03-03,0.67221628
2021-03-04,0.82939245
2021-03-05,0.67071073
2021-03-06,0.71612451
2021-03-07,0.86846965
2021-03-08,0.71369475
2021-03-09,0.86694071
2021-03-10,0.7506143
2021-03-11,0.9207367
2021-03-12,0.76090907
2021-03-13,0.92497327
2021-03-14,0.81413692
2021-03-15,0.76375904
2021-03-16,0.78683331
2021-03-17,0.8727956
