date,Realized Price
2020-12-31,9197.49183655
2021-01-01,9300.18064858
2021-01-02,9462.24112624
2021-01-03,9631.5785313
2021-01-04,9776.94449579
2021-01-05,9920.60383968
2021-01-06,10094.09665814
2021-01-07,10395.8942962
2021-01-08,10670.35894376
2021-01-09,10854.9927528
2021-01-10,10949.20643799
2021-01-11,11007.19047851
2021-01-12,11080.68851076
2021-01-13,11141.99026393
2021-01-14,11263.34056764
2021-01-15,11329.51473355
2021-01-16,11371.46940211
2021-01-17,11400.12776437
2021-01-18,11465.48443045
2021-01-19,11521.15404119
2021-01-20,11543.07684099
2021-01-21,11549.77646733
2021-01-22,11558.56249209
2021-01-23,11575.554776
2021-01-24,11585.99341676
2021-01-25,11613.20283797
2021-01-26,11622.25990042
2021-01-27,11688.03015514
2021-01-28,11737.55551667
2021-01-29,11848.56012921
2021-01-30,11878.21203107
2021-01-31,11913.82130904
2021-02-01,11937.21731892
2021-02-02,11992.18841991
2021-02-03,12045.89797727
2021-02-04,12127.23645365
2021-02-05,12229.61993277
2021-02-06,12297.57036798
2021-02-07,12353.59543959
2021-02-08,12497.60154378
2021-02-09,12778.07855761
2021-02-10,12925.5282343
2021-02-11,13046.79658189
2021-02-12,13171.84158809
2021-02-13,13229.28383414
2021-02-14,13283.08285252
2021-02-15,13431.95661725
2021-02-16,13521.97099807
2021-02-17,13672.99991207
2021-02-18,13840.46293142
2021-02-19,14108.10989308
2021-02-20,14308.1984448
2021-02-21,14433.42912623
2021-02-22,14542.71057778
2021-02-23,14684.116303
2021-02-24,14808.14714329
2021-02-25,14905.50009769
2021-02-26,15026.89981542
2021-02-27,15015.84468558
2021-02-28,15031.02262734
2021-03-01,15101.47562597
2021-03-02,15177.96512691
2021-03-03,15241.11812324
2021-03-04,15286.97332276
2021-03-05,15332.57967954
2021-03-06,15360.45698426
2021-03-07,15395.33877134
2021-03-08,15480.67777731
2021-03-09,15575.43512569
2021-03-10,15680.57805609
2021-03-11,15851.04063658
2021-03-12,15983.6794783
2021-03-13,16084.80388405
2021-03-14,16184.21281599
2021-03-15,16243.52151763
2021-03-16,16344.48693666
2021-03-17,16430.04896411
2021-03-18,16489.83682776
2021-03-19,16538.96913731
2021-03-20,16594.07280363
2021-03-21,16636.78334442
2021-03-22,16703.47963044
2021-03-23,16802.33605451
2021-03-24,16876.1332966
2021-03-25,16943.39925033
2021-03-26,17000.37816534
2021-03-27,17082.83007016
2021-03-28,17118.2975459
2021-03-29,17194.35222135
2021-03-30,17280.83877819
2021-03-31,17367.02836832
2021-04-01,17476.56245805
2021-04-02,17549.82432632
2021-04-03,17572.547458
2021-04-04,17601.6681559
2021-04-05,17648.07033058
2021-04-06,17943.30995091
2021-04-07,17982.81130805
