date,timestamp_utc,0d ~ 1d,1d ~ 1w,1w ~ 1m,1m ~ 3m,3m ~ 6m,6m ~ 12m,12m ~ 18m,18m ~ 2y,2y ~ 3y,3y ~ 5y,5y ~ 7y,7y ~ 10y,10y ~
2020-12-31,2020-12-31T00:00:00Z,1695470.08196629,167683.65168447,34735.30976481,16420.25831004,5915.58949509,8832.92078203,4174.39574752,1744.31510743,6178.44439355,2090.26842553,617.89390223,536.38237431,0.0
2021-01-01,2021-01-01T00:00:00Z,1426984.10348427,73617.64329855,22457.57451803,15273.58109872,37976.81378641,6591.41783799,1572.47838781,5115.88315427,11100.29517686,1377.39086162,288.93130445,103.8508027,5.0
2021-01-02,2021-01-02T00:00:00Z,1925870.11004236,111327.57021766,31607.12556254,13177.19488725,5777.82432623,10834.93935841,3245.27375116,18527.49615286,36768.2575036,4861.20267953,462.56579279,1049.93546826,0.05
2021-01-03,2021-01-03T00:00:00Z,1979968.13054813,76007.14997795,77326.9721987,16281.57054535,20474.02364542,16261.82164294,7716.52829837,2768.37244662,5190.2734556,6301.48585746,487.04468346,734.40907546,1300.0
2021-01-04,2021-01-04T00:00:00Z,1644638.26343997,106647.58907061,61978.89711308,59872.71094984,6333.07265313,10355.289182,4833.20311626,4340.66811762,5321.35464229,6919.81909107,263.55038264,9935.35314309,0.5
2021-01-05,2021-01-05T00:00:00Z,1982389.84170518,95703.72012933,28427.56175103,64071.81335447,11758.33718437,11016.39970121,3124.53917021,6022.14287063,3344.73642984,2512.25792103,262.83772041,298.76807803,0.0
2021-01-06,2021-01-06T00:00:00Z,1876022.39406076,116771.64577927,46624.19445364,60096.88522427,8603.62784079,5549.13515468,2216.58889099,2543.44209055,4154.05943283,6547.65361847,1018.77453467,187.93846839,0.15
2021-01-07,2021-01-07T00:00:00Z,2414343.48835731,140785.05194476,49231.68165215,87137.77525118,13936.59190528,16317.92205798,5207.76674917,7190.09587967,8554.22987804,5166.68422701,628.54629201,1607.31386681,5.05
2021-01-08,2021-01-08T00:00:00Z,2213356.39058434,121825.13218409,46201.48320738,79288.23106272,13792.38489468,22059.59446174,5578.96149652,3968.65932854,5447.98552582,5214.21779666,206.41083643,940.74559146,100.1
2021-01-09,2021-01-09T00:00:00Z,1741470.39239791,51788.96076725,25829.0258002,54920.10337467,13132.13088523,9021.07736087,15274.29853866,4124.14127919,2305.82186998,4076.63912756,353.99154598,963.22633726,0.0
2021-01-10,2021-01-10T00:00:00Z,1673893.94767592,52062.935054,17484.28381416,31797.08470503,3810.59867917,7186.42508662,2080.94718487,4366.38238226,4289.40857458,2604.07765934,587.9416551,353.50190685,1050.0
2021-01-11,2021-01-11T00:00:00Z,2224626.07785429,103761.59915743,34851.24892513,28690.23817023,13390.44628116,15823.84375761,3966.26846505,1833.08578334,5925.00662761,3059.01673779,224.94454068,1553.66021242,0.0
2021-01-12,2021-01-12T00:00:00Z,2003864.63062155,95485.24123816,65486.47656833,22372.1991015,6962.08857987,4839.39030294,1646.00716154,2669.37244584,3050.05452173,2940.65335499,221.30266554,266.84672084,0.0
2021-01-13,2021-01-13T00:00:00Z,1619819.08079677,83617.46598658,35095.49892152,23402.26160693,6808.58324097,2885.72441911,2173.81248558,1369.59312331,1670.68754291,2421.46411587,92.01212694,1562.35808255,0.0
2021-01-14,2021-01-14T00:00:00Z,1719538.21919782,114129.86413694,63851.01414005,12056.70649213,4377.73472599,8375.64520027,1904.07479008,5378.10873804,1755.96567779,2042.1730423,184.54105552,397.76030691,50.0
2021-01-15,2021-01-15T00:00:00Z,1575920.36277763,70884.53012746,44695.68250965,8540.61317994,4206.33104091,10450.37286991,12480.72984959,1291.19216705,3656.09980694,2040.45861192,316.17503031,328.16829909,0.0
2021-01-16,2021-01-16T00:00:00Z,1613618.0502441,43694.22495023,18060.58482117,4975.39049753,2902.65240381,7232.27419512,1107.04855978,894.99515542,3042.76385394,2171.63316171,265.98018924,152.58632494,0.0
2021-01-17,2021-01-17T00:00:00Z,1336656.58543125,54344.09110444,9414.93315063,9547.54123582,3031.06880393,3947.83059725,2253.74088827,1659.89283439,2665.60671524,1320.98193264,125.02392181,260.9174724,0.0
2021-01-18,2021-01-18T00:00:00Z,1657492.55517335,65118.22190035,17137.71406366,21853.41966666,5494.86423677,11388.95700324,1558.74485113,720.84122899,5359.51640244,1592.03904469,138.15598456,93.29686937,50.0
2021-01-19,2021-01-19T00:00:00Z,1880351.48778071,99852.01438438,95183.15365626,18305.65532626,4821.30216734,3404.50392337,1106.15774921,1377.0036785,3404.93106714,2278.26810791,314.19684198,393.39848658,30.01
2021-01-20,2021-01-20T00:00:00Z,1846574.71195303,100197.05803891,50167.27837779,10827.40211967,3120.23934303,2818.41687793,1183.81667571,1182.55047046,1264.76295582,2284.54520082,455.93467021,249.99650292,0.2
2021-01-21,2021-01-21T00:00:00Z,2046198.72828661,77747.31864256,43168.45102504,21546.32630474,6415.59891549,7253.50664478,1759.07202932,2267.07763882,1180.31270381,1372.9072836,261.6385156,37.11352932,0.0
2021-01-22,2021-01-22T00:00:00Z,1863360.4066296,70460.59693028,43045.57085411,9843.95196045,2188.41018699,3095.63281438,880.80274459,862.9954683,1789.41242268,4233.02497696,144.45262632,337.80930835,0.0
2021-01-23,2021-01-23T00:00:00Z,1559721.64755761,33175.76077857,18945.19185029,13816.18115332,3640.69692498,1540.01226845,1009.86062666,681.65981194,958.99708461,1636.81578895,119.33038288,59.27978983,0.0
2021-01-24,2021-01-24T00:00:00Z,1442145.4003043,45210.36419251,15290.7287507,3709.39131243,2283.8992521,1736.67657171,1021.50342061,801.31369426,798.42248015,1662.12705098,107.70338586,63.07037144,0.0
2021-01-25,2021-01-25T00:00:00Z,2187563.72992943,78796.45649814,25285.12065036,10762.56804952,2515.1405144,2429.77864871,674.67285314,1475.47054779,836.24754104,882.75845595,278.93013881,26.34833422,1150.55
2021-01-26,2021-01-26T00:00:00Z,1582933.51499162,70995.34609787,28135.67054475,8882.21167107,4782.26493505,2766.60882563,867.92184248,639.87313206,748.77924275,1145.7649177,717.80829076,262.02682668,0.0
2021-01-27,2021-01-27T00:00:00Z,1792198.99532072,84768.32670702,39825.53183139,18656.42073781,7220.14470819,11647.51043427,626.12288872,1801.67875318,36181.42335478,1377.94034565,129.48632853,38.08590593,0.0
2021-01-28,2021-01-28T00:00:00Z,2016412.2685512,85402.07360578,33425.34726521,21461.48108685,10489.22691638,4909.95693187,1310.98863718,913.52716458,4116.4969557,1862.62491233,180.50819475,267.48838702,0.0
2021-01-29,2021-01-29T00:00:00Z,2257586.05617637,107174.35683857,65684.99459042,28034.72426344,9895.17239932,12326.26636605,1365.33801986,3898.74006492,3632.84053544,2612.48814603,55.01107901,67.11211576,0.0
2021-01-30,2021-01-30T00:00:00Z,1843760.59535339,53743.75660065,25457.13651214,18902.91392709,1698.01880034,1952.73580538,5155.54423234,2345.93462205,1573.86704354,1126.84185515,107.38187224,518.16006682,0.0
2021-01-31,2021-01-31T00:00:00Z,1884192.61356256,52010.92434455,17177.08743336,11738.77182651,2965.97294554,1582.36746842,1672.75008435,4597.07753628,12267.219753,1193.00925889,213.28166969,740.44974764,0.05
2021-02-01,2021-02-01T00:00:00Z,1699048.38469345,115504.36328897,31329.06075503,16593.11854683,3802.8005867,1907.15066328,755.56249824,544.76930924,927.86135206,1534.02919331,644.73683153,16.4605684,0.0
2021-02-02,2021-02-02T00:00:00Z,1840523.83083461,71332.49996638,21121.67452789,27366.69849236,7828.42258463,3193.50010924,2123.2801514,1060.20834107,1194.27236056,1076.16335024,32.70742373,153.7185345,0.0
2021-02-03,2021-02-03T00:00:00Z,1920114.66883078,84501.47277018,30356.94487271,15546.37187538,2394.2720578,2260.36942576,1143.66412936,845.48174856,3860.20827998,3029.40498377,60.81435036,94.48399793,0.0
2021-02-04,2021-02-04T00:00:00Z,1970940.69316093,106602.2507338,34675.36017295,45590.73720126,4965.06652806,7564.31018012,1227.20038949,1190.71791454,4808.63456304,2168.23523918,267.58804381,168.55208302,50.0
2021-02-05,2021-02-05T00:00:00Z,1779566.5002575,65964.62149271,34909.67841562,55352.795876,2854.33545927,1961.83245188,1167.45451752,5213.91663216,9168.70111806,2376.64552643,51.73021372,229.75879433,0.0
2021-02-06,2021-02-06T00:00:00Z,2044329.34091842,61075.72162589,19758.28619251,10109.24343535,10404.27505395,3236.6987218,1456.58082499,1302.90763354,1120.150785,2614.58217638,133.19837097,314.24161318,0.0
2021-02-07,2021-02-07T00:00:00Z,1919621.78307572,67164.65195714,14186.31373236,29037.50540315,3383.39090204,2814.3514116,880.01679036,671.50305025,1148.30132178,1469.30347174,295.11049159,6730.15049928,0.11
2021-02-08,2021-02-08T00:00:00Z,2057277.78036388,109997.73963617,37327.74414939,32795.94459835,5458.40191693,7338.08616774,4527.91856072,1700.82056563,1403.83329511,2753.06139266,106.84139904,1958.21249051,0.0
