date,0 ~ 0.01 BTC,0.01 ~ 0.1 BTC,0.1 ~ 1 BTC,1 ~ 10 BTC,10 ~ 100 BTC,100 ~ 1K BTC,1K ~ 10K BTC,10K ~ BTC
2020-12-31,1641.35468479,9169.00433799,33281.11442166,118387.13438394,277702.03672869,314689.92942592,203422.44334299,986106.49462732
2021-01-01,1541.61597703,6580.60080753,24258.62350692,81910.4819192,194717.77933212,205960.58664746,159706.18489821,927789.09062321
2021-01-02,1769.91922977,6976.03240134,33250.08618039,118806.31275254,256609.61771854,405736.89346897,70730.10194986,1269630.58204124
2021-01-03,1543.93223549,8089.04943227,36137.02489433,123326.89338579,263726.34922016,289064.06136963,94738.86848332,1394191.60335447
2021-01-04,1748.751749,9040.42663067,39184.56755873,146000.60104607,350067.79772218,383373.83151911,179371.23570352,812653.05897232
2021-01-05,1667.31539036,8061.90372489,33135.52432657,137739.17652439,307006.07997042,373754.57738817,158821.87138416,1188746.50730678
2021-01-06,1695.72803249,10153.47464724,38136.57475673,145523.49345757,306665.29781029,358618.39426305,210485.05357757,1059058.47300437
2021-01-07,1495.27010389,9046.21430232,40738.20430671,167899.51817948,368462.55494134,476341.58475846,185548.39441942,1500580.45704975
2021-01-08,1324.99007031,8048.16311886,37352.15603585,154331.87643092,326420.92980512,460050.92406507,183515.82411548,1346935.43332877
2021-01-09,1340.66178787,6515.35421205,27340.18489958,111168.02221726,189958.73676998,208637.19151841,156197.29327845,1222102.36460116
2021-01-10,1498.81516173,6975.96320522,29452.01662619,113884.72129014,233784.23959595,273539.68667589,40177.10970409,1102254.98211869
2021-01-11,1543.75783136,8209.84443162,39684.70461002,153744.79670542,318913.66764634,460799.5654514,120426.46658159,1334382.63325499
2021-01-12,1431.34262945,8031.05648627,34579.46208477,134816.32761725,307226.51991009,358205.88340845,99175.38155354,1266338.28959301
2021-01-13,1536.82990943,7491.44689239,29340.22261708,111375.85211833,255386.67595067,356051.14269221,92802.85090401,926933.52136492
2021-01-14,1414.40417522,7777.12205156,31392.44066213,128706.33961693,282686.01188283,371292.46462794,149808.2549774,960964.76950983
2021-01-15,1490.56003924,7505.61416554,30054.42835244,112177.51361944,270609.23927814,363865.74097794,77300.3082282,871807.31160946
2021-01-16,1410.45461316,6374.441343,25239.04629836,85571.63983206,197203.20222155,232228.01804196,38225.3509921,1111866.0310148
2021-01-17,1351.03922518,5463.32205947,22444.46914865,83722.26785309,188527.77797334,220808.26085764,26950.6585043,875960.4184664
2021-01-18,1400.82034338,7120.98685532,27639.60140359,100932.32866715,209038.65675255,353908.63858307,54189.01536675,1033768.2784534
2021-01-19,1464.54898575,7707.43269658,29325.13854383,108005.38294924,243809.93839129,365780.73529751,126179.31052474,1228549.5957807
2021-01-20,1393.7894396,6720.49630719,27364.56826272,108723.90857033,231337.65887419,326371.10619019,232918.38181214,1085497.00372994
2021-01-21,1340.97359665,6939.57788012,28661.71375178,115933.39381115,301274.54875757,285381.41953177,102463.80866107,1367212.61552958
2021-01-22,1360.76058113,7531.18856744,30266.69943689,121731.57630255,274321.01904124,311274.17344221,67053.3973514,1186704.25220015
2021-01-23,1562.82682257,6845.70880009,24685.9691761,88170.62538449,179485.75686118,205756.8858735,31021.76272931,1097775.89837085
2021-01-24,1440.16412435,6690.20505814,23652.29629451,81251.2280336,151830.66682595,168719.72886657,13623.98090188,1067622.33068205
2021-01-25,1400.38987802,7081.41167512,28341.39903218,113250.28377735,246417.54156672,304281.07471475,38893.44997047,1573012.2215469
2021-01-26,1610.44718988,8313.11163493,28282.21465638,115594.12136792,240344.75653873,287439.33141989,59721.00740972,961572.80110097
2021-01-27,1353.72597358,7729.7097113,28507.73410216,114184.19533036,247319.52667763,301188.25742838,129412.01633096,1164776.50176182
2021-01-28,1493.34493331,7293.14680374,27192.82177182,110889.66459814,244524.4652957,315010.59221475,227509.01818562,1246838.93480577
2021-01-29,1518.46721079,8401.64618495,33514.24187746,139344.1657564,323564.13332893,507863.0575972,203902.10763065,1274225.28100881
2021-01-30,1375.5435074,6892.61885296,24415.61748103,101019.6099586,212901.24219603,281679.29112337,81202.25329085,1246856.71028089
