date,0 ~ 1 USD,1 ~ 10 USD,10 ~ 100 USD,100 ~ 1K USD,1K ~ 10K USD,10K ~ 100K USD,100K ~ 1M USD,1M ~ USD
2020-12-31,4390.1897992,298001.67175015,15092412.51374892,125053756.89911892,517260363.5872697,1960737809.3559685,6624699109.588304,46781539906.7687
2021-01-01,11056.03598569,461131.84229272,15185969.55583679,109169170.5873759,357405952.86029863,1350465544.4473436,4971088397.823866,40067533705.31635
2021-01-02,5675.85056006,286750.45680726,15759746.95523679,116229208.1850406,454758859.3518694,1962021634.4123647,6446583317.755665,58483742564.90275
2021-01-03,4107.14131126,314690.31377165,13145026.29555842,122835193.45024468,563824307.9761984,2179462552.721072,6754281124.907847,64230536014.3221
2021-01-04,4253.72081569,326380.93918418,15397937.70458036,139607090.4710996,589966528.5800475,2488079104.000677,8167500580.766371,49626174581.07776
2021-01-05,2440.13555867,254132.85936718,12591615.86203982,128244342.47107796,507268645.8867023,2237636386.642064,7183127418.476757,61237827146.97214
2021-01-06,2666.6116821,297668.97918768,15251430.78159223,142529723.65538254,653321184.2354636,2318154436.7149863,7770238356.792519,63448394791.33623
2021-01-07,3126.7401319,257821.60438321,11530490.52478824,133327561.42903018,669662463.7774711,2713799816.742372,9545567747.277388,91964620196.14876
2021-01-08,1872.86964127,184648.54232864,10486120.93915108,119049432.02202532,587522561.2186918,2651014688.573095,9135007260.52131,88068178358.70325
2021-01-09,1332.62573488,259513.85386482,11651127.97088401,108750801.69274329,469575528.9947646,1936606819.348173,6100890115.192409,68949194238.30179
2021-01-10,2484.95174129,342514.48219801,16410900.09844567,114843452.02863812,525890855.9685205,1909252876.839208,6545378508.721418,61964272374.22805
2021-01-11,2275.92880813,232786.26526774,11554055.90502212,126715871.17465466,574635541.330222,2507215591.230856,8070868405.021885,71822569666.32306
2021-01-12,1422.46473218,159746.72783632,13851036.29286109,117948404.71275306,567400050.6561508,2213417801.9677205,7332815519.571939,66768249275.5069
2021-01-13,1168.41953967,237570.1102778,15975523.73670628,115650262.1219546,486037676.9068384,1839992299.174601,6142004989.773021,53479875774.30943
2021-01-14,1412.82385623,213906.62296784,11434901.74909523,123743180.26858424,529777993.9023876,2134688100.4822547,7721538528.707461,64079415395.03503
2021-01-15,1471.72571531,292288.99022799,14424099.62300235,120847003.502605,514378306.77403486,1994894815.189388,6937560963.430155,55276106752.118
2021-01-16,4396.51464841,399172.60644957,13935160.10217006,105820822.30586758,438255834.08306223,1600713301.3306403,5141459277.813115,55099147686.93796
2021-01-17,4956.90192244,357006.95742325,13854976.39129201,96759039.23592743,380130141.9520297,1351455846.1722698,4850858689.714824,44189367259.55695
2021-01-18,4693.90320383,314487.52879151,13273365.36659393,113686052.90583478,476099130.6657895,1776340719.8357255,5761509044.30636,56373793648.06177
2021-01-19,2945.0666356,234476.79494821,12890747.55068272,125162407.14968236,497751612.9637516,1885209643.753078,6652373917.357139,68571075082.08849
2021-01-20,3675.93044856,258360.24504889,12219921.98160953,106754870.51018648,448800517.28299046,1770501735.9302526,6213843488.622503,62460477270.73658
2021-01-21,1297.57139161,153807.63667105,11850230.64093205,105929870.44891024,451610714.7340761,1799736563.6143034,6531464308.787868,63435174462.64592
2021-01-22,1921.77166246,225566.3844377,12152752.10256943,109628711.0752859,472873320.979941,1881232759.860508,6307289535.514362,54771041002.35385
2021-01-23,6644.54656771,442459.39218038,16102546.10111106,114840732.81396902,397941583.57168806,1433308424.5173118,4464602044.844046,46470689123.69577
2021-01-24,7169.80594417,441083.27238949,12724951.6291339,110265729.24991044,391879767.65001553,1313914218.4935205,4401867590.972415,42580644136.27285
2021-01-25,2681.27063877,298171.75523741,13807570.60411574,108107288.6550632,444887517.50387657,1872954734.0615249,6687815226.859169,68167607901.56246
2021-01-26,5589.18693298,399525.69381296,16287174.88587112,124323684.42332758,481779739.2300797,1836592300.198496,5688984051.197883,46402591269.37867
