date,Sum Coin Age
2020-12-31,20790100377.259537
2021-01-01,20784633289.177284
2021-01-02,20746648105.377693
2021-01-03,20728799120.22571
2021-01-04,20691999919.60063
2021-01-05,20688577851.000942
2021-01-06,20681851515.063923
2021-01-07,20661570148.61888
2021-01-08,20647562869.591675
2021-01-09,20637854905.635
2021-01-10,20634581451.046432
2021-01-11,20627797460.23401
2021-01-12,20630847578.678204
2021-01-13,20634017203.117275
2021-01-14,20637225429.80867
2021-01-15,20636894192.352
2021-01-16,20645091534.15311
2021-01-17,20654236758.23125
2021-01-18,20659197235.336525
2021-01-19,20664182414.24828
2021-01-20,20672208670.22125
2021-01-21,20680556798.763363
2021-01-22,20686975013.383007
2021-01-23,20700192410.57323
2021-01-24,20713326861.28765
2021-01-25,20721643638.726803
2021-01-26,20732522365.08068
2021-01-27,20712354149.99996
2021-01-28,20717171583.87908
2021-01-29,20717912989.71656
2021-01-30,20726244432.3548
2021-01-31,20725664307.73608
2021-02-01,20735960195.692734
2021-02-02,20747031144.542915
2021-02-03,20754955566.70225
2021-02-04,20757816411.53968
2021-02-05,20756431875.14677
2021-02-06,20765223700.01843
2021-02-07,20757516999.259605
2021-02-08,20757499756.02004
2021-02-09,20750224140.086884
2021-02-10,20751671342.4882
2021-02-11,20757177177.712296
2021-02-12,20760532851.27607
2021-02-13,20771561532.43547
2021-02-14,20779206230.68941
2021-02-15,20784302182.982506
2021-02-16,20787401088.70854
2021-02-17,20789627019.490448
2021-02-18,20787489158.82033
2021-02-19,20782899402.31272
2021-02-20,20780622902.66384
2021-02-21,20784491827.317963
2021-02-22,20788070142.3097
2021-02-23,20773434560.87678
2021-02-24,20760576440.073563
2021-02-25,20760948969.898327
2021-02-26,20759290035.925858
2021-02-27,20767647961.20808
2021-02-28,20775521750.57842
2021-03-01,20785902723.078136
2021-03-02,20786383653.530872
2021-03-03,20797114024.60693
2021-03-04,20805446040.167355
2021-03-05,20807366317.011345
2021-03-06,20819041859.548508
2021-03-07,20833025720.17923
2021-03-08,20829120209.352394
2021-03-09,20838070613.63404
2021-03-10,20846784353.22571
2021-03-11,20826593336.676308
2021-03-12,20827832449.944344
2021-03-13,20836504599.09244
2021-03-14,20835788897.292706
2021-03-15,20843671399.166763
2021-03-16,20845235289.86368
2021-03-17,20850181747.434338
2021-03-18,20861614313.504955
2021-03-19,20873928904.52179
2021-03-20,20879276884.32532
2021-03-21,20890548887.65488
2021-03-22,20895384877.10076
2021-03-23,20892560044.93713
2021-03-24,20900483054.61373
2021-03-25,20894640884.65329
2021-03-26,20901941553.24993
2021-03-27,20908022400.790894
2021-03-28,20918802396.48324
2021-03-29,20930280759.156
2021-03-30,20937971074.483883
2021-03-31,20941712505.71671
2021-04-01,20932457243.01651
2021-04-02,20929659891.910336
2021-04-03,20943645042.87533
2021-04-04,20956796450.030907
2021-04-05,20967483413.397453
2021-04-06,20947763077.48562
2021-04-07,20957597128.6737
2021-04-08,20966032575.475124
2021-04-09,20974665566.93456
2021-04-10,20982622041.25318
2021-04-11,20985866325.441143
2021-04-12,20985723950.094746
2021-04-13,20989307805.02637
2021-04-14,20973748375.34146
2021-04-15,20967005512.89728
2021-04-16,20978563329.084183
2021-04-17,20987452237.75209
2021-04-18,20973075487.42744
2021-04-19,20986540147.809326
2021-04-20,20990975015.47654
2021-04-21,21001656948.581635
2021-04-22,21007182352.816208
2021-04-23,21008589845.7312
2021-04-24,21005205863.76685
2021-04-25,21009699604.27679
2021-04-26,21015674186.72004
2021-04-27,21008896048.18412
2021-04-28,21016762396.507538
2021-04-29,21019805218.607525
2021-04-30,21017906606.37409
2021-05-01,21030644269.55989
2021-05-02,21042291859.57864
2021-05-03,21048743591.386955
2021-05-04,21055203124.20847
2021-05-05,21063851712.05163
2021-05-06,21072193879.660946
2021-05-07,21065791180.243134
2021-05-08,21077298232.319244
2021-05-09,21085727547.72272
2021-05-10,21093485143.48756
