date,Supply-Adjusted CDD
2020-12-31,1.02831335
2021-01-01,1.29471647
2021-01-02,3.044544
2021-01-03,1.948569
2021-01-04,2.98983606
2021-01-05,1.18154133
2021-01-06,1.34959163
2021-01-07,2.10605183
2021-01-08,1.74854462
2021-01-09,1.51642117
2021-01-10,1.18035233
2021-01-11,1.3632269
2021-01-12,0.83770771
2021-01-13,0.83131265
2021-01-14,0.83106473
2021-01-15,0.99677768
2021-01-16,0.5657768
2021-01-17,0.51770164
2021-01-18,0.73430773
2021-01-19,0.73198514
2021-01-20,0.55470978
2021-01-21,0.56081985
2021-01-22,0.62053157
2021-01-23,0.332014
2021-01-24,0.29331777
2021-01-25,0.54786936
2021-01-26,0.41611563
2021-01-27,2.08900838
2021-01-28,0.73000259
2021-01-29,0.97203394
2021-01-30,0.54938228
2021-01-31,1.03101538
2021-02-01,0.40171451
2021-02-02,0.4522564
2021-02-03,0.5760719
2021-02-04,0.84242869
2021-02-05,1.0657554
2021-02-06,0.53946339
2021-02-07,1.41415191
2021-02-08,0.98660966
2021-02-09,1.40624271
2021-02-10,0.89419064
2021-02-11,0.72800573
2021-02-12,0.82041978
2021-02-13,0.40505697
2021-02-14,0.55397624
2021-02-15,0.7643214
2021-02-16,0.83751306
2021-02-17,0.87180394
2021-02-18,1.11385388
2021-02-19,1.25374141
2021-02-20,1.12428965
2021-02-21,0.76844236
2021-02-22,0.8055513
2021-02-23,1.80959787
2021-02-24,1.69215783
2021-02-25,0.9777472
2021-02-26,1.08888851
2021-02-27,0.55005438
2021-02-28,0.57960033
2021-03-01,0.44195682
2021-03-02,0.97723899
2021-03-03,0.42364107
2021-03-04,0.55115729
2021-03-05,0.89841654
2021-03-06,0.36831206
2021-03-07,0.25534175
2021-03-08,1.20856101
2021-03-09,0.51245901
2021-03-10,0.5329365
2021-03-11,2.06211385
2021-03-12,0.93833747
2021-03-13,0.55561524
2021-03-14,1.03656376
2021-03-15,0.5817652
2021-03-16,0.90463531
2021-03-17,0.74463147
2021-03-18,0.37668991
2021-03-19,0.35470317
2021-03-20,0.71303387
2021-03-21,0.38571136
2021-03-22,0.74444606
2021-03-23,1.15499967
2021-03-24,0.5789768
2021-03-25,1.30531758
2021-03-26,0.61237236
2021-03-27,0.67750922
2021-03-28,0.42148809
2021-03-29,0.37991811
2021-03-30,0.59509926
2021-03-31,0.79714876
2021-04-01,1.49455155
2021-04-02,1.14682371
2021-04-03,0.24725553
2021-04-04,0.29969453
2021-04-05,0.43357209
2021-04-06,2.05435769
2021-04-07,0.47356617
2021-04-08,0.51785437
2021-04-09,0.56629763
2021-04-10,0.57101467
2021-04-11,0.83257618
2021-04-12,1.00240518
2021-04-13,0.80690676
2021-04-14,1.83427549
2021-04-15,1.36347291
2021-04-16,0.38307409
2021-04-17,0.52323679
2021-04-18,1.75758856
2021-04-19,0.28319927
2021-04-20,0.77091317
2021-04-21,0.42515829
2021-04-22,0.69550416
