date,Miner Depositing Addresses
2009-01-09,14
2009-01-10,61
2009-01-11,93
2009-01-12,97
2009-01-13,123
2009-01-14,129
2009-01-15,128
2009-01-16,109
2009-01-17,109
2009-01-18,107
2009-01-19,115
2009-01-20,114
2009-01-21,102
2009-01-22,92
2009-01-23,84
2009-01-24,201
2009-01-25,191
2009-01-26,96
2009-01-27,97
2009-01-28,112
2009-01-29,121
2009-01-30,117
2009-01-31,138
2009-02-01,113
2009-02-02,128
2009-02-03,147
2009-02-04,119
2009-02-05,126
2009-02-06,122
2009-02-07,130
2009-02-08,133
2009-02-09,134
2009-02-10,120
2009-02-11,133
2009-02-12,119
2009-02-13,124
2009-02-14,136
2009-02-15,129
2009-02-16,122
2009-02-17,117
2009-02-18,118
2009-02-19,124
2009-02-20,122
2009-02-21,114
2009-02-22,121
2009-02-23,108
2009-02-24,106
2009-02-25,105
2009-02-26,107
2009-02-27,115
2009-02-28,99
2009-03-01,105
2009-03-02,108
2009-03-03,105
2009-03-04,104
2009-03-05,112
2009-03-06,117
2009-03-07,109
2009-03-08,115
2009-03-09,108
2009-03-10,107
2009-03-11,114
2009-03-12,118
2009-03-13,113
2009-03-14,110
2009-03-15,123
2009-03-16,121
2009-03-17,114
2009-03-18,114
2009-03-19,122
2009-03-20,118
2009-03-21,50
2009-03-22,119
2009-03-23,130
2009-03-24,105
2009-03-25,117
2009-03-26,117
2009-03-27,106
2009-03-28,119
2009-03-29,116
2009-03-30,120
2009-03-31,110
2009-04-01,114
2009-04-02,115
2009-04-03,116
2009-04-04,113
2009-04-05,130
2009-04-06,109
2009-04-07,100
2009-04-08,105
2009-04-09,99
2009-04-10,108
2009-04-11,120
2009-04-12,118
2009-04-13,115
2009-04-14,124
2009-04-15,113
2009-04-16,123
2009-04-17,112
2009-04-18,127
2009-04-19,119
2009-04-20,119
2009-04-21,123
2009-04-22,121
2009-04-23,75
2009-04-24,115
2009-04-25,118
2009-04-26,112
2009-04-27,104
2009-04-28,117
2009-04-29,128
2009-04-30,131
2009-05-01,121
2009-05-02,128
2009-05-03,108
2009-05-04,128
2009-05-05,135
2009-05-06,135
2009-05-07,122
2009-05-08,107
2009-05-09,78
2009-05-10,85
2009-05-11,122
2009-05-12,130
2009-05-13,114
2009-05-14,142
2009-05-15,136
2009-05-16,119
2009-05-17,127
2009-05-18,118
2009-05-19,86
2009-05-20,120
2009-05-21,82
2009-05-22,61
2009-05-23,32
2009-05-24,100
2009-05-25,109
2009-05-26,125
2009-05-27,119
2009-05-28,95
2009-05-29,106
2009-05-30,109
2009-05-31,96
2009-06-01,73
2009-06-02,111
2009-06-03,71
2009-06-04,66
2009-06-05,30
2009-06-06,28
2009-06-07,16
2009-06-08,82
2009-06-09,91
2009-06-10,82
2009-06-11,89
2009-06-12,86
2009-06-13,78
2009-06-14,72
2009-06-15,84
2009-06-16,71
2009-06-17,79
2009-06-18,80
2009-06-19,87
2009-06-20,78
2009-06-21,81
2009-06-22,76
2009-06-23,76
2009-06-24,96
2009-06-25,68
2009-06-26,90
2009-06-27,84
2009-06-28,48
2009-06-29,85
2009-06-30,85
2009-07-01,74
2009-07-02,84
2009-07-03,82
2009-07-04,89
2009-07-05,79
2009-07-06,84
2009-07-07,69
2009-07-08,74
2009-07-09,86
2009-07-10,81
2009-07-11,83
2009-07-12,77
2009-07-13,78
