date,Miner to Exchange Flow (Total)
2012-04-25,383.698
2012-04-26,0.0
2012-04-27,0.0
2012-04-28,12.815
2012-04-29,0.0
2012-04-30,0.0
2012-05-01,65.75
2012-05-02,0.0
2012-05-03,102.168
2012-05-04,285.021
2012-05-05,379.468
2012-05-06,0.0
2012-05-07,0.0
2012-05-08,0.0
2012-05-09,0.0
2012-05-10,0.0
2012-05-11,192.73
2012-05-12,0.0
2012-05-13,0.0
2012-05-14,0.0
2012-05-15,0.0
2012-05-16,0.0
2012-05-17,0.0
2012-05-18,348.068
2012-05-19,364.52
2012-05-20,0.0
2012-05-21,0.0
2012-05-22,0.0
2012-05-23,0.0
2012-05-24,0.0
2012-05-25,35.14563
2012-05-26,0.0
2012-05-27,242.6
2012-05-28,12.86112108
2012-05-29,4.6
2012-05-30,8.66144426
2012-05-31,0.0
2012-06-01,5.63644431
2012-06-02,0.0
2012-06-03,0.0
2012-06-04,20.85083102
2012-06-05,64.96411748
2012-06-06,0.0
2012-06-07,1.0
2012-06-08,0.0
2012-06-09,0.0
2012-06-10,11.3109
2012-06-11,0.0
2012-06-12,21.04698193
2012-06-13,45.98317849
2012-06-14,1.0
2012-06-15,76.4485055
2012-06-16,10.65
2012-06-17,11.04147985
2012-06-18,29.88992601
2012-06-19,0.0
2012-06-20,22.25689353
2012-06-21,400.79638549
2012-06-22,16.03912853
2012-06-23,4.94637042
2012-06-24,19.61972348
2012-06-25,24.15198908
2012-06-26,22.91698713
2012-06-27,13.18
2012-06-28,37.55762618
2012-06-29,12.20094446
2012-06-30,1.4052141
2012-07-01,15.65849608
2012-07-02,18.82929207
2012-07-03,4.34104457
2012-07-04,3.59742979
2012-07-05,6.11422634
2012-07-06,2.04260946
2012-07-07,25.99895271
2012-07-08,17.77217
2012-07-09,15.67810661
2012-07-10,12.11816911
2012-07-11,49.78347656
2012-07-12,1.11200579
2012-07-13,15.55151908
2012-07-14,7.27146131
2012-07-15,282.87828329
2012-07-16,63.28022403
2012-07-17,67.93206484
2012-07-18,16.39998099
2012-07-19,0.0
2012-07-20,5.26344509
2012-07-21,15.45361831
2012-07-22,3.39324697
2012-07-23,5.80917699
2012-07-24,16.32253
2012-07-25,5.37004337
2012-07-26,26.02482612
2012-07-27,11.27524729
2012-07-28,0.0
2012-07-29,26.2815323
2012-07-30,16.67729926
2012-07-31,19.27745896
2012-08-01,4.1565
2012-08-02,0.0
2012-08-03,0.0
2012-08-04,2.0
2012-08-05,5.53415031
2012-08-06,0.5
2012-08-07,0.0
2012-08-08,0.0
2012-08-09,37.2005826
2012-08-10,9.7295
2012-08-11,0.76651075
2012-08-12,0.0
2012-08-13,18.46294483
2012-08-14,2.61108638
2012-08-15,9.7
2012-08-16,7.51
2012-08-17,0.59
2012-08-18,0.0009
2012-08-19,11.0
2012-08-20,0.0
2012-08-21,1.0
2012-08-22,1.0
2012-08-23,0.0
2012-08-24,0.7698
2012-08-25,0.0
2012-08-26,0.0
2012-08-27,9.13666825
2012-08-28,0.54324755
2012-08-29,1.00165
2012-08-30,0.40165869
2012-08-31,0.0
2012-09-01,0.0
2012-09-02,5.07801157
2012-09-03,0.0103946
2012-09-04,44.79041921
2012-09-05,0.03322287
2012-09-06,14.89679482
2012-09-07,0.01170615
2012-09-08,1.1587922
2012-09-09,0.01331083
2012-09-10,1.85084521
2012-09-11,3.11701042
2012-09-12,5.54697895
2012-09-13,0.03423954
2012-09-14,3.69466718
2012-09-15,2.5409278
2012-09-16,3.93446595
2012-09-17,18.55108528
2012-09-18,1.33692783
2012-09-19,4.48377
2012-09-20,0.302
2012-09-21,1.07555246
2012-09-22,10.78481642
2012-09-23,0.0
2012-09-24,48.90343983
2012-09-25,11.39103333
2012-09-26,0.0513
2012-09-27,7.03831423
2012-09-28,15.78254
2012-09-29,0.0514408
2012-09-30,1.02357522
2012-10-01,0.0532493
2012-10-02,0.0
2012-10-03,0.0006
2012-10-04,0.0
2012-10-05,0.00149995
2012-10-06,0.00149995
2012-10-07,0.00239992
2012-10-08,18.84421697
2012-10-09,0.0014
2012-10-10,0.05488655
2012-10-11,0.0
2012-10-12,1.01480836
2012-10-13,0.0524948
2012-10-14,0.00089999
2012-10-15,0.0037
2012-10-16,0.00849999
2012-10-17,0.0
2012-10-18,0.05745723
2012-10-19,0.07118977
2012-10-20,0.08008327
2012-10-21,0.11453365
2012-10-22,0.08075095
2012-10-23,0.05737777
2012-10-24,0.05844303
2012-10-25,0.01590008
2012-10-26,0.01374393
2012-10-27,0.0529027
2012-10-28,0.07629248
2012-10-29,0.01095
2012-10-30,0.00145
2012-10-31,0.0023
2012-11-01,2.48355
2012-11-02,4.65810836
2012-11-03,0.0707427
2012-11-04,0.50698123
2012-11-05,0.00175
2012-11-06,1.52858286
2012-11-07,0.0005
2012-11-08,0.07383356
2012-11-09,0.50067167
2012-11-10,0.00039999
2012-11-11,0.00045
2012-11-12,0.00275
2012-11-13,0.0735595
2012-11-14,0.00375
2012-11-15,1.01395175
2012-11-16,0.00074999
2012-11-17,0.39739974
2012-11-18,0.00095
2012-11-19,0.07308727
2012-11-20,0.00254999
2012-11-21,1.01969561
2012-11-22,0.00134999
2012-11-23,0.07651104
2012-11-24,0.00174997
2012-11-25,0.00165
2012-11-26,0.07430281
2012-11-27,0.10643343
2012-11-28,1.20221874
2012-11-29,0.22578521
2012-11-30,1.00135
2012-12-01,0.00115
2012-12-02,0.00094998
2012-12-03,0.00075
2012-12-04,0.00324
2012-12-05,0.08135877
2012-12-06,0.00349998
2012-12-07,0.0009
2012-12-08,0.0006
2012-12-09,0.0168473
2012-12-10,0.00069999
2012-12-11,0.05632445
2012-12-12,0.00114999
2012-12-13,0.00139999
2012-12-14,1.00105
2012-12-15,0.00134999
2012-12-16,0.00079997
2012-12-17,0.00144996
2012-12-18,0.00104997
2012-12-19,0.0006
2012-12-20,0.00104998
2012-12-21,0.00079999
2012-12-22,0.0032
2012-12-23,0.00179999
2012-12-24,0.0
2012-12-25,0.00115
2012-12-26,0.00039999
2012-12-27,0.00055
2012-12-28,0.00074999
2012-12-29,0.00069998
2012-12-30,0.00174999
2012-12-31,0.04
2013-01-01,0.01189997
2013-01-02,0.00124999
2013-01-03,0.00089999
2013-01-04,0.00049999
2013-01-05,0.0
2013-01-06,0.50304996
2013-01-07,0.00085
2013-01-08,0.00095
2013-01-09,1.50843082
2013-01-10,0.00149998
2013-01-11,0.0
2013-01-12,0.00249995
2013-01-13,0.00084999
2013-01-14,0.0006
2013-01-15,0.00104999
2013-01-16,0.00254998
2013-01-17,0.00139999
2013-01-18,0.00139998
2013-01-19,0.00129998
2013-01-20,0.00089998
2013-01-21,0.00109999
2013-01-22,0.00099999
2013-01-23,0.00139999
