date,Miner to Exchange Transactions
2012-04-25,4
2012-04-26,0
2012-04-27,0
2012-04-28,1
2012-04-29,0
2012-04-30,0
2012-05-01,1
2012-05-02,0
2012-05-03,2
2012-05-04,3
2012-05-05,4
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,2
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,4
2012-05-19,5
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,1
2012-05-26,0
2012-05-27,1
2012-05-28,1
2012-05-29,1
2012-05-30,2
2012-05-31,0
2012-06-01,1
2012-06-02,0
2012-06-03,0
2012-06-04,3
2012-06-05,2
2012-06-06,0
2012-06-07,1
2012-06-08,0
2012-06-09,0
2012-06-10,1
2012-06-11,0
2012-06-12,3
2012-06-13,2
2012-06-14,1
2012-06-15,5
2012-06-16,1
2012-06-17,1
2012-06-18,2
2012-06-19,0
2012-06-20,4
2012-06-21,3
2012-06-22,2
2012-06-23,1
2012-06-24,3
2012-06-25,3
2012-06-26,6
2012-06-27,1
2012-06-28,2
2012-06-29,3
2012-06-30,1
2012-07-01,2
2012-07-02,1
2012-07-03,1
2012-07-04,2
2012-07-05,5
2012-07-06,3
2012-07-07,7
2012-07-08,4
2012-07-09,5
2012-07-10,3
2012-07-11,8
2012-07-12,1
2012-07-13,4
2012-07-14,1
2012-07-15,3
2012-07-16,14
2012-07-17,17
2012-07-18,3
2012-07-19,0
2012-07-20,1
2012-07-21,2
2012-07-22,1
2012-07-23,3
2012-07-24,2
2012-07-25,2
2012-07-26,5
2012-07-27,3
2012-07-28,0
2012-07-29,2
2012-07-30,2
2012-07-31,3
2012-08-01,2
2012-08-02,0
2012-08-03,0
2012-08-04,1
2012-08-05,1
2012-08-06,1
2012-08-07,0
2012-08-08,0
2012-08-09,1
2012-08-10,2
2012-08-11,1
2012-08-12,0
2012-08-13,4
2012-08-14,1
2012-08-15,1
2012-08-16,3
2012-08-17,1
2012-08-18,1
2012-08-19,1
2012-08-20,0
2012-08-21,1
2012-08-22,1
2012-08-23,0
2012-08-24,1
2012-08-25,0
2012-08-26,0
2012-08-27,6
2012-08-28,1
2012-08-29,2
2012-08-30,2
2012-08-31,0
2012-09-01,0
2012-09-02,4
2012-09-03,1
2012-09-04,6
2012-09-05,3
2012-09-06,5
2012-09-07,1
2012-09-08,4
2012-09-09,2
2012-09-10,3
2012-09-11,3
2012-09-12,3
2012-09-13,3
2012-09-14,3
2012-09-15,5
2012-09-16,5
2012-09-17,1
2012-09-18,2
2012-09-19,2
2012-09-20,1
2012-09-21,2
2012-09-22,3
2012-09-23,0
2012-09-24,2
2012-09-25,4
2012-09-26,2
2012-09-27,5
2012-09-28,2
2012-09-29,1
2012-09-30,1
2012-10-01,1
2012-10-02,0
2012-10-03,1
2012-10-04,0
2012-10-05,2
2012-10-06,2
2012-10-07,2
2012-10-08,3
2012-10-09,1
2012-10-10,3
2012-10-11,0
2012-10-12,3
2012-10-13,2
2012-10-14,1
2012-10-15,1
2012-10-16,1
2012-10-17,0
2012-10-18,2
2012-10-19,1
2012-10-20,3
2012-10-21,2
2012-10-22,2
2012-10-23,2
2012-10-24,2
2012-10-25,2
2012-10-26,2
2012-10-27,2
2012-10-28,2
2012-10-29,1
2012-10-30,1
2012-10-31,1
2012-11-01,2
2012-11-02,3
2012-11-03,2
2012-11-04,2
2012-11-05,1
2012-11-06,3
2012-11-07,1
2012-11-08,2
2012-11-09,2
2012-11-10,1
2012-11-11,1
2012-11-12,1
2012-11-13,2
2012-11-14,1
2012-11-15,2
2012-11-16,1
2012-11-17,2
2012-11-18,1
2012-11-19,2
2012-11-20,1
2012-11-21,2
2012-11-22,1
2012-11-23,2
2012-11-24,1
2012-11-25,1
2012-11-26,2
2012-11-27,2
2012-11-28,4
2012-11-29,2
2012-11-30,2
2012-12-01,1
2012-12-02,1
2012-12-03,1
2012-12-04,1
2012-12-05,2
2012-12-06,1
2012-12-07,1
2012-12-08,1
2012-12-09,2
2012-12-10,1
2012-12-11,2
2012-12-12,1
2012-12-13,1
2012-12-14,2
2012-12-15,1
2012-12-16,1
2012-12-17,1
2012-12-18,1
2012-12-19,1
2012-12-20,1
2012-12-21,1
2012-12-22,1
2012-12-23,2
2012-12-24,0
2012-12-25,2
2012-12-26,1
2012-12-27,1
2012-12-28,1
2012-12-29,1
2012-12-30,1
2012-12-31,1
2013-01-01,2
2013-01-02,1
2013-01-03,1
2013-01-04,1
2013-01-05,0
2013-01-06,3
2013-01-07,1
2013-01-08,1
2013-01-09,3
2013-01-10,1
2013-01-11,0
2013-01-12,2
2013-01-13,1
2013-01-14,1
2013-01-15,1
2013-01-16,1
2013-01-17,1
2013-01-18,1
2013-01-19,1
2013-01-20,1
2013-01-21,1
2013-01-22,1
2013-01-23,1
2013-01-24,1
2013-01-25,3
2013-01-26,1
2013-01-27,1
2013-01-28,2
2013-01-29,1
2013-01-30,1
2013-01-31,1
2013-02-01,2
2013-02-02,2
2013-02-03,2
2013-02-04,1
2013-02-05,1
2013-02-06,1
2013-02-07,1
2013-02-08,3
2013-02-09,2
2013-02-10,1
2013-02-11,1
2013-02-12,2
2013-02-13,3
2013-02-14,5
2013-02-15,2
2013-02-16,1
2013-02-17,5
2013-02-18,4
2013-02-19,1
2013-02-20,2
2013-02-21,3
2013-02-22,3
2013-02-23,1
2013-02-24,4
2013-02-25,5
2013-02-26,1
2013-02-27,4
2013-02-28,4
2013-03-01,2
2013-03-02,1
2013-03-03,2
2013-03-04,4
2013-03-05,2
2013-03-06,2
2013-03-07,1
2013-03-08,2
2013-03-09,1
2013-03-10,2
2013-03-11,5
2013-03-12,2
2013-03-13,3
2013-03-14,2
2013-03-15,3
2013-03-16,5
2013-03-17,3
2013-03-18,2
2013-03-19,2
2013-03-20,3
2013-03-21,8
2013-03-22,4
2013-03-23,3
2013-03-24,0
2013-03-25,0
2013-03-26,7
2013-03-27,3
2013-03-28,5
2013-03-29,2
2013-03-30,3
2013-03-31,3
2013-04-01,8
2013-04-02,4
2013-04-03,6
2013-04-04,4
2013-04-05,4
2013-04-06,5
2013-04-07,7
2013-04-08,11
2013-04-09,6
2013-04-10,15
2013-04-11,6
2013-04-12,10
2013-04-13,5
2013-04-14,6
2013-04-15,11
2013-04-16,10
2013-04-17,62
2013-04-18,15
2013-04-19,59
