date,timestamp_utc,0 ~ 0.01 BTC,0.01 ~ 0.1 BTC,0.1 ~ 1 BTC,1 ~ 10 BTC,10 ~ 100 BTC,100 ~ 1K BTC,1K ~ 10K BTC,10K ~ BTC
2020-12-31,2020-12-31T00:00:00Z,103627476,8196554,2911959,804146,147172,20736,1938,50
2021-01-01,2021-01-01T00:00:00Z,103471445,8160006,2913189,805172,147035,20766,1948,50
2021-01-02,2021-01-02T00:00:00Z,103379004,8155556,2912476,806273,146697,20566,1948,50
2021-01-03,2021-01-03T00:00:00Z,103435075,8145991,2910334,807256,146191,20609,1955,50
2021-01-04,2021-01-04T00:00:00Z,103441750,8139538,2909755,807729,145963,20701,1958,50
2021-01-05,2021-01-05T00:00:00Z,103525899,8160191,2914912,807405,145550,20673,1990,50
2021-01-06,2021-01-06T00:00:00Z,103611843,8147056,2911177,807140,145737,20667,2003,50
2021-01-07,2021-01-07T00:00:00Z,103779815,8164439,2913020,807087,145210,20683,2029,50
2021-01-08,2021-01-08T00:00:00Z,103963440,8189072,2918400,807584,145323,20704,2052,50
2021-01-09,2021-01-09T00:00:00Z,104080110,8198081,2920848,808014,145158,20706,2065,49
2021-01-10,2021-01-10T00:00:00Z,104046368,8186181,2921457,809389,145393,20747,2070,49
2021-01-11,2021-01-11T00:00:00Z,104110746,8187877,2918950,807998,144963,20792,2079,49
2021-01-12,2021-01-12T00:00:00Z,104193306,8192386,2911214,806351,145054,20824,2069,50
2021-01-13,2021-01-13T00:00:00Z,104204225,8204036,2912581,807015,145044,20820,2068,50
2021-01-14,2021-01-14T00:00:00Z,104310444,8206026,2915746,805325,143602,20872,2084,51
2021-01-15,2021-01-15T00:00:00Z,104367873,8214562,2919051,805267,143644,20990,2085,52
2021-01-16,2021-01-16T00:00:00Z,104388308,8215116,2921577,806232,143520,20967,2083,52
2021-01-17,2021-01-17T00:00:00Z,104352604,8207286,2921017,806962,143445,20983,2084,52
2021-01-18,2021-01-18T00:00:00Z,104367502,8195787,2921260,807268,143463,20978,2082,52
2021-01-19,2021-01-19T00:00:00Z,104427409,8186328,2921398,807102,143795,21117,2097,51
2021-01-20,2021-01-20T00:00:00Z,104509375,8210333,2925361,807151,143560,21151,2106,51
2021-01-21,2021-01-21T00:00:00Z,104615224,8234118,2927882,807475,143582,21132,2106,51
2021-01-22,2021-01-22T00:00:00Z,104735993,8247728,2932282,806953,143578,21121,2115,51
2021-01-23,2021-01-23T00:00:00Z,104684494,8226979,2934388,808114,143615,21156,2110,51
2021-01-24,2021-01-24T00:00:00Z,104621318,8174342,2925852,808081,143537,21153,2108,51
2021-01-25,2021-01-25T00:00:00Z,104647333,8180639,2928157,806833,143298,21138,2117,51
2021-01-26,2021-01-26T00:00:00Z,104618999,8162137,2926102,805608,143276,21175,2118,51
2021-01-27,2021-01-27T00:00:00Z,104734258,8176393,2929557,805285,143308,21208,2105,51
2021-01-28,2021-01-28T00:00:00Z,104787419,8190737,2935093,805131,143142,21178,2108,50
2021-01-29,2021-01-29T00:00:00Z,104967462,8212074,2937011,805481,143617,21202,2104,50
2021-01-30,2021-01-30T00:00:00Z,105083564,8217251,2937151,805741,143574,21193,2104,50
2021-01-31,2021-01-31T00:00:00Z,105060923,8210488,2938460,806880,143525,21210,2103,50
2021-02-01,2021-02-01T00:00:00Z,105215234,8232068,2945232,808361,143443,21139,2105,50
2021-02-02,2021-02-02T00:00:00Z,105376815,8251427,2950364,809418,143277,21138,2106,50
2021-02-03,2021-02-03T00:00:00Z,105502870,8260854,2953060,809389,143228,21139,2105,50
2021-02-04,2021-02-04T00:00:00Z,105676125,8263365,2946072,808765,143073,21134,2100,50
2021-02-05,2021-02-05T00:00:00Z,105745676,8237524,2948758,809031,143291,21036,2097,50
2021-02-06,2021-02-06T00:00:00Z,105773210,8225623,2948552,808467,143421,21034,2099,50
2021-02-07,2021-02-07T00:00:00Z,105677685,8210553,2948846,809261,143420,20981,2101,50
2021-02-08,2021-02-08T00:00:00Z,105705002,8207392,2940721,809893,143389,21004,2098,50
2021-02-09,2021-02-09T00:00:00Z,105965038,8242853,2944583,802884,143440,21053,2111,50
2021-02-10,2021-02-10T00:00:00Z,106186794,8245240,2947111,803767,143476,21123,2085,51
2021-02-11,2021-02-11T00:00:00Z,106412640,8270205,2952715,803926,143529,21207,2074,51
2021-02-12,2021-02-12T00:00:00Z,106638950,8297143,2955466,802929,143163,21126,2091,51
2021-02-13,2021-02-13T00:00:00Z,106645177,8282745,2959645,803282,143239,21112,2092,51
2021-02-14,2021-02-14T00:00:00Z,106569032,8260248,2961052,803587,143322,21094,2091,51
2021-02-15,2021-02-15T00:00:00Z,106596981,8260232,2961564,804025,143210,21094,2090,50
2021-02-16,2021-02-16T00:00:00Z,106790939,8281096,2964292,804069,143370,21094,2091,50
2021-02-17,2021-02-17T00:00:00Z,106975084,8297721,2967234,804806,143296,21055,2092,50
2021-02-18,2021-02-18T00:00:00Z,107158178,8314055,2968046,804957,143324,21116,2072,50
2021-02-19,2021-02-19T00:00:00Z,107325301,8328464,2971964,805678,143493,21076,2074,50
2021-02-20,2021-02-20T00:00:00Z,107461361,8331551,2974579,805889,143640,21092,2054,50
2021-02-21,2021-02-21T00:00:00Z,107502656,8296086,2940437,795582,143874,21082,2055,52
2021-02-22,2021-02-22T00:00:00Z,107592126,8320223,2945868,795804,143607,21062,2056,51
2021-02-23,2021-02-23T00:00:00Z,107799832,8352817,2946503,795900,143784,21139,2024,50
2021-02-24,2021-02-24T00:00:00Z,107935750,8371678,2949344,795452,143847,21198,2017,50
2021-02-25,2021-02-25T00:00:00Z,108014546,8381950,2950988,795316,143710,21073,2014,50
2021-02-26,2021-02-26T00:00:00Z,108205251,8398273,2951705,796017,143795,21075,2020,50
2021-02-27,2021-02-27T00:00:00Z,108213480,8383487,2954113,796803,143820,21072,2021,50
2021-02-28,2021-02-28T00:00:00Z,108146734,8373337,2954754,797140,143914,21086,2020,50
2021-03-01,2021-03-01T00:00:00Z,108242867,8407400,2960040,797309,143899,21067,2020,50
2021-03-02,2021-03-02T00:00:00Z,108387761,8416966,2963406,797896,143902,21012,2022,50
2021-03-03,2021-03-03T00:00:00Z,108493604,8434532,2965279,798494,143770,21002,2023,50
2021-03-04,2021-03-04T00:00:00Z,108655157,8452124,2969581,799345,143840,20989,2016,51
2021-03-05,2021-03-05T00:00:00Z,108760631,8460761,2974504,797922,143612,20886,2020,52
2021-03-06,2021-03-06T00:00:00Z,108663567,8441181,2976425,799536,143677,20904,2017,52
2021-03-07,2021-03-07T00:00:00Z,108526746,8435595,2980916,800075,143772,20907,2019,52
2021-03-08,2021-03-08T00:00:00Z,108423731,8443441,2982961,798598,143851,20875,2019,51
2021-03-09,2021-03-09T00:00:00Z,108552940,8457021,2985482,798531,143846,20879,2022,50
2021-03-10,2021-03-10T00:00:00Z,108697869,8460421,2987044,798493,143790,20859,2026,50
2021-03-11,2021-03-11T00:00:00Z,108876480,8454877,2989411,798585,143799,20948,1992,50
2021-03-12,2021-03-12T00:00:00Z,108999147,8460595,2991707,799072,143731,21002,1976,50
2021-03-13,2021-03-13T00:00:00Z,109103820,8426336,2973354,792142,143928,21053,1978,50
2021-03-14,2021-03-14T00:00:00Z,109043910,8409374,2974242,792800,143884,21042,1978,51
2021-03-15,2021-03-15T00:00:00Z,109069838,8430129,2978246,792753,143898,21032,1979,51
2021-03-16,2021-03-16T00:00:00Z,109196207,8444489,2982410,793864,143784,21127,1933,51
2021-03-17,2021-03-17T00:00:00Z,109368958,8470111,2987118,794853,143844,21107,1928,51
2021-03-18,2021-03-18T00:00:00Z,109598615,8471264,2987090,795933,143838,21126,1923,51
2021-03-19,2021-03-19T00:00:00Z,109761941,8471229,2987552,794992,143790,21125,1928,51
2021-03-20,2021-03-20T00:00:00Z,109744439,8460230,2986047,796024,143756,21119,1922,51
2021-03-21,2021-03-21T00:00:00Z,109390174,8441951,2988129,796876,143091,21191,1920,51
2021-03-22,2021-03-22T00:00:00Z,109411884,8454336,2991873,797627,143153,21209,1912,51
2021-03-23,2021-03-23T00:00:00Z,109390947,8467565,2995509,798616,143235,21141,1915,51
2021-03-24,2021-03-24T00:00:00Z,109384339,8482885,2999732,799069,143272,21147,1916,51
2021-03-25,2021-03-25T00:00:00Z,109503820,8489534,3002306,800216,143632,21071,1899,52
2021-03-26,2021-03-26T00:00:00Z,109663545,8509736,3006504,799795,143488,21114,1902,52
2021-03-27,2021-03-27T00:00:00Z,109561128,8510725,3010117,800886,143411,21148,1882,52
2021-03-28,2021-03-28T00:00:00Z,109312140,8503430,3012659,802009,143531,21123,1883,52
2021-03-29,2021-03-29T00:00:00Z,109349182,8515977,3016309,802331,143513,21149,1887,51
2021-03-30,2021-03-30T00:00:00Z,109513106,8515980,3014126,802386,143326,21129,1889,51
2021-03-31,2021-03-31T00:00:00Z,109695562,8515029,3011198,801987,143198,21120,1889,51
2021-04-01,2021-04-01T00:00:00Z,109823550,8527084,3012821,802392,143343,21086,1890,50
2021-04-02,2021-04-02T00:00:00Z,109978806,8535168,3015216,802837,143184,21111,1889,50
2021-04-03,2021-04-03T00:00:00Z,110068436,8530606,3018728,803816,143336,21092,1888,50
2021-04-04,2021-04-04T00:00:00Z,109910996,8516338,3022195,804289,143077,21067,1888,51
2021-04-05,2021-04-05T00:00:00Z,109821650,8521293,3023557,804113,143110,21091,1888,51
2021-04-06,2021-04-06T00:00:00Z,109994605,8542476,3027633,803386,143312,21019,1893,52
2021-04-07,2021-04-07T00:00:00Z,110123774,8538367,3030242,804358,143359,21018,1890,52
2021-04-08,2021-04-08T00:00:00Z,110259182,8547104,3030785,802762,143381,21041,1890,51
2021-04-09,2021-04-09T00:00:00Z,110405324,8552714,3032549,802880,143452,21078,1891,51
2021-04-10,2021-04-10T00:00:00Z,110407867,8539829,3031848,799684,143431,21027,1901,51
2021-04-11,2021-04-11T00:00:00Z,110267017,8531249,3034075,801042,143555,20951,1900,51
2021-04-12,2021-04-12T00:00:00Z,110324521,8545734,3027213,801264,143460,20952,1907,51
2021-04-13,2021-04-13T00:00:00Z,110501035,8555516,3031217,802312,143510,20974,1906,51
2021-04-14,2021-04-14T00:00:00Z,110742464,8572239,3033108,802116,143548,21005,1895,51
2021-04-15,2021-04-15T00:00:00Z,110885284,8560437,3029610,800666,143386,21048,1891,51
2021-04-16,2021-04-16T00:00:00Z,111151193,8603600,3036068,800873,143344,21048,1892,52
2021-04-17,2021-04-17T00:00:00Z,111317286,8626776,3041462,799665,143436,20991,1890,53
2021-04-18,2021-04-18T00:00:00Z,111493818,8638447,3041562,800050,143527,20936,1885,53
2021-04-19,2021-04-19T00:00:00Z,111724134,8671457,3048334,799842,143589,20927,1887,54
