date,Block Size (Mean)
2009-01-03,285.0
2009-01-04,
2009-01-05,
2009-01-06,
2009-01-07,
2009-01-08,
2009-01-09,215.0
2009-01-10,215.2295082
2009-01-11,215.40860215
2009-01-12,234.37234043
2009-01-13,215.66666667
2009-01-14,219.19379845
2009-01-15,238.57936508
2009-01-16,220.87037037
2009-01-17,215.85321101
2009-01-18,219.94392523
2009-01-19,232.89565217
2009-01-20,224.72807018
2009-01-21,218.99019608
2009-01-22,228.74725275
2009-01-23,229.23809524
2009-01-24,222.05970149
2009-01-25,217.0
2009-01-26,239.94791667
2009-01-27,220.30927835
2009-01-28,215.65178571
2009-01-29,227.25619835
2009-01-30,215.87179487
2009-01-31,232.46376812
2009-02-01,218.20353982
2009-02-02,217.09375
2009-02-03,248.49640288
2009-02-04,215.7394958
2009-02-05,215.72222222
2009-02-06,215.83606557
2009-02-07,240.31007752
2009-02-08,217.57575758
2009-02-09,253.60447761
2009-02-10,215.66666667
2009-02-11,229.12781955
2009-02-12,215.87394958
2009-02-13,215.90322581
2009-02-14,215.78676471
2009-02-15,229.3828125
2009-02-16,244.17213115
2009-02-17,215.8974359
2009-02-18,215.94067797
2009-02-19,231.0483871
2009-02-20,215.85245902
2009-02-21,215.96491228
2009-02-22,228.54545455
2009-02-23,215.99074074
2009-02-24,215.93396226
2009-02-25,215.86666667
2009-02-26,215.96261682
2009-02-27,251.8
2009-02-28,224.52525253
2009-03-01,215.95238095
2009-03-02,215.96296296
2009-03-03,225.42857143
2009-03-04,244.71153846
2009-03-05,224.41071429
2009-03-06,215.92307692
2009-03-07,215.97247706
2009-03-08,243.59130435
2009-03-09,215.71296296
2009-03-10,215.97196262
2009-03-11,215.88596491
2009-03-12,219.53389831
2009-03-13,229.38938053
2009-03-14,215.79090909
2009-03-15,215.96747967
2009-03-16,261.51239669
2009-03-17,215.96491228
2009-03-18,230.71052632
2009-03-19,215.78688525
2009-03-20,227.8559322
2009-03-21,215.88
2009-03-22,227.12605042
2009-03-23,215.92307692
2009-03-24,215.98095238
2009-03-25,215.78632479
2009-03-26,243.60683761
2009-03-27,215.95283019
2009-03-28,236.23529412
2009-03-29,215.96551724
2009-03-30,215.85
2009-03-31,249.51818182
2009-04-01,215.85964912
2009-04-02,215.88695652
2009-04-03,215.94827586
2009-04-04,215.74336283
2009-04-05,231.55384615
2009-04-06,215.98165138
2009-04-07,215.99
2009-04-08,216.0
2009-04-09,215.73737374
2009-04-10,215.94444444
2009-04-11,223.33333333
2009-04-12,224.71186441
2009-04-13,217.96521739
2009-04-14,215.9516129
2009-04-15,215.74336283
2009-04-16,215.89430894
2009-04-17,215.85714286
2009-04-18,222.03968254
2009-04-19,224.0
2009-04-20,327.03361345
2009-04-21,217.7398374
2009-04-22,215.96694215
2009-04-23,215.68
2009-04-24,215.90434783
2009-04-25,215.86440678
2009-04-26,232.05357143
2009-04-27,215.89423077
2009-04-28,215.63247863
2009-04-29,234.09375
2009-04-30,215.95419847
2009-05-01,215.87603306
2009-05-02,231.37301587
2009-05-03,223.72641509
2009-05-04,242.9296875
2009-05-05,224.66666667
2009-05-06,215.97777778
2009-05-07,216.0
2009-05-08,215.94392523
2009-05-09,215.48717949
2009-05-10,215.75294118
2009-05-11,218.85833333
2009-05-12,215.92307692
2009-05-13,225.77477477
2009-05-14,221.08633094
2009-05-15,224.60294118
2009-05-16,215.94957983
2009-05-17,215.96062992
2009-05-18,215.92372881
2009-05-19,215.88372093
2009-05-20,215.73333333
2009-05-21,215.96341463
2009-05-22,215.96721311
2009-05-23,215.9375
2009-05-24,215.9
2009-05-25,215.95412844
2009-05-26,215.904
2009-05-27,215.73109244
2009-05-28,215.88421053
2009-05-29,280.83962264
2009-05-30,215.71559633
2009-05-31,216.0
2009-06-01,219.83098592
2009-06-02,215.90990991
2009-06-03,216.0
2009-06-04,215.93939394
2009-06-05,215.9
2009-06-06,215.28571429
2009-06-07,215.9375
2009-06-08,215.76829268
2009-06-09,215.8021978
2009-06-10,215.92682927
2009-06-11,215.96629213
2009-06-12,215.86046512
2009-06-13,215.44871795
2009-06-14,215.69444444
2009-06-15,215.95238095
2009-06-16,215.73239437
2009-06-17,215.64556962
2009-06-18,215.8125
2009-06-19,215.67816092
2009-06-20,215.76923077
2009-06-21,215.7654321
2009-06-22,306.38157895
2009-06-23,215.56578947
2009-06-24,221.57894737
2009-06-25,249.75
2009-06-26,215.6
2009-06-27,215.83333333
2009-06-28,220.73913043
2009-06-29,218.72289157
2009-06-30,221.04705882
2009-07-01,219.43243243
2009-07-02,218.61445783
2009-07-03,215.97560976
2009-07-04,215.87640449
2009-07-05,215.98734177
2009-07-06,215.97619048
2009-07-07,215.94202899
2009-07-08,215.98648649
2009-07-09,215.72093023
2009-07-10,215.86419753
2009-07-11,215.98795181
2009-07-12,215.79220779
2009-07-13,215.91025641
2009-07-14,215.95652174
2009-07-15,215.97777778
2009-07-16,215.85915493
2009-07-17,215.80851064
2009-07-18,215.0
2009-07-19,215.8
2009-07-20,414.7
2009-07-21,215.85365854
2009-07-22,215.4
2009-07-23,215.68421053
2009-07-24,215.93150685
2009-07-25,215.84375
2009-07-26,215.52380952
2009-07-27,215.90540541
2009-07-28,215.70731707
2009-07-29,229.94736842
2009-07-30,231.2
2009-07-31,215.70588235
2009-08-01,215.82142857
2009-08-02,215.60869565
2009-08-03,215.83333333
2009-08-04,215.62962963
2009-08-05,215.72413793
2009-08-06,215.92222222
2009-08-07,375.525
2009-08-08,215.875
2009-08-09,216.0
2009-08-10,215.98666667
2009-08-11,215.91428571
2009-08-12,215.52380952
2009-08-13,215.76470588
2009-08-14,215.82539683
2009-08-15,215.38461538
2009-08-16,215.52631579
2009-08-17,215.82352941
2009-08-18,216.0
2009-08-19,215.38888889
2009-08-20,215.18181818
2009-08-21,215.0
2009-08-22,215.0
2009-08-23,215.53333333
2009-08-24,215.0
2009-08-25,215.66
2009-08-26,335.83333333
2009-08-27,215.34482759
2009-08-28,215.73333333
2009-08-29,215.80769231
2009-08-30,217.3814433
2009-08-31,224.34883721
2009-09-01,215.79487179
2009-09-02,215.84848485
2009-09-03,242.90163934
2009-09-04,215.671875
2009-09-05,215.84210526
2009-09-06,215.85294118
2009-09-07,235.43589744
2009-09-08,215.76811594
2009-09-09,215.7962963
2009-09-10,215.80597015
2009-09-11,215.82089552
2009-09-12,215.88405797
2009-09-13,215.84
2009-09-14,215.85135135
2009-09-15,215.86363636
2009-09-16,218.875
2009-09-17,354.22619048
2009-09-18,215.80769231
2009-09-19,215.95945946
2009-09-20,215.98717949
2009-09-21,229.75362319
2009-09-22,399.84
2009-09-23,215.72222222
2009-09-24,215.50515464
2009-09-25,249.31868132
2009-09-26,215.46
2009-09-27,237.37931034
2009-09-28,215.92941176
2009-09-29,272.61363636
2009-09-30,215.76470588
2009-10-01,215.8902439
2009-10-02,232.22222222
2009-10-03,215.4137931
2009-10-04,215.67924528
2009-10-05,215.76363636
2009-10-06,259.11627907
2009-10-07,215.71666667
2009-10-08,215.47142857
2009-10-09,215.65822785
2009-10-10,215.81818182
2009-10-11,215.75675676
2009-10-12,364.37931034
2009-10-13,215.80701754
2009-10-14,215.62318841
2009-10-15,215.36619718
2009-10-16,372.51666667
2009-10-17,215.84210526
2009-10-18,227.0
2009-10-19,215.44642857
2009-10-20,338.0
2009-10-21,241.6625
2009-10-22,268.12222222
2009-10-23,215.42696629
2009-10-24,230.19354839
2009-10-25,215.57894737
2009-10-26,215.8028169
2009-10-27,245.78125
2009-10-28,215.68181818
2009-10-29,319.39130435
2009-10-30,215.46666667
2009-10-31,215.30434783
2009-11-01,215.28
2009-11-02,215.39393939
2009-11-03,215.53225806
