date,Tokens Transferred (Mean)
2009-01-03,
2009-01-04,
2009-01-05,
2009-01-06,
2009-01-07,
2009-01-08,
2009-01-09,
2009-01-10,
2009-01-11,
2009-01-12,25.57142857
2009-01-13,
2009-01-14,61.0
2009-01-15,62.5
2009-01-16,100.0
2009-01-17,
2009-01-18,149.9999985
2009-01-19,387.49999863
2009-01-20,400.0
2009-01-21,100.0
2009-01-22,500.0
2009-01-23,225.00000225
2009-01-24,500.0
2009-01-25,50.0
2009-01-26,1000.0
2009-01-27,149.9999985
2009-01-28,
2009-01-29,599.999976
2009-01-30,
2009-01-31,1000.0
2009-02-01,100.0
2009-02-02,50.0
2009-02-03,46.0325
2009-02-04,
2009-02-05,
2009-02-06,
2009-02-07,299.49999913
2009-02-08,1000.0
2009-02-09,2199.999736
2009-02-10,
2009-02-11,275.02000349
2009-02-12,
2009-02-13,
2009-02-14,
2009-02-15,299.99999817
2009-02-16,1499.99985
2009-02-17,
2009-02-18,
2009-02-19,800.0
2009-02-20,
2009-02-21,
2009-02-22,262.5
2009-02-23,
2009-02-24,
2009-02-25,
2009-02-26,
2009-02-27,1800.000144
2009-02-28,349.999993
2009-03-01,
2009-03-02,
2009-03-03,199.99999925
2009-03-04,625.000048
2009-03-05,400.0
2009-03-06,
2009-03-07,
2009-03-08,516.66669267
2009-03-09,
2009-03-10,
2009-03-11,
2009-03-12,149.9999985
2009-03-13,750.00003
2009-03-14,
2009-03-15,
2009-03-16,2399.999616
2009-03-17,
2009-03-18,349.9999965
2009-03-19,
2009-03-20,599.999976
2009-03-21,
2009-03-22,275.000003
2009-03-23,
2009-03-24,
2009-03-25,
2009-03-26,1400.000168
2009-03-27,
2009-03-28,333.33333283
2009-03-29,
2009-03-30,
2009-03-31,1600.0
2009-04-01,
2009-04-02,
2009-04-03,
2009-04-04,
2009-04-05,425.00001875
2009-04-06,
2009-04-07,
2009-04-08,
2009-04-09,
2009-04-10,
2009-04-11,349.999993
2009-04-12,475.000003
2009-04-13,50.0
2009-04-14,
2009-04-15,
2009-04-16,
2009-04-17,
2009-04-18,45.6275
2009-04-19,400.0
2009-04-20,2874.9993625
2009-04-21,50.0
2009-04-22,
2009-04-23,
2009-04-24,
2009-04-25,
2009-04-26,375.000013
2009-04-27,
2009-04-28,
2009-04-29,1000.0
2009-04-30,
2009-05-01,
2009-05-02,374.96997902
2009-05-03,36.66666667
2009-05-04,1499.99985
2009-05-05,500.0
2009-05-06,
2009-05-07,
2009-05-08,
2009-05-09,
2009-05-10,
2009-05-11,100.0
2009-05-12,
2009-05-13,30.002
2009-05-14,66.66333333
2009-05-15,500.0
2009-05-16,
2009-05-17,
2009-05-18,
2009-05-19,
2009-05-20,
2009-05-21,
2009-05-22,
2009-05-23,
2009-05-24,
2009-05-25,
2009-05-26,
2009-05-27,
2009-05-28,
2009-05-29,3000.0006
2009-05-30,
2009-05-31,
2009-06-01,50.0
2009-06-02,
2009-06-03,
2009-06-04,
2009-06-05,
2009-06-06,
2009-06-07,
2009-06-08,
2009-06-09,
2009-06-10,
2009-06-11,
2009-06-12,
2009-06-13,
2009-06-14,
2009-06-15,
2009-06-16,
2009-06-17,
2009-06-18,
2009-06-19,
2009-06-20,
2009-06-21,
2009-06-22,3000.0006
2009-06-23,
2009-06-24,74.49
2009-06-25,1000.0
2009-06-26,
2009-06-27,
2009-06-28,50.0
2009-06-29,50.0
2009-06-30,95.0
2009-07-01,100.0
2009-07-02,50.0
2009-07-03,
2009-07-04,
2009-07-05,
2009-07-06,
2009-07-07,
2009-07-08,
2009-07-09,
2009-07-10,
2009-07-11,
2009-07-12,
2009-07-13,
2009-07-14,
2009-07-15,
2009-07-16,
2009-07-17,
2009-07-18,
2009-07-19,
2009-07-20,6049.66739868
2009-07-21,
2009-07-22,
2009-07-23,
2009-07-24,
2009-07-25,
2009-07-26,
2009-07-27,
2009-07-28,
2009-07-29,100.0
2009-07-30,50.0
2009-07-31,
2009-08-01,
2009-08-02,
2009-08-03,
