date,Active Addresses
2020-11-02,316567
2020-11-03,307180
2020-11-04,367339
2020-11-05,324587
2020-11-06,352974
2020-11-07,325488
2020-11-08,301867
2020-11-09,313476
2020-11-10,306865
2020-11-11,311918
2020-11-12,300292
2020-11-13,327040
2020-11-14,315948
2020-11-15,281021
2020-11-16,309127
2020-11-17,326615
2020-11-18,325242
2020-11-19,333959
2020-11-20,346716
2020-11-21,369724
2020-11-22,360404
2020-11-23,369528
2020-11-24,363089
2020-11-25,375198
2020-11-26,323177
2020-11-27,333605
2020-11-28,310398
2020-11-29,348959
2020-11-30,331679
2020-12-01,323940
2020-12-02,296260
2020-12-03,309470
2020-12-04,300716
2020-12-05,307332
2020-12-06,281108
2020-12-07,291559
2020-12-08,301862
2020-12-09,303962
2020-12-10,284121
2020-12-11,307401
2020-12-12,333382
2020-12-13,365224
2020-12-14,376442
2020-12-15,354931
2020-12-16,383602
2020-12-17,447071
2020-12-18,374223
2020-12-19,380188
2020-12-20,303130
2020-12-21,307649
2020-12-22,308926
2020-12-23,344705
2020-12-24,316111
2020-12-25,300406
2020-12-26,307610
2020-12-27,340855
2020-12-28,365814
2020-12-29,350549
2020-12-30,345235
2020-12-31,327765
2021-01-01,345537
2021-01-02,329346
2021-01-03,406450
2021-01-04,436310
2021-01-05,413401
2021-01-06,432013
2021-01-07,472814
2021-01-08,438920
2021-01-09,435756
2021-01-10,422050
2021-01-11,431072
2021-01-12,368755
2021-01-13,358697
2021-01-14,383318
2021-01-15,404621
2021-01-16,399882
2021-01-17,365056
2021-01-18,383785
2021-01-19,419581
2021-01-20,399070
2021-01-21,359856
2021-01-22,361348
2021-01-23,360522
2021-01-24,361452
2021-01-25,380529
2021-01-26,383021
2021-01-27,339320
2021-01-28,377447
2021-01-29,432829
2021-01-30,413697
2021-01-31,396059
2021-02-01,416150
2021-02-02,430498
2021-02-03,462638
2021-02-04,452285
2021-02-05,447358
2021-02-06,420472
2021-02-07,417753
2021-02-08,437934
2021-02-09,447761
2021-02-10,451165
2021-02-11,443223
2021-02-12,428091
2021-02-13,411795
2021-02-14,387895
2021-02-15,396196
2021-02-16,412488
2021-02-17,424220
2021-02-18,442239
2021-02-19,462073
2021-02-20,461248
2021-02-21,423795
2021-02-22,432076
2021-02-23,418286
2021-02-24,422333
2021-02-25,410537
2021-02-26,408992
2021-02-27,406924
2021-02-28,390018
2021-03-01,393210
2021-03-02,405613
2021-03-03,388928
2021-03-04,414523
2021-03-05,360706
2021-03-06,385818
2021-03-07,363637
2021-03-08,383041
2021-03-09,411228
2021-03-10,426145
2021-03-11,445036
2021-03-12,427324
2021-03-13,429995
2021-03-14,415400
2021-03-15,431433
2021-03-16,419418
2021-03-17,412509
2021-03-18,440529
2021-03-19,419868
2021-03-20,420290
2021-03-21,392096
2021-03-22,416991
2021-03-23,435851
2021-03-24,423917
2021-03-25,446804
2021-03-26,417131
2021-03-27,403770
2021-03-28,396036
2021-03-29,407736
2021-03-30,427848
2021-03-31,449376
2021-04-01,495263
2021-04-02,470225
2021-04-03,442370
2021-04-04,408643
2021-04-05,428932
2021-04-06,441779
2021-04-07,434750
2021-04-08,427951
2021-04-09,417062
2021-04-10,471475
2021-04-11,433511
2021-04-12,455269
2021-04-13,458120
2021-04-14,465806
2021-04-15,404628
2021-04-16,505334
2021-04-17,540915
2021-04-18,506115
2021-04-19,560731
2021-04-20,614615
2021-04-21,593747
2021-04-22,574129
2021-04-23,528041
2021-04-24,546286
2021-04-25,552824
2021-04-26,539145
2021-04-27,518545
2021-04-28,530142
2021-04-29,521737
2021-04-30,487320
2021-05-01,522007
2021-05-02,512309
2021-05-03,546123
2021-05-04,573922
2021-05-05,561721
2021-05-06,556643
2021-05-07,544937
2021-05-08,649990
2021-05-09,686583
2021-05-10,666618
2021-05-11,705639
2021-05-12,638407
2021-05-13,614931
2021-05-14,588100
2021-05-15,571651
2021-05-16,544870
2021-05-17,512349
2021-05-18,494961
2021-05-19,515301
2021-05-20,535110
2021-05-21,480680
2021-05-22,455546
2021-05-23,414443
2021-05-24,434046
2021-05-25,426614
2021-05-26,449914
2021-05-27,451303
2021-05-28,420309
2021-05-29,484602
2021-05-30,443392
2021-05-31,477067
2021-06-01,455890
2021-06-02,437282
2021-06-03,471577
2021-06-04,457455
2021-06-05,434659
2021-06-06,418826
2021-06-07,414486
2021-06-08,380325
2021-06-09,386904
2021-06-10,382162
2021-06-11,366673
2021-06-12,374988
2021-06-13,401352
2021-06-14,386017
2021-06-15,396062
2021-06-16,392471
2021-06-17,372469
2021-06-18,359305
2021-06-19,335630
2021-06-20,345371
2021-06-21,375933
2021-06-22,403117
2021-06-23,398123
2021-06-24,412389
2021-06-25,411779
2021-06-26,385957
2021-06-27,400404
2021-06-28,573650
2021-06-29,421075
2021-06-30,393733
2021-07-01,416859
2021-07-02,389821
2021-07-03,356315
2021-07-04,360679
2021-07-05,376454
2021-07-06,383107
2021-07-07,389128
2021-07-08,382770
2021-07-09,374671
2021-07-10,346245
2021-07-11,345336
2021-07-12,351440
2021-07-13,366878
2021-07-14,371393
2021-07-15,387700
2021-07-16,365252
2021-07-17,354892
2021-07-18,343856
2021-07-19,368600
2021-07-20,378466
2021-07-21,382686
2021-07-22,379745
2021-07-23,393933
2021-07-24,415858
2021-07-25,368547
2021-07-26,414996
2021-07-27,504765
2021-07-28,485451
2021-07-29,420946
2021-07-30,415441
2021-07-31,408664
2021-08-01,410507
2021-08-02,420493
2021-08-03,400412
2021-08-04,393076
2021-08-05,362295
2021-08-06,387681
2021-08-07,383342
2021-08-08,393051
2021-08-09,378335
2021-08-10,376126
2021-08-11,378794
2021-08-12,370402
2021-08-13,365630
2021-08-14,359325
2021-08-15,356194
2021-08-16,395889
2021-08-17,380945
2021-08-18,363625
2021-08-19,397710
2021-08-20,400295
2021-08-21,379781
2021-08-22,364837
2021-08-23,387217
2021-08-24,370494
2021-08-25,353557
2021-08-26,356043
2021-08-27,351066
2021-08-28,370106
2021-08-29,357676
2021-08-30,370562
2021-08-31,395591
2021-09-01,408883
2021-09-02,421517
2021-09-03,383432
2021-09-04,381131
2021-09-05,362628
2021-09-06,384393
2021-09-07,411510
2021-09-08,379600
2021-09-09,383581
2021-09-10,409114
2021-09-11,472351
2021-09-12,425924
2021-09-13,479879
2021-09-14,424257
2021-09-15,423991
2021-09-16,395922
2021-09-17,362274
2021-09-18,386274
2021-09-19,365914
2021-09-20,355364
2021-09-21,358104
2021-09-22,370292
2021-09-23,391526
2021-09-24,359787
2021-09-25,369625
2021-09-26,342230
2021-09-27,352384
2021-09-28,350865
2021-09-29,360151
2021-09-30,367198
2021-10-01,426351
2021-10-02,375003
2021-10-03,377349
2021-10-04,351261
2021-10-05,409578
2021-10-06,524555
2021-10-07,464059
2021-10-08,452974
2021-10-09,432104
2021-10-10,391042
2021-10-11,375029
2021-10-12,396150
2021-10-13,392849
2021-10-14,416875
2021-10-15,413923
2021-10-16,432588
2021-10-17,397690
2021-10-18,416639
2021-10-19,425518
2021-10-20,458011
2021-10-21,458257
2021-10-22,435852
2021-10-23,461477
2021-10-24,441251
2021-10-25,448510
2021-10-26,470449
2021-10-27,471287
2021-10-28,539505
2021-10-29,563346
2021-10-30,509947
2021-10-31,467495
2021-11-01,491396
2021-11-02,514847
2021-11-03,515669
2021-11-04,490830
2021-11-05,481989
2021-11-06,463203
2021-11-07,475368
2021-11-08,487204
2021-11-09,458257
2021-11-10,516858
2021-11-11,503826
2021-11-12,501545
2021-11-13,506088
2021-11-14,497805
2021-11-15,458954
2021-11-16,443110
2021-11-17,537705
2021-11-18,440501
2021-11-19,460930
2021-11-20,407343
2021-11-21,449195
2021-11-22,402766
2021-11-23,428152
2021-11-24,447076
2021-11-25,437643
2021-11-26,435656
2021-11-27,404963
2021-11-28,388116
2021-11-29,451044
2021-11-30,470438
2021-12-01,430293
2021-12-02,445532
2021-12-03,408869
2021-12-04,398382
2021-12-05,656893
2021-12-06,430185
2021-12-07,437969
2021-12-08,463695
2021-12-09,444288
2021-12-10,452282
2021-12-11,429544
2021-12-12,438498
2021-12-13,442540
2021-12-14,430661
2021-12-15,430550
2021-12-16,437982
2021-12-17,453393
2021-12-18,405469
2021-12-19,404240
2021-12-20,428648
2021-12-21,427561
2021-12-22,464402
2021-12-23,433728
2021-12-24,426923
2021-12-25,383179
2021-12-26,403690
2021-12-27,441477
2021-12-28,428618
2021-12-29,394584
2021-12-30,430577
2021-12-31,406830
2022-01-01,400968
2022-01-02,381728
2022-01-03,413804
2022-01-04,429463
2022-01-05,450867
2022-01-06,438895
2022-01-07,415258
2022-01-08,423666
2022-01-09,380174
2022-01-10,361898
2022-01-11,415547
2022-01-12,459706
2022-01-13,482484
2022-01-14,439910
2022-01-15,446118
2022-01-16,428372
2022-01-17,426396
2022-01-18,411634
2022-01-19,436074
2022-01-20,430464
2022-01-21,409061
2022-01-22,400833
2022-01-23,385231
2022-01-24,386784
2022-01-25,404446
2022-01-26,389720
2022-01-27,375262
2022-01-28,384931
2022-01-29,402091
2022-01-30,418013
2022-01-31,431476
2022-02-01,424541
2022-02-02,411703
2022-02-03,396319
2022-02-04,428944
2022-02-05,486212
2022-02-06,449291
2022-02-07,418519
2022-02-08,427094
2022-02-09,440410
2022-02-10,441226
2022-02-11,439758
2022-02-12,403250
2022-02-13,429673
2022-02-14,420329
2022-02-15,422464
2022-02-16,402117
2022-02-17,398177
2022-02-18,366631
2022-02-19,387822
2022-02-20,385248
2022-02-21,378156
2022-02-22,388267
2022-02-23,408227
2022-02-24,411860
2022-02-25,422601
2022-02-26,447055
2022-02-27,415768
2022-02-28,400977
2022-03-01,422165
2022-03-02,446420
2022-03-03,438497
2022-03-04,430111
2022-03-05,406216
2022-03-06,424416
2022-03-07,435982
2022-03-08,432726
2022-03-09,417958
2022-03-10,424326
2022-03-11,415769
2022-03-12,427728
2022-03-13,391872
2022-03-14,401014
2022-03-15,461552
2022-03-16,469867
2022-03-17,411123
2022-03-18,528726
2022-03-19,405644
2022-03-20,412804
2022-03-21,447775
2022-03-22,478234
2022-03-23,427010
2022-03-24,422874
2022-03-25,424512
2022-03-26,428522
2022-03-27,416042
2022-03-28,431653
2022-03-29,422373
2022-03-30,400116
2022-03-31,408489
2022-04-01,396142
2022-04-02,372531
2022-04-03,369819
2022-04-04,367348
2022-04-05,382082
2022-04-06,379408
2022-04-07,382723
2022-04-08,373735
2022-04-09,400282
2022-04-10,404291
2022-04-11,377561
2022-04-12,355230
2022-04-13,351692
2022-04-14,398326
2022-04-15,387662
2022-04-16,387047
2022-04-17,374226
2022-04-18,388779
2022-04-19,484630
2022-04-20,491984
2022-04-21,385440
2022-04-22,403596
2022-04-23,377315
2022-04-24,392921
2022-04-25,386571
2022-04-26,397799
2022-04-27,411725
2022-04-28,409723
2022-04-29,398268
2022-04-30,400550
2022-05-01,376092
2022-05-02,363202
2022-05-03,356032
2022-05-04,386080
2022-05-05,403614
2022-05-06,392317
2022-05-07,378914
2022-05-08,397568
2022-05-09,405692
2022-05-10,417966
2022-05-11,390808
2022-05-12,515165
2022-05-13,528757
2022-05-14,412962
2022-05-15,392050
2022-05-16,408104
2022-05-17,382977
2022-05-18,413882
2022-05-19,381123
2022-05-20,371737
2022-05-21,387430
2022-05-22,363240
2022-05-23,366978
2022-05-24,378544
2022-05-25,359741
2022-05-26,328832
2022-05-27,345056
2022-05-28,388546
2022-05-29,380107
2022-05-30,324402
2022-05-31,384481
2022-06-01,351333
2022-06-02,323635
2022-06-03,321359
2022-06-04,304636
2022-06-05,300453
2022-06-06,324918
2022-06-07,318373
2022-06-08,302255
2022-06-09,317677
2022-06-10,342044
2022-06-11,347877
2022-06-12,326791
2022-06-13,360643
2022-06-14,351969
2022-06-15,335041
2022-06-16,355123
2022-06-17,349578
2022-06-18,335069
2022-06-19,326722
2022-06-20,330352
2022-06-21,317308
2022-06-22,316573
2022-06-23,299993
2022-06-24,322046
2022-06-25,289908
2022-06-26,276027
2022-06-27,319091
2022-06-28,296327
2022-06-29,297063
2022-06-30,311322
2022-07-01,369773
2022-07-02,398253
2022-07-03,361070
2022-07-04,346177
2022-07-05,342862
2022-07-06,357126
2022-07-07,370642
2022-07-08,362485
2022-07-09,374526
2022-07-10,386507
2022-07-11,333223
2022-07-12,338173
2022-07-13,369729
2022-07-14,400792
2022-07-15,435506
2022-07-16,472324
2022-07-17,434570
2022-07-18,389230
2022-07-19,365092
2022-07-20,377049
2022-07-21,394531
2022-07-22,414645
2022-07-23,388109
2022-07-24,386856
2022-07-25,492634
2022-07-26,934217
2022-07-27,414841
2022-07-28,392669
2022-07-29,419804
2022-07-30,426626
2022-07-31,413154
2022-08-01,522571
2022-08-02,410040
2022-08-03,448025
2022-08-04,733711
2022-08-05,425758
2022-08-06,441449
2022-08-07,431273
2022-08-08,384041
2022-08-09,369480
2022-08-10,382934
2022-08-11,350115
2022-08-12,370505
2022-08-13,381725
2022-08-14,367271
2022-08-15,341917
2022-08-16,375433
2022-08-17,382641
2022-08-18,384756
2022-08-19,354617
2022-08-20,353873
2022-08-21,376639
2022-08-22,334229
2022-08-23,344408
2022-08-24,349663
2022-08-25,365360
2022-08-26,338276
2022-08-27,354515
2022-08-28,349795
2022-08-29,330431
2022-08-30,326668
2022-08-31,339039
2022-09-01,347443
2022-09-02,375195
2022-09-03,395269
2022-09-04,456480
2022-09-05,376352
2022-09-06,359784
2022-09-07,337706
2022-09-08,363989
2022-09-09,376811
2022-09-10,362575
2022-09-11,351415
2022-09-12,343323
2022-09-13,376254
2022-09-14,422144
2022-09-15,450265
2022-09-16,478490
2022-09-17,525357
2022-09-18,352301
