date,Active Addresses -  Internal, External, EOA
2020-11-02,473277,,
2020-11-03,449977,,
2020-11-04,506245,,
2020-11-05,473848,,
2020-11-06,547317,,
2020-11-07,500648,,
2020-11-08,424573,,
2020-11-09,468347,,
2020-11-10,460790,,
2020-11-11,474361,,
2020-11-12,455159,,
2020-11-13,504876,,
2020-11-14,459071,,
2020-11-15,423310,,
2020-11-16,465153,,
2020-11-17,513970,,
2020-11-18,496163,,
2020-11-19,493156,,
2020-11-20,524557,,
2020-11-21,573625,,
2020-11-22,552848,,
2020-11-23,549313,,
2020-11-24,534178,,
2020-11-25,536040,,
2020-11-26,529908,,
2020-11-27,482544,,
2020-11-28,442957,,
2020-11-29,476447,,
2020-11-30,514430,,
2020-12-01,549660,,
2020-12-02,452522,,
2020-12-03,471243,,
2020-12-04,478986,,
2020-12-05,482699,,
2020-12-06,421194,,
2020-12-07,458690,,
2020-12-08,490869,,
2020-12-09,484035,,
2020-12-10,450619,,
2020-12-11,474521,,
2020-12-12,468738,,
2020-12-13,501621,,
2020-12-14,533665,,
2020-12-15,521117,,
2020-12-16,564372,,
2020-12-17,625877,,
2020-12-18,544626,,
2020-12-19,535325,,
2020-12-20,453021,,
2020-12-21,477213,,
2020-12-22,468659,,
2020-12-23,531929,,
2020-12-24,490991,,
2020-12-25,467777,,
2020-12-26,458563,,
2020-12-27,500250,,
2020-12-28,539404,,
2020-12-29,513881,,
2020-12-30,511119,,
2020-12-31,478901,,
2021-01-01,491800,,
2021-01-02,490243,,
2021-01-03,579319,,
2021-01-04,615864,,
2021-01-05,584124,,
2021-01-06,606823,,
2021-01-07,651116,,
2021-01-08,613440,,
2021-01-09,596207,,
2021-01-10,591055,,
2021-01-11,633901,,
2021-01-12,534640,,
2021-01-13,516113,,
2021-01-14,553925,,
2021-01-15,573849,,
2021-01-16,557384,,
2021-01-17,512296,,
2021-01-18,538839,,
2021-01-19,595788,,
2021-01-20,550771,,
2021-01-21,534795,,
2021-01-22,526980,,
2021-01-23,501507,,
2021-01-24,505779,,
2021-01-25,539432,,
2021-01-26,539458,,
2021-01-27,495022,,
2021-01-28,534900,,
2021-01-29,611790,,
2021-01-30,561450,,
2021-01-31,544818,,
2021-02-01,565949,,
2021-02-02,598454,,
2021-02-03,616619,,
2021-02-04,622653,,
2021-02-05,585707,,
2021-02-06,555166,,
2021-02-07,553254,,
2021-02-08,585474,,
