date,Active Receiving Addresses - Internal, External, EOA
2020-11-02,322570,,
2020-11-03,298324,,
2020-11-04,290300,,
2020-11-05,304479,,
2020-11-06,382078,,
2020-11-07,320762,,
2020-11-08,264633,,
2020-11-09,294930,,
2020-11-10,302756,,
2020-11-11,303812,,
2020-11-12,297069,,
2020-11-13,358184,,
2020-11-14,272518,,
2020-11-15,263227,,
2020-11-16,298663,,
2020-11-17,363842,,
2020-11-18,359246,,
2020-11-19,349371,,
2020-11-20,377649,,
2020-11-21,418373,,
2020-11-22,390192,,
2020-11-23,381228,,
2020-11-24,389170,,
2020-11-25,359841,,
2020-11-26,386342,,
2020-11-27,273543,,
2020-11-28,256826,,
2020-11-29,251130,,
2020-11-30,354095,,
2020-12-01,403567,,
2020-12-02,289655,,
2020-12-03,308127,,
2020-12-04,322694,,
2020-12-05,337029,,
2020-12-06,267136,,
2020-12-07,306174,,
2020-12-08,345015,,
2020-12-09,343132,,
2020-12-10,311840,,
2020-12-11,333012,,
2020-12-12,334765,,
2020-12-13,373936,,
2020-12-14,396111,,
2020-12-15,393484,,
2020-12-16,404910,,
2020-12-17,431990,,
2020-12-18,379542,,
2020-12-19,323598,,
2020-12-20,293535,,
2020-12-21,333309,,
2020-12-22,322656,,
2020-12-23,370868,,
2020-12-24,345158,,
2020-12-25,326813,,
2020-12-26,313222,,
2020-12-27,352282,,
2020-12-28,383616,,
2020-12-29,357712,,
2020-12-30,356876,,
2020-12-31,337637,,
2021-01-01,310833,,
2021-01-02,356571,,
2021-01-03,426215,,
2021-01-04,472715,,
2021-01-05,422175,,
2021-01-06,433183,,
2021-01-07,448389,,
2021-01-08,440579,,
2021-01-09,390131,,
2021-01-10,394199,,
2021-01-11,459671,,
2021-01-12,377503,,
2021-01-13,351694,,
2021-01-14,381685,,
2021-01-15,383684,,
2021-01-16,375258,,
2021-01-17,336071,,
2021-01-18,367664,,
2021-01-19,424819,,
2021-01-20,370229,,
2021-01-21,383120,,
2021-01-22,385632,,
2021-01-23,333328,,
2021-01-24,350985,,
2021-01-25,399106,,
2021-01-26,367941,,
2021-01-27,362851,,
2021-01-28,393086,,
2021-01-29,472282,,
2021-01-30,409119,,
2021-01-31,410859,,
2021-02-01,432820,,
2021-02-02,458032,,
2021-02-03,457162,,
2021-02-04,479821,,
2021-02-05,460274,,
2021-02-06,422427,,
2021-02-07,411970,,
2021-02-08,437438,,
2021-02-09,453653,,
2021-02-10,471698,,
2021-02-11,428596,,
2021-02-12,436790,,
2021-02-13,424060,,
2021-02-14,391356,,
2021-02-15,399730,,
2021-02-16,417157,,
2021-02-17,412584,,
2021-02-18,450499,,
2021-02-19,460875,,
2021-02-20,481301,,
2021-02-21,412155,,
2021-02-22,476239,,
2021-02-23,499012,,
2021-02-24,450860,,
2021-02-25,421336,,
2021-02-26,412126,,
2021-02-27,391521,,
2021-02-28,404020,,
2021-03-01,387425,,
2021-03-02,396618,,
2021-03-03,407154,,
2021-03-04,437275,,
2021-03-05,385640,,
2021-03-06,374640,,
2021-03-07,367612,,
2021-03-08,387827,,
2021-03-09,416871,,
2021-03-10,402325,,
2021-03-11,454548,,
2021-03-12,431609,,
2021-03-13,439803,,
2021-03-14,419293,,
2021-03-15,434420,,
2021-03-16,434955,,
2021-03-17,430263,,
2021-03-18,456890,,
2021-03-19,439135,,
2021-03-20,422230,,
2021-03-21,410570,,
2021-03-22,431071,,
2021-03-23,425501,,
2021-03-24,438477,,
2021-03-25,456456,,
2021-03-26,408874,,
2021-03-27,393844,,
2021-03-28,385428,,
2021-03-29,409299,,
2021-03-30,432600,,
2021-03-31,470944,,
2021-04-01,506735,,
2021-04-02,472299,,
2021-04-03,438361,,
2021-04-04,391654,,
2021-04-05,428090,,
2021-04-06,455930,,
2021-04-07,433970,,
2021-04-08,420372,,
2021-04-09,415051,,
2021-04-10,442643,,
2021-04-11,408461,,
2021-04-12,431512,,
2021-04-13,453349,,
2021-04-14,463168,,
2021-04-15,390898,,
2021-04-16,515160,,
2021-04-17,542970,,
2021-04-18,517708,,
2021-04-19,549749,,
2021-04-20,623501,,
2021-04-21,565483,,
2021-04-22,551269,,
2021-04-23,513727,,
2021-04-24,461955,,
2021-04-25,432917,,
2021-04-26,457012,,
2021-04-27,500613,,
2021-04-28,513926,,
2021-04-29,512565,,
2021-04-30,435292,,
2021-05-01,428425,,
2021-05-02,445495,,
2021-05-03,497135,,
2021-05-04,508986,,
2021-05-05,518149,,
2021-05-06,512374,,
2021-05-07,505601,,
2021-05-08,657670,,
2021-05-09,658824,,
2021-05-10,669907,,
2021-05-11,692939,,
2021-05-12,648486,,
2021-05-13,621093,,
2021-05-14,556300,,
2021-05-15,531318,,
2021-05-16,510965,,
2021-05-17,492728,,
2021-05-18,471908,,
2021-05-19,612857,,
2021-05-20,506523,,
2021-05-21,445509,,
2021-05-22,438466,,
2021-05-23,470145,,
2021-05-24,405538,,
2021-05-25,371714,,
2021-05-26,396317,,
2021-05-27,393595,,
2021-05-28,393800,,
2021-05-29,412398,,
2021-05-30,388494,,
2021-05-31,419422,,
2021-06-01,403449,,
2021-06-02,385753,,
2021-06-03,391311,,
2021-06-04,372881,,
2021-06-05,339103,,
2021-06-06,321045,,
2021-06-07,365182,,
2021-06-08,367575,,
2021-06-09,346023,,
2021-06-10,345698,,
2021-06-11,349438,,
2021-06-12,317764,,
2021-06-13,328992,,
2021-06-14,372064,,
2021-06-15,369435,,
2021-06-16,354560,,
2021-06-17,367673,,
2021-06-18,351823,,
2021-06-19,309856,,
2021-06-20,311004,,
2021-06-21,421280,,
2021-06-22,448998,,
2021-06-23,368480,,
2021-06-24,358635,,
2021-06-25,371919,,
2021-06-26,347087,,
2021-06-27,361651,,
2021-06-28,598388,,
2021-06-29,444566,,
2021-06-30,386330,,
2021-07-01,372037,,
2021-07-02,349232,,
2021-07-03,333829,,
2021-07-04,339690,,
2021-07-05,362874,,
2021-07-06,403790,,
2021-07-07,411099,,
2021-07-08,406349,,
2021-07-09,402447,,
2021-07-10,342726,,
2021-07-11,324245,,
2021-07-12,364353,,
2021-07-13,390541,,
2021-07-14,414992,,
2021-07-15,417881,,
2021-07-16,388716,,
2021-07-17,352092,,
2021-07-18,329207,,
2021-07-19,369415,,
2021-07-20,385252,,
2021-07-21,379833,,
2021-07-22,387265,,
2021-07-23,400329,,
2021-07-24,379582,,
2021-07-25,357306,,
2021-07-26,446233,,
2021-07-27,519437,,
2021-07-28,485021,,
2021-07-29,402871,,
2021-07-30,418225,,
2021-07-31,402446,,
2021-08-01,401750,,
2021-08-02,410124,,
2021-08-03,418770,,
2021-08-04,429374,,
2021-08-05,366742,,
2021-08-06,356534,,
2021-08-07,361390,,
2021-08-08,362119,,
2021-08-09,362571,,
2021-08-10,368851,,
2021-08-11,374532,,
2021-08-12,377608,,
2021-08-13,372622,,
2021-08-14,360100,,
2021-08-15,343222,,
2021-08-16,382089,,
2021-08-17,374356,,
2021-08-18,355607,,
2021-08-19,378754,,
2021-08-20,389181,,
2021-08-21,354715,,
2021-08-22,350814,,
2021-08-23,385784,,
2021-08-24,382299,,
2021-08-25,374859,,
2021-08-26,365629,,
2021-08-27,357886,,
2021-08-28,367445,,
2021-08-29,357668,,
2021-08-30,384324,,
2021-08-31,405928,,
2021-09-01,409462,,
2021-09-02,406750,,
2021-09-03,370395,,
2021-09-04,370205,,
2021-09-05,355331,,
2021-09-06,374215,,
2021-09-07,401703,,
2021-09-08,378407,,
2021-09-09,385221,,
2021-09-10,384802,,
2021-09-11,372925,,
2021-09-12,381235,,
2021-09-13,363824,,
2021-09-14,394217,,
2021-09-15,385675,,
2021-09-16,387483,,
2021-09-17,359918,,
2021-09-18,369386,,
2021-09-19,349622,,
2021-09-20,361114,,
2021-09-21,358107,,
2021-09-22,366941,,
2021-09-23,381118,,
2021-09-24,364737,,
2021-09-25,350503,,
2021-09-26,333612,,
2021-09-27,368839,,
2021-09-28,366282,,
2021-09-29,362409,,
2021-09-30,366039,,
2021-10-01,421892,,
2021-10-02,362087,,
2021-10-03,370569,,
2021-10-04,369350,,
2021-10-05,398392,,
2021-10-06,506071,,
2021-10-07,437387,,
2021-10-08,425300,,
2021-10-09,406450,,
2021-10-10,366285,,
2021-10-11,370581,,
2021-10-12,387483,,
2021-10-13,387042,,
2021-10-14,402287,,
2021-10-15,408716,,
2021-10-16,408219,,
2021-10-17,377284,,
2021-10-18,406096,,
2021-10-19,401037,,
2021-10-20,426206,,
2021-10-21,425028,,
2021-10-22,415946,,
2021-10-23,401278,,
2021-10-24,413352,,
2021-10-25,437143,,
2021-10-26,448239,,
2021-10-27,451786,,
2021-10-28,505109,,
2021-10-29,519285,,
2021-10-30,488596,,
2021-10-31,454999,,
2021-11-01,469925,,
2021-11-02,476798,,
2021-11-03,497270,,
2021-11-04,476278,,
2021-11-05,471309,,
2021-11-06,451341,,
2021-11-07,453584,,
2021-11-08,454766,,
2021-11-09,440984,,
2021-11-10,443328,,
2021-11-11,421516,,
2021-11-12,423291,,
2021-11-13,431414,,
2021-11-14,427518,,
2021-11-15,419341,,
2021-11-16,431906,,
2021-11-17,422421,,
2021-11-18,413158,,
2021-11-19,404403,,
2021-11-20,400413,,
2021-11-21,403336,,
2021-11-22,395243,,
2021-11-23,416897,,
2021-11-24,438088,,
2021-11-25,420765,,
2021-11-26,410855,,
2021-11-27,395280,,
2021-11-28,372165,,
2021-11-29,416354,,
2021-11-30,436460,,
2021-12-01,415747,,
2021-12-02,414567,,
2021-12-03,393756,,
2021-12-04,395309,,
2021-12-05,376164,,
2021-12-06,395033,,
2021-12-07,419825,,
2021-12-08,425022,,
2021-12-09,407563,,
2021-12-10,402978,,
2021-12-11,390740,,
2021-12-12,405902,,
2021-12-13,405657,,
2021-12-14,419459,,
2021-12-15,420272,,
2021-12-16,395426,,
2021-12-17,435049,,
2021-12-18,392718,,
2021-12-19,376877,,
2021-12-20,390965,,
2021-12-21,414427,,
2021-12-22,399019,,
2021-12-23,415116,,
2021-12-24,401817,,
2021-12-25,382360,,
2021-12-26,398821,,
2021-12-27,436632,,
2021-12-28,422133,,
2021-12-29,396344,,
2021-12-30,423940,,
2021-12-31,412555,,
2022-01-01,402248,,
2022-01-02,396201,,
2022-01-03,428207,,
2022-01-04,435233,,
2022-01-05,463161,,
2022-01-06,430410,,
2022-01-07,413495,,
2022-01-08,425922,,
2022-01-09,397878,,
