date,Active Sending Addresses
2020-11-02,180350
2020-11-03,177858
2020-11-04,239552
2020-11-05,194887
2020-11-06,211711
2020-11-07,199183
2020-11-08,179032
2020-11-09,182393
2020-11-10,174106
2020-11-11,178679
2020-11-12,170588
2020-11-13,193023
2020-11-14,194502
2020-11-15,165288
2020-11-16,180002
2020-11-17,179886
2020-11-18,178756
2020-11-19,178292
2020-11-20,201013
2020-11-21,222634
2020-11-22,220695
2020-11-23,212498
2020-11-24,207936
2020-11-25,220982
2020-11-26,183258
2020-11-27,211221
2020-11-28,195047
2020-11-29,236882
2020-11-30,197654
2020-12-01,185128
2020-12-02,175671
2020-12-03,187639
2020-12-04,169500
2020-12-05,181468
2020-12-06,176319
2020-12-07,172542
2020-12-08,180106
2020-12-09,181203
2020-12-10,164975
2020-12-11,182722
2020-12-12,191636
2020-12-13,209558
2020-12-14,213084
2020-12-15,186793
2020-12-16,208902
2020-12-17,274767
2020-12-18,199814
2020-12-19,252376
2020-12-20,180363
2020-12-21,179249
2020-12-22,180600
2020-12-23,192965
2020-12-24,170955
2020-12-25,174845
2020-12-26,182719
2020-12-27,202165
2020-12-28,213557
2020-12-29,202496
2020-12-30,199369
2020-12-31,189028
2021-01-01,214623
2021-01-02,184791
2021-01-03,232780
2021-01-04,240569
2021-01-05,234848
2021-01-06,244670
2021-01-07,275451
2021-01-08,252265
2021-01-09,270265
2021-01-10,254555
2021-01-11,252668
2021-01-12,206833
2021-01-13,200590
2021-01-14,217985
2021-01-15,240117
2021-01-16,242349
2021-01-17,223570
2021-01-18,223197
2021-01-19,254559
2021-01-20,239836
2021-01-21,210661
2021-01-22,210469
2021-01-23,222831
2021-01-24,218680
2021-01-25,222060
2021-01-26,231031
2021-01-27,189319
2021-01-28,204213
2021-01-29,241768
2021-01-30,247339
2021-01-31,233578
2021-02-01,240144
2021-02-02,246774
2021-02-03,262903
2021-02-04,252229
2021-02-05,253130
2021-02-06,242974
2021-02-07,247871
2021-02-08,256046
2021-02-09,254884
2021-02-10,248985
2021-02-11,265812
2021-02-12,255400
2021-02-13,249027
2021-02-14,232958
2021-02-15,214263
2021-02-16,244943
2021-02-17,258737
2021-02-18,247963
2021-02-19,262680
2021-02-20,251933
2021-02-21,233570
2021-02-22,231456
2021-02-23,219526
2021-02-24,238351
2021-02-25,237399
2021-02-26,246818
2021-02-27,243965
2021-02-28,235408
2021-03-01,243910
2021-03-02,254553
2021-03-03,231689
2021-03-04,244670
2021-03-05,215709
2021-03-06,231877
2021-03-07,217402
2021-03-08,230215
2021-03-09,250834
2021-03-10,265922
