date,Number of Unique Depositors
2020-11-03,1
2020-11-04,368
2020-11-05,1020
2020-11-06,1258
2020-11-07,1376
2020-11-08,1503
2020-11-09,1550
2020-11-10,1654
2020-11-11,1805
2020-11-12,1871
2020-11-13,1983
2020-11-14,2520
2020-11-15,2899
2020-11-16,3069
2020-11-17,3138
2020-11-18,3259
2020-11-19,3348
2020-11-20,4631
2020-11-21,7381
2020-11-22,8839
2020-11-23,14375
2020-11-24,22002
2020-11-25,23096
2020-11-26,24225
2020-11-27,25039
2020-11-28,25723
2020-11-29,26224
2020-11-30,27044
2020-12-01,28290
2020-12-02,30579
2020-12-03,31046
2020-12-04,33444
2020-12-05,34709
2020-12-06,35744
2020-12-07,37161
2020-12-08,39710
2020-12-09,41035
2020-12-10,42903
2020-12-11,44089
2020-12-12,44865
2020-12-13,45665
2020-12-14,46306
2020-12-15,46940
2020-12-16,47499
2020-12-17,48128
2020-12-18,48694
2020-12-19,50810
2020-12-20,52855
2020-12-21,55871
2020-12-22,60005
2020-12-23,62599
2020-12-24,62942
2020-12-25,63288
2020-12-26,63649
2020-12-27,64958
2020-12-28,65969
2020-12-29,66393
2020-12-30,67159
2020-12-31,67811
2021-01-01,68223
2021-01-02,68622
2021-01-03,68882
2021-01-04,70027
2021-01-05,70658
2021-01-06,71435
2021-01-07,72034
2021-01-08,72876
2021-01-09,73367
2021-01-10,73743
2021-01-11,75164
2021-01-12,75996
2021-01-13,76844
2021-01-14,78238
2021-01-15,78625
2021-01-16,79163
2021-01-17,79368
2021-01-18,81021
2021-01-19,84529
2021-01-20,86785
2021-01-21,86899
2021-01-22,87259
2021-01-23,87841
2021-01-24,88259
2021-01-25,88482
2021-01-26,88738
2021-01-27,88941
2021-01-28,89298
2021-01-29,89764
2021-01-30,89948
2021-01-31,90297
2021-02-01,90537
2021-02-02,90962
2021-02-03,91660
2021-02-04,91834
2021-02-05,92072
2021-02-06,92427
2021-02-07,92922
2021-02-08,93125
2021-02-09,93699
2021-02-10,94775
2021-02-11,95137
2021-02-12,95723
2021-02-13,95867
2021-02-14,96452
2021-02-15,96675
2021-02-16,96927
2021-02-17,97914
2021-02-18,98689
2021-02-19,98992
2021-02-20,99280
2021-02-21,99669
2021-02-22,100211
2021-02-23,100352
2021-02-24,101267
2021-02-25,102807
2021-02-26,103394
2021-02-27,103634
2021-02-28,103765
2021-03-01,104121
2021-03-02,104540
2021-03-03,104750
2021-03-04,105082
2021-03-05,106534
2021-03-06,106697
2021-03-07,107059
2021-03-08,107515
2021-03-09,108062
2021-03-10,108579
2021-03-11,108755
2021-03-12,109038
2021-03-13,109252
2021-03-14,110090
2021-03-15,110170
2021-03-16,110336
2021-03-17,110538
2021-03-18,110791
2021-03-19,111002
2021-03-20,111119
2021-03-21,111196
2021-03-22,111297
2021-03-23,111429
2021-03-24,111683
2021-03-25,111836
2021-03-26,111955
2021-03-27,112356
2021-03-28,112514
2021-03-29,112694
2021-03-30,112998
2021-03-31,113148
2021-04-01,113397
2021-04-02,113864
2021-04-03,115024
2021-04-04,115573
2021-04-05,115892
2021-04-06,116270
2021-04-07,117331
2021-04-08,117541
2021-04-09,117679
2021-04-10,118052
2021-04-11,118443
2021-04-12,119057
2021-04-13,119308
2021-04-14,119517
2021-04-15,120323
2021-04-16,120621
2021-04-17,120910
2021-04-18,121024
2021-04-19,121290
2021-04-20,121796
2021-04-21,122407
2021-04-22,122908
2021-04-23,123346
2021-04-24,123752
2021-04-25,124088
2021-04-26,124782
2021-04-27,125685
2021-04-28,126247
2021-04-29,127104
2021-04-30,127357
2021-05-01,128332
2021-05-02,128525
2021-05-03,129426
2021-05-04,130994
2021-05-05,133478
2021-05-06,134362
2021-05-07,137079
2021-05-08,137982
2021-05-09,138148
2021-05-10,138478
2021-05-11,139165
2021-05-12,140484
2021-05-13,142407
2021-05-14,143296
2021-05-15,143770
2021-05-16,144072
2021-05-17,145238
2021-05-18,146089
2021-05-19,147182
2021-05-20,147744
2021-05-21,148584
2021-05-22,150196
2021-05-23,151203
2021-05-24,152186
2021-05-25,154423
2021-05-26,158336
2021-05-27,161268
2021-05-28,161402
2021-05-29,162247
2021-05-30,162504
2021-05-31,162771
2021-06-01,163032
2021-06-02,163479
2021-06-03,165578
2021-06-04,166192
2021-06-05,166675
2021-06-06,166774
2021-06-07,167056
2021-06-08,167656
2021-06-09,169322
2021-06-10,170179
2021-06-11,170804
2021-06-12,171865
2021-06-13,172589
2021-06-14,172795
2021-06-15,173576
2021-06-16,175616
2021-06-17,176548
2021-06-18,177221
2021-06-19,177858
2021-06-20,178564
2021-06-21,178743
2021-06-22,179422
2021-06-23,183613
2021-06-24,184135
2021-06-25,184729
2021-06-26,185186
2021-06-27,185245
2021-06-28,185373
2021-06-29,186751
2021-06-30,187535
2021-07-01,188652
2021-07-02,189744
2021-07-03,189971
2021-07-04,190151
2021-07-05,190913
2021-07-06,193826
2021-07-07,194205
2021-07-08,194800
2021-07-09,195273
2021-07-10,195446
2021-07-11,195511
2021-07-12,195655
2021-07-13,196030
2021-07-14,196333
2021-07-15,196679
2021-07-16,197804
2021-07-17,198226
2021-07-18,198281
2021-07-19,198349
2021-07-20,198644
2021-07-21,199044
2021-07-22,199292
2021-07-23,200107
2021-07-24,200330
2021-07-25,200378
2021-07-26,200412
2021-07-27,200768
2021-07-28,201232
2021-07-29,201459
2021-07-30,201883
2021-07-31,202081
2021-08-01,202399
2021-08-02,202481
2021-08-03,203162
2021-08-04,204076
2021-08-05,204769
2021-08-06,205072
2021-08-07,205445
2021-08-08,205689
2021-08-09,206217
2021-08-10,207018
2021-08-11,207855
2021-08-12,208275
2021-08-13,208805
2021-08-14,209710
2021-08-15,210066
2021-08-16,210510
2021-08-17,213490
2021-08-18,216542
2021-08-19,218612
2021-08-20,219364
2021-08-21,220617
2021-08-22,221498
2021-08-23,222399
2021-08-24,223011
2021-08-25,223188
2021-08-26,223413
2021-08-27,223659
2021-08-28,224850
2021-08-29,226634
2021-08-30,227008
2021-08-31,227325
2021-09-01,228038
2021-09-02,230506
2021-09-03,231170
2021-09-04,231366
2021-09-05,233452
2021-09-06,233922
2021-09-07,234597
2021-09-08,235206
2021-09-09,235710
2021-09-10,236440
2021-09-11,238521
2021-09-12,238695
2021-09-13,238851
2021-09-14,239317
2021-09-15,239616
2021-09-16,239887
2021-09-17,240088
2021-09-18,241200
2021-09-19,241348
2021-09-20,241530
2021-09-21,241840
2021-09-22,242261
2021-09-23,242529
2021-09-24,242705
2021-09-25,242936
2021-09-26,243076
2021-09-27,243162
2021-09-28,243773
2021-09-29,243978
2021-09-30,244184
2021-10-01,244316
2021-10-02,244446
2021-10-03,244727
2021-10-04,244887
2021-10-05,246652
2021-10-06,246835
2021-10-07,247146
2021-10-08,247298
2021-10-09,247448
2021-10-10,247588
2021-10-11,247751
2021-10-12,247876
2021-10-13,248014
2021-10-14,248205
2021-10-15,248981
2021-10-16,249127
2021-10-17,249224
2021-10-18,249354
2021-10-19,249446
2021-10-20,249586
2021-10-21,249761
2021-10-22,249916
2021-10-23,250055
2021-10-24,250146
2021-10-25,250354
2021-10-26,250521
2021-10-27,250730
2021-10-28,250853
2021-10-29,251500
2021-10-30,252582
2021-10-31,252652
2021-11-01,252915
2021-11-02,253936
2021-11-03,254184
2021-11-04,254380
2021-11-05,255657
2021-11-06,255800
2021-11-07,256066
2021-11-08,256315
2021-11-09,256445
2021-11-10,256676
2021-11-11,256968
2021-11-12,257268
2021-11-13,257383
2021-11-14,257531
2021-11-15,257928
2021-11-16,259299
2021-11-17,259554
2021-11-18,259849
2021-11-19,260142
2021-11-20,260332
2021-11-21,260548
2021-11-22,261063
2021-11-23,261729
2021-11-24,262037
2021-11-25,262315
2021-11-26,262691
2021-11-27,262925
2021-11-28,263311
2021-11-29,263483
2021-11-30,263922
2021-12-01,264766
2021-12-02,265196
2021-12-03,265931
2021-12-04,266167
2021-12-05,266611
2021-12-06,266888
2021-12-07,267622
2021-12-08,267929
2021-12-09,268218
2021-12-10,268486
2021-12-11,268869
2021-12-12,269152
2021-12-13,269443
2021-12-14,270143
2021-12-15,270660
2021-12-16,271024
2021-12-17,271573
2021-12-18,271972
2021-12-19,272661
2021-12-20,273137
2021-12-21,273503
2021-12-22,273793
