date,Phase 0 Success Rate (%)
2020-11-03,0.0
2020-11-04,2.22
2020-11-05,6.2
2020-11-06,7.65
2020-11-07,8.37
2020-11-08,9.14
2020-11-09,9.45
2020-11-10,10.09
2020-11-11,11.01
2020-11-12,11.41
2020-11-13,12.1
2020-11-14,15.38
2020-11-15,17.69
2020-11-16,18.73
2020-11-17,19.15
2020-11-18,19.89
2020-11-19,20.43
2020-11-20,28.27
2020-11-21,45.05
2020-11-22,53.96
2020-11-23,87.76
2020-11-24,134.32
2020-11-25,141.01
2020-11-26,147.9
2020-11-27,152.87
2020-11-28,157.05
2020-11-29,160.11
2020-11-30,165.12
2020-12-01,172.73
2020-12-02,186.7
2020-12-03,189.55
2020-12-04,204.19
2020-12-05,211.92
2020-12-06,218.24
2020-12-07,226.9
2020-12-08,242.46
2020-12-09,250.54
2020-12-10,261.97
2020-12-11,269.21
2020-12-12,273.94
2020-12-13,278.83
2020-12-14,282.75
2020-12-15,286.62
2020-12-16,290.02
2020-12-17,293.86
2020-12-18,297.32
2020-12-19,310.24
2020-12-20,322.72
2020-12-21,341.13
2020-12-22,366.36
2020-12-23,382.19
2020-12-24,384.28
2020-12-25,386.4
2020-12-26,388.6
2020-12-27,396.61
2020-12-28,402.79
2020-12-29,405.38
2020-12-30,410.06
2020-12-31,414.04
2021-01-01,416.55
2021-01-02,418.99
2021-01-03,420.58
2021-01-04,427.56
2021-01-05,431.42
2021-01-06,436.17
2021-01-07,439.83
2021-01-08,444.98
2021-01-09,447.97
2021-01-10,450.27
2021-01-11,458.95
2021-01-12,464.03
2021-01-13,469.2
2021-01-14,477.72
2021-01-15,480.08
2021-01-16,483.36
2021-01-17,484.61
2021-01-18,494.71
2021-01-19,516.12
2021-01-20,529.89
2021-01-21,530.59
2021-01-22,532.78
2021-01-23,536.33
2021-01-24,538.89
2021-01-25,540.25
2021-01-26,541.82
2021-01-27,543.05
2021-01-28,545.24
2021-01-29,548.08
2021-01-30,549.21
2021-01-31,551.34
2021-02-01,552.8
2021-02-02,555.4
2021-02-03,559.66
2021-02-04,560.73
2021-02-05,562.19
2021-02-06,564.36
2021-02-07,567.38
2021-02-08,568.62
2021-02-09,572.13
2021-02-10,578.69
2021-02-11,580.9
2021-02-12,584.48
2021-02-13,585.36
2021-02-14,588.93
2021-02-15,590.29
2021-02-16,591.83
2021-02-17,597.85
2021-02-18,602.58
2021-02-19,604.43
2021-02-20,606.19
2021-02-21,608.56
2021-02-22,611.87
2021-02-23,612.73
2021-02-24,618.32
2021-02-25,627.72
2021-02-26,631.31
2021-02-27,632.77
2021-02-28,633.57
2021-03-01,635.74
2021-03-02,638.3
2021-03-03,639.58
2021-03-04,641.61
2021-03-05,650.47
2021-03-06,651.47
2021-03-07,653.68
2021-03-08,656.46
2021-03-09,659.8
2021-03-10,662.96
2021-03-11,664.03
2021-03-12,665.76
2021-03-13,667.08
2021-03-14,672.19
2021-03-15,672.68
2021-03-16,673.69
2021-03-17,674.93
2021-03-18,676.47
2021-03-19,677.76
2021-03-20,678.47
2021-03-21,678.94
2021-03-22,679.56
2021-03-23,680.37
2021-03-24,681.94
2021-03-25,682.87
2021-03-26,683.6
2021-03-27,686.05
2021-03-28,687.01
2021-03-29,688.11
2021-03-30,689.97
2021-03-31,690.89
2021-04-01,692.41
2021-04-02,695.26
2021-04-03,702.34
2021-04-04,705.69
2021-04-05,707.64
2021-04-06,709.94
2021-04-07,716.42
2021-04-08,717.7
2021-04-09,718.54
2021-04-10,720.82
2021-04-11,723.21
2021-04-12,726.95
2021-04-13,728.49
2021-04-14,729.76
2021-04-15,734.68
2021-04-16,736.5
2021-04-17,738.26
2021-04-18,738.96
2021-04-19,740.58
2021-04-20,743.67
2021-04-21,747.4
2021-04-22,750.46
2021-04-23,753.13
2021-04-24,755.61
2021-04-25,757.66
2021-04-26,761.9
2021-04-27,767.41
2021-04-28,770.84
2021-04-29,776.07
2021-04-30,777.61
2021-05-01,783.56
2021-05-02,784.78
2021-05-03,790.29
2021-05-04,799.86
2021-05-05,815.03
2021-05-06,820.43
2021-05-07,837.01
2021-05-08,842.52
2021-05-09,843.54
2021-05-10,845.56
2021-05-11,849.76
2021-05-12,857.81
2021-05-13,869.54
2021-05-14,874.97
2021-05-15,877.86
2021-05-16,879.71
2021-05-17,886.82
2021-05-18,892.02
2021-05-19,898.69
2021-05-20,902.12
2021-05-21,907.25
2021-05-22,917.08
2021-05-23,923.23
