date,Total Value Staked
2020-11-03,674144.0
2020-11-04,674144.0
2020-11-05,674144.0
2020-11-06,674144.0
2020-11-07,674144.0
2020-11-08,674144.0
2020-11-09,674144.0
2020-11-10,674144.0
2020-11-11,674144.0
2020-11-12,674144.0
2020-11-13,674144.0
2020-11-14,674144.0
2020-11-15,674144.0
2020-11-16,674144.0
2020-11-17,674144.0
2020-11-18,674144.0
2020-11-19,674144.0
2020-11-20,674144.0
2020-11-21,674144.0
2020-11-22,674144.0
2020-11-23,674144.0
2020-11-24,674144.0
2020-11-25,674144.0
2020-11-26,674144.0
2020-11-27,674144.0
2020-11-28,674144.0
2020-11-29,674144.0
2020-11-30,674144.0
2020-12-01,880702.063273786
2020-12-02,933619.318590918
2020-12-03,983798.53187014
2020-12-04,1001677.473808828
2020-12-05,1084336.476517307
2020-12-06,1120992.320449257
2020-12-07,1159487.261721381
2020-12-08,1192338.479723103
2020-12-09,1285550.554892392
2020-12-10,1320308.352497023
2020-12-11,1386721.76745799
2020-12-12,1421364.012656335
2020-12-13,1446827.961325925
2020-12-14,1469702.290354535
2020-12-15,1495467.636997161
2020-12-16,1511766.535747885
2020-12-17,1532649.648401471
2020-12-18,1551232.821174602
2020-12-19,1574622.472617144
2020-12-20,1674781.494574923
2020-12-21,1725851.395840459
2020-12-22,1812904.187408485
2020-12-23,1958102.735031116
2020-12-24,2020206.611463611
2020-12-25,2027402.834007639
2020-12-26,2039244.585877708
2020-12-27,2071023.573951658
2020-12-28,2115064.509718522
2020-12-29,2126315.615332594
2020-12-30,2140227.210319607
2020-12-31,2168384.254893474
2021-01-01,2188835.839896394
2021-01-02,2204141.091947914
2021-01-03,2214715.114406885
2021-01-04,2223882.099919878
2021-01-05,2261309.753374305
2021-01-06,2292470.894865647
2021-01-07,2318297.670249596
2021-01-08,2332671.833195066
2021-01-09,2359689.915843205
2021-01-10,2370138.605974173
2021-01-11,2387949.150829491
2021-01-12,2428803.222634053
2021-01-13,2457337.539914107
2021-01-14,2489873.0189338
2021-01-15,2534194.515706299
2021-01-16,2543000.469758885
2021-01-17,2560834.828646448
2021-01-18,2586256.411314895
2021-01-19,2644738.50317935
2021-01-20,2767507.874013624
2021-01-21,2805640.038709182
2021-01-22,2817895.463669963
2021-01-23,2822225.142024195
2021-01-24,2842908.352597217
2021-01-25,2856847.798734328
2021-01-26,2863910.922363474
2021-01-27,2874139.680009327
2021-01-28,2886991.537525219
2021-01-29,2891144.309791962
2021-01-30,2907843.310198145
2021-01-31,2913665.248055134
2021-02-01,2927365.737554177
2021-02-02,2934660.185552582
2021-02-03,2960491.379992173
2021-02-04,2971091.977671821
2021-02-05,2978421.641961283
2021-02-06,2986436.617267013
2021-02-07,3002238.567566054
2021-02-08,3014423.923361693
2021-02-09,3022964.618483737
2021-02-10,3041948.877356994
2021-02-11,3077840.257814797
2021-02-12,3088071.040249909
2021-02-13,3108671.402531695
2021-02-14,3111542.194289761
2021-02-15,3131918.89348055
2021-02-16,3140168.338485978
2021-02-17,3170276.831639827
2021-02-18,3184392.878183922
2021-02-19,3210001.272326009
2021-02-20,3218823.011003957
2021-02-21,3227653.570041295
2021-02-22,3254656.94218836
2021-02-23,3257733.008538978
2021-02-24,3284300.265772906
2021-02-25,3298250.838690957
2021-02-26,3355607.473549404
2021-02-27,3363044.882311833
2021-02-28,3372023.027598804
2021-03-01,3383184.734168108
2021-03-02,3388453.75626128
2021-03-03,3403422.473991816
2021-03-04,3412313.696468912
2021-03-05,3432091.95225902
2021-03-06,3471396.029222078
2021-03-07,3477582.509116765
2021-03-08,3492795.430171557
2021-03-09,3502177.225666083
2021-03-10,3531704.739576864
2021-03-11,3538452.299239621
2021-03-12,3549891.131760568
2021-03-13,3555665.875090494
2021-03-14,3565377.561212124
2021-03-15,3590130.784596274
2021-03-16,3593309.663901373
2021-03-17,3603027.554629872
2021-03-18,3609549.91522642
2021-03-19,3616133.933152793
2021-03-20,3623266.268965525
2021-03-21,3627999.32717043
2021-03-22,3632156.89815908
2021-03-23,3634840.524988954
2021-03-24,3642484.54593651
2021-03-25,3650902.85524445
2021-03-26,3656635.782768576
2021-03-27,3665827.245981889
2021-03-28,3673774.483883987
2021-03-29,3682998.513517669
2021-03-30,3686241.945276567
2021-03-31,3697929.996802705
2021-04-01,3706224.702069769
2021-04-02,3711546.050613887
2021-04-03,3726499.914164194
2021-04-04,3775887.346525029
2021-04-05,3787292.65261001
2021-04-06,3798120.948291827
2021-04-07,3808273.329641632
2021-04-08,3842985.514765168
2021-04-09,3850292.140536234
2021-04-10,3856354.348556971
2021-04-11,3869011.22023318
2021-04-12,3882085.5605402
2021-04-13,3903641.039071304
2021-04-14,3910520.154044767
2021-04-15,3919928.044185509
2021-04-16,3945273.933873382
