date,Exchange Depositing Transactions
2015-08-07,972
2015-08-08,533
2015-08-09,425
2015-08-10,417
2015-08-11,481
2015-08-12,566
2015-08-13,874
2015-08-14,1095
2015-08-15,723
2015-08-16,823
2015-08-17,826
2015-08-18,793
2015-08-19,1012
2015-08-20,559
2015-08-21,1705
2015-08-22,1581
2015-08-23,1876
2015-08-24,1986
2015-08-25,1829
2015-08-26,1704
2015-08-27,2184
2015-08-28,1860
2015-08-29,1659
2015-08-30,1707
2015-08-31,1688
2015-09-01,1395
2015-09-02,1386
2015-09-03,1356
2015-09-04,1497
2015-09-05,1670
2015-09-06,1694
2015-09-07,1779
2015-09-08,1828
2015-09-09,1823
2015-09-10,1632
2015-09-11,1855
2015-09-12,1779
2015-09-13,1732
2015-09-14,1729
2015-09-15,1584
2015-09-16,1487
2015-09-17,1413
2015-09-18,1287
2015-09-19,1390
2015-09-20,1687
2015-09-21,1734
2015-09-22,1874
2015-09-23,1979
2015-09-24,1759
2015-09-25,1776
2015-09-26,1788
2015-09-27,1824
2015-09-28,1740
2015-09-29,1740
2015-09-30,1893
2015-10-01,1965
2015-10-02,1832
2015-10-03,1784
2015-10-04,1784
2015-10-05,1723
2015-10-06,1773
2015-10-07,1856
2015-10-08,1835
2015-10-09,1816
2015-10-10,1739
2015-10-11,1603
2015-10-12,1712
2015-10-13,1743
2015-10-14,1773
2015-10-15,1641
2015-10-16,1716
2015-10-17,1757
2015-10-18,1649
2015-10-19,1672
2015-10-20,1577
2015-10-21,1644
2015-10-22,1637
2015-10-23,1766
2015-10-24,1538
2015-10-25,1425
2015-10-26,1595
2015-10-27,1862
2015-10-28,2037
2015-10-29,2079
2015-10-30,2237
2015-10-31,2065
2015-11-01,1783
2015-11-02,1767
2015-11-03,2076
2015-11-04,1981
2015-11-05,2031
2015-11-06,1686
2015-11-07,1647
2015-11-08,2051
2015-11-09,2081
2015-11-10,2097
2015-11-11,2089
2015-11-12,2137
2015-11-13,1867
2015-11-14,1978
2015-11-15,2002
2015-11-16,2043
2015-11-17,1914
2015-11-18,2081
2015-11-19,2027
2015-11-20,1697
2015-11-21,2151
2015-11-22,2101
2015-11-23,2193
2015-11-24,2104
2015-11-25,2109
2015-11-26,2030
2015-11-27,1737
2015-11-28,2264
2015-11-29,2117
2015-11-30,2199
2015-12-01,2175
2015-12-02,2088
2015-12-03,2309
2015-12-04,2241
2015-12-05,2174
2015-12-06,2038
2015-12-07,2224
2015-12-08,2111
2015-12-09,2230
2015-12-10,2221
2015-12-11,2288
2015-12-12,2062
2015-12-13,2297
2015-12-14,2285
2015-12-15,2259
2015-12-16,2166
2015-12-17,2539
2015-12-18,2144
2015-12-19,2340
2015-12-20,2053
2015-12-21,2217
2015-12-22,2319
2015-12-23,2362
2015-12-24,2318
2015-12-25,2284
2015-12-26,2342
2015-12-27,2358
2015-12-28,2413
2015-12-29,2417
2015-12-30,1523
2015-12-31,3001
2016-01-01,2413
2016-01-02,2524
2016-01-03,2543
2016-01-04,2460
2016-01-05,2498
2016-01-06,2568
2016-01-07,2523
2016-01-08,2541
2016-01-09,2459
2016-01-10,2638
2016-01-11,2738
2016-01-12,2855
2016-01-13,2796
2016-01-14,2730
2016-01-15,2595
2016-01-16,2908
2016-01-17,2766
2016-01-18,2926
2016-01-19,2618
2016-01-20,2922
2016-01-21,3296
2016-01-22,3201
2016-01-23,3163
2016-01-24,3529
2016-01-25,3513
2016-01-26,3837
2016-01-27,3510
2016-01-28,3543
2016-01-29,3935
2016-01-30,3714
2016-01-31,3815
2016-02-01,4022
2016-02-02,3810
2016-02-03,4008
2016-02-04,3953
2016-02-05,3991
2016-02-06,3991
2016-02-07,4150
2016-02-08,4260
2016-02-09,4333
2016-02-10,4749
2016-02-11,5016
2016-02-12,4818
2016-02-13,5371
2016-02-14,4564
2016-02-15,4811
2016-02-16,4766
2016-02-17,4675
2016-02-18,4637
2016-02-19,4828
2016-02-20,4656
2016-02-21,4645
2016-02-22,4985
2016-02-23,4907
2016-02-24,4978
2016-02-25,5537
2016-02-26,5407
2016-02-27,5539
2016-02-28,5178
2016-02-29,5422
2016-03-01,5942
2016-03-02,6418
2016-03-03,6734
2016-03-04,6288
2016-03-05,6588
2016-03-06,6023
2016-03-07,6027
2016-03-08,5851
2016-03-09,5511
2016-03-10,6035
2016-03-11,6154
2016-03-12,6828
2016-03-13,6526
2016-03-14,6246
2016-03-15,6481
2016-03-16,6202
2016-03-17,7240
2016-03-18,7368
2016-03-19,6834
2016-03-20,6876
2016-03-21,7299
2016-03-22,7073
2016-03-23,6794
2016-03-24,6806
2016-03-25,6571
2016-03-26,6749
2016-03-27,7126
2016-03-28,7063
2016-03-29,7472
2016-03-30,7162
2016-03-31,7283
2016-04-01,7023
2016-04-02,6709
2016-04-03,6465
2016-04-04,7512
2016-04-05,6893
2016-04-06,7108
2016-04-07,6649
2016-04-08,6696
2016-04-09,6761
2016-04-10,7110
2016-04-11,6669
2016-04-12,6669
2016-04-13,6413
2016-04-14,6751
2016-04-15,6606
2016-04-16,6633
2016-04-17,7090
2016-04-18,6897
2016-04-19,6781
2016-04-20,6730
2016-04-21,6707
2016-04-22,6708
2016-04-23,6848
2016-04-24,6713
2016-04-25,7056
2016-04-26,6816
2016-04-27,6805
2016-04-28,6522
2016-04-29,6414
2016-04-30,7107
2016-05-01,6501
2016-05-02,6974
2016-05-03,6714
2016-05-04,6563
2016-05-05,6559
2016-05-06,6498
2016-05-07,6246
2016-05-08,6572
2016-05-09,6284
2016-05-10,6411
2016-05-11,6116
2016-05-12,6514
2016-05-13,6837
2016-05-14,6600
2016-05-15,6269
2016-05-16,6255
2016-05-17,6798
2016-05-18,7941
2016-05-19,7207
2016-05-20,7240
2016-05-21,6624
2016-05-22,6208
2016-05-23,6970
2016-05-24,6932
2016-05-25,6945
2016-05-26,14096
2016-05-27,7250
2016-05-28,6485
2016-05-29,6964
2016-05-30,6614
2016-05-31,6980
2016-06-01,6764
2016-06-02,6592
2016-06-03,6703
2016-06-04,5670
2016-06-05,6321
2016-06-06,6290
2016-06-07,6590
2016-06-08,6446
2016-06-09,6452
2016-06-10,6230
2016-06-11,6266
2016-06-12,6616
2016-06-13,7105
2016-06-14,7440
2016-06-15,6560
2016-06-16,7011
2016-06-17,7725
2016-06-18,8653
2016-06-19,7105
2016-06-20,6435
2016-06-21,6778
2016-06-22,7186
2016-06-23,6227
2016-06-24,6273
2016-06-25,5816
2016-06-26,5931
2016-06-27,5983
2016-06-28,6718
2016-06-29,6149
2016-06-30,6026
2016-07-01,6013
2016-07-02,5954
2016-07-03,5993
2016-07-04,6161
2016-07-05,5858
2016-07-06,6041
2016-07-07,6318
2016-07-08,6298
2016-07-09,5977
2016-07-10,5882
2016-07-11,5878
2016-07-12,6037
2016-07-13,5874
2016-07-14,6157
2016-07-15,6284
2016-07-16,5546
2016-07-17,5596
2016-07-18,6158
2016-07-19,16148
2016-07-20,6517
2016-07-21,5997
2016-07-22,6368
2016-07-23,9480
