date,Exchange Inflow (Total)
2015-08-13,1053438.2134284982
2015-08-14,1481095.059515229
2015-08-15,888348.259644735
2015-08-16,1021486.241806136
2015-08-17,473030.79240241
2015-08-18,599590.7245118144
2015-08-19,334387.35708561895
2015-08-20,128898.19477900078
2015-08-21,221111.39914202425
2015-08-22,96225.28368831205
2015-08-23,117916.18997345216
2015-08-24,130784.90880930086
2015-08-25,108067.25407871904
2015-08-26,224636.6810582076
2015-08-27,101507.893553089
2015-08-28,94935.7716144475
2015-08-29,124001.28943563436
2015-08-30,180354.20250732647
2015-08-31,157780.2447813462
2015-09-01,325545.76267148723
2015-09-02,76328.4098812432
2015-09-03,332006.23084857006
2015-09-04,106701.57705286152
2015-09-05,50330.4062708245
2015-09-06,92972.0991118724
2015-09-07,90513.85336246253
2015-09-08,127471.39317438552
2015-09-09,1007397.48105921
2015-09-10,77470.01675119612
2015-09-11,278445.44320897514
2015-09-12,54899.23041483086
2015-09-13,48181.751864230646
2015-09-14,105483.00981693227
2015-09-15,135839.06628729816
2015-09-16,120013.1601143334
2015-09-17,121244.97037130222
2015-09-18,133167.22916694716
2015-09-19,133862.51336921524
2015-09-20,33051.25954134348
2015-09-21,72684.89004895171
2015-09-22,44549.18382978684
2015-09-23,52341.16610606434
2015-09-24,159201.09886630665
2015-09-25,388511.9479268304
2015-09-26,95160.7630071024
2015-09-27,208653.47664083203
2015-09-28,290717.5851782683
2015-09-29,167782.63245905735
2015-09-30,251105.60750002263
2015-10-01,113218.98553092124
2015-10-02,58482.7002434854
2015-10-03,40428.46398716095
2015-10-04,41755.7375757862
2015-10-05,52214.76365935571
2015-10-06,82445.69586924333
2015-10-07,102026.56229277748
2015-10-08,139365.267679146
2015-10-09,91290.6611427868
2015-10-10,33597.03431131183
2015-10-11,27462.91422453157
2015-10-12,107267.51228105628
2015-10-13,126756.9124059542
2015-10-14,546693.1842222324
2015-10-15,74156.49286022317
2015-10-16,176667.41338222066
2015-10-17,93665.1286861407
2015-10-18,51770.52906757146
2015-10-19,156726.50243043026
2015-10-20,184386.18113781585
2015-10-21,341905.5563851806
2015-10-22,364874.1161904503
2015-10-23,350070.0179513436
2015-10-24,29830.174941234123
2015-10-25,71451.05743414084
2015-10-26,281128.33713377966
2015-10-27,534887.8932428323
2015-10-28,536184.8877606166
2015-10-29,248011.3472638932
2015-10-30,782276.5502095205
2015-10-31,80769.30662171498
2015-11-01,39738.65016722368
2015-11-02,116032.33958230792
2015-11-03,131775.8255863088
2015-11-04,343298.88127303653
2015-11-05,137512.71414538642
2015-11-06,100319.96152293164
2015-11-07,137322.40687151309
2015-11-08,97453.12944229555
2015-11-09,379849.1816381546
2015-11-10,466981.7416237785
2015-11-11,35379.57350993935
2015-11-12,133315.08593570333
2015-11-13,43298.02844730769
2015-11-14,137348.57780251664
2015-11-15,52829.627419853634
2015-11-16,79379.87889515504
2015-11-17,131956.3058016861
2015-11-18,39787.92855994695
2015-11-19,57234.782338957375
2015-11-20,31150.84613611456
2015-11-21,35427.488669779246
2015-11-22,107133.2502515964
2015-11-23,424156.9773338239
