date,timestamp_utc,Exchange Outflow (Mean)
2015-08-13,2015-08-13T00:00:00Z,573.56785581
2015-08-14,2015-08-14T00:00:00Z,511.42644525
2015-08-15,2015-08-15T00:00:00Z,943.68195796
2015-08-16,2015-08-16T00:00:00Z,744.75323884
2015-08-17,2015-08-17T00:00:00Z,674.14177569
2015-08-18,2015-08-18T00:00:00Z,478.10453231
2015-08-19,2015-08-19T00:00:00Z,719.055741
2015-08-20,2015-08-20T00:00:00Z,415.47530459
2015-08-21,2015-08-21T00:00:00Z,258.13917395
2015-08-22,2015-08-22T00:00:00Z,130.69067598
2015-08-23,2015-08-23T00:00:00Z,185.87339178
2015-08-24,2015-08-24T00:00:00Z,187.91469177
2015-08-25,2015-08-25T00:00:00Z,88.64195247
2015-08-26,2015-08-26T00:00:00Z,242.68994725
2015-08-27,2015-08-27T00:00:00Z,120.89061617
2015-08-28,2015-08-28T00:00:00Z,125.14047372
2015-08-29,2015-08-29T00:00:00Z,218.29233063
2015-08-30,2015-08-30T00:00:00Z,249.42745809
2015-08-31,2015-08-31T00:00:00Z,257.83484724
2015-09-01,2015-09-01T00:00:00Z,741.37773802
2015-09-02,2015-09-02T00:00:00Z,494.09651923
2015-09-03,2015-09-03T00:00:00Z,1249.75010892
2015-09-04,2015-09-04T00:00:00Z,253.67675551
2015-09-05,2015-09-05T00:00:00Z,314.66994134
2015-09-06,2015-09-06T00:00:00Z,283.16025392
2015-09-07,2015-09-07T00:00:00Z,161.29769616
2015-09-08,2015-09-08T00:00:00Z,211.80624392
2015-09-09,2015-09-09T00:00:00Z,328.65080092
2015-09-10,2015-09-10T00:00:00Z,262.71949092
2015-09-11,2015-09-11T00:00:00Z,586.23278461
2015-09-12,2015-09-12T00:00:00Z,260.52483186
2015-09-13,2015-09-13T00:00:00Z,247.00967684
2015-09-14,2015-09-14T00:00:00Z,219.28874452
2015-09-15,2015-09-15T00:00:00Z,452.43657644
2015-09-16,2015-09-16T00:00:00Z,338.0536234
2015-09-17,2015-09-17T00:00:00Z,335.01547412
