date,Exchange Reserve
2015-08-07,1435993.8023820375
2015-08-08,2283419.5156877493
2015-08-09,2724023.195268552
2015-08-10,3425505.560829832
2015-08-11,3704425.8904308816
2015-08-12,3925851.2411217983
2015-08-13,4344923.406025285
2015-08-14,5276235.03690099
2015-08-15,5543640.568205039
2015-08-16,6030393.984525373
2015-08-17,6102984.562167759
2015-08-18,6280887.089184607
2015-08-19,6201098.339456968
2015-08-20,6145940.974300545
2015-08-21,6133694.5601878455
2015-08-22,6130594.930134804
2015-08-23,6091633.977447466
2015-08-24,6076597.085444992
2015-08-25,6119423.862502653
2015-08-26,6140929.057714108
2015-08-27,6156121.051323026
2015-08-28,6176473.100601909
2015-08-29,6176484.346237301
2015-08-30,6224641.995955284
2015-08-31,6249379.459561455
2015-09-01,6376235.988444182
2015-09-02,6340898.584980104
2015-09-03,6390461.291213511
2015-09-04,6444398.103120116
2015-09-05,6428647.821710248
2015-09-06,6463855.229023155
2015-09-07,6511786.490599771
2015-09-08,6573809.754403239
2015-09-09,7517777.630885257
2015-09-10,7527466.018979779
2015-09-11,7444792.066869522
2015-09-12,7430652.216841128
2015-09-13,7411153.31725206
2015-09-14,7442955.308909294
2015-09-15,7454826.753251522
2015-09-16,7493030.936503688
2015-09-17,7486970.026708692
2015-09-18,7524125.919456555
2015-09-19,7536422.032275512
2015-09-20,7527466.437668691
2015-09-21,7570090.849592951
2015-09-22,7577711.943300149
2015-09-23,7593644.411012484
2015-09-24,7645327.108881992
2015-09-25,7638387.453323689
2015-09-26,7642837.135554451
2015-09-27,7626971.197655746
2015-09-28,7768948.805661569
2015-09-29,7721506.901617985
2015-09-30,7793718.196348338
2015-10-01,7764172.187291454
2015-10-02,7791495.725885048
2015-10-03,7795001.950957485
2015-10-04,7801441.159081062
2015-10-05,7781299.464510456
2015-10-06,7613555.738456901
2015-10-07,7617998.4713548785
2015-10-08,7686698.500049267
2015-10-09,7684667.176796092
2015-10-10,7682283.31300213
2015-10-11,7630767.789823147
2015-10-12,7627957.802368226
2015-10-13,7634547.411584839
2015-10-14,7677612.592329445
2015-10-15,7671027.928653418
2015-10-16,7647644.652664841
2015-10-17,7673793.908468381
2015-10-18,7685838.393581304
2015-10-19,7637407.229813688
2015-10-20,7609693.742535741
2015-10-21,7830819.978899974
2015-10-22,7849836.73359608
2015-10-23,7988688.649304026
2015-10-24,7982147.503800888
2015-10-25,7977867.435323036
2015-10-26,7884038.520241282
2015-10-27,7908181.15640532
2015-10-28,7941185.492212568
2015-10-29,8050631.883170349
2015-10-30,8372800.683943625
2015-10-31,8359457.767843981
2015-11-01,8343970.254882569
2015-11-02,8336601.255586446
2015-11-03,8292891.722012614
2015-11-04,8283208.477489739
2015-11-05,8311227.201424265
2015-11-06,8344329.084321282
2015-11-07,8400622.029914
2015-11-08,8439204.905967731
2015-11-09,8689764.520288294
2015-11-10,8699036.5285826
2015-11-11,8608080.500739751
2015-11-12,8563834.391300196
2015-11-13,8567604.14538617
2015-11-14,8509351.672643822
2015-11-15,8484546.295070944
2015-11-16,8451918.038550839
2015-11-17,8488176.1862972
2015-11-18,8465221.815609109
2015-11-19,8463241.703107785
2015-11-20,8457197.92982055
2015-11-21,8447738.21457918
2015-11-22,8426074.717918197
