date,timestamp_utc,Fund Holdings
2020-11-04,2020-11-04T00:00:00Z,2433070.0
2020-11-05,2020-11-05T00:00:00Z,2432987.0
2020-11-06,2020-11-06T00:00:00Z,2533068.0
2020-11-07,2020-11-07T00:00:00Z,2533068.0
2020-11-08,2020-11-08T00:00:00Z,2533068.0
2020-11-09,2020-11-09T00:00:00Z,2541954.0
2020-11-10,2020-11-10T00:00:00Z,2552434.440381
2020-11-11,2020-11-11T00:00:00Z,2552434.440381
2020-11-12,2020-11-12T00:00:00Z,2552930.812894
2020-11-13,2020-11-13T00:00:00Z,2575589.04144
2020-11-14,2020-11-14T00:00:00Z,2575589.04144
2020-11-15,2020-11-15T00:00:00Z,2575589.04144
2020-11-16,2020-11-16T00:00:00Z,2580878.55008
2020-11-17,2020-11-17T00:00:00Z,2583657.276006
2020-11-18,2020-11-18T00:00:00Z,2585097.582732
2020-11-19,2020-11-19T00:00:00Z,2595347.21068
2020-11-20,2020-11-20T00:00:00Z,2597390.479208
2020-11-21,2020-11-21T00:00:00Z,2597390.479208
2020-11-22,2020-11-22T00:00:00Z,2597390.479208
2020-11-23,2020-11-23T00:00:00Z,2627190.129948
2020-11-24,2020-11-24T00:00:00Z,2628766.067538
2020-11-25,2020-11-25T00:00:00Z,2635097.856624
2020-11-26,2020-11-26T00:00:00Z,2635097.856624
2020-11-27,2020-11-27T00:00:00Z,2661207.453818
2020-11-28,2020-11-28T00:00:00Z,2661207.453818
2020-11-29,2020-11-29T00:00:00Z,2661207.453818
2020-11-30,2020-11-30T00:00:00Z,2666548.132516
2020-12-01,2020-12-01T00:00:00Z,2666548.132516
2020-12-02,2020-12-02T00:00:00Z,2739207.735569
2020-12-03,2020-12-03T00:00:00Z,2751395.878162
2020-12-04,2020-12-04T00:00:00Z,2798674.019439
2020-12-05,2020-12-05T00:00:00Z,2798674.019439
2020-12-06,2020-12-06T00:00:00Z,2798674.019439
2020-12-07,2020-12-07T00:00:00Z,2810499.35283
2020-12-08,2020-12-08T00:00:00Z,2941753.204884
2020-12-09,2020-12-09T00:00:00Z,2941551.614508
2020-12-10,2020-12-10T00:00:00Z,2941350.341098
2020-12-11,2020-12-11T00:00:00Z,2941148.750722
2020-12-12,2020-12-12T00:00:00Z,2941148.750722
2020-12-13,2020-12-13T00:00:00Z,2941148.750722
2020-12-14,2020-12-14T00:00:00Z,2940544.29656
2020-12-15,2020-12-15T00:00:00Z,2940343.02315
2020-12-16,2020-12-16T00:00:00Z,2940141.74974
2020-12-17,2020-12-17T00:00:00Z,2939940.159364
2020-12-18,2020-12-18T00:00:00Z,2939738.252022
2020-12-19,2020-12-19T00:00:00Z,2939738.252022
2020-12-20,2020-12-20T00:00:00Z,2939738.252022
2020-12-21,2020-12-21T00:00:00Z,2939133.480894
2020-12-22,2020-12-22T00:00:00Z,2938933.792314
2020-12-23,2020-12-23T00:00:00Z,2938731.25104
2020-12-24,2020-12-24T00:00:00Z,2938531.56246
2020-12-25,2020-12-25T00:00:00Z,2938531.56246
2020-12-26,2020-12-26T00:00:00Z,2938531.56246
2020-12-27,2020-12-27T00:00:00Z,2938531.56246
2020-12-28,2020-12-28T00:00:00Z,2937727.102752
2020-12-29,2020-12-29T00:00:00Z,2937727.102752
2020-12-30,2020-12-30T00:00:00Z,2937324.872898
2020-12-31,2020-12-31T00:00:00Z,2937122.331624
2021-01-01,2021-01-01T00:00:00Z,2937122.331624
2021-01-02,2021-01-02T00:00:00Z,2937122.331624
2021-01-03,2021-01-03T00:00:00Z,2937122.331624
2021-01-04,2021-01-04T00:00:00Z,2936317.871916
2021-01-05,2021-01-05T00:00:00Z,2936115.330642
2021-01-06,2021-01-06T00:00:00Z,2936115.330642
2021-01-07,2021-01-07T00:00:00Z,2935713.100788
2021-01-08,2021-01-08T00:00:00Z,2935513.412208
2021-01-09,2021-01-09T00:00:00Z,2935513.412208
