date,timestamp_utc,Fund Volume
2019-06-14,2019-06-14T00:00:00Z,100
2019-06-17,2019-06-17T00:00:00Z,0
2019-06-18,2019-06-18T00:00:00Z,0
2019-06-19,2019-06-19T00:00:00Z,0
2019-06-20,2019-06-20T00:00:00Z,824
2019-06-21,2019-06-21T00:00:00Z,3566
2019-06-24,2019-06-24T00:00:00Z,49249
2019-06-25,2019-06-25T00:00:00Z,6784
2019-06-26,2019-06-26T00:00:00Z,16466
2019-06-27,2019-06-27T00:00:00Z,20030
2019-06-28,2019-06-28T00:00:00Z,18013
2019-07-01,2019-07-01T00:00:00Z,43927
2019-07-02,2019-07-02T00:00:00Z,26383
2019-07-03,2019-07-03T00:00:00Z,5160
2019-07-05,2019-07-05T00:00:00Z,24953
2019-07-08,2019-07-08T00:00:00Z,19494
2019-07-09,2019-07-09T00:00:00Z,23071
2019-07-10,2019-07-10T00:00:00Z,40183
2019-07-11,2019-07-11T00:00:00Z,24105
2019-07-12,2019-07-12T00:00:00Z,26194
2019-07-15,2019-07-15T00:00:00Z,25787
2019-07-16,2019-07-16T00:00:00Z,15834
2019-07-17,2019-07-17T00:00:00Z,8903
2019-07-18,2019-07-18T00:00:00Z,8836
2019-07-19,2019-07-19T00:00:00Z,6598
2019-07-22,2019-07-22T00:00:00Z,11232
2019-07-23,2019-07-23T00:00:00Z,9378
2019-07-24,2019-07-24T00:00:00Z,11177
2019-07-25,2019-07-25T00:00:00Z,15999
2019-07-26,2019-07-26T00:00:00Z,5238
2019-07-29,2019-07-29T00:00:00Z,8819
2019-07-30,2019-07-30T00:00:00Z,7281
2019-07-31,2019-07-31T00:00:00Z,22890
2019-08-01,2019-08-01T00:00:00Z,11415
2019-08-02,2019-08-02T00:00:00Z,8723
2019-08-05,2019-08-05T00:00:00Z,13850
2019-08-06,2019-08-06T00:00:00Z,6679
2019-08-07,2019-08-07T00:00:00Z,8734
2019-08-08,2019-08-08T00:00:00Z,6036
2019-08-09,2019-08-09T00:00:00Z,8234
2019-08-12,2019-08-12T00:00:00Z,6307
2019-08-13,2019-08-13T00:00:00Z,14099
2019-08-14,2019-08-14T00:00:00Z,9281
2019-08-15,2019-08-15T00:00:00Z,5368
2019-08-16,2019-08-16T00:00:00Z,5017
2019-08-19,2019-08-19T00:00:00Z,8482
2019-08-20,2019-08-20T00:00:00Z,690
2019-08-21,2019-08-21T00:00:00Z,3077
2019-08-22,2019-08-22T00:00:00Z,4173
2019-08-23,2019-08-23T00:00:00Z,2849
2019-08-26,2019-08-26T00:00:00Z,8569
2019-08-27,2019-08-27T00:00:00Z,2929
2019-08-28,2019-08-28T00:00:00Z,4947
2019-08-29,2019-08-29T00:00:00Z,2370
2019-08-30,2019-08-30T00:00:00Z,5839
2019-09-03,2019-09-03T00:00:00Z,8550
2019-09-04,2019-09-04T00:00:00Z,1224
2019-09-05,2019-09-05T00:00:00Z,7734
2019-09-06,2019-09-06T00:00:00Z,2986
2019-09-09,2019-09-09T00:00:00Z,6409
2019-09-10,2019-09-10T00:00:00Z,8452
2019-09-11,2019-09-11T00:00:00Z,2582
2019-09-12,2019-09-12T00:00:00Z,3433
2019-09-13,2019-09-13T00:00:00Z,12572
2019-09-16,2019-09-16T00:00:00Z,7137
2019-09-17,2019-09-17T00:00:00Z,35417
2019-09-18,2019-09-18T00:00:00Z,24608
2019-09-19,2019-09-19T00:00:00Z,29629
2019-09-20,2019-09-20T00:00:00Z,8739
2019-09-23,2019-09-23T00:00:00Z,10180
2019-09-24,2019-09-24T00:00:00Z,40954
2019-09-25,2019-09-25T00:00:00Z,22602
2019-09-26,2019-09-26T00:00:00Z,33049
2019-09-27,2019-09-27T00:00:00Z,18254
2019-09-30,2019-09-30T00:00:00Z,57690
2019-10-01,2019-10-01T00:00:00Z,30145
2019-10-02,2019-10-02T00:00:00Z,14143
2019-10-03,2019-10-03T00:00:00Z,8164
2019-10-04,2019-10-04T00:00:00Z,3988
2019-10-07,2019-10-07T00:00:00Z,23876
2019-10-08,2019-10-08T00:00:00Z,7416
2019-10-09,2019-10-09T00:00:00Z,38134
2019-10-10,2019-10-10T00:00:00Z,10122
2019-10-11,2019-10-11T00:00:00Z,8700
2019-10-14,2019-10-14T00:00:00Z,3055
2019-10-15,2019-10-15T00:00:00Z,13417
2019-10-16,2019-10-16T00:00:00Z,6751
2019-10-17,2019-10-17T00:00:00Z,3549
2019-10-18,2019-10-18T00:00:00Z,4072
2019-10-21,2019-10-21T00:00:00Z,8060
2019-10-22,2019-10-22T00:00:00Z,5503
2019-10-23,2019-10-23T00:00:00Z,9637
2019-10-24,2019-10-24T00:00:00Z,5585
2019-10-25,2019-10-25T00:00:00Z,23937
2019-10-28,2019-10-28T00:00:00Z,6022
2019-10-29,2019-10-29T00:00:00Z,8662
2019-10-30,2019-10-30T00:00:00Z,8245
2019-10-31,2019-10-31T00:00:00Z,3884
2019-11-01,2019-11-01T00:00:00Z,7277
2019-11-04,2019-11-04T00:00:00Z,17289
2019-11-05,2019-11-05T00:00:00Z,15807
2019-11-06,2019-11-06T00:00:00Z,8836
2019-11-07,2019-11-07T00:00:00Z,2940
2019-11-08,2019-11-08T00:00:00Z,19460
2019-11-11,2019-11-11T00:00:00Z,6241
2019-11-12,2019-11-12T00:00:00Z,4283
2019-11-13,2019-11-13T00:00:00Z,20087
2019-11-14,2019-11-14T00:00:00Z,1994
2019-11-15,2019-11-15T00:00:00Z,5683
2019-11-18,2019-11-18T00:00:00Z,5144
2019-11-19,2019-11-19T00:00:00Z,2960
2019-11-20,2019-11-20T00:00:00Z,1526
2019-11-21,2019-11-21T00:00:00Z,10718
2019-11-22,2019-11-22T00:00:00Z,46282
2019-11-25,2019-11-25T00:00:00Z,4860
2019-11-26,2019-11-26T00:00:00Z,7365
2019-11-27,2019-11-27T00:00:00Z,6401
2019-11-29,2019-11-29T00:00:00Z,2292
2019-12-02,2019-12-02T00:00:00Z,7704
2019-12-03,2019-12-03T00:00:00Z,1965
2019-12-04,2019-12-04T00:00:00Z,1268
2019-12-05,2019-12-05T00:00:00Z,8134
2019-12-06,2019-12-06T00:00:00Z,2213
2019-12-09,2019-12-09T00:00:00Z,6508
2019-12-10,2019-12-10T00:00:00Z,5321
2019-12-11,2019-12-11T00:00:00Z,5367
2019-12-12,2019-12-12T00:00:00Z,1541
2019-12-13,2019-12-13T00:00:00Z,9621
2019-12-16,2019-12-16T00:00:00Z,14782
2019-12-17,2019-12-17T00:00:00Z,16430
2019-12-18,2019-12-18T00:00:00Z,13742
2019-12-19,2019-12-19T00:00:00Z,3216
2019-12-20,2019-12-20T00:00:00Z,6746
2019-12-23,2019-12-23T00:00:00Z,11873
2019-12-24,2019-12-24T00:00:00Z,17947
2019-12-26,2019-12-26T00:00:00Z,26522
2019-12-27,2019-12-27T00:00:00Z,26676
2019-12-30,2019-12-30T00:00:00Z,18254
2019-12-31,2019-12-31T00:00:00Z,20614
2020-01-02,2020-01-02T00:00:00Z,19772
2020-01-03,2020-01-03T00:00:00Z,22794
2020-01-06,2020-01-06T00:00:00Z,12599
2020-01-07,2020-01-07T00:00:00Z,16101
2020-01-08,2020-01-08T00:00:00Z,12159
2020-01-09,2020-01-09T00:00:00Z,8727
2020-01-10,2020-01-10T00:00:00Z,12929
2020-01-13,2020-01-13T00:00:00Z,11218
2020-01-14,2020-01-14T00:00:00Z,32038
2020-01-15,2020-01-15T00:00:00Z,26260
2020-01-16,2020-01-16T00:00:00Z,22013
2020-01-17,2020-01-17T00:00:00Z,51680
2020-01-21,2020-01-21T00:00:00Z,45694
2020-01-22,2020-01-22T00:00:00Z,31017
2020-01-23,2020-01-23T00:00:00Z,31251
2020-01-24,2020-01-24T00:00:00Z,52676
2020-01-27,2020-01-27T00:00:00Z,41265
2020-01-28,2020-01-28T00:00:00Z,17721
2020-01-29,2020-01-29T00:00:00Z,18555
2020-01-30,2020-01-30T00:00:00Z,24832
2020-01-31,2020-01-31T00:00:00Z,10452
2020-02-03,2020-02-03T00:00:00Z,32055
2020-02-04,2020-02-04T00:00:00Z,16826
2020-02-05,2020-02-05T00:00:00Z,59260
2020-02-06,2020-02-06T00:00:00Z,94978
2020-02-07,2020-02-07T00:00:00Z,62626
2020-02-10,2020-02-10T00:00:00Z,63011
2020-02-11,2020-02-11T00:00:00Z,94426
2020-02-12,2020-02-12T00:00:00Z,78851
2020-02-13,2020-02-13T00:00:00Z,57554
2020-02-14,2020-02-14T00:00:00Z,53250
2020-02-18,2020-02-18T00:00:00Z,110289
2020-02-19,2020-02-19T00:00:00Z,88479
2020-02-20,2020-02-20T00:00:00Z,53549
2020-02-21,2020-02-21T00:00:00Z,60606
2020-02-24,2020-02-24T00:00:00Z,73472
2020-02-25,2020-02-25T00:00:00Z,78742
2020-02-26,2020-02-26T00:00:00Z,182056
2020-02-27,2020-02-27T00:00:00Z,71894
2020-02-28,2020-02-28T00:00:00Z,58592
2020-03-02,2020-03-02T00:00:00Z,56800
2020-03-03,2020-03-03T00:00:00Z,35633
2020-03-04,2020-03-04T00:00:00Z,31768
2020-03-05,2020-03-05T00:00:00Z,50997
2020-03-06,2020-03-06T00:00:00Z,58041
2020-03-09,2020-03-09T00:00:00Z,98731
2020-03-10,2020-03-10T00:00:00Z,36455
2020-03-11,2020-03-11T00:00:00Z,82219
2020-03-12,2020-03-12T00:00:00Z,82541
2020-03-13,2020-03-13T00:00:00Z,59778
2020-03-16,2020-03-16T00:00:00Z,60313
2020-03-17,2020-03-17T00:00:00Z,55644
2020-03-18,2020-03-18T00:00:00Z,36135
2020-03-19,2020-03-19T00:00:00Z,89317
2020-03-20,2020-03-20T00:00:00Z,47905
2020-03-23,2020-03-23T00:00:00Z,17129
2020-03-24,2020-03-24T00:00:00Z,35571
2020-03-25,2020-03-25T00:00:00Z,29042
2020-03-26,2020-03-26T00:00:00Z,24690
2020-03-27,2020-03-27T00:00:00Z,17714
2020-03-30,2020-03-30T00:00:00Z,12655
2020-03-31,2020-03-31T00:00:00Z,22743
2020-04-01,2020-04-01T00:00:00Z,21482
2020-04-02,2020-04-02T00:00:00Z,43772
2020-04-03,2020-04-03T00:00:00Z,16087
2020-04-06,2020-04-06T00:00:00Z,49468
2020-04-07,2020-04-07T00:00:00Z,31035
2020-04-08,2020-04-08T00:00:00Z,14088
2020-04-09,2020-04-09T00:00:00Z,19579
2020-04-13,2020-04-13T00:00:00Z,39534
2020-04-14,2020-04-14T00:00:00Z,14811
2020-04-15,2020-04-15T00:00:00Z,15540
2020-04-16,2020-04-16T00:00:00Z,30379
2020-04-17,2020-04-17T00:00:00Z,15975
2020-04-20,2020-04-20T00:00:00Z,31346
2020-04-21,2020-04-21T00:00:00Z,17315
2020-04-22,2020-04-22T00:00:00Z,24933
2020-04-23,2020-04-23T00:00:00Z,29505
2020-04-24,2020-04-24T00:00:00Z,13469
2020-04-27,2020-04-27T00:00:00Z,20459
2020-04-28,2020-04-28T00:00:00Z,6822
2020-04-29,2020-04-29T00:00:00Z,42533
2020-04-30,2020-04-30T00:00:00Z,33463
2020-05-01,2020-05-01T00:00:00Z,11884
2020-05-04,2020-05-04T00:00:00Z,18070
2020-05-05,2020-05-05T00:00:00Z,8615
2020-05-06,2020-05-06T00:00:00Z,15500
2020-05-07,2020-05-07T00:00:00Z,37444
2020-05-08,2020-05-08T00:00:00Z,30769
2020-05-11,2020-05-11T00:00:00Z,28374
