date,Korea Premium Index
2020-07-16,-0.74
2020-07-17,-0.88
2020-07-18,-1.41
2020-07-19,-1.52
2020-07-20,-0.74
2020-07-21,-0.98
2020-07-22,-1.36
2020-07-23,-1.78
2020-07-24,-1.45
2020-07-25,-1.85
2020-07-26,-2.12
2020-07-27,-2.3
2020-07-28,-2.7
2020-07-29,-1.06
2020-07-30,-1.5
2020-07-31,-0.54
2020-08-01,-0.83
2020-08-02,-0.99
2020-08-03,-1.17
2020-08-04,-0.54
2020-08-05,-0.56
2020-08-06,-0.58
2020-08-07,0.07
2020-08-08,-0.77
2020-08-09,-0.27
2020-08-10,-0.81
2020-08-11,0.62
2020-08-12,0.0
2020-08-13,-1.1
2020-08-14,-0.9
2020-08-15,-1.38
2020-08-16,-1.78
2020-08-17,-2.67
2020-08-18,-1.3
2020-08-19,-0.39
2020-08-20,-0.15
2020-08-21,0.61
2020-08-22,-0.49
2020-08-23,-0.75
2020-08-24,-1.22
2020-08-25,0.23
2020-08-26,-0.46
2020-08-27,-0.4
2020-08-28,-1.06
2020-08-29,-0.9
2020-08-30,-1.29
2020-08-31,-0.3
2020-09-01,-1.21
2020-09-02,0.52
2020-09-03,1.9
2020-09-04,1.18
2020-09-05,2.34
2020-09-06,1.23
2020-09-07,0.4
2020-09-08,0.67
2020-09-09,0.07
2020-09-10,0.49
2020-09-11,-0.09
2020-09-12,-0.23
2020-09-13,0.89
2020-09-14,-0.26
2020-09-15,0.48
2020-09-16,-0.19
2020-09-17,-0.17
2020-09-18,-0.41
2020-09-19,0.33
2020-09-20,0.95
2020-09-21,1.19
2020-09-22,0.51
2020-09-23,0.42
2020-09-24,-0.12
2020-09-25,-1.04
2020-09-26,-1.03
2020-09-27,-1.21
2020-09-28,-0.92
2020-09-29,-0.88
2020-09-30,-0.49
2020-10-01,0.25
2020-10-02,1.1
2020-10-03,0.96
2020-10-04,0.19
2020-10-05,-0.11
2020-10-06,1.02
2020-10-07,0.33
2020-10-08,-0.7
2020-10-09,-0.92
2020-10-10,-0.67
2020-10-11,-0.69
2020-10-12,-0.26
2020-10-13,-0.04
2020-10-14,0.33
2020-10-15,0.2
2020-10-16,0.3
2020-10-17,0.67
2020-10-18,0.33
2020-10-19,-0.15
2020-10-20,0.48
2020-10-21,-1.2
2020-10-22,-0.99
2020-10-23,-0.61
2020-10-24,-0.33
2020-10-25,-0.21
2020-10-26,0.13
2020-10-27,-1.0
2020-10-28,0.76
2020-10-29,-0.48
2020-10-30,-0.08
2020-10-31,0.03
2020-11-01,-0.04
2020-11-02,0.39
2020-11-03,-0.27
2020-11-04,-0.41
2020-11-05,-1.55
2020-11-06,-0.72
2020-11-07,-0.18
2020-11-08,-0.6
2020-11-09,-0.63
2020-11-10,-0.07
2020-11-11,-0.71
2020-11-12,-0.92
2020-11-13,-1.12
2020-11-14,-0.2
2020-11-15,-0.03
2020-11-16,-1.58
2020-11-17,-1.1
2020-11-18,0.26
2020-11-19,0.77
2020-11-20,-0.92
2020-11-21,-2.25
2020-11-22,-0.78
2020-11-23,-1.84
2020-11-24,-1.41
2020-11-25,0.16
2020-11-26,1.16
2020-11-27,0.56
2020-11-28,-0.55
2020-11-29,-0.58
2020-11-30,-2.33
2020-12-01,0.34
2020-12-02,-0.92
2020-12-03,-1.26
2020-12-04,0.97
2020-12-05,-0.07
2020-12-06,-0.37
2020-12-07,0.06
2020-12-08,0.59
2020-12-09,0.71
2020-12-10,0.52
2020-12-11,0.15
2020-12-12,0.01
2020-12-13,-0.82
2020-12-14,-0.66
2020-12-15,-0.59
2020-12-16,-1.88
2020-12-17,-0.75
2020-12-18,-0.44
2020-12-19,-0.06
2020-12-20,0.46
2020-12-21,1.64
2020-12-22,1.39
2020-12-23,2.77
2020-12-24,0.73
2020-12-25,-0.47
2020-12-26,0.6
2020-12-27,1.47
2020-12-28,1.52
2020-12-29,1.42
2020-12-30,0.92
2020-12-31,1.69
2021-01-01,0.95
2021-01-02,2.16
2021-01-03,4.5
2021-01-04,4.76
2021-01-05,3.34
2021-01-06,1.48
2021-01-07,4.32
2021-01-08,6.36
2021-01-09,3.76
2021-01-10,4.26
2021-01-11,3.63
2021-01-12,3.16
2021-01-13,0.87
2021-01-14,-0.43
2021-01-15,1.76
2021-01-16,1.11
2021-01-17,0.34
2021-01-18,-0.87
2021-01-19,-0.28
2021-01-20,0.26
2021-01-21,2.04
2021-01-22,0.05
2021-01-23,0.1
2021-01-24,-0.65
2021-01-25,1.01
2021-01-26,0.05
2021-01-27,2.4
2021-01-28,-0.68
2021-01-29,-2.08
2021-01-30,-3.46
2021-01-31,-1.58
2021-02-01,-2.73
2021-02-02,-4.75
2021-02-03,-6.43
2021-02-04,-3.49
2021-02-05,-5.52
2021-02-06,-5.28
2021-02-07,-3.78
2021-02-08,-6.04
2021-02-09,-6.64
2021-02-10,-2.83
2021-02-11,-3.01
2021-02-12,-2.75
2021-02-13,-2.96
2021-02-14,-2.06
2021-02-15,-0.86
2021-02-16,0.94
2021-02-17,-0.19
2021-02-18,1.32
2021-02-19,2.63
2021-02-20,3.97
2021-02-21,3.08
2021-02-22,3.34
2021-02-23,1.15
2021-02-24,2.14
2021-02-25,3.3
2021-02-26,4.48
2021-02-27,2.69
2021-02-28,1.53
2021-03-01,0.77
2021-03-02,3.14
2021-03-03,1.93
2021-03-04,4.2
2021-03-05,3.03
2021-03-06,1.99
2021-03-07,0.94
2021-03-08,1.1
2021-03-09,0.49
2021-03-10,1.08
2021-03-11,0.32
2021-03-12,2.82
2021-03-13,1.62
2021-03-14,2.34
2021-03-15,1.91
2021-03-16,2.3
2021-03-17,2.84
2021-03-18,2.8
2021-03-19,3.68
2021-03-20,2.81
2021-03-21,3.52
2021-03-22,5.44
2021-03-23,6.71
2021-03-24,9.32
2021-03-25,9.0
2021-03-26,4.97
2021-03-27,5.4
2021-03-28,6.52
2021-03-29,5.05
2021-03-30,6.22
2021-03-31,7.03
2021-04-01,9.1
2021-04-02,11.0
2021-04-03,12.04
2021-04-04,12.52
2021-04-05,17.81
2021-04-06,18.91
2021-04-07,16.48
2021-04-08,15.98
2021-04-09,16.85
2021-04-10,16.94
2021-04-11,16.91
2021-04-12,16.28
2021-04-13,12.96
2021-04-14,13.97
2021-04-15,12.86
2021-04-16,15.81
2021-04-17,16.25
2021-04-18,20.48
2021-04-19,14.71
2021-04-20,11.58
2021-04-21,13.3
2021-04-22,3.21
2021-04-23,6.45
2021-04-24,9.02
2021-04-25,9.16
2021-04-26,6.26
2021-04-27,5.95
2021-04-28,4.93
2021-04-29,7.14
2021-04-30,6.45
2021-05-01,6.47
2021-05-02,8.02
2021-05-03,10.08
2021-05-04,12.29
2021-05-05,5.95
2021-05-06,8.3
2021-05-07,6.82
2021-05-08,9.27
2021-05-09,9.97
2021-05-10,13.91
2021-05-11,9.76
2021-05-12,10.5
2021-05-13,11.95
2021-05-14,9.44
2021-05-15,11.13
2021-05-16,10.13
2021-05-17,10.41
2021-05-18,9.2
2021-05-19,21.37
2021-05-20,11.55
2021-05-21,16.36
2021-05-22,12.1
2021-05-23,8.99
2021-05-24,7.43
2021-05-25,8.98
2021-05-26,7.08
2021-05-27,8.24
2021-05-28,9.63
2021-05-29,11.0
2021-05-30,8.93
2021-05-31,5.12
2021-06-01,6.28
2021-06-02,5.08
2021-06-03,4.31
2021-06-04,4.2
2021-06-05,6.27
2021-06-06,4.93
2021-06-07,4.76
2021-06-08,3.84
2021-06-09,3.44
2021-06-10,4.51
2021-06-11,5.08
2021-06-12,4.24
2021-06-13,2.72
2021-06-14,2.65
2021-06-15,3.44
2021-06-16,5.85
2021-06-17,3.9
2021-06-18,4.54
2021-06-19,4.66
2021-06-20,3.53
2021-06-21,4.1
2021-06-22,2.75
2021-06-23,2.3
2021-06-24,2.09
2021-06-25,3.87
2021-06-26,3.57
2021-06-27,2.01
2021-06-28,2.77
