date,timestamp_utc,Market Cap
2015-08-07,2015-08-07T00:00:00Z,216839758.68594
2015-08-08,2015-08-08T00:00:00Z,86767989.442116
2015-08-09,2015-08-09T00:00:00Z,
2015-08-10,2015-08-10T00:00:00Z,
2015-08-11,2015-08-11T00:00:00Z,71666977.5726102
2015-08-12,2015-08-12T00:00:00Z,93274715.49833024
2015-08-13,2015-08-13T00:00:00Z,136547211.2614199
2015-08-14,2015-08-14T00:00:00Z,130089377.29217884
2015-08-15,2015-08-15T00:00:00Z,129785999.3253192
2015-08-16,2015-08-16T00:00:00Z,115277077.38752668
2015-08-17,2015-08-17T00:00:00Z,94067093.68848462
2015-08-18,2015-08-18T00:00:00Z,79846999.11213924
2015-08-19,2015-08-19T00:00:00Z,90042355.91310519
2015-08-20,2015-08-20T00:00:00Z,110537252.03254616
2015-08-21,2015-08-21T00:00:00Z,104334703.90861832
2015-08-22,2015-08-22T00:00:00Z,101766142.230522
2015-08-23,2015-08-23T00:00:00Z,98167082.2446105
2015-08-24,2015-08-24T00:00:00Z,90059598.58597621
2015-08-25,2015-08-25T00:00:00Z,92505038.58104804
2015-08-26,2015-08-26T00:00:00Z,85899946.18313639
2015-08-27,2015-08-27T00:00:00Z,82758264.32220154
2015-08-28,2015-08-28T00:00:00Z,94334692.67729534
2015-08-29,2015-08-29T00:00:00Z,85947626.16249603
2015-08-30,2015-08-30T00:00:00Z,96213877.4843136
2015-08-31,2015-08-31T00:00:00Z,95258420.90117247
2015-09-01,2015-09-01T00:00:00Z,99186069.9417928
2015-09-02,2015-09-02T00:00:00Z,96873055.9670657
2015-09-03,2015-09-03T00:00:00Z,90009539.28848417
2015-09-04,2015-09-04T00:00:00Z,
2015-09-05,2015-09-05T00:00:00Z,100031120.9467876
2015-09-06,2015-09-06T00:00:00Z,97875723.9411782
2015-09-07,2015-09-07T00:00:00Z,93204323.23913668
2015-09-08,2015-09-08T00:00:00Z,92352191.49487548
2015-09-09,2015-09-09T00:00:00Z,88474432.44343328
2015-09-10,2015-09-10T00:00:00Z,86728986.76817092
2015-09-11,2015-09-11T00:00:00Z,67627994.85530753
2015-09-12,2015-09-12T00:00:00Z,83915118.41634575
2015-09-13,2015-09-13T00:00:00Z,64846414.26779793
2015-09-14,2015-09-14T00:00:00Z,69954905.87778464
2015-09-15,2015-09-15T00:00:00Z,69612984.37294349
2015-09-16,2015-09-16T00:00:00Z,68636665.64764872
2015-09-17,2015-09-17T00:00:00Z,64162506.98001374
2015-09-18,2015-09-18T00:00:00Z,62517083.69119932
2015-09-19,2015-09-19T00:00:00Z,65309678.122662194
2015-09-20,2015-09-20T00:00:00Z,69090220.04655933
2015-09-21,2015-09-21T00:00:00Z,
2015-09-22,2015-09-22T00:00:00Z,59202092.99863969
2015-09-23,2015-09-23T00:00:00Z,66875668.831089295
2015-09-24,2015-09-24T00:00:00Z,58812905.399584
2015-09-25,2015-09-25T00:00:00Z,50180687.43213206
2015-09-26,2015-09-26T00:00:00Z,56671707.12915943
2015-09-27,2015-09-27T00:00:00Z,51572507.03883778
2015-09-28,2015-09-28T00:00:00Z,44171262.487188
2015-09-29,2015-09-29T00:00:00Z,50197370.45051055
2015-09-30,2015-09-30T00:00:00Z,52573334.4800789
2015-10-01,2015-10-01T00:00:00Z,48255177.95757169
2015-10-02,2015-10-02T00:00:00Z,49001179.376069054
2015-10-03,2015-10-03T00:00:00Z,50119835.2871341
2015-10-04,2015-10-04T00:00:00Z,44968509.98685928
2015-10-05,2015-10-05T00:00:00Z,44853814.32672834
2015-10-06,2015-10-06T00:00:00Z,48070850.344731405
2015-10-07,2015-10-07T00:00:00Z,44311085.455938
2015-10-08,2015-10-08T00:00:00Z,45804724.2690526
2015-10-09,2015-10-09T00:00:00Z,46943845.532769695
2015-10-10,2015-10-10T00:00:00Z,
2015-10-11,2015-10-11T00:00:00Z,44324816.40330521
2015-10-12,2015-10-12T00:00:00Z,46609195.1256099
2015-10-13,2015-10-13T00:00:00Z,44528566.41154838
2015-10-14,2015-10-14T00:00:00Z,35776863.46408121
2015-10-15,2015-10-15T00:00:00Z,41474162.1172088
2015-10-16,2015-10-16T00:00:00Z,38895383.7231645
2015-10-17,2015-10-17T00:00:00Z,38759562.2517493
2015-10-18,2015-10-18T00:00:00Z,37440065.76708115
2015-10-19,2015-10-19T00:00:00Z,37082355.40599
2015-10-20,2015-10-20T00:00:00Z,32643997.4572712
2015-10-21,2015-10-21T00:00:00Z,31170376.712159414
2015-10-22,2015-10-22T00:00:00Z,45213548.82418332
2015-10-23,2015-10-23T00:00:00Z,41955772.68374406
2015-10-24,2015-10-24T00:00:00Z,41313564.29308147
2015-10-25,2015-10-25T00:00:00Z,46080736.3534276
2015-10-26,2015-10-26T00:00:00Z,52493848.41985285
2015-10-27,2015-10-27T00:00:00Z,61733084.1958184
2015-10-28,2015-10-28T00:00:00Z,73659519.0163602
2015-10-29,2015-10-29T00:00:00Z,83576410.34195267
2015-10-30,2015-10-30T00:00:00Z,84771327.29115798
2015-10-31,2015-10-31T00:00:00Z,64627499.01645632
2015-11-01,2015-11-01T00:00:00Z,73769570.04604769
2015-11-02,2015-11-02T00:00:00Z,73632440.84944884
2015-11-03,2015-11-03T00:00:00Z,79043624.6513238
2015-11-04,2015-11-04T00:00:00Z,59603141.72595952
2015-11-05,2015-11-05T00:00:00Z,65399388.66363116
2015-11-06,2015-11-06T00:00:00Z,73895663.60070932
2015-11-07,2015-11-07T00:00:00Z,69451100.3535789
2015-11-08,2015-11-08T00:00:00Z,74705891.59323
2015-11-09,2015-11-09T00:00:00Z,74583485.22223103
2015-11-10,2015-11-10T00:00:00Z,67284355.668282
2015-11-11,2015-11-11T00:00:00Z,56091160.68710999
2015-11-12,2015-11-12T00:00:00Z,65838296.72704239
2015-11-13,2015-11-13T00:00:00Z,67359988.293282
2015-11-14,2015-11-14T00:00:00Z,65888054.4020424
2015-11-15,2015-11-15T00:00:00Z,68853409.83667697
2015-11-16,2015-11-16T00:00:00Z,69308681.57530025
2015-11-17,2015-11-17T00:00:00Z,74956097.99948
2015-11-18,2015-11-18T00:00:00Z,74778645.4851461
2015-11-19,2015-11-19T00:00:00Z,70509318.6601362
2015-11-20,2015-11-20T00:00:00Z,69032240.4220216
2015-11-21,2015-11-21T00:00:00Z,72059353.0795008
2015-11-22,2015-11-22T00:00:00Z,72836150.27668309
2015-11-23,2015-11-23T00:00:00Z,69106800.0970216
2015-11-24,2015-11-24T00:00:00Z,68381573.87885554
2015-11-25,2015-11-25T00:00:00Z,65397384.1439226
2015-11-26,2015-11-26T00:00:00Z,64668513.1295528
2015-11-27,2015-11-27T00:00:00Z,66196972.4895424
2015-11-28,2015-11-28T00:00:00Z,68478440.4560893
2015-11-29,2015-11-29T00:00:00Z,65492194.4329851
2015-11-30,2015-11-30T00:00:00Z,66269055.07704239
2015-12-01,2015-12-01T00:00:00Z,65539959.879860096
2015-12-02,2015-12-02T00:00:00Z,61794621.28457359
2015-12-03,2015-12-03T00:00:00Z,62571506.75050589
2015-12-04,2015-12-04T00:00:00Z,63347791.00081319
2015-12-05,2015-12-05T00:00:00Z,65628057.49592044
2015-12-06,2015-12-06T00:00:00Z,62259416.84488788
2015-12-07,2015-12-07T00:00:00Z,59639938.8399017
2015-12-08,2015-12-08T00:00:00Z,60008872.48141524
2015-12-09,2015-12-09T00:00:00Z,60824635.48004103
2015-12-10,2015-12-10T00:00:00Z,63766247.34014376
2015-12-11,2015-12-11T00:00:00Z,68027336.6222446
2015-12-12,2015-12-12T00:00:00Z,72604739.2795008
2015-12-13,2015-12-13T00:00:00Z,69599920.51668507
2015-12-14,2015-12-14T00:00:00Z,74927707.16011019
2015-12-15,2015-12-15T00:00:00Z,75711567.21823
