date,Taker Buy Ratio
2018-09-01,0.46625366
2018-09-02,0.53911541
2018-09-03,0.48701494
2018-09-04,0.50267397
2018-09-05,0.46041943
2018-09-06,0.54721071
2018-09-07,0.49827843
2018-09-08,0.50359985
2018-09-09,0.51613178
2018-09-10,0.491671
2018-09-11,0.52228435
2018-09-12,0.50278149
2018-09-13,0.49585732
2018-09-14,0.48658019
2018-09-15,0.50622536
2018-09-16,0.50797961
2018-09-17,0.50281887
2018-09-18,0.51008698
2018-09-19,0.5128606
2018-09-20,0.51359538
2018-09-21,0.51332205
2018-09-22,0.50429609
2018-09-23,0.50205496
2018-09-24,0.47372312
2018-09-25,0.47968906
2018-09-26,0.51580206
2018-09-27,0.51887221
2018-09-28,0.49379874
2018-09-29,0.50973904
2018-09-30,0.48087074
2018-10-01,0.48957467
2018-10-02,0.51038183
2018-10-03,0.50057047
2018-10-04,0.49356081
2018-10-05,0.46642106
2018-10-06,0.49741007
2018-10-07,0.5338483
2018-10-08,0.50162642
2018-10-09,0.5042959
2018-10-10,0.47334711
2018-10-11,0.47944434
2018-10-12,0.47707963
2018-10-13,0.50823466
2018-10-14,0.48867414
2018-10-15,0.5236279
2018-10-16,0.50872082
2018-10-17,0.49935978
2018-10-18,0.47565007
2018-10-19,0.50636733
2018-10-20,0.51775748
2018-10-21,0.48515869
2018-10-22,0.46333412
2018-10-23,0.48837874
2018-10-24,0.4853785
2018-10-25,0.475942
2018-10-26,0.48547025
2018-10-27,0.51333715
2018-10-28,0.49106128
2018-10-29,0.41595441
2018-10-30,0.503894
2018-10-31,0.51406493
2018-11-01,0.53310454
2018-11-02,0.52746839
2018-11-03,0.46942427
2018-11-04,0.54218848
2018-11-05,0.50565897
2018-11-06,0.52934225
2018-11-07,0.49708127
2018-11-08,0.4616605
2018-11-09,0.45817478
2018-11-10,0.52178974
2018-11-11,0.48388058
2018-11-12,0.45440294
2018-11-13,0.45489481
2018-11-14,0.47729203
2018-11-15,0.49875851
2018-11-16,0.46900428
2018-11-17,0.49388447
2018-11-18,0.51852897
2018-11-19,0.47253981
2018-11-20,0.4854839
2018-11-21,0.4983303
2018-11-22,0.465622
2018-11-23,0.50553642
2018-11-24,0.48053747
2018-11-25,0.50073508
2018-11-26,0.47709858
2018-11-27,0.50421488
2018-11-28,0.53387697
2018-11-29,0.48949575
2018-11-30,0.4921573
2018-12-01,0.53649664
2018-12-02,0.47806763
2018-12-03,0.45797643
2018-12-04,0.52093944
2018-12-05,0.45615904
2018-12-06,0.48170017
2018-12-07,0.50534682
2018-12-08,0.50598971
2018-12-09,0.5180538
2018-12-10,0.46961697
2018-12-11,0.47862245
2018-12-12,0.50907109
2018-12-13,0.46504901
2018-12-14,0.45993985
2018-12-15,0.50050012
2018-12-16,0.50432826
2018-12-17,0.52489064
2018-12-18,0.51244041
2018-12-19,0.49632884
2018-12-20,0.52291683
2018-12-21,0.4845568
2018-12-22,0.52605797
2018-12-23,0.50984952
2018-12-24,0.49433767
2018-12-25,0.49254489
2018-12-26,0.49904325
2018-12-27,0.46167065
2018-12-28,0.52074692
2018-12-29,0.50397777
2018-12-30,0.50691567
2018-12-31,0.48224306
2019-01-01,0.53045051
2019-01-02,0.51478157
2019-01-03,0.47621655
2019-01-04,0.49021688
2019-01-05,0.49963403
2019-01-06,0.51172621
2019-01-07,0.46424806
2019-01-08,0.49329896
2019-01-09,0.51074278
2019-01-10,0.48554966
2019-01-11,0.49274705
2019-01-12,0.49738203
2019-01-13,0.49577215
2019-01-14,0.52183671
2019-01-15,0.48453394
2019-01-16,0.50049757
2019-01-17,0.51633806
2019-01-18,0.47243475
2019-01-19,0.51675728
2019-01-20,0.46892799
2019-01-21,0.50358116
2019-01-22,0.51286559
2019-01-23,0.46307493
2019-01-24,0.49808791
2019-01-25,0.47561321
2019-01-26,0.50448569
