date,Taker Sell Volume
2018-09-01,80797562.86968024
2018-09-02,72526591.95815454
2018-09-03,55121149.79223871
2018-09-04,53599716.7598904
2018-09-05,154504586.3620628
2018-09-06,103440622.6021175
2018-09-07,82033468.61110307
2018-09-08,79395880.98830085
2018-09-09,92766167.76155367
2018-09-10,96341133.85636307
2018-09-11,98399377.72966868
2018-09-12,139822217.4262789
2018-09-13,179912288.77250263
2018-09-14,219168541.80790848
2018-09-15,166479212.74579108
2018-09-16,169243783.3262703
2018-09-17,179865105.3055084
2018-09-18,149191903.6862496
2018-09-19,156458285.6036344
2018-09-20,116197609.35321712
2018-09-21,158633406.8523548
2018-09-22,116205696.4081976
2018-09-23,97553142.53748466
2018-09-24,138128417.1218517
2018-09-25,159810699.9818153
2018-09-26,141027352.33214727
2018-09-27,137204460.63241872
2018-09-28,146272581.19359156
2018-09-29,128587607.21134666
2018-09-30,125323250.88655442
2018-10-01,130994792.50932828
2018-10-02,105442952.3633033
2018-10-03,136009452.5603294
2018-10-04,106629035.8199918
2018-10-05,109272998.21497256
2018-10-06,76750600.30007362
2018-10-07,66600804.2994188
2018-10-08,92555565.93234572
2018-10-09,78241991.86650203
2018-10-10,117947930.87671211
2018-10-11,168891910.56611094
2018-10-12,158850170.90464556
2018-10-13,94312095.68454808
2018-10-14,91283296.77325064
2018-10-15,292829602.319426
2018-10-16,109078282.95330404
2018-10-17,89455214.41639432
2018-10-18,125730060.00372192
2018-10-19,87295120.72069506
2018-10-20,67443817.44464338
2018-10-21,78014406.11240937
2018-10-22,84382352.71452416
2018-10-23,97255050.5875034
2018-10-24,66111584.6665279
2018-10-25,67410228.8349001
2018-10-26,97339281.71514729
2018-10-27,35584801.07501785
2018-10-28,45019308.37425924
2018-10-29,136180311.64244822
2018-10-30,62776945.70295619
2018-10-31,82891735.6222549
2018-11-01,35002858.43719735
2018-11-02,66815413.93467604
2018-11-03,39765894.57149027
2018-11-04,177594770.28398022
2018-11-05,153721616.78017613
2018-11-06,240039002.5875097
2018-11-07,243032986.6689967
2018-11-08,205792485.5319377
2018-11-09,143163283.20377097
2018-11-10,75117289.50341743
2018-11-11,89879472.18080215
2018-11-12,135845384.60455608
2018-11-13,185993429.2882812
2018-11-14,376630182.3330707
2018-11-15,211933833.3832973
2018-11-16,111404700.53157966
2018-11-17,52250381.90816137
2018-11-18,56931886.77846761
2018-11-19,315383724.4700661
2018-11-20,300880499.6347156
2018-11-21,150714312.5925334
2018-11-22,86693441.18019713
2018-11-23,112418112.95565628
2018-11-24,85486365.21361145
2018-11-25,143107696.16134536
2018-11-26,109961879.23966308
2018-11-27,75388374.93914157
2018-11-28,85541485.92279714
2018-11-29,84488008.4313362
2018-11-30,56099206.95724044
2018-12-01,48578566.43654541
2018-12-02,38692755.79958167
2018-12-03,49741236.67525366
2018-12-04,33297258.15550896
2018-12-05,42271188.19479546
2018-12-06,94912501.8535963
2018-12-07,116025632.934956
2018-12-08,73658506.17953914
2018-12-09,54247970.16923019
2018-12-10,47345297.52796185
2018-12-11,43184121.06437781
2018-12-12,39215664.74726364
2018-12-13,45754484.3343588
2018-12-14,41997002.22498312
2018-12-15,25940048.80529689
2018-12-16,33851778.81300643
2018-12-17,68132272.82614939
2018-12-18,68786808.9614087
2018-12-19,108354218.4508164
2018-12-20,107854873.42233242
2018-12-21,104150731.6908778
2018-12-22,62841258.39642784
2018-12-23,178906899.97579613
2018-12-24,281590687.9232252
2018-12-25,164913932.46996388
2018-12-26,132245445.141141
2018-12-27,123281795.5732562
2018-12-28,150885777.13099146
2018-12-29,151273426.5165009
2018-12-30,115953138.28528276
2018-12-31,82088686.62651236
2019-01-01,86285166.8468633
2019-01-02,186141035.2959917
2019-01-03,165122200.87267312
2019-01-04,245015233.5833965
2019-01-05,217790838.7978772
2019-01-06,185658909.2007158
2019-01-07,138356512.62818503
2019-01-08,127346853.92068836
2019-01-09,96607875.74945427
2019-01-10,182307974.05492333
2019-01-11,111382350.023346
2019-01-12,61211752.2040756
2019-01-13,74166550.04274385
2019-01-14,113423719.08474778
2019-01-15,136845430.59178993
2019-01-16,128270849.6862532
2019-01-17,106689976.23444392
2019-01-18,80032586.76146933
2019-01-19,65048577.78892069
2019-01-20,74047723.88980024
2019-01-21,70443086.39964639
2019-01-22,77613674.73712005
2019-01-23,65456552.475546
2019-01-24,56938995.96347531
2019-01-25,54797032.32685694
2019-01-26,32963397.72748576
2019-01-27,60155490.40482293
2019-01-28,149980681.57493818
2019-01-29,83482609.06299917
2019-01-30,85320372.6121738
2019-01-31,71293534.72965477
2019-02-01,70361694.61704528
2019-02-02,50076449.40936328
2019-02-03,78136461.33902375
2019-02-04,48729976.44393818
2019-02-05,39949728.04106564
2019-02-06,90659069.8062034
2019-02-07,51060123.29744294
2019-02-08,164324206.15795615
2019-02-09,72347626.6564079
2019-02-10,101564020.11029118
2019-02-11,119449789.321258
2019-02-12,100604387.85685325
2019-02-13,112459981.1143463
2019-02-14,113228387.21859968
2019-02-15,92441013.92264023
2019-02-16,70250216.17558438
2019-02-17,238380793.7106332
2019-02-18,408486887.3381818
2019-02-19,258751443.2643709
2019-02-20,225859457.03819203
2019-02-21,169955845.26892543
2019-02-22,164908770.52411184
2019-02-23,251473725.6507209
2019-02-24,381882605.0105524
2019-02-25,231451945.13131788
2019-02-26,139149135.0512087
2019-02-27,182523619.5475476
2019-02-28,166350698.30252194
2019-03-01,77319353.11840273
2019-03-02,126124002.95383406
2019-03-03,104760745.63132116
2019-03-04,174374202.26356623
2019-03-05,170416433.8582757
2019-03-06,165865007.12882876
2019-03-07,132050569.04636575
2019-03-08,120869061.5453469
2019-03-09,114004127.55440632
2019-03-10,81694430.94627568
2019-03-11,104632126.17570376
2019-03-12,121897252.37704691
2019-03-13,86740546.40127108
2019-03-14,87813423.60880172
2019-03-15,94212245.1392293
2019-03-16,154027738.5786167
2019-03-17,94384035.26890904
2019-03-18,100449469.191258
2019-03-19,75886253.76987675
2019-03-20,87874255.73993112
2019-03-21,121097270.66034976
2019-03-22,58543943.92804362
2019-03-23,57463015.74753747
2019-03-24,50474028.17829979
2019-03-25,100533983.38480158
2019-03-26,60661725.07533232
2019-03-27,106916077.19314042
2019-03-28,54376861.36656085
2019-03-29,105476828.56662077
2019-03-30,120057586.30092804
2019-03-31,51550632.57440197
2019-04-01,107277008.21139766
2019-04-02,404415857.741131
2019-04-03,578525041.9221455
2019-04-04,221120589.9975257
2019-04-05,166333408.47414663
2019-04-06,171985646.5520847
2019-04-07,178572538.65445384
2019-04-08,344023554.4158434
2019-04-09,179167938.44403836
2019-04-10,246018471.48981103
2019-04-11,214177246.3597085
2019-04-12,142840825.86777648
2019-04-13,72692676.61042517
2019-04-14,70943032.74218032
2019-04-15,142550737.65216032
2019-04-16,103019035.77665742
2019-04-17,86224352.91251886
2019-04-18,154675089.49737665
2019-04-19,111688572.71099712
2019-04-20,108751458.23109668
2019-04-21,122540839.83690938
2019-04-22,128486625.53968324
2019-04-23,157389320.1748994
2019-04-24,169969436.507204
2019-04-25,174103299.9585225
2019-04-26,135538833.2018156
2019-04-27,66104593.3166541
2019-04-28,58181069.12429346
2019-04-29,84348507.41471511
2019-04-30,94538133.1126688
2019-05-01,88244807.68280943
2019-05-02,73849546.80516054
2019-05-03,136791625.97852328
2019-05-04,144237498.30203414
2019-05-05,85180092.49154627
2019-05-06,191127024.7358168
2019-05-07,250311102.55147645
2019-05-08,136592879.75039864
2019-05-09,123030025.99931362
2019-05-10,192698058.92061064
2019-05-11,463405821.5284158
2019-05-12,368446999.7182821
2019-05-13,318922093.52621347
2019-05-14,458258950.4666444
2019-05-15,603555795.9851356
2019-05-16,1135169516.8306568
2019-05-17,637426923.0976502
