date,Number of Contracts
2020-11-02,19107945
2020-11-03,19149246
2020-11-04,19249227
2020-11-05,19249699
2020-11-06,19243824
2020-11-07,19239572
2020-11-08,19414749
2020-11-09,19473150
2020-11-10,19479445
2020-11-11,19621471
2020-11-12,19732642
2020-11-13,19721935
2020-11-14,19819299
2020-11-15,19879988
2020-11-16,19883238
2020-11-17,19827642
2020-11-18,19776809
2020-11-19,19746550
2020-11-20,19688250
2020-11-21,19626075
2020-11-22,19558886
2020-11-23,19508590
2020-11-24,19466043
2020-11-25,19438098
2020-11-26,19367417
2020-11-27,19429846
2020-11-28,19665929
2020-11-29,19918548
2020-11-30,19883785
2020-12-01,19843877
2020-12-02,19830177
2020-12-03,19818270
2020-12-04,19783169
2020-12-05,19839841
2020-12-06,19897607
2020-12-07,19899289
2020-12-08,19842702
2020-12-09,19793111
2020-12-10,19753185
2020-12-11,19711256
2020-12-12,19728086
2020-12-13,19765256
2020-12-14,19728654
2020-12-15,19677136
2020-12-16,19626750
2020-12-17,19566775
2020-12-18,19529326
2020-12-19,19501778
2020-12-20,19507036
2020-12-21,19462884
2020-12-22,19432133
2020-12-23,19381697
2020-12-24,19372936
2020-12-25,19332639
2020-12-26,19309995
2020-12-27,19270069
2020-12-28,19227321
2020-12-29,19193714
2020-12-30,19166343
2020-12-31,19147102
2021-01-01,19143442
2021-01-02,19127129
2021-01-03,19069165
2021-01-04,19002002
2021-01-05,18958595
2021-01-06,18924325
2021-01-07,18881753
2021-01-08,18843116
2021-01-09,18827733
2021-01-10,18816244
2021-01-11,18729904
2021-01-12,18718748
2021-01-13,18719742
2021-01-14,18700345
2021-01-15,18672603
2021-01-16,18651154
2021-01-17,18659120
2021-01-18,18648396
2021-01-19,18599090
2021-01-20,18584530
2021-01-21,18533923
2021-01-22,18491697
2021-01-23,18478791
2021-01-24,18452988
2021-01-25,18412439
2021-01-26,18398991
2021-01-27,18366912
2021-01-28,18357066
2021-01-29,18318378
2021-01-30,18326032
2021-01-31,18314914
2021-02-01,18289708
2021-02-02,18251280
2021-02-03,18228175
2021-02-04,18183091
2021-02-05,18171132
2021-02-06,18226971
