date,Tokens Transferred USD (Total)
2025-04-11,2887281277.261896
2025-04-12,1425762625.994452
2025-04-13,1648499956.2465763
2025-04-14,3351547802.1966085
2025-04-15,2635898173.785212
2025-04-16,2386769266.9355755
2025-04-17,2452643221.971138
2025-04-18,1868624159.0738256
2025-04-19,1668424106.9810662
2025-04-20,1672838600.4264865
2025-04-21,3112389881.269778
2025-04-22,5379708565.742703
2025-04-23,4514134875.537572
2025-04-24,4163056383.0693874
2025-04-25,3979951722.870213
2025-04-26,1683267851.2443192
2025-04-27,1792737838.715255
2025-04-28,4399775543.6289015
2025-04-29,3597504848.9854283
2025-04-30,2764732799.441153
2025-05-01,2598381733.7605467
2025-05-02,2431901673.744714
2025-05-03,1025760947.2726916
2025-05-04,1374716937.7626762
2025-05-05,2526087281.3056545
2025-05-06,2282183981.3416586
2025-05-07,2923464995.1423383
2025-05-08,6254038660.648121
2025-05-09,7524760250.550075
2025-05-10,3898816838.637494
2025-05-11,3529037534.519626
2025-05-12,6526508543.386169
2025-05-13,6629596867.774248
2025-05-14,6507044768.469593
2025-05-15,6808566285.788368
2025-05-16,5541098198.679926
2025-05-17,2991274073.393584
2025-05-18,2439408288.4017496
2025-05-19,5788566250.525339
2025-05-20,4980549861.198783
2025-05-21,7279740844.22162
2025-05-22,6969731514.94669
2025-05-23,8216355506.568074
2025-05-24,1861410630.9930143
2025-05-25,2485250296.3409047
2025-05-26,3557406182.418322
2025-05-27,5803913627.384426
2025-05-28,5566710532.5179
2025-05-29,5881691189.146889
2025-05-30,5636361228.917175
2025-05-31,2376105629.926631
2025-06-01,2149754906.5191226
2025-06-02,5708765695.877654
2025-06-03,7187164567.901732
2025-06-04,6229474858.04038
2025-06-05,6624821180.396459
2025-06-06,5396171927.559399
2025-06-07,1874203691.144374
2025-06-08,2462369755.27932
2025-06-09,4750619287.445901
2025-06-10,9793626055.974304
2025-06-11,7857506506.781703
2025-06-12,7156706971.193575
2025-06-13,7481282570.052339
2025-06-14,1675123510.8350534
2025-06-15,1569009109.7957249
2025-06-16,5071932351.393873
2025-06-17,4637967724.34481
2025-06-18,4296497373.332741
2025-06-19,3637608175.0412335
2025-06-20,6877443163.884302
2025-06-21,2468511601.7022743
2025-06-22,3773599201.932144
2025-06-23,5019246680.586789
2025-06-24,5324745840.767718
2025-06-25,4345177554.469605
2025-06-26,4036089604.690162
2025-06-27,3619237112.2531633
2025-06-28,1784185131.7233543
2025-06-29,1791517091.426605
2025-06-30,4528902819.915049
2025-07-01,4745255735.284832
2025-07-02,4585676046.961267
2025-07-03,4706001664.613435
2025-07-04,3011547669.896733
2025-07-05,1546717463.1674726
2025-07-06,1396611878.1923933
2025-07-07,4483908301.250664
2025-07-08,4224416272.989857
2025-07-09,7137611728.423273
2025-07-10,8614159863.121065
2025-07-11,11302989089.066648
2025-07-12,3328410668.7793565
2025-07-13,2803319383.2691145
2025-07-14,9089391332.845856
2025-07-15,8720933725.139471
2025-07-16,12394738651.80335
2025-07-17,13212985956.757269
2025-07-18,18310642159.999004
2025-07-19,4444968939.447985
2025-07-20,6241365364.05821
2025-07-21,14077418853.98748
2025-07-22,11560337023.68764
2025-07-23,12582434211.90719
2025-07-24,11551277842.139194
2025-07-25,12235116221.40895
2025-07-26,3687032256.554898
2025-07-27,5303466894.505055
2025-07-28,10573423110.261198
2025-07-29,7394307390.298223
2025-07-30,8776408414.74599
2025-07-31,7490185523.267825
2025-08-01,8822840378.195341
2025-08-02,3787474947.6082535
2025-08-03,3566601561.858378
2025-08-04,9098723780.351648
2025-08-05,8937873538.371183
2025-08-06,6569667453.2134495
2025-08-07,9114108990.359848
2025-08-08,12790006283.88449
2025-08-09,8979722293.468328
2025-08-10,6988796422.160218
2025-08-11,14482956858.2571
2025-08-12,19166203750.328625
2025-08-13,20565864976.98637
2025-08-14,22028629538.217457
2025-08-15,16058548847.735626
2025-08-16,5494566492.14509
2025-08-17,4332513489.653952
2025-08-18,15177909843.583515
2025-08-19,9847283245.768473
2025-08-20,11587817375.173569
2025-08-21,9657785093.83983
2025-08-22,16902651562.406197
2025-08-23,11757237331.051216
2025-08-24,14487385738.3229
2025-08-25,15926726616.6684
2025-08-26,15386401253.537592
2025-08-27,14029124636.380093
2025-08-28,9778462332.010395
2025-08-29,10509757651.181543
2025-08-30,5259895191.475198
2025-08-31,5327141157.403847
2025-09-01,10216008711.459742
2025-09-02,9761851086.005062
2025-09-03,10628821477.21894
2025-09-04,11585943275.17074
2025-09-05,10968150569.887438
2025-09-06,3132936181.6977925
2025-09-07,2509529060.425208
2025-09-08,10827941202.431885
2025-09-09,9082926350.674528
2025-09-10,8475514294.413246
2025-09-11,8299766963.264842
2025-09-12,10212838703.064854
2025-09-13,4242086010.5099406
2025-09-14,4049864340.9022746
2025-09-15,9934234798.252066
2025-09-16,11152950435.269638
2025-09-17,9876059438.321486
2025-09-18,13944071566.598904
2025-09-19,10903565968.314434
2025-09-20,3012425462.962554
2025-09-21,3597095916.328117
2025-09-22,12407974002.644682
2025-09-23,6594886660.728422
2025-09-24,9123806390.26614
2025-09-25,12017987911.144918
2025-09-26,11389783248.337715
2025-09-27,2845753943.183331
2025-09-28,2689024383.8245163
2025-09-29,7930819672.745056
2025-09-30,10434658560.13838
2025-10-01,10206916731.364708
2025-10-02,9531824578.78389
2025-10-03,8890305693.360647
2025-10-04,4244734402.077941
2025-10-05,4924819183.871516
2025-10-06,11208957620.34316
2025-10-07,11872289069.539164
2025-10-08,16570647817.510605
