date,timestamp_utc,Tokens Transferred by External Contract Calls USD (Median)
2024-09-22,2024-09-22T00:00:00Z,154.9026184986
2024-09-23,2024-09-23T00:00:00Z,264.722398039
2024-09-24,2024-09-24T00:00:00Z,265.327880245
2024-09-25,2024-09-25T00:00:00Z,257.99709109
2024-09-26,2024-09-26T00:00:00Z,263.205579397
2024-09-27,2024-09-27T00:00:00Z,216.4266007893789
2024-09-28,2024-09-28T00:00:00Z,133.769536813
2024-09-29,2024-09-29T00:00:00Z,132.882958122
2024-09-30,2024-09-30T00:00:00Z,156.1122573006
2024-10-01,2024-10-01T00:00:00Z,195.8357974408
2024-10-02,2024-10-02T00:00:00Z,141.8389955526
2024-10-03,2024-10-03T00:00:00Z,117.4936021385
2024-10-04,2024-10-04T00:00:00Z,120.7215776325
2024-10-05,2024-10-05T00:00:00Z,120.7327887235
2024-10-06,2024-10-06T00:00:00Z,134.80592991860135
2024-10-07,2024-10-07T00:00:00Z,242.251872244
2024-10-08,2024-10-08T00:00:00Z,244.045323581
2024-10-09,2024-10-09T00:00:00Z,237.043486474
2024-10-10,2024-10-10T00:00:00Z,175.12370537758676
2024-10-11,2024-10-11T00:00:00Z,219.5517676248
2024-10-12,2024-10-12T00:00:00Z,147.0724667899868
2024-10-13,2024-10-13T00:00:00Z,148.1039123508
2024-10-14,2024-10-14T00:00:00Z,145.407482343991
2024-10-15,2024-10-15T00:00:00Z,208.5861693672
2024-10-16,2024-10-16T00:00:00Z,184.7089195301105
2024-10-17,2024-10-17T00:00:00Z,186.45187599857664
2024-10-18,2024-10-18T00:00:00Z,147.8528093674358
2024-10-19,2024-10-19T00:00:00Z,132.409101581
2024-10-20,2024-10-20T00:00:00Z,109.8825948616
2024-10-21,2024-10-21T00:00:00Z,133.2691725015
2024-10-22,2024-10-22T00:00:00Z,131.050670954
2024-10-23,2024-10-23T00:00:00Z,126.103481044
2024-10-24,2024-10-24T00:00:00Z,126.706220704
2024-10-25,2024-10-25T00:00:00Z,97.4377686404
2024-10-26,2024-10-26T00:00:00Z,97.91992835663544
2024-10-27,2024-10-27T00:00:00Z,98.06990213678492
2024-10-28,2024-10-28T00:00:00Z,128.2832649375
2024-10-29,2024-10-29T00:00:00Z,159.1508929997511
2024-10-30,2024-10-30T00:00:00Z,176.1863658211325
2024-10-31,2024-10-31T00:00:00Z,125.748292285
2024-11-01,2024-11-01T00:00:00Z,111.463248564612
2024-11-02,2024-11-02T00:00:00Z,99.7095166804
2024-11-03,2024-11-03T00:00:00Z,98.2909823448
2024-11-04,2024-11-04T00:00:00Z,119.849028071
2024-11-05,2024-11-05T00:00:00Z,121.1452769205
2024-11-06,2024-11-06T00:00:00Z,224.4482717198852
2024-11-07,2024-11-07T00:00:00Z,207.1481066041446
2024-11-08,2024-11-08T00:00:00Z,200.1749558831476
2024-11-09,2024-11-09T00:00:00Z,156.408044413
2024-11-10,2024-11-10T00:00:00Z,172.04656538448
2024-11-11,2024-11-11T00:00:00Z,249.58062810248555
2024-11-12,2024-11-12T00:00:00Z,272.74721896464
2024-11-13,2024-11-13T00:00:00Z,319.087055512
2024-11-14,2024-11-14T00:00:00Z,296.73449622563
2024-11-15,2024-11-15T00:00:00Z,216.3436093133
2024-11-16,2024-11-16T00:00:00Z,157.5637286029047
2024-11-17,2024-11-17T00:00:00Z,153.8439750905
2024-11-18,2024-11-18T00:00:00Z,168.496545272475
2024-11-19,2024-11-19T00:00:00Z,179.486097076864
2024-11-20,2024-11-20T00:00:00Z,153.585528811
2024-11-21,2024-11-21T00:00:00Z,179.68098022785776
2024-11-22,2024-11-22T00:00:00Z,166.5224645435
2024-11-23,2024-11-23T00:00:00Z,135.8869984444
2024-11-24,2024-11-24T00:00:00Z,100.9490148981
2024-11-25,2024-11-25T00:00:00Z,119.48823625725
2024-11-26,2024-11-26T00:00:00Z,133.0444896136
2024-11-27,2024-11-27T00:00:00Z,182.8341968125
2024-11-28,2024-11-28T00:00:00Z,121.68447380834
2024-11-29,2024-11-29T00:00:00Z,103.14008616324
