date,timestamp_utc,Active Sending Addresses
2018-09-10,2018-09-10T00:00:00Z,2
2018-09-12,2018-09-12T00:00:00Z,3
2018-09-21,2018-09-21T00:00:00Z,1
2018-09-22,2018-09-22T00:00:00Z,1
2018-09-24,2018-09-24T00:00:00Z,1
2018-09-25,2018-09-25T00:00:00Z,5
2018-09-26,2018-09-26T00:00:00Z,13
2018-09-27,2018-09-27T00:00:00Z,10
2018-09-28,2018-09-28T00:00:00Z,17
2018-09-29,2018-09-29T00:00:00Z,15
2018-09-30,2018-09-30T00:00:00Z,12
2018-10-01,2018-10-01T00:00:00Z,14
2018-10-02,2018-10-02T00:00:00Z,11
2018-10-03,2018-10-03T00:00:00Z,12
2018-10-04,2018-10-04T00:00:00Z,6
2018-10-05,2018-10-05T00:00:00Z,16
2018-10-06,2018-10-06T00:00:00Z,1
2018-10-07,2018-10-07T00:00:00Z,1
2018-10-08,2018-10-08T00:00:00Z,13
2018-10-09,2018-10-09T00:00:00Z,12
2018-10-10,2018-10-10T00:00:00Z,15
2018-10-11,2018-10-11T00:00:00Z,18
2018-10-12,2018-10-12T00:00:00Z,19
2018-10-13,2018-10-13T00:00:00Z,9
2018-10-14,2018-10-14T00:00:00Z,5
2018-10-15,2018-10-15T00:00:00Z,38
2018-10-16,2018-10-16T00:00:00Z,28
2018-10-17,2018-10-17T00:00:00Z,36
2018-10-18,2018-10-18T00:00:00Z,19
2018-10-19,2018-10-19T00:00:00Z,15
2018-10-20,2018-10-20T00:00:00Z,22
2018-10-21,2018-10-21T00:00:00Z,5
2018-10-22,2018-10-22T00:00:00Z,31
2018-10-23,2018-10-23T00:00:00Z,101
2018-10-24,2018-10-24T00:00:00Z,107
2018-10-25,2018-10-25T00:00:00Z,83
2018-10-26,2018-10-26T00:00:00Z,70
2018-10-27,2018-10-27T00:00:00Z,55
2018-10-28,2018-10-28T00:00:00Z,49
2018-10-29,2018-10-29T00:00:00Z,73
2018-10-30,2018-10-30T00:00:00Z,87
2018-10-31,2018-10-31T00:00:00Z,101
2018-11-01,2018-11-01T00:00:00Z,101
2018-11-02,2018-11-02T00:00:00Z,70
2018-11-03,2018-11-03T00:00:00Z,60
2018-11-04,2018-11-04T00:00:00Z,76
2018-11-05,2018-11-05T00:00:00Z,98
2018-11-06,2018-11-06T00:00:00Z,127
2018-11-07,2018-11-07T00:00:00Z,107
2018-11-08,2018-11-08T00:00:00Z,114
2018-11-09,2018-11-09T00:00:00Z,83
2018-11-10,2018-11-10T00:00:00Z,85
2018-11-11,2018-11-11T00:00:00Z,67
2018-11-12,2018-11-12T00:00:00Z,125
2018-11-13,2018-11-13T00:00:00Z,116
2018-11-14,2018-11-14T00:00:00Z,237
2018-11-15,2018-11-15T00:00:00Z,336
