date,Exchange Netflow (Total)
2018-09-12,0.6
2018-09-13,0.0
2018-09-14,0.0
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,0.0
2018-09-20,0.0
2018-09-21,0.0
2018-09-22,0.0
2018-09-23,0.0
2018-09-24,0.0
2018-09-25,2.0
2018-09-26,2109613.1
2018-09-27,1000136.480475
2018-09-28,202.152689
2018-09-29,242.252951
2018-09-30,-34590.406689
2018-10-01,1999966.2875
2018-10-02,-250014.352985
2018-10-03,1016340.992223
2018-10-04,1969422.54989
2018-10-05,2224838.75
2018-10-06,-24999.0
2018-10-07,-4158.0
2018-10-08,4593.06
2018-10-09,395132.3234
2018-10-10,1613.977966
2018-10-11,157316.259929
2018-10-12,1141922.979504
2018-10-13,-5968.074504
2018-10-14,-73623.403649
2018-10-15,11760276.525127
2018-10-16,-191007.532571
2018-10-17,-80842.668232
2018-10-18,-212078.167319
2018-10-19,-18820.575209
2018-10-20,-23049.166782
2018-10-21,-32840.0
2018-10-22,-315825.108444
2018-10-23,1183726.868976
2018-10-24,-403591.449579
2018-10-25,-137215.09529
2018-10-26,297378.229336
2018-10-27,-209368.117756
2018-10-28,-19088.72741
2018-10-29,952713.711775
2018-10-30,-2115263.764954
2018-10-31,-228995.691643
2018-11-01,-117251.846277
2018-11-02,-637090.874559
2018-11-03,-116709.443752
2018-11-04,54814.427658
2018-11-05,1864550.502506
2018-11-06,-258745.861336
2018-11-07,-178877.358331
2018-11-08,-3245988.685723
2018-11-09,-231896.981352
2018-11-10,-65933.653634
2018-11-11,304475.37758
2018-11-12,153431.438422
2018-11-13,5707007.241128
2018-11-14,4764963.879296
2018-11-15,4369170.2265
2018-11-16,2386880.67845
2018-11-17,1074222.637927
2018-11-18,761623.522543
2018-11-19,1735585.495704
2018-11-20,11320450.200242
2018-11-21,6861118.75394
2018-11-22,-5252168.303352
2018-11-23,5854962.599892
2018-11-24,1301473.177667
2018-11-25,1991433.723436
2018-11-26,-593837.602406
2018-11-27,3312619.661931
2018-11-28,2193553.340908
2018-11-29,5060935.438794
2018-11-30,-961226.156318
2018-12-01,-295104.505314
2018-12-02,-102569.190401
2018-12-03,-1581544.4299
2018-12-04,-1394280.356865
2018-12-05,907734.049603
2018-12-06,2161943.053597
2018-12-07,1058242.418249
2018-12-08,3369945.729913
2018-12-09,-2080299.816118
2018-12-10,4374851.740212
2018-12-11,-21283.665363
2018-12-12,2595019.388511
2018-12-13,-302145.32589
2018-12-14,4572723.034602
2018-12-15,-2876658.588447
2018-12-16,-962090.146204
2018-12-17,7910199.06169
2018-12-18,815185.444914
2018-12-19,9993953.182665
2018-12-20,5746362.163275
2018-12-21,-4015483.446705
2018-12-22,-2828220.976816
2018-12-23,-1016300.167663
2018-12-24,-1993496.960098
2018-12-25,-155153.435733
2018-12-26,94110.633723
2018-12-27,-3091767.558608
2018-12-28,-874183.671628
2018-12-29,1287088.656868
2018-12-30,-1109112.696202
2018-12-31,-2166004.564491
2019-01-01,1352159.965577
2019-01-02,8241477.403758
2019-01-03,2591061.539258
2019-01-04,400153.471348
2019-01-05,-3255809.127332
2019-01-06,811486.838119
2019-01-07,1679497.461055
2019-01-08,1545526.82941
2019-01-09,6682135.645719
2019-01-10,575921.83079
2019-01-11,3859071.191775
2019-01-12,-385996.740538
2019-01-13,1240121.996342
2019-01-14,1702665.866512
2019-01-15,4355787.839445
2019-01-16,1180844.034681
2019-01-17,11243214.90102
2019-01-18,-7973633.319545
2019-01-19,-2700422.992479
2019-01-20,-3874821.41957
2019-01-21,1174208.832904
2019-01-22,-318919.070136
2019-01-23,-1518816.968221
2019-01-24,1223087.09095
2019-01-25,220704.348377
2019-01-26,-2317707.374924
2019-01-27,474953.122602
2019-01-28,-2067043.106538
2019-01-29,-6184933.036869
2019-01-30,-8711007.321139
2019-01-31,1723277.065072
2019-02-01,9904551.975021
2019-02-02,-3727948.526144
2019-02-03,-1451782.508934
2019-02-04,-90717.002903
2019-02-05,-619926.103073
2019-02-06,840112.192469
2019-02-07,698883.452984
