date,timestamp_utc,Exchange Outflow (Top10)
2018-09-12,2018-09-12T00:00:00Z,0.4
2018-09-13,2018-09-13T00:00:00Z,0.0
2018-09-14,2018-09-14T00:00:00Z,0.0
2018-09-15,2018-09-15T00:00:00Z,0.0
2018-09-16,2018-09-16T00:00:00Z,0.0
2018-09-17,2018-09-17T00:00:00Z,0.0
2018-09-18,2018-09-18T00:00:00Z,0.0
2018-09-19,2018-09-19T00:00:00Z,0.0
2018-09-20,2018-09-20T00:00:00Z,0.0
2018-09-21,2018-09-21T00:00:00Z,0.0
2018-09-22,2018-09-22T00:00:00Z,0.0
2018-09-23,2018-09-23T00:00:00Z,0.0
2018-09-24,2018-09-24T00:00:00Z,0.0
2018-09-25,2018-09-25T00:00:00Z,0.0
2018-09-26,2018-09-26T00:00:00Z,3.15
2018-09-27,2018-09-27T00:00:00Z,72.683905
2018-09-28,2018-09-28T00:00:00Z,25.0928906
2018-09-29,2018-09-29T00:00:00Z,343.69984875
2018-09-30,2018-09-30T00:00:00Z,3133.74829965
2018-10-01,2018-10-01T00:00:00Z,16.85625
2018-10-02,2018-10-02T00:00:00Z,35733.85468357
2018-10-03,2018-10-03T00:00:00Z,829.30336736
2018-10-04,2018-10-04T00:00:00Z,5112.891685
2018-10-05,2018-10-05T00:00:00Z,705.36666667
2018-10-06,2018-10-06T00:00:00Z,24999.0
2018-10-07,2018-10-07T00:00:00Z,1039.5
2018-10-08,2018-10-08T00:00:00Z,100.0
2018-10-09,2018-10-09T00:00:00Z,3413.8033
2018-10-10,2018-10-10T00:00:00Z,13355.64411067
2018-10-11,2018-10-11T00:00:00Z,52750.96299785
2018-10-12,2018-10-12T00:00:00Z,6951.81031373
2018-10-13,2018-10-13T00:00:00Z,15106.63880375
2018-10-14,2018-10-14T00:00:00Z,48192.7677034
2018-10-15,2018-10-15T00:00:00Z,85119.27167185
2018-10-16,2018-10-16T00:00:00Z,13366.68643468
2018-10-17,2018-10-17T00:00:00Z,20807.12288365
2018-10-18,2018-10-18T00:00:00Z,27533.80319078
2018-10-19,2018-10-19T00:00:00Z,96825.18296167
2018-10-20,2018-10-20T00:00:00Z,101645.46113033
2018-10-21,2018-10-21T00:00:00Z,16657.08248467
2018-10-22,2018-10-22T00:00:00Z,105728.305472
2018-10-23,2018-10-23T00:00:00Z,25412.30437547
2018-10-24,2018-10-24T00:00:00Z,43063.45225508
2018-10-25,2018-10-25T00:00:00Z,31538.7453239
2018-10-26,2018-10-26T00:00:00Z,74557.59865925
2018-10-27,2018-10-27T00:00:00Z,105033.39305435
2018-10-28,2018-10-28T00:00:00Z,8729.35441967
2018-10-29,2018-10-29T00:00:00Z,144938.30875937
2018-10-30,2018-10-30T00:00:00Z,351475.13689592
2018-10-31,2018-10-31T00:00:00Z,162135.86880045
2018-11-01,2018-11-01T00:00:00Z,33442.88025585
2018-11-02,2018-11-02T00:00:00Z,134274.37239542
2018-11-03,2018-11-03T00:00:00Z,18317.12564567
2018-11-04,2018-11-04T00:00:00Z,30180.21604033
2018-11-05,2018-11-05T00:00:00Z,27175.85549792
2018-11-06,2018-11-06T00:00:00Z,53908.17391756
2018-11-07,2018-11-07T00:00:00Z,39401.02586989
2018-11-08,2018-11-08T00:00:00Z,208922.1828807
2018-11-09,2018-11-09T00:00:00Z,49471.28537779
2018-11-10,2018-11-10T00:00:00Z,22861.82061412
2018-11-11,2018-11-11T00:00:00Z,124942.54439014
2018-11-12,2018-11-12T00:00:00Z,83668.7127896
2018-11-13,2018-11-13T00:00:00Z,52587.026761
2018-11-14,2018-11-14T00:00:00Z,64992.33627264
2018-11-15,2018-11-15T00:00:00Z,280965.36626526
2018-11-16,2018-11-16T00:00:00Z,76719.2830721
2018-11-17,2018-11-17T00:00:00Z,59795.51979654
2018-11-18,2018-11-18T00:00:00Z,158173.17725197
2018-11-19,2018-11-19T00:00:00Z,96824.19385917
2018-11-20,2018-11-20T00:00:00Z,95955.81585437
2018-11-21,2018-11-21T00:00:00Z,171377.05495623
2018-11-22,2018-11-22T00:00:00Z,332397.10837442
2018-11-23,2018-11-23T00:00:00Z,115195.42920621
2018-11-24,2018-11-24T00:00:00Z,93068.49765613
2018-11-25,2018-11-25T00:00:00Z,110289.80382476
2018-11-26,2018-11-26T00:00:00Z,103131.56407936
2018-11-27,2018-11-27T00:00:00Z,72606.4927084
2018-11-28,2018-11-28T00:00:00Z,302109.03241672
2018-11-29,2018-11-29T00:00:00Z,77196.69310876
2018-11-30,2018-11-30T00:00:00Z,75940.69590395
2018-12-01,2018-12-01T00:00:00Z,232081.39327994
2018-12-02,2018-12-02T00:00:00Z,53673.0756478
2018-12-03,2018-12-03T00:00:00Z,261149.95754992
2018-12-04,2018-12-04T00:00:00Z,191922.61736018
2018-12-05,2018-12-05T00:00:00Z,217649.70080735
2018-12-06,2018-12-06T00:00:00Z,97231.79875128
2018-12-07,2018-12-07T00:00:00Z,115479.97322594
2018-12-08,2018-12-08T00:00:00Z,51570.09221362
2018-12-09,2018-12-09T00:00:00Z,331973.46294044
2018-12-10,2018-12-10T00:00:00Z,127734.78580278
2018-12-11,2018-12-11T00:00:00Z,146617.77690988
2018-12-12,2018-12-12T00:00:00Z,229364.85528816
2018-12-13,2018-12-13T00:00:00Z,716502.04376886
2018-12-14,2018-12-14T00:00:00Z,520179.2268458
2018-12-15,2018-12-15T00:00:00Z,117044.68366786
2018-12-16,2018-12-16T00:00:00Z,84244.8800849
2018-12-17,2018-12-17T00:00:00Z,157696.14057923
2018-12-18,2018-12-18T00:00:00Z,269373.05024475
2018-12-19,2018-12-19T00:00:00Z,155703.72473077
2018-12-20,2018-12-20T00:00:00Z,156737.44847592
2018-12-21,2018-12-21T00:00:00Z,613658.38974593
2018-12-22,2018-12-22T00:00:00Z,263138.79591576
2018-12-23,2018-12-23T00:00:00Z,101874.94703092
2018-12-24,2018-12-24T00:00:00Z,207957.9444319
2018-12-25,2018-12-25T00:00:00Z,98752.64509123
2018-12-26,2018-12-26T00:00:00Z,489306.41471696
2018-12-27,2018-12-27T00:00:00Z,1201389.79154504
2018-12-28,2018-12-28T00:00:00Z,122300.51585669
2018-12-29,2018-12-29T00:00:00Z,110452.16964783
2018-12-30,2018-12-30T00:00:00Z,118384.69998052
2018-12-31,2018-12-31T00:00:00Z,191954.35865839
2019-01-01,2019-01-01T00:00:00Z,246415.128001
