date,Exchange Reserve
2018-09-12,0.6
2018-09-13,0.6
2018-09-14,0.6
2018-09-15,0.6
2018-09-16,0.6
2018-09-17,0.6
2018-09-18,0.6
2018-09-19,0.6
2018-09-20,0.6
2018-09-21,0.6
2018-09-22,0.6
2018-09-23,0.6
2018-09-24,0.6
2018-09-25,2.6
2018-09-26,2109615.7
2018-09-27,3109752.180475
2018-09-28,3109954.333164
2018-09-29,3110196.586115
2018-09-30,3075606.179426
2018-10-01,5075572.466926
2018-10-02,4825558.113941
2018-10-03,5841899.106164
2018-10-04,7811321.656054
2018-10-05,10036160.406054
2018-10-06,10011161.406054
2018-10-07,10007003.406054
2018-10-08,10011596.466054
2018-10-09,10406728.789454
2018-10-10,10408342.76742
2018-10-11,10565659.027349
2018-10-12,11707582.006853
2018-10-13,11701613.932349
2018-10-14,11627990.5287
2018-10-15,23388267.053827
2018-10-16,23197259.521256
2018-10-17,23116416.853024
2018-10-18,22904338.685705
2018-10-19,22885518.110496
2018-10-20,22862468.943714
2018-10-21,22829628.943714
2018-10-22,22513803.83527
2018-10-23,23697530.704246
2018-10-24,23293939.254667
2018-10-25,23156724.159377
2018-10-26,23454102.388713
2018-10-27,23244734.270957
2018-10-28,23225645.543547
2018-10-29,24178359.255322
2018-10-30,22063095.490368
2018-10-31,21834099.798725
2018-11-01,21716847.952448
2018-11-02,21079757.077889
2018-11-03,20963047.634137
2018-11-04,21017862.061795
2018-11-05,22882412.564301
2018-11-06,22623666.702965
2018-11-07,22444789.344634
2018-11-08,19198800.658911
2018-11-09,18966903.677559
2018-11-10,18900970.023925
2018-11-11,19205445.401505
2018-11-12,19358876.839927
2018-11-13,25065884.081055
2018-11-14,29830847.960351
2018-11-15,34200018.186851
2018-11-16,36586898.86530101
2018-11-17,37661121.50322801
2018-11-18,38422745.02577101
2018-11-19,40158330.52147501
2018-11-20,51478780.72171701
2018-11-21,58339899.47565701
2018-11-22,53087731.17230501
2018-11-23,58942693.77219701
2018-11-24,60244166.94986401
2018-11-25,62235600.67330001
2018-11-26,61641763.070894
2018-11-27,64954382.732825
2018-11-28,67147936.073733
2018-11-29,72208871.512527
2018-11-30,71247645.35620901
2018-12-01,70952540.850895
2018-12-02,70849971.660494
2018-12-03,69268427.230594
2018-12-04,67874146.87372899
2018-12-05,68781880.92333199
2018-12-06,70943823.976929
2018-12-07,72002066.39517799
2018-12-08,75372012.12509099
2018-12-09,73291712.30897298
2018-12-10,77666564.04918498
2018-12-11,77645280.38382198
2018-12-12,80240299.77233298
2018-12-13,79938154.44644298
2018-12-14,84510877.48104498
2018-12-15,81634218.89259797
2018-12-16,80672128.74639398
2018-12-17,88582327.80808398
2018-12-18,89397513.25299798
2018-12-19,99391466.43566298
2018-12-20,105137828.598938
2018-12-21,101122345.152233
2018-12-22,98294124.175417
2018-12-23,97277824.007754
2018-12-24,95284327.047656
2018-12-25,95129173.611923
