date,Exchange Withdrawing Addresses
2018-09-12,1
2018-09-13,0
2018-09-14,0
2018-09-15,0
2018-09-16,0
2018-09-17,0
2018-09-18,0
2018-09-19,0
2018-09-20,0
2018-09-21,0
2018-09-22,0
2018-09-23,0
2018-09-24,0
2018-09-25,0
2018-09-26,2
2018-09-27,4
2018-09-28,10
2018-09-29,9
2018-09-30,9
2018-10-01,2
2018-10-02,5
2018-10-03,8
2018-10-04,6
2018-10-05,2
2018-10-06,1
2018-10-07,2
2018-10-08,1
2018-10-09,3
2018-10-10,7
2018-10-11,11
2018-10-12,8
2018-10-13,4
2018-10-14,4
2018-10-15,20
2018-10-16,23
2018-10-17,15
2018-10-18,11
2018-10-19,9
2018-10-20,8
2018-10-21,6
2018-10-22,8
2018-10-23,14
2018-10-24,17
2018-10-25,25
2018-10-26,26
2018-10-27,20
2018-10-28,3
2018-10-29,25
2018-10-30,19
2018-10-31,20
2018-11-01,24
2018-11-02,19
2018-11-03,14
2018-11-04,13
2018-11-05,16
2018-11-06,39
2018-11-07,39
2018-11-08,45
2018-11-09,21
2018-11-10,16
2018-11-11,18
2018-11-12,18
2018-11-13,26
2018-11-14,50
2018-11-15,59
2018-11-16,45
2018-11-17,95
2018-11-18,81
2018-11-19,183
2018-11-20,198
2018-11-21,130
2018-11-22,101
2018-11-23,118
2018-11-24,103
2018-11-25,137
2018-11-26,155
2018-11-27,140
2018-11-28,116
2018-11-29,128
2018-11-30,126
2018-12-01,76
2018-12-02,52
2018-12-03,108
2018-12-04,100
2018-12-05,118
2018-12-06,145
2018-12-07,193
2018-12-08,101
2018-12-09,81
2018-12-10,91
2018-12-11,115
2018-12-12,100
2018-12-13,113
2018-12-14,114
2018-12-15,120
2018-12-16,107
2018-12-17,160
2018-12-18,140
2018-12-19,181
2018-12-20,176
2018-12-21,188
2018-12-22,139
2018-12-23,124
2018-12-24,190
2018-12-25,131
2018-12-26,130
2018-12-27,159
2018-12-28,175
2018-12-29,118
2018-12-30,125
2018-12-31,144
2019-01-01,127
2019-01-02,198
2019-01-03,177
2019-01-04,129
2019-01-05,120
2019-01-06,127
2019-01-07,148
2019-01-08,156
2019-01-09,135
2019-01-10,206
2019-01-11,147
2019-01-12,114
2019-01-13,107
2019-01-14,122
2019-01-15,168
2019-01-16,156
2019-01-17,165
2019-01-18,166
2019-01-19,113
2019-01-20,119
2019-01-21,127
2019-01-22,148
2019-01-23,144
2019-01-24,139
2019-01-25,133
2019-01-26,127
2019-01-27,133
2019-01-28,239
2019-01-29,212
2019-01-30,201
2019-01-31,182
2019-02-01,163
