date,Transfer Event Count
2018-09-10,4
2018-09-12,4
2018-09-21,1
2018-09-22,2
2018-09-24,2
2018-09-25,5
2018-09-26,48
2018-09-27,36
2018-09-28,46
2018-09-29,29
2018-09-30,33
2018-10-01,51
2018-10-02,51
2018-10-03,26
2018-10-04,19
2018-10-05,28
2018-10-06,1
2018-10-07,4
2018-10-08,13
2018-10-09,21
2018-10-10,25
2018-10-11,42
2018-10-12,36
2018-10-13,13
2018-10-14,20
2018-10-15,89
2018-10-16,90
2018-10-17,74
2018-10-18,37
2018-10-19,29
2018-10-20,38
2018-10-21,11
2018-10-22,52
2018-10-23,162
2018-10-24,164
2018-10-25,143
2018-10-26,115
2018-10-27,81
2018-10-28,57
2018-10-29,114
2018-10-30,124
2018-10-31,144
2018-11-01,152
2018-11-02,117
2018-11-03,85
2018-11-04,95
2018-11-05,127
2018-11-06,225
2018-11-07,176
2018-11-08,185
2018-11-09,140
2018-11-10,120
2018-11-11,97
2018-11-12,164
2018-11-13,191
2018-11-14,450
2018-11-15,649
2018-11-16,556
2018-11-17,654
2018-11-18,530
2018-11-19,1204
2018-11-20,1515
2018-11-21,992
2018-11-22,496
2018-11-23,907
2018-11-24,677
2018-11-25,1061
2018-11-26,1043
2018-11-27,1020
2018-11-28,1125
2018-11-29,1031
2018-11-30,836
2018-12-01,739
2018-12-02,400
2018-12-03,691
2018-12-04,708
2018-12-05,841
2018-12-06,977
2018-12-07,1703
2018-12-08,858
2018-12-09,543
2018-12-10,558
2018-12-11,819
2018-12-12,920
2018-12-13,836
2018-12-14,1053
2018-12-15,844
2018-12-16,727
2018-12-17,1106
2018-12-18,1169
2018-12-19,1586
2018-12-20,1981
2018-12-21,1741
2018-12-22,933
2018-12-23,1009
2018-12-24,1460
2018-12-25,1041
2018-12-26,1115
2018-12-27,1261
2018-12-28,1371
2018-12-29,890
2018-12-30,821
2018-12-31,1018
2019-01-01,938
2019-01-02,1250
2019-01-03,1370
2019-01-04,1263
2019-01-05,919
2019-01-06,816
2019-01-07,1205
2019-01-08,1396
2019-01-09,1480
2019-01-10,1819
2019-01-11,1477
2019-01-12,982
2019-01-13,989
2019-01-14,994
2019-01-15,1191
2019-01-16,1184
2019-01-17,1228
2019-01-18,1337
2019-01-19,915
2019-01-20,806
2019-01-21,695
2019-01-22,1016
2019-01-23,1022
2019-01-24,1046
2019-01-25,1126
2019-01-26,859
2019-01-27,892
2019-01-28,1791
2019-01-29,1366
2019-01-30,1429
2019-01-31,1407
2019-02-01,1271
2019-02-02,909
2019-02-03,766
2019-02-04,1158
2019-02-05,1143
2019-02-06,1373
2019-02-07,1343
2019-02-08,1800
2019-02-09,938
2019-02-10,905
2019-02-11,1046
2019-02-12,1394
2019-02-13,1298
2019-02-14,1288
2019-02-15,1448
2019-02-16,1069
2019-02-17,986
2019-02-18,1822
2019-02-19,1867
2019-02-20,1775
2019-02-21,1598
2019-02-22,1592
2019-02-23,1427
2019-02-24,1809
2019-02-25,1763
2019-02-26,1611
2019-02-27,1905
2019-02-28,1621
2019-03-01,1672
2019-03-02,1235
2019-03-03,1287
2019-03-04,1632
2019-03-05,1891
2019-03-06,1537
2019-03-07,1676
2019-03-08,1706
2019-03-09,1520
2019-03-10,1136
2019-03-11,1508
2019-03-12,1475
2019-03-13,1385
2019-03-14,1525
2019-03-15,1590
2019-03-16,1671
2019-03-17,1047
2019-03-18,1504
2019-03-19,1466
2019-03-20,1291
2019-03-21,2014
2019-03-22,1557
2019-03-23,1179
2019-03-24,1006
2019-03-25,1407
2019-03-26,1650
2019-03-27,1813
2019-03-28,1498
2019-03-29,1768
2019-03-30,1405
2019-03-31,1087
2019-04-01,1581
2019-04-02,3448
2019-04-03,4183
2019-04-04,2638
2019-04-05,2248
2019-04-06,1790
2019-04-07,1720
2019-04-08,2688
2019-04-09,1777
2019-04-10,2245
2019-04-11,2585
2019-04-12,2019
2019-04-13,1488
2019-04-14,1103
2019-04-15,1619
2019-04-16,1639
2019-04-17,1589
2019-04-18,1935
2019-04-19,2086
2019-04-20,1515
2019-04-21,1593
2019-04-22,1624
2019-04-23,2066
2019-04-24,2571
2019-04-25,2541
2019-04-26,3427
2019-04-27,1719
2019-04-28,1482
2019-04-29,1892
2019-04-30,2636
2019-05-01,3111
2019-05-02,4129
2019-05-03,4767
2019-05-04,2525
2019-05-05,1781
2019-05-06,2164
2019-05-07,1855
2019-05-08,1728
2019-05-09,1744
2019-05-10,2194
2019-05-11,2743
2019-05-12,2741
2019-05-13,2641
2019-05-14,2607
2019-05-15,5175
2019-05-16,6081
2019-05-17,5294
2019-05-18,3258
2019-05-19,3714
2019-05-20,3755
2019-05-21,4002
2019-05-22,3772
2019-05-23,3981
2019-05-24,4020
2019-05-25,2921
2019-05-26,3586
2019-05-27,4609
2019-05-28,3722
2019-05-29,4015
2019-05-30,5417
2019-05-31,4241
2019-06-01,3122
2019-06-02,2478
2019-06-03,3770
2019-06-04,4868
2019-06-05,4074
2019-06-06,3264
2019-06-07,3228
2019-06-08,2018
2019-06-09,2536
2019-06-10,3724
2019-06-11,3483
2019-06-12,3673
2019-06-13,3708
2019-06-14,4058
2019-06-15,2909
2019-06-16,3678
2019-06-17,4223
2019-06-18,3868
2019-06-19,3162
