date,Active Addresses
2019-07-01,0
2019-07-02,0
2019-07-03,0
2019-07-04,0
2019-07-05,0
2019-07-06,0
2019-07-07,0
2019-07-08,0
2019-07-09,0
2019-07-10,0
2019-07-11,0
2019-07-12,0
2019-07-13,0
2019-07-14,0
2019-07-15,0
2019-07-16,0
2019-07-17,66
2019-07-18,1763
2019-07-19,1714
2019-07-20,1742
2019-07-21,1699
2019-07-22,1752
2019-07-23,1730
2019-07-24,1699
2019-07-25,1699
2019-07-26,1726
2019-07-27,1751
2019-07-28,1707
2019-07-29,1672
2019-07-30,1687
2019-07-31,1658
2019-08-01,1695
2019-08-02,1700
2019-08-03,1684
2019-08-04,1718
2019-08-05,1742
2019-08-06,1845
2019-08-07,1818
2019-08-08,1801
2019-08-09,1784
2019-08-10,1818
2019-08-11,1848
2019-08-12,1880
2019-08-13,1893
2019-08-14,1922
2019-08-15,1912
2019-08-16,137
2019-08-17,150
2019-08-18,199
2019-08-19,194
2019-08-20,177
2019-08-21,115
2019-08-22,180
2019-08-23,199
2019-08-24,87
2019-08-25,133
2019-08-26,172
2019-08-27,190
2019-08-28,197
2019-08-29,178
2019-08-30,203
2019-08-31,218
2019-09-01,241
2019-09-02,230
2019-09-03,239
2019-09-04,232
2019-09-05,204
2019-09-06,134
2019-09-07,128
2019-09-08,173
2019-09-09,143
2019-09-10,116
2019-09-11,99
2019-09-12,73
2019-09-13,85
2019-09-14,55
2019-09-15,61
2019-09-16,94
2019-09-17,117
2019-09-18,110
2019-09-19,87
2019-09-20,77
2019-09-21,68
2019-09-22,79
2019-09-23,85
2019-09-24,159
2019-09-25,169
2019-09-26,153
2019-09-27,180
2019-09-28,152
2019-09-29,149
2019-09-30,242
2019-10-01,334
2019-10-02,409
2019-10-03,308
2019-10-04,281
2019-10-05,268
2019-10-06,290
2019-10-07,228
2019-10-08,200
2019-10-09,212
2019-10-10,356
2019-10-11,414
2019-10-12,522
2019-10-13,916
2019-10-14,953
2019-10-15,916
2019-10-16,1051
2019-10-17,743
2019-10-18,208
2019-10-19,183
2019-10-20,250
2019-10-21,948
2019-10-22,1025
2019-10-23,475
2019-10-24,350
2019-10-25,565
2019-10-26,613
2019-10-27,694
2019-10-28,916
2019-10-29,885
2019-10-30,504
2019-10-31,384
2019-11-01,493
2019-11-02,408
2019-11-03,444
2019-11-04,638
2019-11-05,1393
2019-11-06,1168
2019-11-07,1274
2019-11-08,1194
2019-11-09,1223
2019-11-10,981
2019-11-11,1130
2019-11-12,2465
2019-11-13,1436
2019-11-14,1860
2019-11-15,1514
2019-11-16,1911
2019-11-17,797
2019-11-18,741
2019-11-19,782
2019-11-20,779
2019-11-21,1023
2019-11-22,1105
2019-11-23,788
2019-11-24,717
2019-11-25,984
2019-11-26,758
2019-11-27,1020
2019-11-28,7035
2019-11-29,11465
2019-11-30,753
2019-12-01,722
2019-12-02,12753
2019-12-03,17007
2019-12-04,17930
2019-12-05,17542
2019-12-06,16200
2019-12-07,17881
2019-12-08,12079
2019-12-09,1124
2019-12-10,1171
2019-12-11,998
2019-12-12,972
2019-12-13,1040
2019-12-14,1006
2019-12-15,871
2019-12-16,1109
2019-12-17,1334
2019-12-18,1271
2019-12-19,1087
2019-12-20,1045
2019-12-21,986
2019-12-22,906
2019-12-23,1017
2019-12-24,1042
2019-12-25,974
2019-12-26,964
2019-12-27,10365
2019-12-28,17817
2019-12-29,17900
2019-12-30,1453
2019-12-31,1123
2020-01-01,1053
2020-01-02,2285
2020-01-03,11054
2020-01-04,18485
2020-01-05,18354
2020-01-06,18675
2020-01-07,11784
2020-01-08,18380
2020-01-09,18802
2020-01-10,18985
2020-01-11,18753
2020-01-12,18616
2020-01-13,19061
2020-01-14,19965
2020-01-15,13721
2020-01-16,18890
2020-01-17,19124
2020-01-18,19092
2020-01-19,19263
2020-01-20,18987
2020-01-21,11375
2020-01-22,17539
2020-01-23,1505
2020-01-24,11020
2020-01-25,18339
2020-01-26,17349
2020-01-27,18491
2020-01-28,19414
2020-01-29,22819
2020-01-30,19683
2020-01-31,20072
2020-02-01,1995
2020-02-02,19117
2020-02-03,19240
2020-02-04,18964
2020-02-05,20010
2020-02-06,2750
2020-02-07,3094
2020-02-08,2226
2020-02-09,19852
2020-02-10,21428
2020-02-11,20519
2020-02-12,14411
2020-02-13,20278
2020-02-14,3373
2020-02-15,3195
2020-02-16,2573
2020-02-17,2629
2020-02-18,2523
2020-02-19,2924
2020-02-20,2912
2020-02-21,2648
2020-02-22,2566
2020-02-23,2545
2020-02-24,3144
2020-02-25,3638
2020-02-26,3822
2020-02-27,3380
2020-02-28,2780
2020-02-29,2796
2020-03-01,2300
2020-03-02,3130
2020-03-03,4119
2020-03-04,4136
2020-03-05,3286
2020-03-06,2882
2020-03-07,3043
2020-03-08,21130
2020-03-09,22297
2020-03-10,21231
2020-03-11,21343
2020-03-12,22772
2020-03-13,20972
2020-03-14,19211
2020-03-15,21928
2020-03-16,24402
2020-03-17,22000
2020-03-18,19539
2020-03-19,20297
2020-03-20,19895
2020-03-21,20472
2020-03-22,12338
2020-03-23,4825
2020-03-24,3077
2020-03-25,3801
2020-03-26,4398
2020-03-27,4647
2020-03-28,17542
2020-03-29,21396
2020-03-30,21865
2020-03-31,21926
2020-04-01,16219
2020-04-02,22638
2020-04-03,20399
2020-04-04,21670
2020-04-05,3951
2020-04-06,4872
2020-04-07,4648
2020-04-08,7041
2020-04-09,5477
2020-04-10,5095
2020-04-11,22461
2020-04-12,22953
2020-04-13,5603
2020-04-14,6105
2020-04-15,7804
2020-04-16,18183
2020-04-17,24634
2020-04-18,24097
2020-04-19,24425
2020-04-20,24590
2020-04-21,24090
2020-04-22,24684
2020-04-23,24046
2020-04-24,21664
2020-04-25,4061
2020-04-26,3906
2020-04-27,5852
2020-04-28,4354
2020-04-29,6021
2020-04-30,6796
2020-05-01,4175
2020-05-02,3929
2020-05-03,3861
2020-05-04,4463
2020-05-05,5203
2020-05-06,6065
