date,Active Sending Addresses
2019-07-01,0
2019-07-02,0
2019-07-03,0
2019-07-04,0
2019-07-05,0
2019-07-06,0
2019-07-07,0
2019-07-08,0
2019-07-09,0
2019-07-10,0
2019-07-11,0
2019-07-12,0
2019-07-13,0
2019-07-14,0
2019-07-15,0
2019-07-16,0
2019-07-17,41
2019-07-18,283
2019-07-19,235
2019-07-20,209
2019-07-21,153
2019-07-22,186
2019-07-23,152
2019-07-24,117
2019-07-25,83
2019-07-26,112
2019-07-27,106
2019-07-28,186
2019-07-29,103
2019-07-30,97
2019-07-31,67
2019-08-01,82
2019-08-02,75
2019-08-03,47
2019-08-04,53
2019-08-05,65
2019-08-06,123
2019-08-07,86
2019-08-08,69
2019-08-09,87
2019-08-10,74
2019-08-11,59
2019-08-12,74
2019-08-13,63
2019-08-14,87
2019-08-15,102
2019-08-16,75
2019-08-17,82
2019-08-18,47
2019-08-19,77
2019-08-20,62
2019-08-21,57
2019-08-22,64
2019-08-23,85
2019-08-24,44
2019-08-25,44
2019-08-26,46
2019-08-27,52
2019-08-28,57
2019-08-29,57
2019-08-30,72
2019-08-31,60
2019-09-01,53
2019-09-02,61
2019-09-03,64
2019-09-04,61
2019-09-05,58
2019-09-06,50
2019-09-07,46
2019-09-08,56
2019-09-09,96
2019-09-10,63
2019-09-11,52
2019-09-12,33
2019-09-13,47
2019-09-14,32
2019-09-15,30
2019-09-16,57
2019-09-17,74
2019-09-18,67
2019-09-19,52
2019-09-20,49
2019-09-21,43
2019-09-22,44
2019-09-23,51
2019-09-24,96
2019-09-25,63
2019-09-26,35
2019-09-27,66
2019-09-28,51
2019-09-29,47
2019-09-30,115
2019-10-01,153
2019-10-02,245
2019-10-03,152
2019-10-04,134
2019-10-05,126
2019-10-06,108
2019-10-07,116
2019-10-08,85
2019-10-09,92
2019-10-10,222
2019-10-11,269
2019-10-12,194
2019-10-13,457
2019-10-14,634
2019-10-15,501
2019-10-16,655
2019-10-17,640
2019-10-18,165
2019-10-19,111
2019-10-20,144
2019-10-21,402
2019-10-22,888
2019-10-23,379
2019-10-24,282
2019-10-25,465
2019-10-26,549
2019-10-27,540
2019-10-28,803
2019-10-29,765
2019-10-30,422
2019-10-31,244
2019-11-01,322
2019-11-02,304
2019-11-03,362
2019-11-04,409
2019-11-05,1044
2019-11-06,880
2019-11-07,944
2019-11-08,807
2019-11-09,585
2019-11-10,490
2019-11-11,565
2019-11-12,552
2019-11-13,828
2019-11-14,1236
2019-11-15,877
2019-11-16,515
2019-11-17,420
2019-11-18,586
2019-11-19,625
2019-11-20,649
2019-11-21,752
2019-11-22,788
2019-11-23,567
2019-11-24,547
2019-11-25,648
2019-11-26,462
2019-11-27,719
2019-11-28,605
2019-11-29,617
2019-11-30,572
2019-12-01,526
2019-12-02,586
2019-12-03,635
2019-12-04,1337
2019-12-05,1133
2019-12-06,1105
2019-12-07,1274
2019-12-08,1126
2019-12-09,933
2019-12-10,971
2019-12-11,827
2019-12-12,819
2019-12-13,893
2019-12-14,855
2019-12-15,726
2019-12-16,868
2019-12-17,966
2019-12-18,1081
2019-12-19,905
2019-12-20,834
2019-12-21,803
2019-12-22,708
2019-12-23,782
2019-12-24,863
2019-12-25,839
2019-12-26,797
2019-12-27,729
2019-12-28,706
2019-12-29,822
2019-12-30,1229
2019-12-31,947
2020-01-01,839
2020-01-02,1322
2020-01-03,1212
2020-01-04,1062
2020-01-05,1069
2020-01-06,1215
2020-01-07,1798
2020-01-08,1510
2020-01-09,1308
2020-01-10,1426
2020-01-11,1293
2020-01-12,1088
2020-01-13,1451
2020-01-14,2355
2020-01-15,2182
2020-01-16,1461
2020-01-17,1436
2020-01-18,1504
2020-01-19,1571
2020-01-20,1326
2020-01-21,1156
2020-01-22,1201
2020-01-23,1216
2020-01-24,868
2020-01-25,685
2020-01-26,695
2020-01-27,845
2020-01-28,1445
2020-01-29,3076
2020-01-30,1568
2020-01-31,1539
2020-02-01,1283
2020-02-02,1411
2020-02-03,1463
2020-02-04,1495
2020-02-05,2129
2020-02-06,1840
2020-02-07,2602
2020-02-08,1800
2020-02-09,1658
2020-02-10,3139
2020-02-11,2252
2020-02-12,2065
2020-02-13,2278
2020-02-14,2645
2020-02-15,2624
2020-02-16,2099
2020-02-17,1953
2020-02-18,1898
2020-02-19,2427
2020-02-20,2240
2020-02-21,2048
2020-02-22,2083
2020-02-23,2045
2020-02-24,2233
2020-02-25,2679
2020-02-26,2633
2020-02-27,2263
2020-02-28,1926
2020-02-29,2083
2020-03-01,1536
2020-03-02,2199
2020-03-03,3439
2020-03-04,2472
2020-03-05,2525
2020-03-06,2059
2020-03-07,2416
2020-03-08,2623
2020-03-09,3504
2020-03-10,2633
2020-03-11,2647
2020-03-12,4658
2020-03-13,4758
2020-03-14,2924
2020-03-15,3116
2020-03-16,5835
2020-03-17,4041
2020-03-18,2495
2020-03-19,3019
2020-03-20,2898
2020-03-21,2432
2020-03-22,3410
2020-03-23,3356
2020-03-24,2232
2020-03-25,3095
2020-03-26,3540
2020-03-27,4103
2020-03-28,2470
2020-03-29,2466
2020-03-30,2766
2020-03-31,3856
2020-04-01,2849
2020-04-02,4858
2020-04-03,3611
2020-04-04,2999
2020-04-05,3168
2020-04-06,4053
2020-04-07,3703
2020-04-08,4226
2020-04-09,3794
2020-04-10,3966
2020-04-11,2929
2020-04-12,3417
2020-04-13,3892
2020-04-14,4424
2020-04-15,6456
2020-04-16,6453
2020-04-17,4961
2020-04-18,4333
2020-04-19,4631
2020-04-20,4679
2020-04-21,4252
2020-04-22,4926
2020-04-23,4151
2020-04-24,3621
2020-04-25,3156
2020-04-26,2939
2020-04-27,4783
2020-04-28,3029
2020-04-29,4170
2020-04-30,5253
2020-05-01,3171
2020-05-02,2898
2020-05-03,2782
2020-05-04,3138
2020-05-05,3835
2020-05-06,4743
2020-05-07,4308
2020-05-08,3474
2020-05-09,3374
2020-05-10,3932
2020-05-11,4607
2020-05-12,3653
2020-05-13,4353
