date,timestamp_utc,Exchange Inflow (Top10)
2019-07-17,2019-07-17T00:00:00Z,8803.786812
2019-07-18,2019-07-18T00:00:00Z,383345.085037
2019-07-19,2019-07-19T00:00:00Z,22670.425847
2019-07-20,2019-07-20T00:00:00Z,363316.729607
2019-07-21,2019-07-21T00:00:00Z,34658.525612
2019-07-22,2019-07-22T00:00:00Z,2683.472885
2019-07-23,2019-07-23T00:00:00Z,6067.083483
2019-07-24,2019-07-24T00:00:00Z,4992.717896
2019-07-25,2019-07-25T00:00:00Z,2710.497338
2019-07-26,2019-07-26T00:00:00Z,15987.851528
2019-07-27,2019-07-27T00:00:00Z,874.982307
2019-07-28,2019-07-28T00:00:00Z,52412.451186
2019-07-29,2019-07-29T00:00:00Z,19044.067342
2019-07-30,2019-07-30T00:00:00Z,37679.879297
2019-07-31,2019-07-31T00:00:00Z,7671616.684044
2019-08-01,2019-08-01T00:00:00Z,19567.874522
2019-08-02,2019-08-02T00:00:00Z,44686.841623
2019-08-03,2019-08-03T00:00:00Z,6640.247656
2019-08-04,2019-08-04T00:00:00Z,804.368318
2019-08-05,2019-08-05T00:00:00Z,7744.47841
2019-08-06,2019-08-06T00:00:00Z,7951.416774
2019-08-07,2019-08-07T00:00:00Z,989.446674
2019-08-08,2019-08-08T00:00:00Z,5075483.081153
2019-08-09,2019-08-09T00:00:00Z,13940.558614
2019-08-10,2019-08-10T00:00:00Z,1550.724292
2019-08-11,2019-08-11T00:00:00Z,8074.983502
2019-08-12,2019-08-12T00:00:00Z,35493.259142
2019-08-13,2019-08-13T00:00:00Z,84456.458674
2019-08-14,2019-08-14T00:00:00Z,85480.105517
2019-08-15,2019-08-15T00:00:00Z,18684684.193181
2019-08-16,2019-08-16T00:00:00Z,377585.009284
2019-08-17,2019-08-17T00:00:00Z,8495.795617
2019-08-18,2019-08-18T00:00:00Z,10.0
2019-08-19,2019-08-19T00:00:00Z,939.981951
2019-08-20,2019-08-20T00:00:00Z,11082.779835
2019-08-21,2019-08-21T00:00:00Z,5325.0
2019-08-22,2019-08-22T00:00:00Z,22966.0
2019-08-23,2019-08-23T00:00:00Z,11721.599104
2019-08-24,2019-08-24T00:00:00Z,5262.446395
2019-08-25,2019-08-25T00:00:00Z,22.029481
2019-08-26,2019-08-26T00:00:00Z,19526.700253
2019-08-27,2019-08-27T00:00:00Z,337.840025
2019-08-28,2019-08-28T00:00:00Z,16349.0
2019-08-29,2019-08-29T00:00:00Z,113651.897008
2019-08-30,2019-08-30T00:00:00Z,26821.996059
2019-08-31,2019-08-31T00:00:00Z,16771.622
2019-09-01,2019-09-01T00:00:00Z,14691.824
2019-09-02,2019-09-02T00:00:00Z,11370.460796
2019-09-03,2019-09-03T00:00:00Z,19427.416077
2019-09-04,2019-09-04T00:00:00Z,20469.71047
2019-09-05,2019-09-05T00:00:00Z,19679.968178
2019-09-06,2019-09-06T00:00:00Z,18198.67
2019-09-07,2019-09-07T00:00:00Z,40523.042044
2019-09-08,2019-09-08T00:00:00Z,5160.272281
2019-09-09,2019-09-09T00:00:00Z,18350.6183
2019-09-10,2019-09-10T00:00:00Z,15174.0
2019-09-11,2019-09-11T00:00:00Z,22869.3809
2019-09-12,2019-09-12T00:00:00Z,40397.289
2019-09-13,2019-09-13T00:00:00Z,20660.994087
2019-09-14,2019-09-14T00:00:00Z,14542.736967
2019-09-15,2019-09-15T00:00:00Z,2881.084461
2019-09-16,2019-09-16T00:00:00Z,15298.797556
2019-09-17,2019-09-17T00:00:00Z,35989.230977
2019-09-18,2019-09-18T00:00:00Z,1126345.465624
2019-09-19,2019-09-19T00:00:00Z,157202.0
2019-09-20,2019-09-20T00:00:00Z,16736.089674
2019-09-21,2019-09-21T00:00:00Z,31653.573938
2019-09-22,2019-09-22T00:00:00Z,520.85
2019-09-23,2019-09-23T00:00:00Z,193311.99
2019-09-24,2019-09-24T00:00:00Z,242263.342798
2019-09-25,2019-09-25T00:00:00Z,73079.14934
2019-09-26,2019-09-26T00:00:00Z,73293.966789
2019-09-27,2019-09-27T00:00:00Z,78536.741799
