date,timestamp_utc,Exchange Outflow (Mean)
2019-07-17,2019-07-17T00:00:00Z,19.019173
2019-07-18,2019-07-18T00:00:00Z,308.54897833
2019-07-19,2019-07-19T00:00:00Z,8480.1
2019-07-20,2019-07-20T00:00:00Z,28608.06977017
2019-07-21,2019-07-21T00:00:00Z,5182.671845
2019-07-22,2019-07-22T00:00:00Z,37885.39483975
2019-07-23,2019-07-23T00:00:00Z,200005.4960326
2019-07-24,2019-07-24T00:00:00Z,263540.702347
2019-07-25,2019-07-25T00:00:00Z,250017.769753
2019-07-26,2019-07-26T00:00:00Z,6357.8125
2019-07-27,2019-07-27T00:00:00Z,11365.9396016
2019-07-28,2019-07-28T00:00:00Z,5499.73310771
2019-07-29,2019-07-29T00:00:00Z,1409.861513
2019-07-30,2019-07-30T00:00:00Z,7958.147
2019-07-31,2019-07-31T00:00:00Z,718342.11090886
2019-08-01,2019-08-01T00:00:00Z,11604.66666667
2019-08-02,2019-08-02T00:00:00Z,4011.18176571
2019-08-03,2019-08-03T00:00:00Z,928.829905
2019-08-04,2019-08-04T00:00:00Z,3262.526278
2019-08-05,2019-08-05T00:00:00Z,2267.63454633
2019-08-06,2019-08-06T00:00:00Z,4876.91180945
2019-08-07,2019-08-07T00:00:00Z,5218.136181
2019-08-08,2019-08-08T00:00:00Z,471777.61367733
2019-08-09,2019-08-09T00:00:00Z,4958.328611
2019-08-10,2019-08-10T00:00:00Z,11434.75
2019-08-11,2019-08-11T00:00:00Z,0.0
2019-08-12,2019-08-12T00:00:00Z,914.268807
2019-08-13,2019-08-13T00:00:00Z,12918.858609
2019-08-14,2019-08-14T00:00:00Z,16615.7335121
2019-08-15,2019-08-15T00:00:00Z,119400.91783813
2019-08-16,2019-08-16T00:00:00Z,30851.55969718
2019-08-17,2019-08-17T00:00:00Z,36839.66666667
2019-08-18,2019-08-18T00:00:00Z,2995.1929705
2019-08-19,2019-08-19T00:00:00Z,18145.66666667
2019-08-20,2019-08-20T00:00:00Z,5504.5
2019-08-21,2019-08-21T00:00:00Z,3904.00507471
2019-08-22,2019-08-22T00:00:00Z,1729.16666667
2019-08-23,2019-08-23T00:00:00Z,2336.25
2019-08-24,2019-08-24T00:00:00Z,3166.486077
2019-08-25,2019-08-25T00:00:00Z,6912.0
2019-08-26,2019-08-26T00:00:00Z,5135.0
2019-08-27,2019-08-27T00:00:00Z,337.639106
2019-08-28,2019-08-28T00:00:00Z,5423.33333333
2019-08-29,2019-08-29T00:00:00Z,8861.5
2019-08-30,2019-08-30T00:00:00Z,1527.580842
2019-08-31,2019-08-31T00:00:00Z,989.5408305
2019-09-01,2019-09-01T00:00:00Z,0.0
2019-09-02,2019-09-02T00:00:00Z,9006.66666667
2019-09-03,2019-09-03T00:00:00Z,8637.03000317
2019-09-04,2019-09-04T00:00:00Z,6781.2688902
2019-09-05,2019-09-05T00:00:00Z,442.969089
2019-09-06,2019-09-06T00:00:00Z,6067.83333333
2019-09-07,2019-09-07T00:00:00Z,1.07201
2019-09-08,2019-09-08T00:00:00Z,2170.401494
2019-09-09,2019-09-09T00:00:00Z,1933.097
2019-09-10,2019-09-10T00:00:00Z,572.55537555
2019-09-11,2019-09-11T00:00:00Z,2050.04025525
2019-09-12,2019-09-12T00:00:00Z,11807.4578
2019-09-13,2019-09-13T00:00:00Z,4855.95865443
2019-09-14,2019-09-14T00:00:00Z,3618.77069522
2019-09-15,2019-09-15T00:00:00Z,2245.49933333
2019-09-16,2019-09-16T00:00:00Z,2076.5676205
2019-09-17,2019-09-17T00:00:00Z,2119.13217325
2019-09-18,2019-09-18T00:00:00Z,7319.58232587
2019-09-19,2019-09-19T00:00:00Z,12644.6533212
2019-09-20,2019-09-20T00:00:00Z,2115.89325991
2019-09-21,2019-09-21T00:00:00Z,3180.1165913
2019-09-22,2019-09-22T00:00:00Z,391.34651714
2019-09-23,2019-09-23T00:00:00Z,8354.67850986
2019-09-24,2019-09-24T00:00:00Z,22545.1489039
2019-09-25,2019-09-25T00:00:00Z,7531.20376923
2019-09-26,2019-09-26T00:00:00Z,8745.96968153
2019-09-27,2019-09-27T00:00:00Z,9699.84077778
2019-09-28,2019-09-28T00:00:00Z,7905.84428571
2019-09-29,2019-09-29T00:00:00Z,2944.29008213
2019-09-30,2019-09-30T00:00:00Z,3556.38708355
2019-10-01,2019-10-01T00:00:00Z,74879.47818656
2019-10-02,2019-10-02T00:00:00Z,98117.6037978
2019-10-03,2019-10-03T00:00:00Z,95232.20320902
2019-10-04,2019-10-04T00:00:00Z,286175.89911613
2019-10-05,2019-10-05T00:00:00Z,69280.26615064
2019-10-06,2019-10-06T00:00:00Z,52068.0434041
2019-10-07,2019-10-07T00:00:00Z,28841.42628442
2019-10-08,2019-10-08T00:00:00Z,56105.67837076
2019-10-09,2019-10-09T00:00:00Z,37452.81331779
2019-10-10,2019-10-10T00:00:00Z,27769.27846596
2019-10-11,2019-10-11T00:00:00Z,59978.61875806
2019-10-12,2019-10-12T00:00:00Z,64964.40693106
2019-10-13,2019-10-13T00:00:00Z,120981.13468435
2019-10-14,2019-10-14T00:00:00Z,49350.29885244
2019-10-15,2019-10-15T00:00:00Z,26476.71762668
2019-10-16,2019-10-16T00:00:00Z,20083.58495505
2019-10-17,2019-10-17T00:00:00Z,21363.71428571
2019-10-18,2019-10-18T00:00:00Z,36708.84668173
2019-10-19,2019-10-19T00:00:00Z,634874.48036842
2019-10-20,2019-10-20T00:00:00Z,1872587.8751905
2019-10-21,2019-10-21T00:00:00Z,315793.08277537
2019-10-22,2019-10-22T00:00:00Z,75628.96588458
2019-10-23,2019-10-23T00:00:00Z,114743.96047608
2019-10-24,2019-10-24T00:00:00Z,195178.13574097
2019-10-25,2019-10-25T00:00:00Z,299648.54694937
2019-10-26,2019-10-26T00:00:00Z,107399.13340847
2019-10-27,2019-10-27T00:00:00Z,96138.40853003
2019-10-28,2019-10-28T00:00:00Z,189701.45675135
2019-10-29,2019-10-29T00:00:00Z,248192.19827246
2019-10-30,2019-10-30T00:00:00Z,172599.88138345
2019-10-31,2019-10-31T00:00:00Z,118101.63188733
2019-11-01,2019-11-01T00:00:00Z,183874.29939957
2019-11-02,2019-11-02T00:00:00Z,221306.21962928
2019-11-03,2019-11-03T00:00:00Z,168259.97832544
2019-11-04,2019-11-04T00:00:00Z,119020.31278492
2019-11-05,2019-11-05T00:00:00Z,72383.72401795
2019-11-06,2019-11-06T00:00:00Z,34484.91515854
2019-11-07,2019-11-07T00:00:00Z,51176.56639987
2019-11-08,2019-11-08T00:00:00Z,40074.82907224
2019-11-09,2019-11-09T00:00:00Z,57152.70694547
2019-11-10,2019-11-10T00:00:00Z,46392.54003387
2019-11-11,2019-11-11T00:00:00Z,56131.59295212
2019-11-12,2019-11-12T00:00:00Z,60686.14326276
2019-11-13,2019-11-13T00:00:00Z,47952.32881791
2019-11-14,2019-11-14T00:00:00Z,17947.58090061
2019-11-15,2019-11-15T00:00:00Z,15840.89710754
2019-11-16,2019-11-16T00:00:00Z,14681.84991568
2019-11-17,2019-11-17T00:00:00Z,15765.79671042
2019-11-18,2019-11-18T00:00:00Z,32391.24352138
2019-11-19,2019-11-19T00:00:00Z,31299.12048968
2019-11-20,2019-11-20T00:00:00Z,26124.83453769
2019-11-21,2019-11-21T00:00:00Z,51259.12795602
2019-11-22,2019-11-22T00:00:00Z,47222.62973716
2019-11-23,2019-11-23T00:00:00Z,37344.02829318
