date,Exchange Withdrawing Transactions
2019-07-17,1
2019-07-18,3
2019-07-19,5
2019-07-20,12
2019-07-21,2
2019-07-22,4
2019-07-23,5
2019-07-24,8
2019-07-25,4
2019-07-26,4
2019-07-27,10
2019-07-28,7
2019-07-29,2
2019-07-30,2
2019-07-31,7
2019-08-01,6
2019-08-02,7
2019-08-03,1
2019-08-04,2
2019-08-05,3
2019-08-06,11
2019-08-07,7
2019-08-08,6
2019-08-09,4
2019-08-10,4
2019-08-11,0
2019-08-12,1
2019-08-13,6
2019-08-14,10
2019-08-15,15
2019-08-16,11
2019-08-17,3
2019-08-18,2
2019-08-19,6
2019-08-20,2
2019-08-21,7
2019-08-22,6
2019-08-23,8
2019-08-24,2
2019-08-25,2
2019-08-26,1
2019-08-27,1
2019-08-28,3
2019-08-29,2
2019-08-30,4
2019-08-31,8
2019-09-01,0
2019-09-02,3
2019-09-03,6
2019-09-04,5
2019-09-05,2
2019-09-06,6
2019-09-07,1
2019-09-08,3
2019-09-09,4
2019-09-10,29
2019-09-11,8
2019-09-12,5
2019-09-13,7
2019-09-14,9
2019-09-15,3
2019-09-16,8
2019-09-17,8
2019-09-18,16
2019-09-19,20
2019-09-20,11
2019-09-21,10
2019-09-22,7
2019-09-23,14
2019-09-24,20
2019-09-25,13
2019-09-26,17
2019-09-27,9
2019-09-28,7
2019-09-29,8
2019-09-30,29
2019-10-01,113
2019-10-02,83
2019-10-03,55
2019-10-04,63
2019-10-05,47
2019-10-06,39
2019-10-07,40
2019-10-08,55
2019-10-09,78
2019-10-10,47
2019-10-11,31
2019-10-12,17
2019-10-13,20
2019-10-14,27
2019-10-15,25
2019-10-16,22
2019-10-17,21
2019-10-18,11
2019-10-19,12
2019-10-20,14
2019-10-21,60
2019-10-22,365
2019-10-23,435
2019-10-24,516
2019-10-25,657
2019-10-26,1340
2019-10-27,1522
2019-10-28,776
2019-10-29,514
2019-10-30,513
2019-10-31,636
2019-11-01,522
2019-11-02,361
2019-11-03,263
2019-11-04,400
2019-11-05,761
2019-11-06,1179
2019-11-07,1049
2019-11-08,1487
2019-11-09,555
2019-11-10,626
2019-11-11,979
2019-11-12,894
2019-11-13,731
2019-11-14,786
2019-11-15,727
2019-11-16,573
2019-11-17,524
2019-11-18,678
2019-11-19,711
2019-11-20,703
2019-11-21,1009
2019-11-22,1029
2019-11-23,604
2019-11-24,536
2019-11-25,892
2019-11-26,756
2019-11-27,1007
2019-11-28,683
2019-11-29,800
2019-11-30,606
2019-12-01,569
2019-12-02,766
2019-12-03,820
2019-12-04,1167
2019-12-05,1881
2019-12-06,1835
2019-12-07,2119
2019-12-08,1913
2019-12-09,1369
2019-12-10,1359
2019-12-11,1248
2019-12-12,1315
2019-12-13,1227
2019-12-14,1252
2019-12-15,1141
2019-12-16,1332
2019-12-17,1513
2019-12-18,1646
2019-12-19,1476
2019-12-20,1248
2019-12-21,1070
2019-12-22,940
2019-12-23,1288
2019-12-24,1261
2019-12-25,1122
2019-12-26,1050
2019-12-27,909
2019-12-28,733
2019-12-29,991
2019-12-30,1514
2019-12-31,1004
2020-01-01,1027
2020-01-02,1466
2020-01-03,1403
2020-01-04,1169
2020-01-05,1140
2020-01-06,1386
2020-01-07,2223
2020-01-08,1882
2020-01-09,1327
2020-01-10,1514
2020-01-11,1397
2020-01-12,1059
2020-01-13,1296
2020-01-14,2918
2020-01-15,2239
2020-01-16,1312
2020-01-17,1624
2020-01-18,1342
2020-01-19,1174
2020-01-20,1108
2020-01-21,1056
2020-01-22,1262
2020-01-23,619
2020-01-24,547
2020-01-25,257
2020-01-26,401
2020-01-27,486
2020-01-28,1248
2020-01-29,688
2020-01-30,1076
2020-01-31,1140
2020-02-01,816
2020-02-02,1055
2020-02-03,1066
2020-02-04,1196
2020-02-05,2223
2020-02-06,1358
2020-02-07,1733
2020-02-08,1332
2020-02-09,1347
2020-02-10,2675
2020-02-11,1922
2020-02-12,1653
2020-02-13,2146
2020-02-14,2040
2020-02-15,1914
2020-02-16,1711
2020-02-17,2008
2020-02-18,2048
2020-02-19,1480
2020-02-20,1859
2020-02-21,1836
2020-02-22,1440
2020-02-23,1877
2020-02-24,1995
2020-02-25,2133
2020-02-26,2565
2020-02-27,2020
2020-02-28,1827
2020-02-29,1502
2020-03-01,1614
2020-03-02,1779
2020-03-03,1445
2020-03-04,1888
2020-03-05,2040
2020-03-06,1905
2020-03-07,1795
2020-03-08,2230
2020-03-09,2686
2020-03-10,1773
2020-03-11,2064
2020-03-12,3760
2020-03-13,4546
2020-03-14,2355
2020-03-15,3105
2020-03-16,4969
2020-03-17,3679
2020-03-18,2391
2020-03-19,2927
2020-03-20,2769
2020-03-21,1802
2020-03-22,1994
2020-03-23,2380
2020-03-24,2442
2020-03-25,2399
2020-03-26,2458
2020-03-27,2812
2020-03-28,2297
2020-03-29,1715
2020-03-30,2463
2020-03-31,2529
2020-04-01,2462
2020-04-02,3137
2020-04-03,2681
2020-04-04,2113
2020-04-05,2023
2020-04-06,2773
2020-04-07,2442
2020-04-08,2939
2020-04-09,2472
2020-04-10,2494
2020-04-11,1879
2020-04-12,2062
2020-04-13,2854
2020-04-14,3249
2020-04-15,3209
2020-04-16,3710
2020-04-17,3509
