date,Active Receiving Addresses (%)
2017-11-28,80.0
2017-12-21,50.0
2017-12-27,66.66666667
2017-12-28,85.71428571
2017-12-31,50.0
2018-01-10,0.0
2018-01-22,80.0
2018-01-23,100.0
2018-01-24,88.88888889
2018-01-25,66.66666667
2018-01-26,71.42857143
2018-01-27,100.0
2018-01-28,90.625
2018-01-29,96.42857143
2018-01-30,86.66666667
2018-01-31,84.84848485
2018-02-01,90.47619048
2018-02-02,87.87878788
2018-02-03,95.83333333
2018-02-04,92.72727273
2018-02-05,77.14285714
2018-02-06,80.95238095
2018-02-07,93.33333333
2018-02-08,70.0
2018-02-09,88.57142857
2018-02-10,75.75757576
2018-02-11,88.0
2018-02-12,58.62068966
2018-02-13,82.60869565
2018-02-14,73.68421053
2018-02-15,83.33333333
2018-02-16,83.33333333
2018-02-17,92.0
2018-02-18,79.31034483
2018-02-19,78.57142857
2018-02-20,88.23529412
2018-02-21,79.16666667
2018-02-22,82.60869565
2018-02-23,87.5
2018-02-24,88.88888889
2018-02-25,88.88888889
2018-02-26,79.16666667
2018-02-27,70.0
2018-02-28,92.0
2018-03-01,87.5
2018-03-02,83.33333333
2018-03-03,92.85714286
2018-03-04,79.16666667
2018-03-05,84.21052632
2018-03-06,78.57142857
2018-03-07,81.81818182
2018-03-08,83.33333333
2018-03-09,95.83333333
2018-03-10,85.71428571
2018-03-11,81.25
2018-03-12,84.61538462
2018-03-13,92.30769231
2018-03-14,70.73170732
2018-03-15,80.64516129
2018-03-16,100.0
2018-03-17,83.87096774
2018-03-18,83.87096774
2018-03-19,80.0
2018-03-20,80.55555556
2018-03-21,68.18181818
2018-03-22,85.0
2018-03-23,84.0
2018-03-24,72.72727273
2018-03-25,100.0
2018-03-26,75.86206897
2018-03-27,76.66666667
2018-03-28,86.95652174
2018-03-29,86.95652174
2018-03-30,80.95238095
2018-03-31,80.95238095
2018-04-01,81.81818182
2018-04-02,82.35294118
2018-04-03,75.0
2018-04-04,75.0
2018-04-05,87.5
2018-04-06,79.31034483
2018-04-07,62.5
2018-04-08,83.33333333
2018-04-09,81.48148148
2018-04-10,75.0
2018-04-11,77.5
2018-04-12,86.11111111
2018-04-13,82.75862069
2018-04-14,75.0
2018-04-15,86.84210526
2018-04-16,78.94736842
2018-04-17,68.29268293
2018-04-18,78.72340426
2018-04-19,81.57894737
2018-04-20,78.18181818
2018-04-21,64.78873239
2018-04-22,61.84210526
2018-04-23,87.09677419
2018-04-24,82.82828283
2018-04-25,79.16666667
2018-04-26,72.32142857
2018-04-27,85.07462687
2018-04-28,94.20289855
2018-04-29,77.55102041
2018-04-30,76.19047619
2018-05-01,75.38461538
