date,Exchange Depositing Transactions
2017-12-28,4
2017-12-29,0
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,0
2018-01-03,0
2018-01-04,0
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,0
2018-01-11,0
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,0
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,1
2018-01-23,2
2018-01-24,1
2018-01-25,0
2018-01-26,0
2018-01-27,1
2018-01-28,4
2018-01-29,2
2018-01-30,10
2018-01-31,11
2018-02-01,5
2018-02-02,20
2018-02-03,4
2018-02-04,8
2018-02-05,14
2018-02-06,8
2018-02-07,1
2018-02-08,2
2018-02-09,5
2018-02-10,3
2018-02-11,4
2018-02-12,0
2018-02-13,6
2018-02-14,5
2018-02-15,0
2018-02-16,0
2018-02-17,1
2018-02-18,6
2018-02-19,2
2018-02-20,3
2018-02-21,11
2018-02-22,4
2018-02-23,0
2018-02-24,6
2018-02-25,2
2018-02-26,2
2018-02-27,0
2018-02-28,5
2018-03-01,7
2018-03-02,3
2018-03-03,4
2018-03-04,5
2018-03-05,5
2018-03-06,9
2018-03-07,9
2018-03-08,4
2018-03-09,3
2018-03-10,1
2018-03-11,3
2018-03-12,1
2018-03-13,4
2018-03-14,23
2018-03-15,21
2018-03-16,3
2018-03-17,11
2018-03-18,18
2018-03-19,0
2018-03-20,2
2018-03-21,6
2018-03-22,8
2018-03-23,16
2018-03-24,3
2018-03-25,7
2018-03-26,14
2018-03-27,19
2018-03-28,14
2018-03-29,23
2018-03-30,17
2018-03-31,2
2018-04-01,12
2018-04-02,1
2018-04-03,0
2018-04-04,12
2018-04-05,7
2018-04-06,7
2018-04-07,1
2018-04-08,2
2018-04-09,9
2018-04-10,7
2018-04-11,2
2018-04-12,5
2018-04-13,8
2018-04-14,1
2018-04-15,1
2018-04-16,3
2018-04-17,6
2018-04-18,1
2018-04-19,2
2018-04-20,20
2018-04-21,28
2018-04-22,28
2018-04-23,15
2018-04-24,18
2018-04-25,17
2018-04-26,34
2018-04-27,15
2018-04-28,16
2018-04-29,30
2018-04-30,29
2018-05-01,22
2018-05-02,24
2018-05-03,22
2018-05-04,26
2018-05-05,29
2018-05-06,18
2018-05-07,29
2018-05-08,35
2018-05-09,22
2018-05-10,6
2018-05-11,27
2018-05-12,34
2018-05-13,25
2018-05-14,8
2018-05-15,17
2018-05-16,4
2018-05-17,16
2018-05-18,24
2018-05-19,11
2018-05-20,14
2018-05-21,12
2018-05-22,9
2018-05-23,35
2018-05-24,28
2018-05-25,17
2018-05-26,10
2018-05-27,13
2018-05-28,14
2018-05-29,2
2018-05-30,6
2018-05-31,9
2018-06-01,19
2018-06-02,10
2018-06-03,12
2018-06-04,15
2018-06-05,13
2018-06-06,6
2018-06-07,9
2018-06-08,24
2018-06-09,1
2018-06-10,9
2018-06-11,12
2018-06-12,6
2018-06-13,8
2018-06-14,10
2018-06-15,5
2018-06-16,11
2018-06-17,1
2018-06-18,10
2018-06-19,12
2018-06-20,5
2018-06-21,10
2018-06-22,4
2018-06-23,9
2018-06-24,10
2018-06-25,15
2018-06-26,4
2018-06-27,16
2018-06-28,114
2018-06-29,25
2018-06-30,33
2018-07-01,20
2018-07-02,2
2018-07-03,15
2018-07-04,6
2018-07-05,124
2018-07-06,3
2018-07-07,86
2018-07-08,109
2018-07-09,73
2018-07-10,10
2018-07-11,24
2018-07-12,18
2018-07-13,4
2018-07-14,1
2018-07-15,7
2018-07-16,12
2018-07-17,7
2018-07-18,5
2018-07-19,6
2018-07-20,8
2018-07-21,8
2018-07-22,6
2018-07-23,3
2018-07-24,12
2018-07-25,9
2018-07-26,11
2018-07-27,6
2018-07-28,3
2018-07-29,5
2018-07-30,266
2018-07-31,6
2018-08-01,6
2018-08-02,9
2018-08-03,8
2018-08-04,7
2018-08-05,9
2018-08-06,3
2018-08-07,5
2018-08-08,11
2018-08-09,12
2018-08-10,8
2018-08-11,12
2018-08-12,7
2018-08-13,21
2018-08-14,20
2018-08-15,17
2018-08-16,7
2018-08-17,2
2018-08-18,6
2018-08-19,4
2018-08-20,11
2018-08-21,15
2018-08-22,5
2018-08-23,4
2018-08-24,3
2018-08-25,7
2018-08-26,3
2018-08-27,4
2018-08-28,8
2018-08-29,13
2018-08-30,17
2018-08-31,17
2018-09-01,11
2018-09-02,5
2018-09-03,12
2018-09-04,22
2018-09-05,21
2018-09-06,39
2018-09-07,20
2018-09-08,8
2018-09-09,9
2018-09-10,9
2018-09-11,4
2018-09-12,16
2018-09-13,13
2018-09-14,10
2018-09-15,19
2018-09-16,11
2018-09-17,16
2018-09-18,20
2018-09-19,4
2018-09-20,6
2018-09-21,15
2018-09-22,38
2018-09-23,10
2018-09-24,11
2018-09-25,15
2018-09-26,4
2018-09-27,3
2018-09-28,7
2018-09-29,8
2018-09-30,21
2018-10-01,14
2018-10-02,24
2018-10-03,10
2018-10-04,7
2018-10-05,11
2018-10-06,2
2018-10-07,5
2018-10-08,9
2018-10-09,19
2018-10-10,8
2018-10-11,16
2018-10-12,20
2018-10-13,7
2018-10-14,9
2018-10-15,37
2018-10-16,10
2018-10-17,13
2018-10-18,12
2018-10-19,14
2018-10-20,7
2018-10-21,5
2018-10-22,11
2018-10-23,11
2018-10-24,6
2018-10-25,9
2018-10-26,8
2018-10-27,7
2018-10-28,3
2018-10-29,5
2018-10-30,12
2018-10-31,11
2018-11-01,12
2018-11-02,4
2018-11-03,4
2018-11-04,7
2018-11-05,8
2018-11-06,9
2018-11-07,15
2018-11-08,8
2018-11-09,15
2018-11-10,5
2018-11-11,3
2018-11-12,9
2018-11-13,5
2018-11-14,12
2018-11-15,37
2018-11-16,20
2018-11-17,8
2018-11-18,12
2018-11-19,24
2018-11-20,25
2018-11-21,20
2018-11-22,20
2018-11-23,17
2018-11-24,14
2018-11-25,33
2018-11-26,15
2018-11-27,9
2018-11-28,19
2018-11-29,204
2018-11-30,11
2018-12-01,20
2018-12-02,13
2018-12-03,22
2018-12-04,24
2018-12-05,25
2018-12-06,38
2018-12-07,50
2018-12-08,38
2018-12-09,34
2018-12-10,71
2018-12-11,64
2018-12-12,54
2018-12-13,43
2018-12-14,68
2018-12-15,51
2018-12-16,53
2018-12-17,84
2018-12-18,128
2018-12-19,74
2018-12-20,77
2018-12-21,20
2018-12-22,22
2018-12-23,17
2018-12-24,30
2018-12-25,17
2018-12-26,24
2018-12-27,21
2018-12-28,27
2018-12-29,12
2018-12-30,10
2018-12-31,9
2019-01-01,19
2019-01-02,17
2019-01-03,18
2019-01-04,19
2019-01-05,15
2019-01-06,11
2019-01-07,20
2019-01-08,18
2019-01-09,11
2019-01-10,26
2019-01-11,31
2019-01-12,12
2019-01-13,16
2019-01-14,29
2019-01-15,19
2019-01-16,20
2019-01-17,9
2019-01-18,11
2019-01-19,17
2019-01-20,15
2019-01-21,15
2019-01-22,32
2019-01-23,8
2019-01-24,17
2019-01-25,7
2019-01-26,7
2019-01-27,11
2019-01-28,30
2019-01-29,17
2019-01-30,15
2019-01-31,6
2019-02-01,16
2019-02-02,11
2019-02-03,6
2019-02-04,6
2019-02-05,12
2019-02-06,9
2019-02-07,4
2019-02-08,4
2019-02-09,9
2019-02-10,6
2019-02-11,9
2019-02-12,5
2019-02-13,8
2019-02-14,19
2019-02-15,7
2019-02-16,9
2019-02-17,6
2019-02-18,15
2019-02-19,30
2019-02-20,12
2019-02-21,19
2019-02-22,103
2019-02-23,23
2019-02-24,75
2019-02-25,51
2019-02-26,56
2019-02-27,34
2019-02-28,43
2019-03-01,30
2019-03-02,43
2019-03-03,10
2019-03-04,39
2019-03-05,85
2019-03-06,69
2019-03-07,55
2019-03-08,48
2019-03-09,45
2019-03-10,27
2019-03-11,42
2019-03-12,51
2019-03-13,59
2019-03-14,31
2019-03-15,36
2019-03-16,37
2019-03-17,23
2019-03-18,126
2019-03-19,125
2019-03-20,106
2019-03-21,78
2019-03-22,109
2019-03-23,99
2019-03-24,88
2019-03-25,141
2019-03-26,176
2019-03-27,152
2019-03-28,130
2019-03-29,126
2019-03-30,88
2019-03-31,119
2019-04-01,158
2019-04-02,234
2019-04-03,314
2019-04-04,363
2019-04-05,230
2019-04-06,224
2019-04-07,525
2019-04-08,746
2019-04-09,603
2019-04-10,489
2019-04-11,476
2019-04-12,408
2019-04-13,320
2019-04-14,234
2019-04-15,283
2019-04-16,342
2019-04-17,522
2019-04-18,628
2019-04-19,588
2019-04-20,601
2019-04-21,827
2019-04-22,1267
2019-04-23,1273
2019-04-24,509
2019-04-25,1209
2019-04-26,720
2019-04-27,248
2019-04-28,214
2019-04-29,294
2019-04-30,1205
2019-05-01,790
2019-05-02,613
2019-05-03,630
2019-05-04,450
2019-05-05,444
2019-05-06,606
2019-05-07,624
2019-05-08,604
2019-05-09,645
2019-05-10,740
2019-05-11,974
2019-05-12,795
2019-05-13,785
2019-05-14,952
2019-05-15,951
2019-05-16,1515
2019-05-17,1372
2019-05-18,908
2019-05-19,854
2019-05-20,1431
2019-05-21,1097
2019-05-22,1411
2019-05-23,1233
2019-05-24,1240
2019-05-25,1152
2019-05-26,1082
2019-05-27,1470
2019-05-28,1436
2019-05-29,1714
2019-05-30,1759
2019-05-31,2032
2019-06-01,1815
2019-06-02,1681
2019-06-03,2040
2019-06-04,3058
2019-06-05,1893
2019-06-06,1963
2019-06-07,1707
2019-06-08,1768
2019-06-09,1547
2019-06-10,2100
2019-06-11,1454
2019-06-12,2318
2019-06-13,1553
2019-06-14,2651
2019-06-15,1650
2019-06-16,1564
2019-06-17,2060
2019-06-18,2984
2019-06-19,4033
2019-06-20,3737
2019-06-21,6080
2019-06-22,4275
2019-06-23,3452
2019-06-24,2543
2019-06-25,2336
2019-06-26,5753
2019-06-27,5438
2019-06-28,4627
2019-06-29,4037
2019-06-30,3454
2019-07-01,3008
2019-07-02,5469
2019-07-03,4649
2019-07-04,6094
2019-07-05,6475
2019-07-06,5781
2019-07-07,4959
2019-07-08,6736
2019-07-09,7587
2019-07-10,6946
2019-07-11,6567
2019-07-12,3818
2019-07-13,3418
2019-07-14,4376
2019-07-15,6119
2019-07-16,4146
2019-07-17,7206
2019-07-18,6616
2019-07-19,3788
2019-07-20,3185
2019-07-21,3077
2019-07-22,3883
2019-07-23,4721
2019-07-24,4099
2019-07-25,3234
2019-07-26,3814
2019-07-27,4798
2019-07-28,3702
2019-07-29,4300
2019-07-30,7923
2019-07-31,9860
2019-08-01,5220
2019-08-02,6907
2019-08-03,6690
2019-08-04,5945
2019-08-05,8016
2019-08-06,7972
2019-08-07,7838
2019-08-08,8478
2019-08-09,9573
2019-08-10,11085
2019-08-11,10603
2019-08-12,15632
2019-08-13,23052
2019-08-14,11119
2019-08-15,11635
2019-08-16,9820
2019-08-17,7612
2019-08-18,7860
2019-08-19,9503
2019-08-20,9955
2019-08-21,12143
2019-08-22,10878
2019-08-23,10521
2019-08-24,10847
2019-08-25,9246
2019-08-26,11272
2019-08-27,5522
2019-08-28,6469
2019-08-29,6946
2019-08-30,5842
2019-08-31,5695
2019-09-01,4705
2019-09-02,10628
2019-09-03,12765
2019-09-04,11459
2019-09-05,11733
2019-09-06,11014
2019-09-07,10239
2019-09-08,10021
2019-09-09,10162
2019-09-10,11059
2019-09-11,7728
2019-09-12,12037
2019-09-13,10211
2019-09-14,9829
2019-09-15,10349
2019-09-16,18461
2019-09-17,13156
2019-09-18,12401
2019-09-19,11746
2019-09-20,13704
2019-09-21,10398
2019-09-22,9867
2019-09-23,10821
2019-09-24,13048
2019-09-25,16810
2019-09-26,12934
2019-09-27,12565
2019-09-28,12021
2019-09-29,12007
2019-09-30,12434
2019-10-01,11537
2019-10-02,11884
2019-10-03,11726
2019-10-04,12461
2019-10-05,11588
2019-10-06,11433
2019-10-07,12109
2019-10-08,13195
2019-10-09,14155
2019-10-10,13859
2019-10-11,14256
2019-10-12,13077
2019-10-13,13370
2019-10-14,13398
2019-10-15,14400
2019-10-16,14662
2019-10-17,14397
2019-10-18,15502
2019-10-19,14696
2019-10-20,14113
2019-10-21,14108
2019-10-22,14327
2019-10-23,15079
2019-10-24,14391
2019-10-25,15276
2019-10-26,15638
2019-10-27,13175
2019-10-28,17738
2019-10-29,14354
2019-10-30,13552
2019-10-31,13858
2019-11-01,11479
2019-11-02,11351
2019-11-03,12482
2019-11-04,12695
2019-11-05,13846
2019-11-06,13042
2019-11-07,13170
2019-11-08,11735
2019-11-09,12796
2019-11-10,11258
2019-11-11,14268
2019-11-12,14727
2019-11-13,21553
2019-11-14,13113
2019-11-15,13270
2019-11-16,11468
2019-11-17,10670
2019-11-18,12051
2019-11-19,13452
2019-11-20,12774
2019-11-21,15985
2019-11-22,16077
2019-11-23,13193
2019-11-24,10513
2019-11-25,14101
2019-11-26,11369
2019-11-27,11680
2019-11-28,10342
2019-11-29,11748
2019-11-30,10372
2019-12-01,9961
2019-12-02,11675
2019-12-03,10081
2019-12-04,10785
2019-12-05,11505
2019-12-06,9989
2019-12-07,7535
2019-12-08,5385
2019-12-09,12501
2019-12-10,14101
2019-12-11,11569
2019-12-12,11195
2019-12-13,10503
2019-12-14,10327
2019-12-15,9839
2019-12-16,13952
2019-12-17,11583
2019-12-18,12302
2019-12-19,11851
2019-12-20,10009
2019-12-21,7602
2019-12-22,6691
2019-12-23,9903
2019-12-24,8940
2019-12-25,7943
2019-12-26,8783
2019-12-27,8761
2019-12-28,6869
2019-12-29,5908
2019-12-30,8947
2019-12-31,8897
2020-01-01,5979
2020-01-02,7749
2020-01-03,10421
2020-01-04,8231
2020-01-05,8314
2020-01-06,9917
2020-01-07,9835
2020-01-08,10904
2020-01-09,8954
2020-01-10,9110
2020-01-11,8026
2020-01-12,6575
2020-01-13,8723
2020-01-14,12177
2020-01-15,11913
2020-01-16,9683
2020-01-17,10260
2020-01-18,8587
2020-01-19,10216
2020-01-20,9696
2020-01-21,8471
2020-01-22,7500
2020-01-23,7434
2020-01-24,5983
2020-01-25,3554
2020-01-26,3874
2020-01-27,6027
2020-01-28,6071
2020-01-29,7123
2020-01-30,7307
2020-01-31,8433
2020-02-01,7051
2020-02-02,7234
2020-02-03,9933
2020-02-04,9512
2020-02-05,12007
2020-02-06,12568
2020-02-07,12126
2020-02-08,10713
2020-02-09,11013
2020-02-10,14222
2020-02-11,13682
2020-02-12,14539
2020-02-13,16412
2020-02-14,12327
2020-02-15,13183
2020-02-16,11452
2020-02-17,14833
2020-02-18,11863
2020-02-19,11638
2020-02-20,12675
2020-02-21,9853
2020-02-22,8000
2020-02-23,8343
2020-02-24,13450
2020-02-25,12263
2020-02-26,14808
2020-02-27,12232
2020-02-28,11983
2020-02-29,8989
2020-03-01,8290
2020-03-02,13085
2020-03-03,11739
2020-03-04,11855
2020-03-05,20580
2020-03-06,11242
2020-03-07,9509
2020-03-08,11487
2020-03-09,18758
2020-03-10,14095
2020-03-11,12283
2020-03-12,13605
2020-03-13,21522
2020-03-14,8888
2020-03-15,6924
2020-03-16,10697
2020-03-17,10607
2020-03-18,8183
2020-03-19,10802
2020-03-20,11181
2020-03-21,10216
2020-03-22,6210
2020-03-23,8029
2020-03-24,8631
2020-03-25,7968
2020-03-26,7103
2020-03-27,7478
2020-03-28,7890
2020-03-29,6146
2020-03-30,8577
2020-03-31,8430
2020-04-01,8191
2020-04-02,10074
2020-04-03,8475
2020-04-04,6204
2020-04-05,5719
2020-04-06,10222
2020-04-07,10419
2020-04-08,9683
2020-04-09,8732
2020-04-10,10457
2020-04-11,6667
2020-04-12,6893
2020-04-13,9932
2020-04-14,8406
2020-04-15,8590
2020-04-16,9152
2020-04-17,9186
2020-04-18,7191
2020-04-19,6411
2020-04-20,10414
2020-04-21,10510
2020-04-22,7757
2020-04-23,8534
2020-04-24,7914
2020-04-25,6805
2020-04-26,6792
2020-04-27,9444
2020-04-28,9245
2020-04-29,11576
2020-04-30,11032
2020-05-01,7372
2020-05-02,6064
2020-05-03,6414
2020-05-04,8262
2020-05-05,8001
2020-05-06,8952
2020-05-07,10106
2020-05-08,9324
2020-05-09,8597
2020-05-10,15092
2020-05-11,17000
2020-05-12,12512
2020-05-13,8472
2020-05-14,10386
2020-05-15,9531
2020-05-16,9685
2020-05-17,8718
2020-05-18,9688
2020-05-19,8491
2020-05-20,9688
2020-05-21,10051
2020-05-22,9480
2020-05-23,8653
2020-05-24,8311
2020-05-25,9566
2020-05-26,9925
2020-05-27,15489
2020-05-28,24238
2020-05-29,27168
2020-05-30,29695
2020-05-31,27596
2020-06-01,32236
2020-06-02,35091
2020-06-03,16128
2020-06-04,19329
2020-06-05,16788
2020-06-06,14584
2020-06-07,12779
2020-06-08,13753
2020-06-09,14061
2020-06-10,17985
2020-06-11,20300
2020-06-12,16830
2020-06-13,14024
2020-06-14,17116
2020-06-15,28142
2020-06-16,33882
2020-06-17,30418
2020-06-18,35650
2020-06-19,42832
2020-06-20,38638
2020-06-21,38799
2020-06-22,40050
2020-06-23,53188
2020-06-24,44855
2020-06-25,48134
2020-06-26,56877
2020-06-27,56154
2020-06-28,36038
2020-06-29,26831
2020-06-30,28010
2020-07-01,27828
2020-07-02,32180
2020-07-03,26072
2020-07-04,21372
2020-07-05,23899
2020-07-06,29004
2020-07-07,31223
2020-07-08,33499
2020-07-09,34551
2020-07-10,30320
2020-07-11,26448
2020-07-12,25118
2020-07-13,31762
2020-07-14,31020
2020-07-15,31455
2020-07-16,31233
2020-07-17,30236
2020-07-18,26668
2020-07-19,25179
2020-07-20,35016
2020-07-21,31433
2020-07-22,33158
2020-07-23,33568
2020-07-24,32722
2020-07-25,27563
2020-07-26,29256
2020-07-27,34539
2020-07-28,36750
2020-07-29,32359
2020-07-30,33765
2020-07-31,35994
2020-08-01,34998
2020-08-02,39640
2020-08-03,38203
2020-08-04,36311
2020-08-05,37865
2020-08-06,41275
2020-08-07,39613
2020-08-08,34795
2020-08-09,38930
2020-08-10,38575
2020-08-11,38172
2020-08-12,19145
2020-08-13,22500
2020-08-14,12745
2020-08-15,18454
2020-08-16,11481
2020-08-17,16587
2020-08-18,14608
2020-08-19,19444
2020-08-20,14789
2020-08-21,12306
2020-08-22,19380
2020-08-23,18724
2020-08-24,16510
2020-08-25,17642
2020-08-26,20425
2020-08-27,21256
2020-08-28,20714
2020-08-29,18415
2020-08-30,14151
2020-08-31,18535
2020-09-01,16460
2020-09-02,13502
2020-09-03,11707
2020-09-04,15145
2020-09-05,13248
2020-09-06,14897
2020-09-07,15670
2020-09-08,16242
2020-09-09,13911
2020-09-10,20868
2020-09-11,14037
2020-09-12,11326
2020-09-13,10869
2020-09-14,12703
2020-09-15,16273
2020-09-16,14029
2020-09-17,8013
2020-09-18,12569
2020-09-19,11223
2020-09-20,10168
2020-09-21,13323
2020-09-22,12528
2020-09-23,11957
2020-09-24,16221
2020-09-25,11215
2020-09-26,8941
2020-09-27,9625
2020-09-28,15150
2020-09-29,20956
2020-09-30,39764
2020-10-01,15509
2020-10-02,13325
2020-10-03,16221
2020-10-04,15905
2020-10-05,16920
2020-10-06,17672
2020-10-07,19200
2020-10-08,21439
2020-10-09,24383
2020-10-10,27512
2020-10-11,32066
2020-10-12,30636
2020-10-13,36327
2020-10-14,34461
2020-10-15,33977
2020-10-16,34681
2020-10-17,49607
2020-10-18,60378
2020-10-19,56047
2020-10-20,50043
2020-10-21,42491
2020-10-22,49928
2020-10-23,55161
2020-10-24,36382
2020-10-25,27068
2020-10-26,24633
2020-10-27,23723
2020-10-28,36508
2020-10-29,25372
2020-10-30,28177
2020-10-31,21433
2020-11-01,20899
2020-11-02,30554
2020-11-03,27374
2020-11-04,25000
2020-11-05,28466
2020-11-06,38500
2020-11-07,41555
2020-11-08,25454
2020-11-09,40665
2020-11-10,35929
2020-11-11,40671
2020-11-12,30412
2020-11-13,25992
2020-11-14,34008
2020-11-15,27464
2020-11-16,31996
2020-11-17,43245
2020-11-18,25224
2020-11-19,23522
2020-11-20,28651
2020-11-21,26544
2020-11-22,24796
2020-11-23,37673
2020-11-24,33203
2020-11-25,31504
2020-11-26,40346
2020-11-27,30158
2020-11-28,20335
2020-11-29,20572
2020-11-30,34690
2020-12-01,44155
2020-12-02,23281
2020-12-03,22364
2020-12-04,27556
2020-12-05,20112
2020-12-06,18019
2020-12-07,22725
2020-12-08,24800
2020-12-09,25123
2020-12-10,23921
2020-12-11,26519
2020-12-12,19618
2020-12-13,17898
2020-12-14,22075
2020-12-15,25993
2020-12-16,29527
2020-12-17,32050
2020-12-18,29128
2020-12-19,27018
2020-12-20,26904
2020-12-21,29485
2020-12-22,29360
2020-12-23,27457
2020-12-24,32015
2020-12-25,22274
2020-12-26,25096
2020-12-27,22279
2020-12-28,26854
2020-12-29,27561
2020-12-30,31763
2020-12-31,25836
2021-01-01,26937
2021-01-02,23533
2021-01-03,23400
2021-01-04,29071
2021-01-05,29539
2021-01-06,33424
2021-01-07,30596
2021-01-08,29262
2021-01-09,25859
2021-01-10,34621
2021-01-11,38949
2021-01-12,31288
2021-01-13,30510
2021-01-14,40168
2021-01-15,29291
2021-01-16,26778
2021-01-17,25250
2021-01-18,27805
2021-01-19,27720
2021-01-20,30415
2021-01-21,30680
2021-01-22,33869
2021-01-23,22908
2021-01-24,20234
2021-01-25,27254
2021-01-26,26355
2021-01-27,26158
2021-01-28,33102
2021-01-29,39535
2021-01-30,27975
2021-01-31,28552
2021-02-01,33435
2021-02-02,34220
2021-02-03,30326
2021-02-04,30024
2021-02-05,24065
2021-02-06,23342
2021-02-07,24086
2021-02-08,27271
2021-02-09,29798
2021-02-10,29959
2021-02-11,24294
2021-02-12,26031
2021-02-13,18198
2021-02-14,20429
2021-02-15,22669
2021-02-16,20497
2021-02-17,21913
2021-02-18,23405
2021-02-19,24930
2021-02-20,38586
2021-02-21,26991
2021-02-22,26455
2021-02-23,29260
2021-02-24,28401
2021-02-25,25045
2021-02-26,24786
2021-02-27,20228
2021-02-28,22956
2021-03-01,25082
2021-03-02,24909
2021-03-03,21078
2021-03-04,21204
2021-03-05,22719
2021-03-06,17428
2021-03-07,17381
2021-03-08,21690
2021-03-09,24063
2021-03-10,23344
2021-03-11,21803
2021-03-12,29888
2021-03-13,23134
2021-03-14,40698
2021-03-15,22216
2021-03-16,31021
2021-03-17,27412
2021-03-18,21824
2021-03-19,30629
2021-03-20,21918
2021-03-21,20310
2021-03-22,20181
