date,Exchange Inflow (Total)
2017-12-28,1185.0
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,30000000.0
2018-01-23,100.95
2018-01-24,0.995
2018-01-25,0.0
2018-01-26,0.0
2018-01-27,99980.0
2018-01-28,30114348.0
2018-01-29,96500.0
2018-01-30,546166.57
2018-01-31,1527473.9702
2018-02-01,467887.51
2018-02-02,13072804.35
2018-02-03,560360.82
2018-02-04,1644499.8835
2018-02-05,3854822.3659
2018-02-06,1620593.5323
2018-02-07,201104.0
2018-02-08,299856.0
2018-02-09,1608127.4646
2018-02-10,227732.495
2018-02-11,873432.0
2018-02-12,0.0
2018-02-13,751201.7646
2018-02-14,1203449.1201
2018-02-15,0.0
2018-02-16,0.0
2018-02-17,42997.7646
2018-02-18,729273.0
2018-02-19,284391.0
2018-02-20,551169.0
2018-02-21,2216062.8846
2018-02-22,1631080.1
2018-02-23,0.0
2018-02-24,1536649.4839
2018-02-25,209980.0
2018-02-26,375917.06
2018-02-27,0.0
2018-02-28,189950.0
2018-03-01,1849929.14
2018-03-02,253970.0
2018-03-03,269960.0
2018-03-04,471061.0
2018-03-05,189077.0
2018-03-06,999910.0
2018-03-07,1247439.0
2018-03-08,361055.2772
2018-03-09,199970.0
2018-03-10,149990.0
2018-03-11,1109959.2
2018-03-12,99990.0
2018-03-13,339960.0
2018-03-14,1481358.0163
2018-03-15,2239952.857
2018-03-16,409970.0
2018-03-17,759990.0
2018-03-18,1577311.2091
2018-03-19,0.0
2018-03-20,139980.0
2018-03-21,589430.0
2018-03-22,629920.0
2018-03-23,1429840.0
2018-03-24,229970.0
2018-03-25,649930.0
2018-03-26,809860.0
2018-03-27,1150708.894568
2018-03-28,533498.978636
2018-03-29,1177558.959
2018-03-30,1267180.7
2018-03-31,53153.0
2018-04-01,579334.0
2018-04-02,23317.0
2018-04-03,0.0
2018-04-04,952030.4256
2018-04-05,439615.0
2018-04-06,340020.0
2018-04-07,1950.0
2018-04-08,24924.68173
2018-04-09,499920.0
2018-04-10,252425.0
2018-04-11,129980.0
2018-04-12,230770.0
2018-04-13,639428.9628
2018-04-14,149990.0
2018-04-15,10.0
2018-04-16,33744.42
2018-04-17,164796.6719
2018-04-18,53000.0
2018-04-19,179980.0
